,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: 1001-,1001,1.048,0.976,1.004,1.013,0.97,0.983,1.006,0.941,0.978,0.915,0.987,1.027,1.026,0.992,0.949,0.981,0.98,0.958,1.008,1.016,0.952,0.976,0.98,0.975,0.995,0.993,0.959,0.948,0.987,1.005,0.963,0.986
a: 1001-,1002,1.048,1.008,1.012,1.024,0.969,1.03,0.973,0.981,0.994,0.995,1.0,0.948,1.006,1.005,1.028,1.04,0.975,0.962,1.024,1.029,1.027,1.037,0.98,1.047,1.015,0.998,0.99,0.967,0.911,0.978,1.027,1.006
a: 1001-,1003,1.061,0.968,1.006,1.006,1.047,0.967,0.982,0.987,0.92,0.986,1.081,1.006,1.053,1.015,0.949,1.022,1.053,1.014,0.986,1.089,1.03,1.005,1.024,1.0,0.948,1.037,1.023,0.984,1.009,0.963,0.934,1.014
a: 1001-,1004,1.018,1.019,1.038,0.976,0.98,0.981,1.013,1.004,0.99,0.984,0.989,1.016,0.999,0.982,1.04,0.979,1.015,0.999,1.029,1.032,0.997,0.954,1.033,0.987,0.984,1.025,1.093,0.732,1.002,0.983,1.007,1.006
a: 1001-,1005,1.037,0.982,1.017,1.054,0.999,0.978,1.008,0.979,1.008,1.022,0.98,0.974,1.0,1.008,0.942,1.0,1.04,1.009,1.011,0.984,1.06,0.991,0.996,0.96,0.925,1.017,0.988,1.049,0.941,0.992,1.062,1.001
a: 1001-,1006,1.07,0.995,0.974,0.909,0.998,1.042,0.978,1.004,1.021,1.027,0.97,1.012,0.967,0.949,1.044,1.013,1.019,1.052,1.004,0.974,0.96,0.992,0.985,0.958,0.991,1.083,1.029,0.969,0.97,1.03,0.929,1.008
a: 1001-,1007,1.004,0.964,1.001,0.995,1.065,1.038,1.013,0.964,0.992,1.073,1.025,0.915,1.035,1.063,1.008,1.001,1.073,1.024,0.867,0.943,0.986,1.06,0.975,0.981,1.033,1.006,1.052,0.961,1.002,0.913,1.044,1.015
a: 1001-,1008,1.025,1.02,0.985,1.001,1.031,1.103,1.027,0.995,0.994,1.036,1.011,1.007,1.028,1.008,0.971,1.017,0.999,0.908,0.99,0.979,1.047,0.951,0.993,0.974,1.028,1.018,1.049,1.018,1.031,0.951,1.015,1.011
a: 1001-,1009,1.019,0.93,1.025,0.969,0.951,0.961,1.015,0.976,1.058,1.067,1.058,1.04,0.99,1.016,1.045,1.002,0.966,1.039,0.984,1.037,1.017,0.995,0.975,1.02,0.963,0.993,1.033,0.94,1.023,0.972,1.068,1.01
a: 1001-,1010,1.052,1.012,0.962,0.949,1.002,0.999,1.0,0.973,1.001,1.01,0.967,1.016,0.997,0.921,1.006,1.001,0.944,1.037,0.947,1.043,0.994,0.982,0.985,0.97,1.03,0.957,1.027,0.99,0.932,0.965,0.888,0.993
b: 1011-,1011,1.032,1.008,0.941,1.025,1.043,1.011,1.025,0.969,0.938,0.951,1.018,1.035,1.01,0.961,0.982,0.935,1.035,1.013,0.972,0.912,1.01,1.045,0.992,0.995,0.958,1.002,0.978,0.914,0.969,0.943,0.968,0.994
b: 1011-,1012,1.005,0.964,0.944,0.993,1.038,0.941,0.984,1.011,1.007,0.971,1.047,1.044,0.953,0.936,0.958,1.034,0.986,0.96,1.023,0.97,1.018,0.937,0.995,1.061,1.022,0.951,1.02,0.97,0.986,1.007,0.971,0.997
b: 1011-,1013,1.02,0.944,0.986,0.953,1.034,1.011,0.962,1.016,0.958,1.025,1.009,0.975,1.035,1.019,0.988,0.963,1.026,1.016,1.032,1.045,1.017,0.971,0.859,1.022,1.052,1.033,0.987,0.787,1.049,1.054,0.994,1.005
b: 1011-,1014,1.032,1.079,0.984,0.974,1.018,1.063,1.021,0.968,1.027,1.036,1.02,0.945,1.011,1.058,1.023,0.995,0.972,1.059,0.986,0.999,1.001,1.036,0.958,1.061,0.994,0.974,0.968,0.96,1.004,0.922,0.945,1.009
b: 1011-,1015,1.067,0.997,1.048,1.024,0.978,1.034,1.004,0.995,0.98,0.915,0.982,1.017,1.01,1.036,1.03,0.893,1.026,0.986,0.999,0.991,1.017,1.037,1.021,1.015,0.981,1.028,1.064,0.949,1.001,1.022,0.956,1.009
b: 1011-,1016,1.038,0.942,1.041,1.02,1.057,0.982,0.982,0.977,0.986,0.958,1.021,0.927,0.97,1.03,1.038,0.976,1.02,0.926,1.012,0.945,1.06,0.984,1.031,1.068,1.028,1.021,1.046,0.965,0.93,0.975,1.009,1.01
b: 1011-,1017,1.029,0.977,0.952,0.995,1.035,1.009,1.043,1.002,0.971,1.038,0.981,1.061,1.035,0.986,1.036,1.054,0.993,0.973,0.973,1.025,0.99,0.957,1.014,0.94,1.041,1.058,0.987,1.03,0.958,0.964,0.99,1.009
b: 1011-,1018,0.927,1.022,1.025,0.976,0.94,0.981,1.029,1.007,0.941,0.999,1.006,0.975,0.976,0.975,1.03,1.0,0.972,0.989,0.903,1.047,0.968,1.023,0.935,1.041,1.037,0.986,1.008,1.038,1.013,0.884,0.99,0.995
b: 1011-,1019,1.008,1.023,0.958,1.043,0.963,1.06,0.947,0.98,1.005,0.952,1.014,1.096,0.992,1.026,1.025,0.941,0.951,0.924,0.997,0.952,0.998,0.972,1.025,0.91,0.96,1.106,1.078,1.006,1.059,1.005,1.009,1.009
b: 1011-,1020,1.008,0.944,0.976,1.041,0.972,1.064,0.986,1.0,0.945,0.986,0.976,1.034,0.994,0.925,0.992,0.945,1.011,1.022,0.979,0.946,1.019,0.996,1.011,0.997,1.032,0.964,0.957,1.004,1.008,0.945,0.986,0.992
c: 1021-,1021,1.062,0.973,1.011,1.03,0.953,0.981,0.99,0.936,1.006,0.998,1.016,0.937,0.919,0.993,1.006,0.986,0.96,1.027,1.032,0.927,1.01,0.959,0.992,0.967,0.994,0.998,1.024,0.953,1.014,0.953,1.056,0.992
c: 1021-,1022,1.083,0.976,0.967,1.057,1.01,0.994,1.001,0.968,0.981,0.975,0.996,1.014,1.04,0.992,0.92,0.998,0.969,1.029,1.053,0.977,1.02,1.041,0.925,1.071,1.051,0.968,1.028,0.824,0.992,1.037,0.973,1.006
