台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率,date,hall_name,machine_name
1001,"8,472","+2,268",37,35.0,1/117.7,1/229.0,1/242.1,2024-05-01,EXA_FIRST,マイジャグラーV
1002,"5,860",-768,22,10.0,1/183.1,1/266.4,1/586.0,2024-05-01,EXA_FIRST,マイジャグラーV
1003,"8,275","+2,718",34,40.0,1/111.8,1/243.4,1/206.9,2024-05-01,EXA_FIRST,マイジャグラーV
1004,"6,090",-759,22,17.0,1/156.2,1/276.8,1/358.2,2024-05-01,EXA_FIRST,マイジャグラーV
1005,"6,024",+303,23,19.0,1/143.4,1/261.9,1/317.1,2024-05-01,EXA_FIRST,マイジャグラーV
1006,"7,630",-112,27,24.0,1/149.6,1/282.6,1/317.9,2024-05-01,EXA_FIRST,マイジャグラーV
1007,"6,385",+124,26,15.0,1/155.7,1/245.6,1/425.7,2024-05-01,EXA_FIRST,マイジャグラーV
1008,"8,383","+4,397",42,38.0,1/104.8,1/199.6,1/220.6,2024-05-01,EXA_FIRST,マイジャグラーV
1009,"6,068",+356,26,13.0,1/155.6,1/233.4,1/466.8,2024-05-01,EXA_FIRST,マイジャグラーV
1010,"6,221",+585,24,19.0,1/144.7,1/259.2,1/327.4,2024-05-01,EXA_FIRST,マイジャグラーV
1011,"7,962",+497,35,19.0,1/147.4,1/227.5,1/419.1,2024-05-01,EXA_FIRST,マイジャグラーV
1012,"4,247","-1,876",10,10.0,1/212.3,1/424.7,1/424.7,2024-05-01,EXA_FIRST,マイジャグラーV
1013,"6,394","-1,124",20,20.0,1/159.8,1/319.7,1/319.7,2024-05-01,EXA_FIRST,マイジャグラーV
1014,"4,034","-2,162",9,5.0,1/288.1,1/448.2,1/806.8,2024-05-01,EXA_FIRST,マイジャグラーV
1015,"3,190","-1,606",7,8.0,1/212.7,1/455.7,1/398.8,2024-05-01,EXA_FIRST,マイジャグラーV
1016,"8,183","+2,003",33,40.0,1/112.1,1/248.0,1/204.6,2024-05-01,EXA_FIRST,マイジャグラーV
