model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,5348,24,12,1/148.6,1/222.8,1/445.7,0
アイムジャグラーEX-TP,804,5042,25,18,1/117.3,1/201.7,1/280.1,0
アイムジャグラーEX-TP,805,1187,4,2,1/197.8,1/296.8,1/593.5,0
アイムジャグラーEX-TP,881,1133,3,0,1/377.7,1/377.7,1/0.0,0
アイムジャグラーEX-TP,882,7180,34,22,1/128.2,1/211.2,1/326.4,0
アイムジャグラーEX-TP,883,2329,5,7,1/194.1,1/465.8,1/332.7,0
アイムジャグラーEX-TP,884,4500,13,8,1/214.3,1/346.2,1/562.5,0
アイムジャグラーEX-TP,885,3348,10,6,1/209.2,1/334.8,1/558.0,0
アイムジャグラーEX-TP,886,2231,8,5,1/171.6,1/278.9,1/446.2,0
アイムジャグラーEX-TP,887,4953,20,10,1/165.1,1/247.7,1/495.3,0
アイムジャグラーEX-TP,888,4611,14,15,1/159.0,1/329.4,1/307.4,0
アイムジャグラーEX-TP,889,2131,3,3,1/355.2,1/710.3,1/710.3,0
アイムジャグラーEX-TP,890,5093,17,15,1/159.2,1/299.6,1/339.5,0
アイムジャグラーEX-TP,891,822,0,0,1/0.0,1/0.0,1/0.0,0
アイムジャグラーEX-TP,892,2740,9,3,1/228.3,1/304.4,1/913.3,0
アイムジャグラーEX-TP,893,2028,5,6,1/184.4,1/405.6,1/338.0,0
アイムジャグラーEX-TP,958,8191,35,19,1/151.7,1/234.0,1/431.1,0
アイムジャグラーEX-TP,959,3485,14,6,1/174.2,1/248.9,1/580.8,0
アイムジャグラーEX-TP,960,6724,25,21,1/146.2,1/269.0,1/320.2,0
アイムジャグラーEX-TP,961,2705,6,5,1/245.9,1/450.8,1/541.0,0
アイムジャグラーEX-TP,962,2541,8,8,1/158.8,1/317.6,1/317.6,0
アイムジャグラーEX-TP,963,5027,21,6,1/186.2,1/239.4,1/837.8,0
アイムジャグラーEX-TP,964,3488,9,14,1/151.7,1/387.6,1/249.1,0
アイムジャグラーEX-TP,965,5277,18,15,1/159.9,1/293.2,1/351.8,0
アイムジャグラーEX-TP,966,5735,23,15,1/150.9,1/249.3,1/382.3,0
スマスロ北斗の拳,905,6550,83,19,1/64.2,1/78.9,1/344.7,0
スマスロ北斗の拳,906,4724,69,9,1/60.6,1/68.5,1/524.9,0
スマスロ北斗の拳,907,4289,68,9,1/55.7,1/63.1,1/476.6,0
