model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,6948,28,30,1/119.8,1/248.1,1/231.6,0
アイムジャグラーEX-TP,804,1808,6,3,1/200.9,1/301.3,1/602.7,0
アイムジャグラーEX-TP,805,1851,7,3,1/185.1,1/264.4,1/617.0,0
アイムジャグラーEX-TP,881,3460,17,9,1/133.1,1/203.5,1/384.4,0
アイムジャグラーEX-TP,882,686,2,0,1/343.0,1/343.0,1/0.0,0
アイムジャグラーEX-TP,883,7716,39,18,1/135.4,1/197.8,1/428.7,0
アイムジャグラーEX-TP,884,798,1,0,1/798.0,1/798.0,1/0.0,0
アイムジャグラーEX-TP,885,1601,2,6,1/200.1,1/800.5,1/266.8,0
アイムジャグラーEX-TP,886,5796,18,25,1/134.8,1/322.0,1/231.8,0
アイムジャグラーEX-TP,887,4040,14,12,1/155.4,1/288.6,1/336.7,0
アイムジャグラーEX-TP,888,7155,28,21,1/146.0,1/255.5,1/340.7,0
アイムジャグラーEX-TP,889,3995,10,14,1/166.5,1/399.5,1/285.4,0
アイムジャグラーEX-TP,890,6439,34,23,1/113.0,1/189.4,1/280.0,0
アイムジャグラーEX-TP,891,979,3,2,1/195.8,1/326.3,1/489.5,0
アイムジャグラーEX-TP,892,7161,27,33,1/119.3,1/265.2,1/217.0,0
アイムジャグラーEX-TP,893,2477,8,12,1/123.8,1/309.6,1/206.4,0
アイムジャグラーEX-TP,958,1846,7,5,1/153.8,1/263.7,1/369.2,0
アイムジャグラーEX-TP,959,5289,15,19,1/155.6,1/352.6,1/278.4,0
アイムジャグラーEX-TP,960,7819,46,19,1/120.3,1/170.0,1/411.5,0
アイムジャグラーEX-TP,961,1766,8,2,1/176.6,1/220.8,1/883.0,0
アイムジャグラーEX-TP,962,4177,14,11,1/167.1,1/298.4,1/379.7,0
アイムジャグラーEX-TP,963,2255,7,7,1/161.1,1/322.1,1/322.1,0
アイムジャグラーEX-TP,964,2639,6,7,1/203.0,1/439.8,1/377.0,0
アイムジャグラーEX-TP,965,1453,2,5,1/207.6,1/726.5,1/290.6,0
アイムジャグラーEX-TP,966,7397,29,27,1/132.1,1/255.1,1/274.0,0
スマスロ北斗の拳,905,6087,55,16,1/85.7,1/110.7,1/380.4,0
スマスロ北斗の拳,906,1039,11,1,1/86.6,1/94.5,1/1039.0,0
スマスロ北斗の拳,907,6983,73,25,1/71.3,1/95.7,1/279.3,0
スマスロ北斗の拳,908,6974,69,16,1/82.0,1/101.1,1/435.9,0
スマスロ北斗の拳,909,2969,44,6,1/59.4,1/67.5,1/494.8,0
スマスロ北斗の拳,910,6132,91,24,1/53.3,1/67.4,1/255.5,0
スマスロ北斗の拳,911,4765,47,12,1/80.8,1/101.4,1/397.1,0
スマスロ北斗の拳,912,4028,25,8,1/122.1,1/161.1,1/503.5,0
スマスロ北斗の拳,913,2045,15,4,1/107.6,1/136.3,1/511.2,0
スマスロ北斗の拳,914,3609,30,8,1/95.0,1/120.3,1/451.1,0
スマスロ北斗の拳,915,936,8,2,1/93.6,1/117.0,1/468.0,0
スマスロ北斗の拳,916,1895,17,5,1/86.1,1/111.5,1/379.0,0
スマスロ北斗の拳,935,2079,59,4,1/33.0,1/35.2,1/519.8,0
スマスロ北斗の拳,936,5250,53,16,1/76.1,1/99.1,1/328.1,0
スマスロ北斗の拳,937,6155,127,24,1/40.8,1/48.5,1/256.5,0
スマスロ北斗の拳,938,3554,18,8,1/136.7,1/197.4,1/444.2,0
スマスロ北斗の拳,939,1796,18,5,1/78.1,1/99.8,1/359.2,0
スマスロ北斗の拳,940,6761,89,21,1/61.5,1/76.0,1/322.0,0
スマスロ北斗の拳,941,4112,67,8,1/54.8,1/61.4,1/514.0,0
スマスロ北斗の拳,942,1496,20,3,1/65.0,1/74.8,1/498.7,0
スマスロ北斗の拳,943,4391,41,11,1/84.4,1/107.1,1/399.2,0
スマスロ北斗の拳,944,4183,43,7,1/83.7,1/97.3,1/597.6,0
スマスロ北斗の拳,945,1377,15,3,1/76.5,1/91.8,1/459.0,0
スマスロ北斗の拳,946,6374,58,17,1/85.0,1/109.9,1/374.9,0
マイジャグラーV,894,3925,8,9,1/230.9,1/490.6,1/436.1,0
マイジャグラーV,895,5356,19,13,1/167.4,1/281.9,1/412.0,0
マイジャグラーV,896,7355,26,17,1/171.0,1/282.9,1/432.6,0
マイジャグラーV,897,5177,13,13,1/199.1,1/398.2,1/398.2,0
マイジャグラーV,898,8235,32,23,1/149.7,1/257.3,1/358.0,0
マイジャグラーV,899,5316,19,9,1/189.9,1/279.8,1/590.7,0
マイジャグラーV,900,8262,36,28,1/129.1,1/229.5,1/295.1,0
マイジャグラーV,901,5971,15,17,1/186.6,1/398.1,1/351.2,0
マイジャグラーV,902,4679,16,8,1/195.0,1/292.4,1/584.9,0
マイジャグラーV,903,5580,20,15,1/159.4,1/279.0,1/372.0,0
マイジャグラーV,904,8203,25,32,1/143.9,1/328.1,1/256.3,0
マイジャグラーV,947,6790,26,19,1/150.9,1/261.2,1/357.4,0
マイジャグラーV,948,2127,5,5,1/212.7,1/425.4,1/425.4,0
マイジャグラーV,949,7529,32,23,1/136.9,1/235.3,1/327.3,0
マイジャグラーV,950,2646,6,7,1/203.5,1/441.0,1/378.0,0
マイジャグラーV,951,7117,29,18,1/151.4,1/245.4,1/395.4,0
マイジャグラーV,952,7999,35,28,1/127.0,1/228.5,1/285.7,0
マイジャグラーV,953,3312,9,4,1/254.8,1/368.0,1/828.0,0
マイジャグラーV,954,7870,35,19,1/145.7,1/224.9,1/414.2,0
マイジャグラーV,955,7011,34,15,1/143.1,1/206.2,1/467.4,0
マイジャグラーV,956,8762,35,34,1/127.0,1/250.3,1/257.7,0
マイジャグラーV,957,3285,9,4,1/252.7,1/365.0,1/821.2,0
からくりサーカス,1017,2337,15,4,1/123.0,1/155.8,1/584.2,0
からくりサーカス,1018,5794,89,19,1/53.6,1/65.1,1/304.9,0
からくりサーカス,1019,172,0,1,1/172.0,1/0.0,1/172.0,0
からくりサーカス,1020,1752,26,4,1/58.4,1/67.4,1/438.0,0
からくりサーカス,1021,242,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1022,4229,54,11,1/65.1,1/78.3,1/384.5,0
からくりサーカス,1023,991,4,1,1/198.2,1/247.8,1/991.0,0
からくりサーカス,1024,91,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1025,3208,36,10,1/69.7,1/89.1,1/320.8,0
からくりサーカス,1026,2850,49,11,1/47.5,1/58.2,1/259.1,0
からくりサーカス,1027,88,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1028,2962,35,8,1/68.9,1/84.6,1/370.2,0
モンキーターンV,706,4497,81,16,1/46.4,1/55.5,1/281.1,0
モンキーターンV,823,2839,34,7,1/69.2,1/83.5,1/405.6,0
モンキーターンV,824,2403,31,8,1/61.6,1/77.5,1/300.4,0
モンキーターンV,825,4543,33,14,1/96.7,1/137.7,1/324.5,0
モンキーターンV,826,1686,37,7,1/38.3,1/45.6,1/240.9,0
モンキーターンV,827,2124,13,6,1/111.8,1/163.4,1/354.0,0
モンキーターンV,828,2086,22,9,1/67.3,1/94.8,1/231.8,0
モンキーターンV,829,3179,29,10,1/81.5,1/109.6,1/317.9,0
モンキーターンV,830,1654,32,3,1/47.3,1/51.7,1/551.3,0
モンキーターンV,831,318,9,2,1/28.9,1/35.3,1/159.0,0
モンキーターンV,832,2868,14,6,1/143.4,1/204.9,1/478.0,0
モンキーターンV,833,2493,12,8,1/124.7,1/207.8,1/311.6,0
