model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,568,982,-506,6,2,0,1/122.8,1/163.7,1/491.0,1/0.0
スマスロ北斗の拳,569,935,-506,7,2,0,1/103.9,1/133.6,1/467.5,1/0.0
スマスロ北斗の拳,570,3087,-2070,19,7,0,1/118.7,1/162.5,1/441.0,1/0.0
スマスロ北斗の拳,571,695,-762,1,1,0,1/347.5,1/695.0,1/695.0,1/0.0
スマスロ北斗の拳,572,1549,-1477,6,3,0,1/172.1,1/258.2,1/516.3,1/0.0
スマスロ北斗の拳,573,498,-157,3,1,0,1/124.5,1/166.0,1/498.0,1/0.0
スマスロ北斗の拳,574,5085,-2023,43,11,0,1/94.2,1/118.3,1/462.3,1/0.0
スマスロ北斗の拳,575,506,157,7,2,0,1/56.2,1/72.3,1/253.0,1/0.0
スマスロ北斗の拳,576,1906,-849,15,4,0,1/100.3,1/127.1,1/476.5,1/0.0
スマスロ北斗の拳,577,661,-145,6,2,0,1/82.6,1/110.2,1/330.5,1/0.0
スマスロ北斗の拳,578,1387,-453,12,4,0,1/86.7,1/115.6,1/346.8,1/0.0
スマスロ北斗の拳,579,507,-506,2,1,0,1/169.0,1/253.5,1/507.0,1/0.0
スマスロ北斗の拳,580,484,262,7,2,0,1/53.8,1/69.1,1/242.0,1/0.0
スマスロ北斗の拳,621,1134,-122,12,4,0,1/70.9,1/94.5,1/283.5,1/0.0
スマスロ北斗の拳,622,4590,-2128,35,8,0,1/106.7,1/131.1,1/573.8,1/0.0
スマスロ北斗の拳,623,2705,703,34,8,0,1/64.4,1/79.6,1/338.1,1/0.0
スマスロ北斗の拳,624,385,-343,2,1,0,1/128.3,1/192.5,1/385.0,1/0.0
スマスロ北斗の拳,625,1378,1035,25,3,0,1/49.2,1/55.1,1/459.3,1/0.0
スマスロ北斗の拳,626,895,-890,4,1,0,1/179.0,1/223.8,1/895.0,1/0.0
スマスロ北斗の拳,627,2958,692,39,8,0,1/62.9,1/75.8,1/369.8,1/0.0
スマスロ北斗の拳,628,1227,1570,27,1,0,1/43.8,1/45.4,1/1227.0,1/0.0
スマスロ北斗の拳,629,1305,-762,8,2,0,1/130.5,1/163.1,1/652.5,1/0.0
スマスロ北斗の拳,630,1188,-756,8,3,0,1/108.0,1/148.5,1/396.0,1/0.0
スマスロ北斗の拳,631,1368,-355,12,5,0,1/80.5,1/114.0,1/273.6,1/0.0
スマスロ北斗の拳,632,204,-180,1,1,0,1/102.0,1/204.0,1/204.0,1/0.0
スマスロ北斗の拳,633,3384,-1756,24,8,0,1/105.8,1/141.0,1/423.0,1/0.0
アイムジャグラーEX-TP,809,6725,1105,30,18,0,1/140.1,1/224.2,1/373.6,1/0.0
アイムジャグラーEX-TP,810,2805,-41,10,10,0,1/140.2,1/280.5,1/280.5,1/0.0
アイムジャグラーEX-TP,811,591,-552,1,0,0,1/591.0,1/591.0,1/0.0,1/0.0
アイムジャグラーEX-TP,812,1562,-459,5,2,0,1/223.1,1/312.4,1/781.0,1/0.0
アイムジャグラーEX-TP,813,2778,-64,9,10,0,1/146.2,1/308.7,1/277.8,1/0.0
アイムジャグラーEX-TP,814,344,-320,0,1,0,1/344.0,1/0.0,1/344.0,1/0.0
アイムジャグラーEX-TP,815,1296,-785,3,2,0,1/259.2,1/432.0,1/648.0,1/0.0
アイムジャグラーEX-TP,816,621,-576,1,0,0,1/621.0,1/621.0,1/0.0,1/0.0
アイムジャグラーEX-TP,817,2940,-1384,7,7,0,1/210.0,1/420.0,1/420.0,1/0.0
アイムジャグラーEX-TP,818,1912,-988,3,9,0,1/159.3,1/637.3,1/212.4,1/0.0
アイムジャグラーEX-TP,838,850,448,5,3,0,1/106.2,1/170.0,1/283.3,1/0.0
アイムジャグラーEX-TP,839,4866,-308,16,15,0,1/157.0,1/304.1,1/324.4,1/0.0
アイムジャグラーEX-TP,840,518,-110,2,0,0,1/259.0,1/259.0,1/0.0,1/0.0
アイムジャグラーEX-TP,841,1112,-99,4,3,0,1/158.9,1/278.0,1/370.7,1/0.0
アイムジャグラーEX-TP,842,1743,-110,6,5,0,1/158.5,1/290.5,1/348.6,1/0.0
アイムジャグラーEX-TP,843,1858,-983,4,4,0,1/232.2,1/464.5,1/464.5,1/0.0
アイムジャグラーEX-TP,844,2309,692,13,4,0,1/135.8,1/177.6,1/577.2,1/0.0
アイムジャグラーEX-TP,845,567,-343,1,1,0,1/283.5,1/567.0,1/567.0,1/0.0
アイムジャグラーEX-TP,846,968,-471,2,2,0,1/242.0,1/484.0,1/484.0,1/0.0
アイムジャグラーEX-TP,847,1602,-355,5,4,0,1/178.0,1/320.4,1/400.5,1/0.0
アイムジャグラーEX-TP,848,3690,-983,11,7,0,1/205.0,1/335.5,1/527.1,1/0.0
アイムジャグラーEX-TP,856,1124,-273,3,2,0,1/224.8,1/374.7,1/562.0,1/0.0
アイムジャグラーEX-TP,857,84,-110,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,858,1632,-273,5,5,0,1/163.2,1/326.4,1/326.4,1/0.0
アイムジャグラーEX-TP,859,1304,-308,4,4,0,1/163.0,1/326.0,1/326.0,1/0.0
マイジャグラーV,789,6864,-506,22,24,0,1/149.2,1/312.0,1/286.0,1/0.0
マイジャグラーV,790,4984,413,19,16,0,1/142.4,1/262.3,1/311.5,1/0.0
マイジャグラーV,791,3799,-128,15,9,0,1/158.3,1/253.3,1/422.1,1/0.0
マイジャグラーV,792,878,-448,2,2,0,1/219.5,1/439.0,1/439.0,1/0.0
マイジャグラーV,793,3490,-552,10,11,0,1/166.2,1/349.0,1/317.3,1/0.0
マイジャグラーV,794,2496,919,12,7,0,1/131.4,1/208.0,1/356.6,1/0.0
マイジャグラーV,795,3213,448,17,5,0,1/146.0,1/189.0,1/642.6,1/0.0
マイジャグラーV,796,2171,-866,6,2,0,1/271.4,1/361.8,1/1085.5,1/0.0
マイジャグラーV,797,697,-215,2,0,0,1/348.5,1/348.5,1/0.0,1/0.0
マイジャグラーV,798,3187,2628,22,9,0,1/102.8,1/144.9,1/354.1,1/0.0
マイジャグラーV,799,1220,52,5,2,0,1/174.3,1/244.0,1/610.0,1/0.0
マイジャグラーV,800,6336,360,24,20,0,1/144.0,1/264.0,1/316.8,1/0.0
マイジャグラーV,801,405,-355,0,1,0,1/405.0,1/0.0,1/405.0,1/0.0
マイジャグラーV,802,3471,-401,13,7,0,1/173.6,1/267.0,1/495.9,1/0.0
マイジャグラーV,803,5171,-110,15,21,0,1/143.6,1/344.7,1/246.2,1/0.0
マイジャグラーV,804,674,-622,0,1,0,1/674.0,1/0.0,1/674.0,1/0.0
マイジャグラーV,805,4186,-948,13,10,0,1/182.0,1/322.0,1/418.6,1/0.0
マイジャグラーV,806,1060,-587,2,4,0,1/176.7,1/530.0,1/265.0,1/0.0
マイジャグラーV,807,6341,1465,28,28,0,1/113.2,1/226.5,1/226.5,1/0.0
マイジャグラーV,808,4349,541,22,7,0,1/150.0,1/197.7,1/621.3,1/0.0
からくりサーカス,602,6084,-2616,0,15,36,1/119.3,1/0.0,1/405.6,1/169.0
からくりサーカス,603,1351,-547,0,2,10,1/112.6,1/0.0,1/675.5,1/135.1
からくりサーカス,604,5160,-3326,0,10,29,1/132.3,1/0.0,1/516.0,1/177.9
からくりサーカス,605,68,-122,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
からくりサーカス,606,1624,-1035,0,4,9,1/124.9,1/0.0,1/406.0,1/180.4
からくりサーカス,607,87,-145,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
からくりサーカス,608,2939,314,0,5,28,1/89.1,1/0.0,1/587.8,1/105.0
からくりサーカス,609,1385,919,0,5,16,1/66.0,1/0.0,1/277.0,1/86.6
からくりサーカス,610,2594,849,0,6,29,1/74.1,1/0.0,1/432.3,1/89.4
からくりサーカス,611,186,-308,0,1,0,1/186.0,1/0.0,1/186.0,1/0.0
からくりサーカス,612,4183,-1384,0,9,34,1/97.3,1/0.0,1/464.8,1/123.0
からくりサーカス,613,1670,-1640,0,6,7,1/128.5,1/0.0,1/278.3,1/238.6
からくりサーカス,614,1702,-1035,0,6,12,1/94.6,1/0.0,1/283.7,1/141.8
からくりサーカス,615,3928,-3233,0,7,20,1/145.5,1/0.0,1/561.1,1/196.4
からくりサーカス,616,1330,1128,0,5,13,1/73.9,1/0.0,1/266.0,1/102.3
からくりサーカス,617,6696,7023,0,19,85,1/64.4,1/0.0,1/352.4,1/78.8
からくりサーカス,618,70,-110,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
からくりサーカス,619,8435,337,0,16,87,1/81.9,1/0.0,1/527.2,1/97.0
からくりサーカス,620,1974,-1686,0,3,9,1/164.5,1/0.0,1/658.0,1/219.3
革命機ヴァルヴレイヴ,586,794,-552,3,3,3,1/88.2,1/264.7,1/264.7,1/264.7
革命機ヴァルヴレイヴ,587,45,-65,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,588,3530,209,34,5,12,1/69.2,1/103.8,1/706.0,1/294.2
革命機ヴァルヴレイヴ,589,2657,-198,19,3,10,1/83.0,1/139.8,1/885.7,1/265.7
革命機ヴァルヴレイヴ,590,1561,-657,9,2,6,1/91.8,1/173.4,1/780.5,1/260.2
革命機ヴァルヴレイヴ,591,1148,-715,3,0,2,1/229.6,1/382.7,1/0.0,1/574.0
革命機ヴァルヴレイヴ,592,3054,-3372,5,1,9,1/203.6,1/610.8,1/3054.0,1/339.3
革命機ヴァルヴレイヴ,593,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,594,3019,-1151,20,5,11,1/83.9,1/150.9,1/603.8,1/274.5
革命機ヴァルヴレイヴ,595,1427,-1058,3,0,5,1/178.4,1/475.7,1/0.0,1/285.4
革命機ヴァルヴレイヴ,596,1407,4779,35,2,3,1/35.2,1/40.2,1/703.5,1/469.0
革命機ヴァルヴレイヴ,597,1518,-1407,2,2,6,1/151.8,1/759.0,1/759.0,1/253.0
革命機ヴァルヴレイヴ,598,1332,-355,8,2,4,1/95.1,1/166.5,1/666.0,1/333.0
革命機ヴァルヴレイヴ,599,419,-657,0,0,1,1/419.0,1/0.0,1/0.0,1/419.0
革命機ヴァルヴレイヴ,600,2718,453,41,4,9,1/50.3,1/66.3,1/679.5,1/302.0
革命機ヴァルヴレイヴ,601,199,-273,0,0,1,1/199.0,1/0.0,1/0.0,1/199.0
沖ドキ!GOLD‐30,986,1580,0,10,4,0,1/112.9,1/158.0,1/395.0,1/0.0
沖ドキ!GOLD‐30,987,406,587,5,2,0,1/58.0,1/81.2,1/203.0,1/0.0
沖ドキ!GOLD‐30,988,2899,-2209,9,4,0,1/223.0,1/322.1,1/724.8,1/0.0
沖ドキ!GOLD‐30,989,2447,-2674,2,8,0,1/244.7,1/1223.5,1/305.9,1/0.0
沖ドキ!GOLD‐30,990,188,-297,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,991,3454,-3605,7,4,0,1/314.0,1/493.4,1/863.5,1/0.0
沖ドキ!GOLD‐30,992,4232,-3140,13,9,0,1/192.4,1/325.5,1/470.2,1/0.0
