機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"3,137","-1,912",5,4,1/348.6,1/627.4,1/784.2
マイジャグラーV,1002,"1,315",-909,3,0,1/438.3,1/438.3,1/0.0
マイジャグラーV,1003,"2,017",-126,7,5,1/168.1,1/288.1,1/403.4
マイジャグラーV,1004,"5,421","+1,088",24,14,1/142.7,1/225.9,1/387.2
マイジャグラーV,1005,681,-321,1,1,1/340.5,1/681.0,1/681.0
マイジャグラーV,1006,"2,791",-438,9,7,1/174.4,1/310.1,1/398.7
マイジャグラーV,1007,"1,234",-891,2,2,1/308.5,1/617.0,1/617.0
マイジャグラーV,1008,"2,218",-279,7,5,1/184.8,1/316.9,1/443.6
マイジャグラーV,1009,744,-591,0,2,1/372.0,1/0.0,1/372.0
マイジャグラーV,1010,"5,236","+1,771",23,22,1/116.4,1/227.7,1/238.0
マイジャグラーV,1011,"6,904","+2,091",36,16,1/132.8,1/191.8,1/431.5
マイジャグラーV,1012,"4,787",+124,20,12,1/149.6,1/239.3,1/398.9
マイジャグラーV,1013,957,-309,4,0,1/239.2,1/239.2,1/0.0
マイジャグラーV,1014,"1,441","-1,053",2,4,1/240.2,1/720.5,1/360.2
マイジャグラーV,1015,"1,519",-774,3,3,1/253.2,1/506.3,1/506.3
マイジャグラーV,1016,"4,021",+197,16,11,1/148.9,1/251.3,1/365.5
マイジャグラーV,1017,"3,125",-321,11,7,1/173.6,1/284.1,1/446.4
マイジャグラーV,1018,"2,037",-756,3,7,1/203.7,1/679.0,1/291.0
マイジャグラーV,1019,"2,727",-62,11,6,1/160.4,1/247.9,1/454.5
マイジャグラーV,1020,"2,553",+688,14,5,1/134.4,1/182.4,1/510.6
マイジャグラーV,1021,"3,149","-1,171",8,7,1/209.9,1/393.6,1/449.9
マイジャグラーV,1022,"5,786","-1,218",18,13,1/186.6,1/321.4,1/445.1
マイジャグラーV,1023,991,-338,3,2,1/198.2,1/330.3,1/495.5
マイジャグラーV,1024,"1,002",-762,1,1,1/501.0,1/1002.0,1/1002.0
マイジャグラーV,1025,"6,305",+476,24,20,1/143.3,1/262.7,1/315.2
マイジャグラーV,1026,781,-362,2,0,1/390.5,1/390.5,1/0.0
マイジャグラーV,1027,"3,072",+656,13,12,1/122.9,1/236.3,1/256.0
マイジャグラーV,1028,"1,593",-521,5,3,1/199.1,1/318.6,1/531.0
マイジャグラーV,1029,971,-403,2,3,1/194.2,1/485.5,1/323.7
マイジャグラーV,1030,"6,975","+2,585",37,20,1/122.4,1/188.5,1/348.8
マイジャグラーV,1031,"1,240",-838,1,5,1/206.7,1/1240.0,1/248.0
マイジャグラーV,1032,"5,004",+409,19,17,1/139.0,1/263.4,1/294.4
マイジャグラーV,1033,"3,511",-709,9,10,1/184.8,1/390.1,1/351.1
マイジャグラーV,1034,"2,130",-850,5,5,1/213.0,1/426.0,1/426.0
マイジャグラーV,1035,"3,359",+44,14,9,1/146.0,1/239.9,1/373.2
マイジャグラーV,1036,"2,218",-791,6,6,1/184.8,1/369.7,1/369.7
マイジャグラーV,1037,"1,304",-715,3,3,1/217.3,1/434.7,1/434.7
マイジャグラーV,1038,"4,439","-1,159",13,9,1/201.8,1/341.5,1/493.2
マイジャグラーV,1039,"1,093",-526,2,1,1/364.3,1/546.5,1/1093.0
マイジャグラーV,1040,"3,294",+771,15,9,1/137.2,1/219.6,1/366.0
マイジャグラーV,1041,"2,985",-285,10,7,1/175.6,1/298.5,1/426.4
マイジャグラーV,1042,"4,867","+2,938",31,14,1/108.2,1/157.0,1/347.6
マイジャグラーV,1043,139,-238,0,0,1/0.0,1/0.0,1/0.0
マイジャグラーV,1044,"5,771",+197,22,18,1/144.3,1/262.3,1/320.6
マイジャグラーV,1045,"1,030",-426,3,1,1/257.5,1/343.3,1/1030.0
マイジャグラーV,1046,"2,493",-674,6,6,1/207.8,1/415.5,1/415.5
マイジャグラーV,1047,"1,411",-138,7,1,1/176.4,1/201.6,1/1411.0
マイジャグラーV,1048,"1,631","-1,429",0,5,1/326.2,1/0.0,1/326.2
マイジャグラーV,1049,"5,863",+53,19,21,1/146.6,1/308.6,1/279.2
マイジャグラーV,1050,"4,499",+379,19,13,1/140.6,1/236.8,1/346.1
マイジャグラーV,1069,"2,892",-709,8,8,1/180.8,1/361.5,1/361.5
マイジャグラーV,1070,"2,686",-262,9,7,1/167.9,1/298.4,1/383.7
マイジャグラーV,1071,"5,867","+1,041",26,21,1/124.8,1/225.7,1/279.4
マイジャグラーV,1072,"1,299",-562,5,0,1/259.8,1/259.8,1/0.0
