model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
キングハナハナ-30,23,4756,-1759,10,9,0,1/250.3,1/475.6,1/528.4,1/0.0
キングハナハナ-30,25,9445,-514,32,19,0,1/185.2,1/295.2,1/497.1,1/0.0
キングハナハナ-30,26,8462,-1419,25,20,0,1/188.0,1/338.5,1/423.1,1/0.0
キングハナハナ-30,27,7035,1761,33,18,0,1/137.9,1/213.2,1/390.8,1/0.0
キングハナハナ-30,28,7960,4854,45,26,0,1/112.1,1/176.9,1/306.2,1/0.0
キングハナハナ-30,30,5097,-1346,15,9,0,1/212.4,1/339.8,1/566.3,1/0.0
キングハナハナ-30,31,7421,1576,31,21,0,1/142.7,1/239.4,1/353.4,1/0.0
キングハナハナ-30,32,2346,-662,8,2,0,1/234.6,1/293.2,1/1173.0,1/0.0
キングハナハナ-30,33,6164,164,23,14,0,1/166.6,1/268.0,1/440.3,1/0.0
キングハナハナ-30,35,1035,-710,2,2,0,1/258.8,1/517.5,1/517.5,1/0.0
キングハナハナ-30,36,4979,-1299,13,13,0,1/191.5,1/383.0,1/383.0,1/0.0
キングハナハナ-30,37,7139,774,29,19,0,1/148.7,1/246.2,1/375.7,1/0.0
キングハナハナ-30,38,6430,910,26,15,0,1/156.8,1/247.3,1/428.7,1/0.0
キングハナハナ-30,50,6546,105,24,17,0,1/159.7,1/272.8,1/385.1,1/0.0
キングハナハナ-30,51,3210,-561,11,6,0,1/188.8,1/291.8,1/535.0,1/0.0
キングハナハナ-30,52,8269,249,31,22,0,1/156.0,1/266.7,1/375.9,1/0.0
キングハナハナ-30,53,3366,-1239,8,6,0,1/240.4,1/420.8,1/561.0,1/0.0
キングハナハナ-30,55,3743,-1674,9,7,0,1/233.9,1/415.9,1/534.7,1/0.0
マイジャグラーV,78,7741,2838,38,26,0,1/121.0,1/203.7,1/297.7,1/0.0
マイジャグラーV,80,5194,413,21,11,0,1/162.3,1/247.3,1/472.2,1/0.0
マイジャグラーV,81,7264,897,29,24,0,1/137.1,1/250.5,1/302.7,1/0.0
マイジャグラーV,82,6016,-1737,16,18,0,1/176.9,1/376.0,1/334.2,1/0.0
マイジャグラーV,83,7903,503,31,25,0,1/141.1,1/254.9,1/316.1,1/0.0
マイジャグラーV,85,4741,319,20,10,0,1/158.0,1/237.1,1/474.1,1/0.0
マイジャグラーV,86,7835,1870,34,28,0,1/126.4,1/230.4,1/279.8,1/0.0
マイジャグラーV,87,6662,-402,24,17,0,1/162.5,1/277.6,1/391.9,1/0.0
マイジャグラーV,88,4494,-1891,9,12,0,1/214.0,1/499.3,1/374.5,1/0.0
マイジャグラーV,100,5696,-179,22,14,0,1/158.2,1/258.9,1/406.9,1/0.0
マイジャグラーV,101,7150,2460,35,23,0,1/123.3,1/204.3,1/310.9,1/0.0
マイジャグラーV,102,4450,-334,17,10,0,1/164.8,1/261.8,1/445.0,1/0.0
マイジャグラーV,103,6973,-524,25,16,0,1/170.1,1/278.9,1/435.8,1/0.0
マイジャグラーV,105,5374,24,21,12,0,1/162.8,1/255.9,1/447.8,1/0.0
マイジャグラーV,106,7511,954,33,16,0,1/153.3,1/227.6,1/469.4,1/0.0
沖ドキ!GOLD‐30,56,2506,-111,14,7,0,1/119.3,1/179.0,1/358.0,1/0.0
沖ドキ!GOLD‐30,57,3212,-3205,6,7,0,1/247.1,1/535.3,1/458.9,1/0.0
沖ドキ!GOLD‐30,58,2822,1974,24,13,0,1/76.3,1/117.6,1/217.1,1/0.0
沖ドキ!GOLD‐30,60,1770,2270,19,11,0,1/59.0,1/93.2,1/160.9,1/0.0
沖ドキ!GOLD‐30,61,2073,-541,11,5,0,1/129.6,1/188.5,1/414.6,1/0.0
沖ドキ!GOLD‐30,62,1458,393,11,3,0,1/104.1,1/132.5,1/486.0,1/0.0
沖ドキ!GOLD‐30,63,3522,-849,20,4,0,1/146.8,1/176.1,1/880.5,1/0.0
沖ドキ!GOLD‐30,65,1189,403,7,8,0,1/79.3,1/169.9,1/148.6,1/0.0
沖ドキ!GOLD‐30,66,1153,638,10,4,0,1/82.4,1/115.3,1/288.2,1/0.0
沖ドキ!GOLD‐30,67,3517,-1181,16,11,0,1/130.3,1/219.8,1/319.7,1/0.0
沖ドキ!GOLD‐30,68,2765,-1227,10,11,0,1/131.7,1/276.5,1/251.4,1/0.0
