model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
マイジャグラーV,1001,7897,8802,5811,8280,8472,4683,6609,5746,7247,7751,8488
マイジャグラーV,1002,5562,7093,9127,6882,5860,5089,8288,7922,6399,8477,9187
マイジャグラーV,1003,6539,7080,5133,8160,8275,3776,5138,5375,6289,6457,6568
マイジャグラーV,1004,6860,6365,7624,2007,6090,8142,6875,3404,9876,7998,5140
マイジャグラーV,1005,5044,6112,7463,4374,6024,4123,8952,8924,4997,6588,9121
マイジャグラーV,1006,6968,7029,4879,6866,7630,8678,4052,2129,8433,7597,6010
マイジャグラーV,1007,7695,5712,6344,5978,6385,8759,5398,4651,6751,8363,5501
マイジャグラーV,1008,8393,2243,2609,8462,8383,5136,5045,6662,6620,6541,5990
マイジャグラーV,1009,9521,4811,5178,2265,6068,6625,9469,4723,4579,6685,5118
マイジャグラーV,1010,7238,6540,6051,7913,6221,7591,7009,3690,4540,6870,6781
マイジャグラーV,1011,8708,8423,6156,6250,7962,6770,7270,7698,6073,7496,6470
マイジャグラーV,1012,6688,5260,5887,8093,4247,6941,6719,7342,3478,5787,8260
マイジャグラーV,1013,7598,4815,6806,6291,6394,8130,5060,7171,8697,7111,4313
マイジャグラーV,1014,7701,6703,8792,4723,4034,8519,8072,2395,7646,6993,7109
マイジャグラーV,1015,8803,4354,7258,6811,3190,8210,4852,8486,4819,8149,9210
マイジャグラーV,1016,7597,7315,3015,8531,8183,1710,7273,3776,6437,7905,8782
マイジャグラーV,1017,5523,5096,8354,8135,5834,8190,8356,2810,8145,9473,5097
マイジャグラーV,1018,6684,8041,9152,9777,4505,4774,8968,9213,6064,8035,7872
マイジャグラーV,1019,7679,5985,8306,2732,6158,5711,8655,5960,5878,7073,5338
マイジャグラーV,1020,7757,4522,5686,7286,6909,2793,6617,6658,6676,7591,6565
マイジャグラーV,1021,6624,8023,7189,5912,8168,7130,5791,5401,7906,7371,8679
マイジャグラーV,1022,8603,9646,7571,6697,8736,2440,8102,8632,3841,5760,8638
マイジャグラーV,1023,9502,3472,3609,7355,6567,5157,4854,8095,7770,9143,2898
マイジャグラーV,1024,6998,5311,8304,7692,5669,8983,7997,5465,5732,7888,5680
マイジャグラーV,1025,7451,4181,6695,9169,6213,2319,5758,8609,4915,7381,6046
マイジャグラーV,1026,5518,8229,6187,6212,8056,6772,4953,7444,7989,6916,7655
マイジャグラーV,1027,8191,5046,6906,7686,4405,4743,9398,5670,7132,6525,6462
マイジャグラーV,1028,5226,6183,2641,6694,6318,5817,7406,8644,4353,8052,8636
マイジャグラーV,1029,8335,8147,8023,3516,8952,7603,4678,5834,7006,9106,8446
マイジャグラーV,1030,6467,6299,2845,6375,8719,6567,5633,7054,8614,8384,6235
マイジャグラーV,1031,7818,5057,7310,4391,8050,5135,9031,4271,4291,8914,8257
マイジャグラーV,1032,7543,7272,3807,5438,5930,5956,5428,8390,7738,7601,8852
マイジャグラーV,1033,8099,7746,5501,6312,7715,6934,6175,6444,7323,7334,9461
マイジャグラーV,1034,6751,8041,8079,2922,6392,7284,7273,6035,7300,6346,6691
マイジャグラーV,1035,8426,2045,8548,7454,7014,3787,8866,6956,6950,7397,6983
マイジャグラーV,1036,8812,6614,5191,8686,8670,4570,7136,9268,5335,5755,6889
マイジャグラーV,1037,4797,8085,5771,3693,8739,5368,2915,8502,8463,6361,8261
マイジャグラーV,1038,8792,7244,1970,9032,7128,4935,9171,3233,7805,9249,9038
マイジャグラーV,1039,7331,4927,8260,8842,6746,2866,8674,7272,4556,8557,6052
マイジャグラーV,1040,8387,6899,5840,5181,6093,8882,7694,4271,8881,7456,8810
マイジャグラーV,1041,8285,5988,7989,6783,7332,4405,6828,8140,7052,8778,8304
マイジャグラーV,1042,7283,7778,7348,8636,5705,4283,7517,7756,8332,6491,6610
マイジャグラーV,1043,6665,5435,7836,7666,8126,7548,7937,6482,8832,6729,7722
マイジャグラーV,1044,7937,2950,6760,7308,8981,9313,4084,6891,9574,7694,5252
マイジャグラーV,1045,8284,9443,5455,7137,6149,8897,8421,5496,4116,7431,7892
マイジャグラーV,1046,6449,6484,7186,7481,4670,7367,6817,6665,6787,8764,7992
マイジャグラーV,1047,8417,9062,7967,3941,6613,1816,8926,9072,4462,6240,7630
マイジャグラーV,1048,8566,9107,3504,8382,7179,6745,7264,6095,5534,6736,9291
マイジャグラーV,1049,7708,6401,6359,4574,7023,5407,7050,5483,7543,6265,8823
マイジャグラーV,1050,8063,7096,7681,7505,5566,5557,6935,5785,7004,7310,7120
マイジャグラーV,1069,7252,8780,5615,5430,4000,7277,7366,6719,5965,6466,7055
マイジャグラーV,1070,8194,5337,3942,6085,7615,5343,6133,7356,8206,8463,5892
