,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
day,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,total,total,total,total,total,total,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: 1001-,116935,10896,486,372,1.031,314.3,136.3,52725,826,212,161,1.005,327.5,141.4,81141,-1229,298,257,0.995,315.7,146.2,67087,-5334,251,184,0.973,364.6,154.2,126702,-1771,477,369,0.995,343.4,149.8,90402,6829,373,283,1.025,319.4,137.8,71215,-2256,271,195,0.989,365.2,152.8,27693,-5215,82,72,0.937,384.6,179.8,76467,1028,294,218,1.004,350.8,149.3,63309,5980,269,167,1.031,379.1,145.2,99265,3765,395,271,1.013,366.3,149.0,63969,-491,238,188,0.997,340.3,150.2,68093,1283,267,179,1.006,380.4,152.7,70949,-9039,230,215,0.958,330.0,159.4,128962,4736,511,401,1.012,321.6,141.4,74933,-2198,278,214,0.99,350.2,152.3,65942,-646,254,196,0.997,336.4,146.5,67525,1081,257,216,1.005,312.6,142.8,75535,-6771,267,208,0.97,363.1,159.0,90376,4577,377,250,1.017,361.5,144.1,83955,-62,328,228,1.0,368.2,151.0,67690,109,266,176,1.001,384.6,153.1,66271,-1550,245,191,0.992,347.0,152.0,57204,2283,240,139,1.013,411.5,150.9,93466,-2462,346,263,0.991,355.4,153.5,127977,947,480,413,1.002,309.9,143.3,76607,-3915,287,219,0.983,349.8,151.4,52660,-491,202,155,0.997,339.7,147.5,93890,-4916,339,289,0.983,324.9,149.5,77810,-6679,272,227,0.971,342.8,155.9,49264,2898,186,164,1.02,300.4,140.8,2426019,-7787,9278,7080,0.999,342.7,148.3
b: 1011-,124105,4596,480,403,1.012,308.0,140.5,57972,-5397,198,170,0.969,341.0,157.5,70512,-6816,259,195,0.968,361.6,155.3,68056,1161,266,199,1.006,342.0,146.4,139829,901,520,443,1.002,315.6,145.2,92806,2525,359,288,1.009,322.2,143.4,83701,7668,349,257,1.031,325.7,138.1,33402,2931,137,97,1.029,344.4,142.7,70421,-7765,237,205,0.963,343.5,159.3,54557,-2351,203,134,0.986,407.1,161.9,120381,1154,444,368,1.003,327.1,148.3,75985,8347,309,227,1.037,334.7,141.8,64797,3003,260,178,1.015,364.0,147.9,81959,2155,311,279,1.009,293.8,138.9,136595,6793,544,407,1.017,335.6,143.6,72867,-11090,232,219,0.949,332.7,161.6,76165,-1769,278,249,0.992,305.9,144.5,65451,-3699,232,197,0.981,332.2,152.6,88003,-2956,329,257,0.989,342.4,150.2,78382,-8398,276,223,0.964,351.5,157.1,98834,1636,379,309,1.006,319.9,143.7,69112,-7066,241,191,0.966,361.8,160.0,55948,377,212,173,1.002,323.4,145.3,57925,1020,232,164,1.006,353.2,146.3,91419,-817,347,268,0.997,341.1,148.6,137590,13865,559,459,1.034,299.8,135.2,79800,-2219,304,220,0.991,362.7,152.3,61689,-4397,222,180,0.976,342.7,153.5,74948,953,307,195,1.004,384.3,149.3,73450,-8861,247,228,0.96,322.1,154.6,29071,-4856,96,67,0.944,433.9,178.3,2485732,-19372,9369,7449,0.997,333.7,147.8
c: 1021-,76160,10845,315,240,1.047,317.3,137.2,38662,-8647,113,102,0.925,379.0,179.8,53378,-2413,192,138,0.985,386.8,161.8,53160,2700,216,136,1.017,390.9,151.0,79396,-4125,293,198,0.983,401.0,161.7,50891,-4686,174,129,0.969,394.5,168.0,52739,4678,219,148,1.03,356.3,143.7,16615,-2550,56,41,0.949,405.2,171.3,47236,2972,197,114,1.021,414.4,151.9,40996,929,155,126,1.008,325.4,145.9,73884,4473,287,234,1.02,315.7,141.8,36431,-3159,124,104,0.971,350.3,159.8,33612,-5389,112,72,0.947,466.8,182.7,52077,6693,214,156,1.043,333.8,140.7,79324,2172,293,260,1.009,305.1,143.4,52000,1200,196,148,1.008,351.4,151.2,43734,-1760,163,112,0.987,390.5,159.0,44822,-239,158,144,0.998,311.3,148.4,55369,2697,218,149,1.016,371.6,150.9,53564,-6040,181,140,0.962,382.6,166.9,57271,5157,233,164,1.03,349.2,144.3,44122,54,170,125,1.0,353.0,149.6,45739,1509,182,124,1.011,368.9,149.5,28268,-1173,113,65,0.986,434.9,158.8,64442,-3011,236,162,0.984,397.8,161.9,80298,-7466,275,215,0.969,373.5,163.9,51818,-5867,174,139,0.962,372.8,165.6,45547,-3432,165,104,0.975,438.0,169.3,54670,-924,204,136,0.994,402.0,160.8,61072,-4148,214,182,0.977,335.6,154.2,24658,-2570,84,58,0.965,425.1,173.6,1591955,-21520,5926,4365,0.995,364.7,154.7
d: 1027-,76568,504,275,246,1.002,311.3,147.0,37213,-5080,129,86,0.954,432.7,173.1,60015,-1368,233,148,0.992,405.5,157.5,47924,-5547,153,133,0.961,360.3,167.6,89924,6182,351,280,1.023,321.2,142.5,52943,-4202,196,118,0.974,448.7,168.6,54618,283,202,169,1.002,323.2,147.2,22011,-1255,76,68,0.981,323.7,152.9,42285,-3788,141,119,0.97,355.3,162.6,38346,433,151,102,1.004,375.9,151.6,71882,8821,302,224,1.041,320.9,136.7,46380,3408,184,133,1.024,348.7,146.3,37961,-2300,134,96,0.98,395.4,165.0,42076,-2332,155,95,0.982,442.9,168.3,73003,-5277,251,217,0.976,336.4,156.0,51438,4158,218,123,1.027,418.2,150.8,46193,-454,172,130,0.997,355.3,153.0,46123,1203,168,150,1.009,307.5,145.0,48704,-4618,163,141,0.968,345.4,160.2,54243,-6757,183,144,0.958,376.7,165.9,65770,2324,251,207,1.012,317.7,143.6,45173,-679,166,119,0.995,379.6,158.5,50600,-4071,183,113,0.973,447.8,170.9,44756,2614,181,127,1.019,352.4,145.3,56886,2174,230,150,1.013,379.2,149.7,71970,-795,268,202,0.996,356.3,153.1,61192,4534,241,193,1.025,317.1,141.0,44742,-3213,160,118,0.976,379.2,160.9,56210,-2047,201,169,0.988,332.6,151.9,43754,-3824,159,100,0.971,437.5,168.9,31191,1540,130,80,1.016,389.9,148.5,1612094,-19429,6007,4500,0.996,358.2,153.4
e: 1033-,112714,7270,439,348,1.021,323.9,143.2,73372,2628,290,194,1.012,378.2,151.6,78280,-360,308,210,0.998,372.8,151.1,78765,-1520,295,210,0.994,375.1,156.0,145271,14797,573,481,1.034,302.0,137.8,92262,786,349,255,1.003,361.8,152.8,67451,-9512,218,177,0.953,381.1,170.8,25307,-4008,87,61,0.947,414.9,171.0,70362,-8721,231,186,0.959,378.3,168.7,57936,3991,236,156,1.023,371.4,147.8,96705,-1795,366,239,0.994,404.6,159.8,72316,4737,288,223,1.022,324.3,141.5,78179,2563,301,228,1.011,342.9,147.8,71281,-3800,252,201,0.982,354.6,157.4,125603,10610,495,378,1.028,332.3,143.9,86693,-2844,319,239,0.989,362.7,155.4,75330,-2597,275,203,0.989,371.1,157.6,68706,-5470,232,189,0.973,363.5,163.2,81916,6686,343,209,1.027,391.9,148.4,86460,484,326,234,1.002,369.5,154.4,102282,1189,386,295,1.004,346.7,150.2,66985,-3585,240,185,0.982,362.1,157.6,67559,-719,253,201,0.996,336.1,148.8,63356,-3016,236,153,0.984,414.1,162.9,105306,-8807,362,278,0.972,378.8,164.5,122483,-7236,422,375,0.98,326.6,153.7,98910,1385,385,259,1.005,381.9,153.6,78172,106,287,217,1.0,360.2,155.1,80144,2290,319,200,1.01,400.7,154.4,80490,1470,320,205,1.006,392.6,153.3,35678,5657,154,115,1.053,310.2,132.6,2546274,2659,9587,7104,1.0,358.4,152.6
f: 1042-,138530,13806,560,442,1.033,313.4,138.3,62408,1118,244,168,1.006,371.5,151.5,80979,-5125,279,238,0.979,340.2,156.6,65527,-5558,230,170,0.972,385.5,163.8,117131,-4658,424,329,0.987,356.0,155.6,90848,-360,347,253,0.999,359.1,151.4,85138,-1146,303,258,0.996,330.0,151.8,38781,-549,143,116,0.995,334.3,149.7,62332,1097,252,139,1.006,448.4,159.4,59786,-336,224,170,0.998,351.7,151.7,103882,-1580,380,311,0.995,334.0,150.3,85590,2350,308,278,1.009,307.9,146.1,66765,344,253,194,1.002,344.1,149.4,64340,-8022,210,176,0.958,365.6,166.7,118492,1095,452,323,1.003,366.8,152.9,78335,-6774,267,211,0.971,371.3,163.9,80331,-3297,285,227,0.986,353.9,156.9,63414,3862,250,183,1.02,346.5,146.5,87414,2294,327,266,1.009,328.6,147.4,90489,-2124,325,277,0.992,326.7,150.3,91946,2225,353,257,1.008,357.8,150.7,78135,-10106,260,204,0.957,383.0,168.4,67940,-2783,239,204,0.986,333.0,153.4,49738,-7166,165,132,0.952,376.8,167.5,120065,10862,485,350,1.03,343.0,143.8,118982,4225,462,367,1.012,324.2,143.5,82278,428,318,219,1.002,375.7,153.2,61110,4655,241,181,1.025,337.6,144.8,88531,-3736,323,237,0.986,373.5,158.1,75380,-1501,282,193,0.993,390.6,158.7,35785,-1297,123,115,0.988,311.2,150.4,2510402,-17757,9314,7188,0.998,349.2,152.1
g: 1051-,53395,-4701,186,147,0.971,363.2,160.3,30829,-961,117,87,0.99,354.4,151.1,30899,2466,133,69,1.027,447.8,153.0,37831,4022,164,99,1.035,382.1,143.8,57559,-7568,189,153,0.956,376.2,168.3,34630,-668,133,88,0.994,393.5,156.7,37926,4529,163,98,1.04,387.0,145.3,7890,-1608,27,13,0.932,606.9,197.2,43533,3910,188,105,1.03,414.6,148.6,28760,-1517,109,74,0.982,388.6,157.2,47475,3737,198,129,1.026,368.0,145.2,38907,-5435,121,104,0.953,374.1,172.9,31417,-3613,108,86,0.962,365.3,161.9,30584,-4306,110,63,0.953,485.5,176.8,76898,-841,293,206,0.996,373.3,154.1,36816,-3685,133,87,0.967,423.2,167.3,36674,-689,135,105,0.994,349.3,152.8,26558,953,116,51,1.012,520.7,159.0,37430,-3042,132,101,0.973,370.6,160.6,37638,-2971,141,84,0.974,448.1,167.3,33761,-8820,100,79,0.913,427.4,188.6,31708,-2696,116,78,0.972,406.5,163.4,28029,3588,119,84,1.043,333.7,138.1,27578,-2281,103,57,0.972,483.8,172.4,49388,-2029,177,140,0.986,352.8,155.8,64383,-1366,251,158,0.993,407.5,157.4,47426,5676,211,117,1.04,405.4,144.6,22087,-1687,78,57,0.975,387.5,163.6,39880,-1109,152,98,0.991,406.9,159.5,39532,4088,175,92,1.034,429.7,148.1,13442,3989,68,38,1.099,353.7,126.8,1160863,-24635,4446,2947,0.993,393.9,157.0
h: 1056-,53384,1866,215,144,1.012,370.7,148.7,30656,-3810,107,68,0.959,450.8,175.2,29912,-3200,109,60,0.964,498.5,177.0,39565,-3258,137,112,0.973,353.3,158.9,74306,8522,320,204,1.038,364.2,141.8,35952,-1350,139,87,0.987,413.2,159.1,26544,-4232,87,67,0.947,396.2,172.4,16236,4753,83,43,1.098,377.6,128.9,33163,-1296,134,73,0.987,454.3,160.2,24806,-1447,92,57,0.981,435.2,166.5,44902,-2521,167,115,0.981,390.5,159.2,38759,-1041,146,108,0.991,358.9,152.6,26294,-1723,101,56,0.978,469.5,167.5,38095,6425,172,104,1.056,366.3,138.0,56094,-6547,191,157,0.961,357.3,161.2,31063,2578,135,69,1.028,450.2,152.3,29894,-5736,102,61,0.936,490.1,183.4,32129,295,129,89,1.003,361.0,147.4,28866,-433,115,67,0.995,430.8,158.6,38492,-4130,134,88,0.964,437.4,173.4,35647,-5528,127,72,0.948,495.1,179.1,36091,591,150,82,1.005,440.1,155.6,27239,326,111,64,1.004,425.6,155.7,24259,-1671,88,60,0.977,404.3,163.9,57534,-2471,211,150,0.986,383.6,159.4,63633,-5204,230,160,0.973,397.7,163.2,37124,-3667,132,92,0.967,403.5,165.7,24832,-3555,85,61,0.952,407.1,170.1,36918,-4696,132,79,0.958,467.3,175.0,36919,-216,144,101,0.998,365.5,150.7,11684,-1866,37,28,0.947,417.3,179.8,1120992,-44242,4262,2778,0.987,403.5,159.2
