,,,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE
date,,,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
model_name,area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9129.0,-353.0,35.0,22.0,415.0,160.2,35423.0,2382.0,141.0,106.0,334.2,143.4,16792.0,-693.0,62.0,50.0,335.8,149.9,23336.0,-706.0,92.0,58.0,402.3,155.6,14406.0,-2132.0,50.0,36.0,400.2,167.5,28800.0,-3241.0,97.0,86.0,334.9,157.4,39590.0,-330.0,151.0,120.0,329.9,146.1,25392.0,-2541.0,82.0,85.0,298.7,152.0,12157.0,-3200.0,35.0,35.0,347.3,173.7,15713.0,-1040.0,56.0,49.0,320.7,149.6,10973.0,-2091.0,38.0,25.0,438.9,174.2,29599.0,-1624.0,101.0,97.0,305.1,149.5,18051.0,2198.0,79.0,54.0,334.3,135.7,19491.0,385.0,81.0,42.0,464.1,158.5,9736.0,-324.0,37.0,25.0,389.4,157.0,14294.0,-721.0,50.0,47.0,304.1,147.4,15306.0,-179.0,54.0,55.0,278.3,140.4,38809.0,6424.0,170.0,124.0,313.0,132.0,15606.0,-1702.0,54.0,46.0,339.3,156.1,14064.0,-659.0,56.0,29.0,485.0,165.5,16767.0,-1843.0,56.0,47.0,356.7,162.8,29582.0,1009.0,122.0,78.0,379.3,147.9,10186.0,-1194.0,37.0,26.0,391.8,161.7,16641.0,615.0,68.0,50.0,332.8,141.0,11387.0,-620.0,41.0,30.0,379.6,160.4,17914.0,-1106.0,60.0,68.0,263.4,140.0,23747.0,412.0,93.0,72.0,329.8,143.9,32910.0,-2265.0,118.0,99.0,332.4,151.7,13388.0,694.0,58.0,32.0,418.4,148.8,17053.0,-457.0,64.0,53.0,321.8,145.8
,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,33614.0,3758.0,145.0,88.0,382.0,144.3,33538.0,-4244.0,119.0,77.0,435.6,171.1,47385.0,-1984.0,178.0,117.0,405.0,160.6,34395.0,3131.0,145.0,96.0,358.3,142.7,30706.0,3708.0,132.0,93.0,330.2,136.5,27693.0,-5215.0,82.0,72.0,384.6,179.8,30650.0,-2012.0,108.0,81.0,378.4,162.2,51013.0,6965.0,218.0,147.0,347.0,139.8,58129.0,1519.0,223.0,148.0,392.8,156.7,36746.0,-1852.0,133.0,108.0,340.2,152.5,49264.0,2898.0,186.0,164.0,300.4,140.8
,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,33452.0,-844.0,129.0,81.0,413.0,159.3,44682.0,4893.0,185.0,133.0,336.0,140.5,57322.0,-981.0,198.0,180.0,318.5,151.6,35599.0,1736.0,141.0,99.0,359.6,148.3,26942.0,-4698.0,84.0,78.0,345.4,166.3,33402.0,2931.0,137.0,97.0,344.4,142.7,47206.0,2433.0,185.0,140.0,337.2,145.2,49788.0,2484.0,192.0,145.0,343.4,147.7,70024.0,1751.0,264.0,210.0,333.4,147.7,33984.0,540.0,135.0,86.0,395.2,153.8,29071.0,-4856.0,96.0,67.0,433.9,178.3
,,,21664.0,-5082.0,62.0,57.0,380.1,182.1,45864.0,10401.0,198.0,159.0,288.5,128.5,28927.0,-3489.0,94.0,84.0,344.4,162.5,32614.0,-451.0,121.0,77.0,423.6,164.7,26266.0,-2888.0,94.0,58.0,452.9,172.8,32204.0,-4953.0,103.0,86.0,374.5,170.4,45272.0,-6374.0,148.0,116.0,390.3,171.5,33037.0,-2662.0,115.0,79.0,418.2,170.3,16816.0,-264.0,67.0,44.0,382.2,151.5,16704.0,2286.0,76.0,38.0,439.6,146.5,19000.0,502.0,73.0,47.0,404.3,158.3,28816.0,1415.0,116.0,70.0,411.7,154.9,27195.0,-2281.0,92.0,78.0,348.7,160.0,27969.0,-2577.0,98.0,68.0,411.3,168.5,23440.0,1637.0,92.0,68.0,344.7,146.5,22420.0,820.0,92.0,59.0,380.0,148.5,28432.0,815.0,106.0,85.0,334.5,148.9,38629.0,-253.0,132.0,136.0,284.0,144.1,33281.0,6161.0,138.0,117.0,284.5,130.5,17428.0,-2029.0,60.0,37.0,471.0,179.7,17014.0,-2503.0,55.0,48.0,354.5,165.2,36550.0,5355.0,156.0,109.0,335.3,137.9,17619.0,-2441.0,58.0,44.0,400.4,172.7,20318.0,-18.0,79.0,52.0,390.7,155.1,16615.0,-2550.0,56.0,41.0,405.2,171.3,24227.0,3048.0,97.0,80.0,302.8,136.9,23260.0,-2092.0,77.0,62.0,375.2,167.3,40068.0,1561.0,160.0,109.0,367.6,149.0,24311.0,1248.0,96.0,65.0,374.0,151.0,24658.0,-2570.0,84.0,58.0,425.1,173.6
,,,20433.0,-2262.0,73.0,41.0,498.4,179.2,43857.0,1936.0,161.0,150.0,292.4,141.0,25282.0,1055.0,103.0,69.0,366.4,147.0,31580.0,-2530.0,108.0,95.0,332.4,155.6,25943.0,-2618.0,96.0,56.0,463.3,170.7,42830.0,4408.0,172.0,139.0,308.1,137.7,46208.0,1111.0,176.0,145.0,318.7,144.0,23410.0,-350.0,95.0,45.0,520.2,167.2,22834.0,259.0,92.0,57.0,400.6,153.2,23157.0,-3227.0,79.0,52.0,445.3,176.8,19765.0,3623.0,87.0,62.0,318.8,132.7,35434.0,318.0,131.0,118.0,300.3,142.3,25920.0,-1994.0,97.0,59.0,439.3,166.2,29676.0,-2444.0,101.0,85.0,349.1,159.5,27924.0,1904.0,104.0,99.0,282.1,137.6,23943.0,-1612.0,84.0,69.0,347.0,156.5,26016.0,1571.0,110.0,58.0,448.6,154.9,38514.0,-2473.0,133.0,120.0,321.0,152.2,23935.0,-1671.0,89.0,52.0,460.3,169.8,20569.0,-1573.0,72.0,54.0,380.9,163.2,26191.0,-383.0,92.0,80.0,327.4,152.3,38141.0,2037.0,143.0,134.0,284.6,137.7,21272.0,-582.0,77.0,64.0,332.4,150.9,18288.0,-515.0,67.0,51.0,358.6,155.0,22011.0,-1255.0,76.0,68.0,323.7,152.9,22343.0,156.0,78.0,78.0,286.4,143.2,23560.0,-3426.0,76.0,60.0,392.7,173.2,42807.0,5976.0,178.0,132.0,324.3,138.1,21406.0,-1526.0,72.0,64.0,334.5,157.4,31191.0,1540.0,130.0,80.0,389.9,148.5
,,,39284.0,3119.0,157.0,117.0,335.8,143.4,58125.0,1800.0,222.0,168.0,346.0,149.0,37347.0,-351.0,143.0,101.0,369.8,153.1,49662.0,2821.0,199.0,128.0,388.0,151.9,36906.0,-2900.0,123.0,101.0,365.4,164.8,56374.0,-2062.0,211.0,138.0,408.5,161.5,69480.0,-2261.0,246.0,206.0,337.3,153.7,51958.0,-6779.0,165.0,138.0,376.5,171.5,35763.0,-2535.0,135.0,85.0,420.7,162.6,29250.0,3059.0,120.0,90.0,325.0,139.3,24857.0,-650.0,92.0,67.0,371.0,156.3,51474.0,2345.0,204.0,143.0,360.0,148.3,43097.0,893.0,173.0,105.0,410.4,155.0,49595.0,5257.0,216.0,121.0,409.9,147.2,36156.0,-5564.0,113.0,94.0,384.6,174.7,46205.0,-360.0,175.0,124.0,372.6,154.5,43225.0,3189.0,180.0,121.0,357.2,143.6,61088.0,192.0,223.0,181.0,337.5,151.2,39649.0,-2805.0,146.0,92.0,431.0,166.6,40934.0,1142.0,151.0,132.0,310.1,144.6,38262.0,360.0,149.0,102.0,375.1,152.4,51117.0,2943.0,213.0,120.0,426.0,153.5,25854.0,3516.0,117.0,67.0,385.9,140.5,30051.0,-3647.0,96.0,87.0,345.4,164.2,25307.0,-4008.0,87.0,61.0,414.9,171.0,26791.0,-7603.0,76.0,61.0,439.2,195.6,41808.0,1506.0,158.0,121.0,345.5,149.8,77972.0,13276.0,322.0,276.0,282.5,130.4,40117.0,-1988.0,143.0,108.0,371.5,159.8,35678.0,5657.0,154.0,115.0,310.2,132.6
,,,30821.0,1525.0,125.0,86.0,358.4,146.1,69221.0,7508.0,290.0,209.0,331.2,138.7,37586.0,-2536.0,130.0,97.0,387.5,165.6,50891.0,661.0,198.0,133.0,382.6,153.7,35231.0,2212.0,138.0,103.0,342.0,146.2,57757.0,2661.0,234.0,158.0,365.6,147.3,69227.0,7168.0,283.0,213.0,325.0,139.6,57705.0,1776.0,219.0,163.0,354.0,151.1,29847.0,-4267.0,101.0,80.0,373.1,164.9,25216.0,-3964.0,80.0,66.0,382.1,172.7,35274.0,-4006.0,117.0,95.0,371.3,166.4,43465.0,-2639.0,152.0,117.0,371.5,161.6,43660.0,-1360.0,160.0,123.0,355.0,154.3,53599.0,3257.0,207.0,163.0,328.8,144.9,34086.0,2252.0,138.0,91.0,374.6,148.8,40408.0,-5317.0,134.0,106.0,381.2,168.4,39852.0,-1965.0,142.0,106.0,376.0,160.7,57443.0,1631.0,223.0,166.0,346.0,147.7,42889.0,-3599.0,141.0,133.0,322.5,156.5,34579.0,-2480.0,126.0,91.0,380.0,159.4,44739.0,-687.0,157.0,139.0,321.9,151.1,48682.0,-3103.0,172.0,136.0,358.0,158.1,30680.0,-285.0,121.0,79.0,388.4,153.4,24199.0,-1526.0,89.0,56.0,432.1,166.9,38781.0,-549.0,143.0,116.0,334.3,149.7,39116.0,1031.0,142.0,134.0,291.9,141.7,44091.0,749.0,171.0,130.0,339.2,146.5,57138.0,-1584.0,204.0,172.0,332.2,152.0,27373.0,-2697.0,95.0,74.0,369.9,162.0,35785.0,-1297.0,123.0,115.0,311.2,150.4
,,,65741.0,-3580.0,243.0,164.0,400.9,161.5,108371.0,2616.0,407.0,340.0,318.7,145.1,82756.0,9273.0,350.0,232.0,356.7,142.2,76383.0,-5971.0,275.0,199.0,383.8,161.1,65993.0,4351.0,254.0,213.0,309.8,141.3,97508.0,-11289.0,325.0,276.0,353.3,162.2,121794.0,15797.0,494.0,405.0,300.7,135.5,103426.0,9053.0,408.0,328.0,315.3,140.5,63111.0,-4748.0,234.0,151.0,418.0,163.9,63116.0,1453.0,244.0,185.0,341.2,147.1,50347.0,-715.0,198.0,119.0,423.1,158.8,83967.0,2663.0,326.0,243.0,345.5,147.6,83242.0,-1871.0,309.0,244.0,341.2,150.5,80048.0,-2391.0,293.0,233.0,343.6,152.2,71354.0,7415.0,286.0,243.0,293.6,134.9,78072.0,-1422.0,292.0,233.0,335.1,148.7,67132.0,-401.0,257.0,176.0,381.4,155.0,108394.0,4762.0,419.0,333.0,325.5,144.1,89572.0,-4571.0,308.0,277.0,323.4,153.1,66393.0,-5495.0,225.0,191.0,347.6,159.6,67481.0,3663.0,277.0,181.0,372.8,147.3,95085.0,6014.0,375.0,273.0,348.3,146.7,48342.0,-1354.0,176.0,138.0,350.3,154.0,49567.0,1125.0,193.0,135.0,367.2,151.1,50363.0,-3980.0,174.0,144.0,349.7,158.4,66847.0,-907.0,255.0,171.0,390.9,156.9,70020.0,-1015.0,267.0,187.0,374.4,154.2,106235.0,-1300.0,378.0,332.0,320.0,149.6,54629.0,2967.0,229.0,126.0,433.6,153.9,65680.0,3537.0,263.0,173.0,379.7,150.6
