,,,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,RB_RATE,TOTAL_RATE
date,,,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
model_name,area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,c,1021,6785.0,-1453.0,18.0,21.0,323.1,174.0,6803.0,-1229.0,20.0,22.0,309.2,162.0,6977.0,-2603.0,14.0,23.0,303.3,188.6,6770.0,85.0,24.0,20.0,338.5,153.9,7514.0,-371.0,27.0,22.0,341.5,153.3,6358.0,-221.0,25.0,12.0,529.8,171.8,8826.0,-285.0,31.0,21.0,420.3,169.7,6716.0,-382.0,25.0,15.0,447.7,167.9,3966.0,-432.0,14.0,11.0,360.5,158.6,2325.0,-191.0,8.0,5.0,465.0,178.8,917.0,-374.0,2.0,1.0,917.0,305.7,5682.0,724.0,26.0,14.0,405.9,142.0,2481.0,-1171.0,7.0,2.0,1240.5,275.7,6266.0,-324.0,21.0,18.0,348.1,160.7,6727.0,1076.0,25.0,25.0,269.1,134.5,2756.0,-1065.0,7.0,6.0,459.3,212.0,3044.0,-91.0,11.0,7.0,434.9,169.1,9038.0,1791.0,35.0,36.0,251.1,127.3,3763.0,-1018.0,14.0,4.0,940.8,209.1,3959.0,-1041.0,13.0,6.0,659.8,208.4,2627.0,-897.0,7.0,7.0,375.3,187.6,5026.0,-68.0,19.0,16.0,314.1,143.6,3080.0,256.0,13.0,5.0,616.0,171.1,5225.0,-356.0,20.0,12.0,435.4,163.3,2430.0,-641.0,7.0,6.0,405.0,186.9,3040.0,1618.0,17.0,12.0,253.3,104.8,5007.0,-579.0,16.0,15.0,333.8,161.5,6008.0,-206.0,24.0,14.0,429.1,158.1,7051.0,924.0,28.0,20.0,352.6,146.9,4091.0,-232.0,16.0,10.0,409.1,157.3
マイジャグラーV,c,1022,2233.0,-1076.0,4.0,6.0,372.2,223.3,8704.0,5206.0,49.0,36.0,241.8,102.4,5396.0,-903.0,19.0,12.0,449.7,174.1,6454.0,-1241.0,23.0,9.0,717.1,201.7,1202.0,-994.0,1.0,1.0,1202.0,601.0,4812.0,197.0,19.0,12.0,401.0,155.2,6063.0,-1747.0,19.0,10.0,606.3,209.1,2819.0,715.0,16.0,2.0,1409.5,156.6,2040.0,-162.0,8.0,3.0,680.0,185.5,1446.0,-191.0,6.0,2.0,723.0,180.8,6283.0,1112.0,29.0,15.0,418.9,142.8,3960.0,-462.0,13.0,9.0,440.0,180.0,5519.0,409.0,22.0,16.0,344.9,145.2,4189.0,150.0,20.0,6.0,698.2,161.1,638.0,-674.0,0.0,1.0,638.0,638.0,4361.0,229.0,20.0,9.0,484.6,150.4,5413.0,359.0,23.0,15.0,360.9,142.4,5877.0,124.0,22.0,18.0,326.5,146.9,5822.0,1438.0,27.0,19.0,306.4,126.6,1226.0,-456.0,3.0,2.0,613.0,245.2,4888.0,1018.0,20.0,18.0,271.6,128.6,5583.0,-138.0,20.0,15.0,372.2,159.5,4403.0,-97.0,16.0,14.0,314.5,146.8,1749.0,115.0,7.0,5.0,349.8,145.8,578.0,-474.0,1.0,0.0,0.0,578.0,6272.0,1615.0,28.0,24.0,261.3,120.6,2808.0,-1135.0,6.0,6.0,468.0,234.0,8370.0,232.0,29.0,32.0,261.6,137.2,6547.0,571.0,29.0,11.0,595.2,163.7,1526.0,-662.0,3.0,3.0,508.7,254.3
マイジャグラーV,c,1023,3522.0,-756.0,11.0,8.0,440.2,185.4,7751.0,1488.0,33.0,24.0,323.0,136.0,927.0,-456.0,2.0,2.0,463.5,231.8,5843.0,865.0,24.0,19.0,307.5,135.9,3497.0,-26.0,13.0,5.0,699.4,194.3,5700.0,-676.0,18.0,20.0,285.0,150.0,8608.0,-1171.0,28.0,23.0,374.3,168.8,5793.0,-1712.0,12.0,18.0,321.8,193.1,1164.0,-685.0,3.0,1.0,1164.0,291.0,1432.0,-650.0,5.0,1.0,1432.0,238.7,4225.0,-162.0,13.0,14.0,301.8,156.5,1869.0,-762.0,4.0,4.0,467.2,233.6,4971.0,-821.0,15.0,17.0,292.4,155.3,6751.0,629.0,28.0,17.0,397.1,150.0,5084.0,1347.0,26.0,12.0,423.7,133.8,3050.0,403.0,13.0,9.0,338.9,138.6,1230.0,-750.0,2.0,1.0,1230.0,410.0,6460.0,-1465.0,16.0,27.0,239.3,150.2,5024.0,221.0,17.0,18.0,279.1,143.5,4933.0,-679.0,16.0,11.0,448.5,182.7,1979.0,-350.0,6.0,6.0,329.8,164.9,6781.0,2338.0,38.0,12.0,565.1,135.6,2651.0,-303.0,9.0,6.0,441.8,176.7,3787.0,38.0,15.0,9.0,420.8,157.8,4545.0,-321.0,17.0,14.0,324.6,146.6,1008.0,-685.0,1.0,3.0,336.0,252.0,1549.0,-715.0,4.0,1.0,1549.0,309.8,6244.0,406.0,26.0,12.0,520.3,164.3,2721.0,982.0,14.0,10.0,272.1,113.4,2807.0,-1253.0,7.0,4.0,701.8,255.2
マイジャグラーV,c,1024,2461.0,-759.0,7.0,6.0,410.2,189.3,6661.0,1544.0,27.0,24.0,277.5,130.6,7662.0,1738.0,31.0,31.0,247.2,123.6,1303.0,-862.0,3.0,1.0,1303.0,325.8,6144.0,206.0,27.0,11.0,558.5,161.7,4224.0,-1547.0,11.0,9.0,469.3,211.2,6370.0,-1371.0,19.0,14.0,455.0,193.0,6651.0,-521.0,22.0,20.0,332.6,158.4,1039.0,-809.0,2.0,1.0,1039.0,346.3,2857.0,1253.0,14.0,13.0,219.8,105.8,1629.0,479.0,8.0,4.0,407.2,135.8,7437.0,2515.0,37.0,24.0,309.9,121.9,2858.0,-1218.0,7.0,4.0,714.5,259.8,4017.0,-291.0,15.0,8.0,502.1,174.7,2041.0,-674.0,6.0,4.0,510.2,204.1,4721.0,1288.0,24.0,12.0,393.4,131.1,4199.0,-950.0,12.0,9.0,466.6,200.0,7420.0,-468.0,25.0,23.0,322.6,154.6,3812.0,1229.0,18.0,10.0,381.2,136.1,566.0,-579.0,0.0,1.0,566.0,566.0,1693.0,-597.0,5.0,4.0,423.2,188.1,8978.0,4485.0,46.0,37.0,242.6,108.2,3276.0,-991.0,7.0,10.0,327.6,192.7,685.0,-62.0,3.0,1.0,685.0,171.2,2698.0,-332.0,8.0,8.0,337.2,168.6,5579.0,391.0,20.0,18.0,309.9,146.8,4499.0,-215.0,17.0,9.0,499.9,173.0,7279.0,841.0,30.0,27.0,269.6,127.7,1175.0,-797.0,1.0,3.0,391.7,293.8,5596.0,18.0,19.0,17.0,329.2,155.4
マイジャグラーV,c,1025,1178.0,-1088.0,2.0,0.0,0.0,589.0,7689.0,2268.0,35.0,24.0,320.4,130.3,3007.0,-468.0,10.0,9.0,334.1,158.3,6984.0,1276.0,29.0,19.0,367.6,145.5,2057.0,-509.0,7.0,5.0,411.4,171.4,5486.0,-1288.0,14.0,19.0,288.7,166.2,8163.0,291.0,30.0,27.0,302.3,143.2,6058.0,-1324.0,17.0,15.0,403.9,189.3,6269.0,771.0,27.0,19.0,329.9,136.3,1046.0,-326.0,3.0,3.0,348.7,174.3,2006.0,-109.0,7.0,4.0,501.5,182.4,3736.0,-356.0,14.0,6.0,622.7,186.8,5616.0,641.0,22.0,18.0,312.0,140.4,2272.0,-1029.0,5.0,6.0,378.7,206.5,5285.0,-206.0,18.0,15.0,352.3,160.2,3611.0,994.0,17.0,10.0,361.1,133.7,6256.0,1571.0,28.0,20.0,312.8,130.3,2240.0,-1606.0,3.0,5.0,448.0,280.0,9302.0,5241.0,44.0,53.0,175.5,95.9,1724.0,-468.0,5.0,4.0,431.0,191.6,3610.0,-715.0,11.0,10.0,361.0,171.9,5520.0,-256.0,19.0,16.0,345.0,157.7,1126.0,-397.0,3.0,2.0,563.0,225.2,3850.0,256.0,15.0,13.0,296.2,137.5,4852.0,-691.0,17.0,11.0,441.1,173.3,1181.0,-815.0,2.0,2.0,590.5,295.2,1243.0,-974.0,1.0,3.0,414.3,310.8,6282.0,679.0,28.0,13.0,483.2,153.2,5857.0,112.0,21.0,21.0,278.9,139.5,6759.0,315.0,26.0,17.0,397.6,157.2
マイジャグラーV,c,1026,5485.0,50.0,20.0,16.0,342.8,152.4,8256.0,1124.0,34.0,29.0,284.7,131.0,4958.0,-797.0,18.0,7.0,708.3,198.3,5260.0,-574.0,18.0,9.0,584.4,194.8,5852.0,-1194.0,19.0,14.0,418.0,177.3,5624.0,-1418.0,16.0,14.0,401.7,187.5,7242.0,-2091.0,21.0,21.0,344.9,172.4,5000.0,562.0,23.0,9.0,555.6,156.2,2338.0,1053.0,13.0,9.0,259.8,106.3,7598.0,2391.0,40.0,14.0,542.7,140.7,3940.0,-444.0,14.0,9.0,437.8,171.3,6132.0,-244.0,22.0,13.0,471.7,175.2,5750.0,-121.0,19.0,21.0,273.8,143.8,4474.0,-1712.0,9.0,13.0,344.2,203.4,3665.0,768.0,17.0,11.0,333.2,130.9,3921.0,-1029.0,11.0,13.0,301.6,163.4,8290.0,676.0,30.0,33.0,251.2,131.6,7594.0,1371.0,31.0,27.0,281.3,130.9,5558.0,-950.0,18.0,13.0,427.5,179.3,5020.0,1194.0,23.0,13.0,386.2,139.4,2217.0,-962.0,6.0,3.0,739.0,246.3,4662.0,-1006.0,14.0,13.0,358.6,172.7,3083.0,-909.0,10.0,7.0,440.4,181.4,5022.0,-9.0,19.0,12.0,418.5,162.0,1512.0,-91.0,6.0,2.0,756.0,189.0,7147.0,924.0,29.0,21.0,340.3,142.9,8154.0,1526.0,33.0,28.0,291.2,133.7,5885.0,-391.0,23.0,11.0,535.0,173.1,960.0,-544.0,3.0,0.0,0.0,320.0,3879.0,-756.0,13.0,7.0,554.1,194.0
