,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: 1001-,1001,1.037,0.993,1.013,1.0,0.993,0.968,1.0,0.958,1.005,0.951,0.984,1.044,0.991,0.993,0.974,0.966,0.999,0.992,1.005,0.998,0.979,0.986,1.001,0.969,0.993,0.995,1.0,0.987,1.001,1.021,0.997,0.994
a: 1001-,1002,1.036,1.043,1.017,1.015,1.007,1.013,1.002,1.027,0.99,1.035,0.988,0.957,0.986,1.006,1.001,1.034,1.0,0.939,1.043,1.015,1.014,1.035,0.959,1.028,1.027,1.016,1.0,1.023,0.998,1.012,1.011,1.012
a: 1001-,1003,1.047,1.025,1.035,0.99,1.05,0.957,1.004,1.013,0.979,0.978,1.027,1.042,1.037,1.022,1.004,0.989,1.029,0.981,0.988,1.089,1.017,0.989,1.015,1.027,0.986,1.044,1.007,0.979,0.986,0.992,0.959,1.014
a: 1001-,1004,0.996,1.016,1.031,0.984,0.991,0.981,1.009,1.026,0.985,0.992,0.993,0.991,1.022,0.982,1.032,0.986,1.016,0.993,1.03,0.987,0.982,1.014,1.039,1.014,0.995,1.025,1.06,0.949,1.016,1.002,1.064,1.008
a: 1001-,1005,1.037,1.016,0.996,1.039,1.0,0.996,1.016,0.996,0.986,1.011,1.014,1.004,0.974,1.002,0.989,1.01,1.031,1.002,1.014,1.008,1.036,1.006,0.977,1.034,0.982,1.02,1.006,1.05,0.984,1.0,1.036,1.01
a: 1001-,1006,1.044,1.022,0.958,0.952,0.99,1.026,1.045,1.031,1.016,1.025,0.986,1.022,0.975,0.985,1.034,1.024,0.995,1.041,1.022,1.007,1.019,1.022,0.985,1.006,0.998,1.067,1.067,0.986,0.997,1.041,0.958,1.017
a: 1001-,1007,1.024,1.007,0.994,1.005,1.046,0.99,1.004,0.962,1.023,1.049,1.038,0.981,1.013,1.049,1.025,0.976,1.064,0.999,0.99,0.978,0.988,1.044,1.02,1.016,1.021,1.025,1.014,0.976,0.986,1.038,1.024,1.015
a: 1001-,1008,1.016,1.044,0.993,0.995,1.017,1.057,0.998,0.989,1.032,1.02,0.996,1.014,1.015,0.99,1.0,1.017,1.005,0.957,1.029,1.006,1.016,0.99,1.012,0.986,1.042,1.011,1.045,1.018,1.007,0.977,1.032,1.012
a: 1001-,1009,1.012,0.951,1.014,0.947,1.006,1.03,0.995,1.032,1.021,1.062,1.039,0.988,1.016,1.006,1.04,1.01,0.982,1.044,1.014,1.013,1.013,1.013,0.992,1.046,0.986,1.019,1.007,0.976,1.049,1.014,1.05,1.014
a: 1001-,1010,1.037,0.984,0.987,0.972,1.006,0.972,0.995,0.966,1.0,0.996,0.987,1.005,0.982,0.979,1.034,1.0,0.967,1.028,0.986,1.02,1.005,0.956,0.982,1.025,1.024,0.977,0.997,0.998,0.984,1.0,0.928,0.996
b: 1011-,1011,1.034,1.011,0.945,1.007,1.045,0.997,1.015,1.008,0.957,0.969,0.994,1.017,0.997,0.971,0.999,0.996,1.035,0.995,0.981,0.963,1.02,1.019,1.004,0.982,0.957,1.001,1.003,0.988,0.978,0.969,1.009,0.999
b: 1011-,1012,1.011,0.958,1.034,0.999,1.015,1.016,0.98,1.0,1.037,1.009,1.015,1.015,0.968,0.992,1.003,1.017,1.024,0.957,1.02,0.953,1.007,1.015,0.975,1.045,1.037,0.99,0.985,0.989,0.983,1.036,1.019,1.006
b: 1011-,1013,0.998,0.996,0.962,0.969,1.027,0.992,0.99,1.009,0.987,1.02,0.986,0.989,1.02,1.003,1.028,0.974,1.024,1.042,1.006,1.038,1.009,0.992,0.97,1.036,1.027,1.036,1.013,0.936,1.051,1.038,1.017,1.009
b: 1011-,1014,1.019,1.038,1.01,1.005,0.998,1.021,1.001,1.029,0.997,1.036,1.024,0.985,0.984,1.025,1.016,0.973,0.998,1.034,1.027,0.981,1.027,1.006,1.028,1.069,1.011,1.007,1.007,0.93,1.021,0.977,0.997,1.01
b: 1011-,1015,1.044,0.986,1.024,1.0,1.022,1.033,0.996,0.992,1.0,0.954,0.979,1.022,1.033,1.019,1.053,0.951,1.029,0.983,0.976,1.043,1.01,1.024,0.972,1.003,1.046,1.014,1.035,1.013,1.043,1.024,0.972,1.014
b: 1011-,1016,1.005,0.998,1.023,1.008,1.035,1.032,0.983,0.978,1.019,0.99,1.023,0.963,0.954,1.032,1.047,1.008,1.021,0.99,0.973,0.999,1.045,1.013,1.014,1.027,1.047,1.023,1.028,0.933,1.019,0.982,1.036,1.014
b: 1011-,1017,1.016,1.025,0.97,0.992,1.008,0.991,1.028,1.03,1.006,1.014,1.01,1.031,1.043,0.966,1.027,1.047,0.992,1.0,0.967,1.046,1.005,1.0,1.036,0.997,1.02,1.058,1.038,1.01,0.999,1.031,1.021,1.015
b: 1011-,1018,0.995,1.025,1.04,0.994,1.007,0.973,1.001,1.03,0.954,1.027,1.02,1.048,0.977,0.983,1.007,1.019,0.999,1.013,0.964,1.016,1.032,1.004,1.0,0.995,1.061,1.015,1.035,1.017,1.042,0.967,1.001,1.012
b: 1011-,1019,1.013,1.018,0.984,1.039,0.978,1.024,0.977,0.995,0.979,0.974,1.025,1.072,1.008,1.022,1.002,0.981,1.003,1.009,1.021,0.997,1.027,0.989,1.012,0.962,0.968,1.052,1.055,1.017,1.069,0.98,1.015,1.012
b: 1011-,1020,1.012,0.98,0.982,0.988,0.962,1.064,0.959,0.981,0.987,1.009,1.005,1.023,1.021,0.987,0.999,0.963,1.028,0.986,1.002,0.985,1.037,1.004,1.043,1.006,0.986,0.982,0.979,1.022,1.042,0.982,0.98,1.0
c: 1021-,1021,1.045,0.987,1.006,1.003,1.001,1.0,1.0,0.971,1.025,0.996,0.999,0.97,1.02,0.969,1.01,0.999,0.969,1.011,1.015,0.936,1.038,0.978,1.002,0.943,0.99,0.999,1.013,0.994,0.976,0.989,1.023,0.998
c: 1021-,1022,1.057,0.979,0.977,1.03,1.02,0.997,1.006,0.965,1.018,1.013,0.971,1.008,1.044,1.033,0.979,1.021,0.991,1.011,1.047,0.987,1.044,1.012,0.938,1.026,1.043,1.001,0.971,0.971,1.014,1.023,0.982,1.01
