,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
day,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,total,total,total,total,total,total,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: 1001-,1001,42311,6141,185,119,1.048,355.6,139.2,33660,-2394,121,93,0.976,361.9,157.3,31829,400,126,89,1.004,357.6,148.0,29510,1111,116,80,1.013,368.9,150.6,44528,-4003,158,117,0.97,380.6,161.9,24660,-1250,89,71,0.983,347.3,154.1,23755,410,99,48,1.006,494.9,161.6,33220,-5838,105,98,0.941,339.0,163.6,32985,-2171,121,88,0.978,374.8,157.8,12110,-5507,28,27,0.848,448.5,220.2,37252,-2812,124,114,0.975,326.8,156.5,30825,3400,129,96,1.037,321.1,137.0,18016,-956,66,47,0.982,383.3,159.4,25439,-2022,90,73,0.974,348.5,156.1,29026,-4197,96,74,0.952,392.2,170.7,28045,-1559,103,78,0.981,359.6,154.9,31164,-1862,110,92,0.98,338.7,154.3,24182,-3080,81,74,0.958,326.8,156.0,25115,614,94,78,1.008,322.0,146.0,27453,1307,114,71,1.016,386.7,148.4,23034,-3351,78,56,0.952,411.3,171.9,23046,-1689,79,71,0.976,324.6,153.6,31540,-1889,110,89,0.98,354.4,158.5,20456,-1562,70,60,0.975,340.9,157.4,36704,-577,142,89,0.995,412.4,158.9,36094,-712,140,93,0.993,388.1,154.9,22496,-2770,80,51,0.959,441.1,171.7,17576,-2765,56,55,0.948,319.6,158.3,27330,-1038,95,89,0.987,307.1,148.5,22605,306,93,62,1.005,364.6,145.8,16665,-1850,53,54,0.963,308.6,155.7,862631,-42165,3151,2396,0.984,360.0,155.5
a: 1001-,1002,34168,4895,138,121,1.048,282.4,131.9,18471,428,72,59,1.008,313.1,141.0,31270,1115,123,82,1.012,381.3,152.5,23263,1647,92,75,1.024,310.2,139.3,36492,-3394,126,102,0.969,357.8,160.1,27918,2547,111,94,1.03,297.0,136.2,24519,-1953,77,87,0.973,281.8,149.5,22940,-1329,82,61,0.981,376.1,160.4,19840,-347,76,55,0.994,360.7,151.5,23836,-298,90,56,0.996,425.6,163.3,32736,-568,121,92,0.994,355.8,153.7,20021,-2364,69,52,0.961,385.0,165.5,20372,762,74,63,1.012,323.4,148.7,15775,241,61,41,1.005,384.8,154.7,43633,2254,180,115,1.017,379.4,147.9,21714,2586,92,64,1.04,339.3,139.2,18709,-1404,62,61,0.975,306.7,152.1,15446,-1747,52,38,0.962,406.5,171.6,23730,1699,90,80,1.024,296.6,139.6,21040,1833,84,69,1.029,304.9,137.5,30345,2471,126,81,1.027,374.6,146.6,22961,2523,99,66,1.037,347.9,139.2,14453,-873,56,30,0.98,481.8,168.1,35442,5038,147,118,1.047,300.4,133.7,21787,977,88,54,1.015,403.5,153.4,26067,-124,100,70,0.998,372.4,153.3,17914,-546,68,43,0.99,416.6,161.4,11670,-1138,42,29,0.967,402.4,164.4,10047,-2692,27,27,0.911,372.1,186.1,16399,-1076,53,53,0.978,309.4,154.7,16608,1321,67,52,1.027,319.4,139.6,719586,12484,2745,2090,1.006,344.3,148.8
a: 1001-,1003,40333,7389,173,127,1.061,317.6,134.4,25252,-2422,89,60,0.968,420.9,169.5,23427,447,90,62,1.006,377.9,154.1,22821,442,85,78,1.006,292.6,140.0,44315,6282,186,132,1.047,335.7,139.4,22927,-2267,78,70,0.967,327.5,154.9,26156,-1377,99,69,0.982,379.1,155.7,21626,-818,78,68,0.987,318.0,148.1,15579,-3736,50,37,0.92,421.1,179.1,18230,-160,64,59,0.997,309.0,148.2,32457,3135,138,84,1.032,386.4,146.2,21272,418,79,64,1.007,332.4,148.8,26118,3070,102,88,1.039,296.8,137.5,27557,1165,108,81,1.014,340.2,145.8,27188,-3256,92,73,0.96,372.4,164.8,22519,1492,94,63,1.022,357.4,143.4,26821,4259,120,82,1.053,327.1,132.8,15945,647,62,51,1.014,312.6,141.1,17339,-727,62,51,0.986,340.0,153.4,20701,5541,92,80,1.089,258.8,120.4,35245,3157,154,96,1.03,367.1,141.0,19775,277,80,50,1.005,395.5,152.1,20637,1496,90,49,1.024,421.2,148.5,7233,-2,28,17,1.0,425.5,160.7,20546,-3177,70,43,0.948,477.8,181.8,36396,4002,140,135,1.037,269.6,132.3,25595,1780,97,94,1.023,272.3,134.0,14230,-682,52,43,0.984,330.9,149.8,15325,395,59,44,1.009,348.3,148.8,8283,-909,30,23,0.963,360.1,156.3,11485,-2265,38,25,0.934,459.4,182.3,713333,23596,2779,2098,1.011,340.0,146.3
a: 1001-,1004,32844,1773,129,96,1.018,342.1,146.0,30988,1759,131,86,1.019,360.3,142.8,18088,2044,77,44,1.038,411.1,149.5,18044,-1322,71,39,0.976,462.7,164.0,31371,-1904,113,85,0.98,369.1,158.4,18952,-1086,67,63,0.981,300.8,145.8,42455,1599,164,125,1.013,339.6,146.9,23704,286,87,80,1.004,296.3,141.9,19884,-568,75,53,0.99,375.2,155.3,25536,-477,93,76,0.994,336.0,151.1,28850,-568,102,90,0.993,320.6,150.3,20442,1238,81,61,1.02,335.1,144.0,24256,-912,87,74,0.987,327.8,150.7,11757,-1452,39,36,0.959,326.6,156.8,42766,3784,168,128,1.029,334.1,144.5,14903,-938,54,41,0.979,363.5,156.9,19651,906,81,49,1.015,401.0,151.2,17838,-41,66,60,0.999,297.3,141.6,18755,1627,84,35,1.029,535.9,157.6,21370,2043,87,72,1.032,296.8,134.4,30341,-248,108,95,0.997,319.4,149.5,13918,-1915,49,30,0.954,463.9,176.2,30127,2951,122,101,1.033,298.3,135.1,18078,-694,68,46,0.987,393.0,158.6,29225,-1446,107,72,0.984,405.9,163.3,38336,2847,156,116,1.025,330.5,140.9,22836,6347,106,78,1.093,292.8,124.1,3474,-2788,3,7,0.732,496.3,347.4,27342,182,108,71,1.002,385.1,152.7,14760,-763,56,35,0.983,421.7,162.2,12256,265,46,33,1.007,371.4,155.1,723147,12529,2785,2077,1.006,348.2,148.7
a: 1001-,1005,37114,4166,160,98,1.037,378.7,143.9,21611,-1150,77,62,0.982,348.6,155.5,21835,1124,85,66,1.017,330.8,144.6,34986,5631,156,101,1.054,346.4,136.1,37827,-75,142,103,0.999,367.3,154.4,20389,-1321,75,52,0.978,392.1,160.5,29528,713,107,93,1.008,317.5,147.6,37281,-2389,122,119,0.979,313.3,154.7,32047,779,122,93,1.008,344.6,149.1,19323,450,77,50,1.008,386.5,152.1,34149,-546,120,110,0.995,310.4,148.5,12748,-3363,39,27,0.912,472.1,193.2,22276,261,87,60,1.004,371.3,151.5,29801,1724,112,98,1.019,304.1,141.9,29905,-5458,95,83,0.939,360.3,168.0,19744,-12,75,49,1.0,402.9,159.2,26525,3175,113,74,1.04,358.4,141.8,22300,609,77,70,1.009,318.6,151.7,22188,730,85,71,1.011,312.5,142.2,21594,-1042,81,57,0.984,378.8,156.5,27903,4997,123,83,1.06,336.2,135.5,23244,-615,91,56,0.991,415.1,158.1,18593,-212,69,56,0.996,332.0,148.7,16707,-2015,55,49,0.96,341.0,160.6,20125,-4558,63,43,0.925,468.0,189.9,35005,1741,131,118,1.017,296.7,140.6,24684,-918,91,70,0.988,352.6,153.3,23314,3412,97,74,1.049,315.1,136.3,21720,-3862,63,65,0.941,334.2,169.7,14966,-347,59,33,0.992,453.5,162.7,14141,2618,60,49,1.062,288.6,129.7,773573,4247,2909,2232,1.002,346.6,150.5
a: 1001-,1006,39018,8188,173,132,1.07,295.6,127.9,18074,-288,67,47,0.995,384.6,158.5,20820,-1633,69,64,0.974,325.3,156.5,10187,-2788,30,19,0.909,536.2,207.9,35108,-203,132,92,0.998,381.6,156.7,26933,3364,118,70,1.042,384.8,143.3,26262,-1770,89,72,0.978,364.8,163.1,31419,353,120,95,1.004,330.7,146.1,28728,1810,116,78,1.021,368.3,148.1,13588,-70,52,36,0.998,377.4,154.4,27071,-5698,82,63,0.93,429.7,186.7,23348,1101,92,66,1.016,353.8,147.8,13458,-1245,53,23,0.969,585.1,177.1,15510,-1667,56,35,0.964,443.1,170.4,45582,6838,185,155,1.05,294.1,134.1,26133,1023,104,68,1.013,384.3,151.9,20237,1145,81,53,1.019,381.8,151.0,23962,3738,101,81,1.052,295.8,131.7,23421,281,93,62,1.004,377.8,151.1,22915,-1782,81,67,0.974,342.0,154.8,17609,-2098,62,39,0.96,451.5,174.3,16769,-406,56,55,0.992,304.9,151.1,14827,-685,62,22,0.985,674.0,176.5,21081,-2683,73,51,0.958,413.4,170.0,30059,-832,115,84,0.991,357.8,151.1,39296,9793,180,129,1.083,304.6,127.2,22206,1928,91,69,1.029,321.8,138.8,10833,-1006,37,31,0.969,349.5,159.3,11893,-1080,43,34,0.97,349.8,154.5,23986,2140,101,60,1.03,399.8,149.0,8213,-1750,29,14,0.929,586.6,191.0,708546,14018,2743,1966,1.007,360.4,150.5
a: 1001-,1007,37586,443,147,97,1.004,387.5,154.0,20630,-2246,79,45,0.964,458.4,166.4,28683,124,112,78,1.001,367.7,151.0,28210,-429,109,82,0.995,344.0,147.7,48209,9359,202,179,1.065,269.3,126.5,20686,2386,86,58,1.038,356.7,143.7,21701,840,86,58,1.013,374.2,150.7,10023,-1094,39,19,0.964,527.5,172.8,21081,-485,74,65,0.992,324.3,151.7,24374,5735,112,71,1.078,343.3,133.2,37867,3785,151,122,1.033,310.4,138.7,11776,-3716,32,22,0.895,535.3,218.1,25092,2425,102,73,1.032,343.7,143.4,15868,4129,72,55,1.087,288.5,124.9,34854,2108,132,121,1.02,288.0,137.8,18137,76,67,58,1.001,312.7,145.1,29020,6369,134,79,1.073,367.3,136.2,16017,1141,66,44,1.024,364.0,145.6,7341,-2934,18,17,0.867,431.8,209.7,14970,-2553,51,34,0.943,440.3,176.1,23357,-965,83,70,0.986,333.7,152.7,40799,7342,165,156,1.06,261.5,127.1,18064,-1377,55,61,0.975,296.1,155.7,14762,-853,51,42,0.981,351.5,158.7,39888,3899,154,137,1.033,291.2,137.1,28956,480,118,65,1.006,445.5,158.2,23181,3618,99,74,1.052,313.3,134.0,13261,-1547,41,44,0.961,301.4,156.0,18249,109,67,53,1.002,344.3,152.1,9837,-2579,32,13,0.913,756.7,218.6,16453,2185,69,51,1.044,322.6,137.1,718932,35775,2805,2143,1.017,335.5,145.3
a: 1001-,1008,33776,2549,136,105,1.025,321.7,140.1,29908,1799,122,78,1.02,383.4,149.5,21815,-976,76,63,0.985,346.3,156.9,22327,39,89,56,1.001,398.7,154.0,48718,4573,200,138,1.031,353.0,144.1,23868,7358,113,82,1.103,291.1,122.4,22618,1812,91,73,1.027,309.8,137.9,22565,-361,86,51,0.995,442.5,164.7,18610,-321,69,56,0.994,332.3,148.9,25202,3928,105,85,1.052,296.5,132.6,34141,-1231,123,94,0.988,363.2,157.3,28591,1005,107,95,1.012,301.0,141.5,19981,-85,78,49,0.999,407.8,157.3,22187,637,92,60,1.01,369.8,146.0,28360,-3883,99,71,0.954,399.4,166.8,21315,1076,87,57,1.017,373.9,148.0,19330,-30,71,57,0.999,339.1,151.0,14459,-4000,42,42,0.908,344.3,172.1,29790,-881,101,97,0.99,307.1,150.5,20685,-1326,76,56,0.979,369.4,156.7,29430,4135,118,92,1.047,319.9,140.1,20009,-2930,64,58,0.951,345.0,164.0,26364,-539,95,78,0.993,338.0,152.4,17440,-1386,62,44,0.974,396.4,164.5,37421,3176,135,141,1.028,265.4,135.6,29857,1647,112,99,1.018,301.6,141.5,22682,3338,97,70,1.049,324.0,135.8,12881,694,52,37,1.018,348.1,144.7,15987,1492,70,44,1.031,363.3,140.2,13422,-1976,46,35,0.951,383.5,165.7,15571,704,58,53,1.015,293.8,140.3,749310,20037,2872,2216,1.009,338.1,147.3
