model_name,unit_no,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16
マイジャグラーV,1001,3259.0,3077.0,2480.0,4236.0,2665.0,2321.0,2095.0,1886.0,2504.0,1948.0,-937.0,2087.0,4302.0,3928.0,3372.0,3422.0,2181.0,2519.0,1981.0,3493.0,2169.0,2740.0,2431.0,3922.0,1919.0,2595.0,3027.0,3218.0,1765.0,2327.0,1606.0,3503.0,1218.0,844.0,976.0,-65.0,-356.0,-1059.0,-1850.0,-891.0,-1676.0,-1738.0,-1135.0,-1573.0,-1999.0,-4108.0,-3823.0,-3944.0,-4835.0,-5156.0,-6174.0,-7509.0,-8077.0,-7589.0,-7933.0,-9151.0,-8836.0,-8301.0,-8580.0,-8377.0,-6677.0,-7209.0,-7741.0,-8556.0,-8794.0,-10600.0,-11162.0,-10924.0,-10780.0,-11554.0,-11783.0,-11033.0,-12380.0,-12712.0,-13656.0,-13391.0,-12879.0,-12894.0,-14265.0,-14083.0,-14457.0,-14019.0,-15966.0,-16092.0,-16710.0,-17078.0,-16934.0,-16069.0,-15725.0,-14887.0,-14022.0,-15393.0,-15725.0,-14846.0,-14322.0,-16131.0,-14799.0,-15614.0,-16067.0,-17179.0,-17741.0,,,
マイジャグラーV,1002,2250.0,1724.0,2683.0,2192.0,810.0,207.0,228.0,60.0,716.0,1107.0,1698.0,1172.0,646.0,3999.0,5755.0,5223.0,5002.0,4617.0,7114.0,8685.0,10220.0,9870.0,10491.0,10417.0,14020.0,13905.0,13502.0,13364.0,13002.0,12676.0,13541.0,13900.0,12694.0,11997.0,14194.0,13141.0,13144.0,12609.0,12271.0,11603.0,11335.0,13550.0,13203.0,13418.0,13186.0,12886.0,11821.0,12697.0,12271.0,13147.0,11918.0,12368.0,12562.0,12224.0,12827.0,12092.0,11671.0,13277.0,16536.0,16086.0,15730.0,14877.0,14074.0,14692.0,15016.0,14854.0,15636.0,14371.0,13974.0,14206.0,13785.0,12603.0,14244.0,13982.0,13520.0,12958.0,12432.0,14753.0,16332.0,16364.0,17970.0,17838.0,16894.0,16262.0,15677.0,14962.0,15627.0,17630.0,17180.0,17401.0,19404.0,19001.0,19498.0,21257.0,20536.0,19833.0,21109.0,21235.0,19347.0,18282.0,20779.0,,,
マイジャグラーV,1003,532.0,388.0,570.0,1446.0,1825.0,1028.0,646.0,922.0,560.0,428.0,-2122.0,-3434.0,-2028.0,-1966.0,-3007.0,-3633.0,-3815.0,-3694.0,-3120.0,-2079.0,-2711.0,-2996.0,-2108.0,-2487.0,-2755.0,-3205.0,-1643.0,-2399.0,-3078.0,-3487.0,-4302.0,-478.0,-1554.0,-2257.0,-2378.0,1163.0,242.0,86.0,248.0,-5.0,-1093.0,-2417.0,-2679.0,-2070.0,-664.0,-2293.0,-828.0,-725.0,1154.0,1536.0,1174.0,1427.0,1377.0,689.0,1589.0,560.0,251.0,-790.0,-1890.0,-319.0,-704.0,470.0,1770.0,2329.0,1938.0,1335.0,909.0,4591.0,5409.0,5206.0,4447.0,5276.0,4408.0,4058.0,3132.0,2194.0,6944.0,7844.0,7694.0,8020.0,7852.0,6634.0,7275.0,6849.0,6934.0,6725.0,6728.0,6225.0,9531.0,9205.0,8702.0,9884.0,8831.0,9246.0,9031.0,8581.0,7849.0,7664.0,10523.0,9814.0,11149.0,,,
マイジャグラーV,1004,-526.0,68.0,-494.0,-1432.0,-2003.0,-1677.0,-1589.0,-1839.0,-2318.0,-2839.0,-660.0,-1492.0,352.0,278.0,2157.0,1613.0,2160.0,1657.0,5504.0,6863.0,6489.0,5715.0,7224.0,7180.0,7598.0,7510.0,8551.0,8177.0,7921.0,7350.0,8438.0,10103.0,9085.0,8323.0,7891.0,9191.0,8865.0,8633.0,8407.0,8786.0,9310.0,8413.0,10998.0,10813.0,10439.0,12848.0,12757.0,12472.0,12169.0,11778.0,13102.0,12917.0,12485.0,12094.0,11779.0,10950.0,13306.0,14582.0,14944.0,18320.0,18194.0,17738.0,17441.0,20017.0,21491.0,21147.0,20985.0,20285.0,21444.0,21023.0,20749.0,20481.0,21769.0,21560.0,21098.0,20272.0,20796.0,20334.0,19343.0,20269.0,20143.0,20505.0,21346.0,20902.0,20311.0,20408.0,19343.0,18905.0,19131.0,18705.0,18267.0,18017.0,17505.0,16805.0,16634.0,15710.0,15489.0,16715.0,16265.0,15897.0,15171.0,,,
マイジャグラーV,1005,618.0,365.0,-461.0,510.0,-1599.0,-393.0,1381.0,1284.0,1063.0,754.0,2689.0,2068.0,2603.0,2965.0,2159.0,1856.0,1647.0,2638.0,2182.0,1767.0,4423.0,3849.0,3940.0,4061.0,3670.0,6149.0,6040.0,6202.0,5334.0,5690.0,5252.0,6976.0,6361.0,6046.0,6017.0,6341.0,6085.0,4856.0,5941.0,5159.0,4868.0,3639.0,3242.0,3239.0,3360.0,2107.0,4919.0,5751.0,5425.0,5293.0,6428.0,7540.0,7405.0,8317.0,7720.0,6714.0,5614.0,6326.0,5120.0,5235.0,5985.0,8447.0,8315.0,8677.0,8233.0,7883.0,6968.0,6342.0,6327.0,6936.0,5918.0,5477.0,5168.0,6703.0,7509.0,6806.0,6585.0,7053.0,8174.0,7600.0,7156.0,6162.0,5959.0,5591.0,5494.0,4170.0,3952.0,7564.0,7402.0,10023.0,13635.0,11806.0,12871.0,12309.0,11841.0,11800.0,11618.0,12836.0,14998.0,13874.0,13612.0,,,
マイジャグラーV,1006,132.0,-624.0,-2018.0,-2603.0,-1644.0,-897.0,-1259.0,-2277.0,79.0,-6.0,-527.0,679.0,188.0,-638.0,-326.0,2415.0,1541.0,2226.0,2252.0,3011.0,3037.0,2522.0,1916.0,1413.0,828.0,2619.0,2895.0,2580.0,2459.0,2356.0,1577.0,4812.0,4380.0,5915.0,6006.0,5509.0,7021.0,7006.0,7506.0,8582.0,8432.0,7814.0,7482.0,7217.0,8814.0,9879.0,9853.0,9456.0,9630.0,8565.0,9912.0,9274.0,9330.0,8927.0,8406.0,7294.0,13820.0,17864.0,17508.0,16964.0,16690.0,17896.0,18022.0,19087.0,19034.0,19099.0,19390.0,17984.0,17143.0,16893.0,15699.0,19099.0,18964.0,20288.0,23226.0,23011.0,22308.0,21440.0,20340.0,20261.0,19593.0,19402.0,17737.0,18284.0,18772.0,18698.0,17986.0,17365.0,16703.0,16853.0,16232.0,15782.0,15814.0,15946.0,15811.0,16079.0,15776.0,15444.0,14665.0,15127.0,16615.0,,,
マイジャグラーV,1007,-521.0,-1762.0,-1888.0,-1623.0,-594.0,-220.0,-452.0,-961.0,-1035.0,-561.0,2360.0,1816.0,4190.0,4599.0,4205.0,3931.0,4099.0,4014.0,3288.0,4612.0,3844.0,5368.0,5077.0,4856.0,5697.0,4621.0,3815.0,2930.0,3333.0,2754.0,4266.0,2545.0,3704.0,3948.0,3545.0,2316.0,1766.0,2231.0,1752.0,440.0,290.0,2734.0,1563.0,1278.0,1116.0,3560.0,2834.0,4134.0,6119.0,6487.0,5890.0,4993.0,5505.0,5220.0,6638.0,7726.0,8626.0,9317.0,9867.0,10638.0,10159.0,12477.0,12062.0,11600.0,10582.0,11588.0,14032.0,13967.0,13511.0,14729.0,15455.0,14893.0,15078.0,14002.0,14093.0,12981.0,10978.0,13722.0,15375.0,14878.0,14628.0,15081.0,13157.0,12195.0,13248.0,13901.0,13263.0,12801.0,12786.0,13054.0,12592.0,13163.0,14689.0,16445.0,15860.0,15628.0,14849.0,15631.0,14272.0,14101.0,13698.0,,,
マイジャグラーV,1008,-174.0,1361.0,202.0,-524.0,670.0,3952.0,3720.0,3329.0,3038.0,2009.0,2368.0,3068.0,3239.0,2760.0,2286.0,2012.0,1491.0,1253.0,774.0,-211.0,-1487.0,-1211.0,-1696.0,-2796.0,2130.0,4077.0,3656.0,3947.0,5447.0,5362.0,4630.0,4309.0,5538.0,7644.0,6812.0,8709.0,8388.0,8723.0,8847.0,7794.0,10415.0,9536.0,9412.0,9003.0,10268.0,10047.0,10391.0,9923.0,9602.0,9373.0,9485.0,11114.0,10552.0,11217.0,10873.0,10773.0,11770.0,10670.0,10746.0,9943.0,11831.0,12555.0,14149.0,14123.0,13920.0,13270.0,12573.0,14541.0,14897.0,14647.0,12715.0,11203.0,11303.0,10488.0,9259.0,9441.0,9556.0,9177.0,8477.0,9306.0,9038.0,8464.0,7796.0,8825.0,10066.0,9781.0,9234.0,9358.0,8484.0,7834.0,7958.0,7632.0,7470.0,10635.0,10132.0,9823.0,9655.0,10411.0,8970.0,8196.0,8305.0,,,
マイジャグラーV,1009,618.0,168.0,762.0,583.0,-1261.0,-2076.0,-223.0,-573.0,-332.0,83.0,-1029.0,-2847.0,-3912.0,-4162.0,559.0,291.0,-406.0,-318.0,-674.0,-1248.0,264.0,202.0,761.0,637.0,-2054.0,-369.0,1705.0,1514.0,1164.0,1664.0,2740.0,3452.0,2737.0,2663.0,2454.0,2339.0,686.0,124.0,-1564.0,951.0,4304.0,3298.0,3419.0,3540.0,3631.0,2543.0,3961.0,3823.0,4502.0,4076.0,6220.0,5758.0,5490.0,3099.0,2870.0,1641.0,2965.0,2150.0,2141.0,1767.0,1432.0,629.0,800.0,468.0,1627.0,1903.0,1571.0,5615.0,8803.0,8382.0,8847.0,10159.0,9874.0,8918.0,11768.0,11759.0,13530.0,14124.0,13283.0,12609.0,12241.0,13023.0,12214.0,10855.0,10581.0,11160.0,10845.0,10592.0,10868.0,10159.0,9906.0,9818.0,9400.0,9503.0,10109.0,9068.0,11053.0,11882.0,11732.0,12123.0,12549.0,,,
マイジャグラーV,1010,3682.0,3126.0,2332.0,1506.0,4250.0,5444.0,4676.0,4385.0,4253.0,4421.0,2206.0,1294.0,1206.0,832.0,1100.0,2785.0,1661.0,1158.0,164.0,161.0,202.0,-513.0,-672.0,-1737.0,1875.0,728.0,3225.0,2869.0,1545.0,1030.0,165.0,-582.0,824.0,2774.0,2053.0,459.0,735.0,214.0,-886.0,-2057.0,-2125.0,-2719.0,-3428.0,-3802.0,-4137.0,-4611.0,-4996.0,-5393.0,-5049.0,-5393.0,-3284.0,-3537.0,-3399.0,-3320.0,-4432.0,-3814.0,-3361.0,-1852.0,-3505.0,-4284.0,-4769.0,-4737.0,-5605.0,-5726.0,-6288.0,-6400.0,-3974.0,-4095.0,-4298.0,-6513.0,-7354.0,-4980.0,-5254.0,-5166.0,-6004.0,-5719.0,-4219.0,-4922.0,-5351.0,-6498.0,-6977.0,-6227.0,-7139.0,-5733.0,-6548.0,-6883.0,-7651.0,-9080.0,-7980.0,-8524.0,-9953.0,-8841.0,-7965.0,-7947.0,-8291.0,-8265.0,-6765.0,-7239.0,-7724.0,-7498.0,-7642.0,,,
