model_name,unit_no,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,2025-01-13 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-01-27 00:00:00,2025-01-28 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-20 00:00:00,2025-02-21 00:00:00,2025-02-22 00:00:00,2025-02-23 00:00:00,2025-02-24 00:00:00,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,2025-04-04 00:00:00,2025-04-05 00:00:00,2025-04-06 00:00:00,2025-04-07 00:00:00,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,TOTAL
マイジャグラーV,1001,6939.0,4371.0,1898.0,6384.0,7561.0,2063.0,1503.0,3956.0,3209.0,1432.0,7290.0,6873.0,7639.0,1514.0,5062.0,4863.0,4950.0,5773.0,2142.0,5441.0,2100.0,4657.0,3239.0,6934.0,5115.0,6675.0,4961.0,1385.0,3418.0,4248.0,5436.0,7393.0,4778.0,2137.0,1964.0,5143.0,7533.0,1840.0,7615.0,7174.0,1038.0,5553.0,3297.0,1282.0,5350.0,4349.0,6153.0,4033.0,3508.0,3561.0,3676.0,3676.0,7141.0,8513.0,4236.0,4002.0,4524.0,8631.0,5338.0,5628.0,7145.0,7736.0,958.0,2711.0,4850.0,6156.0,1324.0,6262.0,1887.0,2198.0,5377.0,6345.0,2290.0,3113.0,4420.0,6294.0,5956.0,1781.0,1715.0,8494.0,2052.0,7084.0,4567.0,2082.0,4388.0,5305.0,2920.0,7407.0,6879.0,5376.0,7407.0,4661.0,5375.0,6813.0,4212.0,5433.0,5909.0,2734.0,4941.0,5743.0,665.0,,,,467062
マイジャグラーV,1002,6193.0,1608.0,7718.0,931.0,5060.0,1701.0,1631.0,1101.0,5694.0,5677.0,7392.0,2588.0,996.0,7152.0,7415.0,1251.0,1265.0,4530.0,8522.0,1555.0,5544.0,1182.0,3298.0,525.0,8451.0,4767.0,389.0,4859.0,3256.0,1357.0,6802.0,7842.0,2684.0,5920.0,8097.0,1234.0,1411.0,8273.0,982.0,2164.0,2566.0,8801.0,7031.0,697.0,2371.0,7925.0,2261.0,7575.0,2277.0,6909.0,2064.0,3393.0,5873.0,338.0,8108.0,5854.0,3885.0,8233.0,6186.0,553.0,267.0,2234.0,933.0,5546.0,4532.0,4122.0,6888.0,1838.0,625.0,3626.0,1003.0,3475.0,8254.0,3547.0,1751.0,783.0,667.0,9391.0,7712.0,2725.0,6022.0,1371.0,2840.0,1403.0,1336.0,3394.0,8390.0,6947.0,1441.0,3486.0,6947.0,2100.0,7159.0,5540.0,1090.0,1458.0,3472.0,2488.0,2852.0,1259.0,8848.0,,,,401679
マイジャグラーV,1003,3336.0,5249.0,4687.0,8421.0,4559.0,1478.0,2663.0,6184.0,1745.0,1098.0,5095.0,6099.0,7360.0,1533.0,1850.0,1397.0,7269.0,4259.0,1581.0,7315.0,1776.0,3284.0,3349.0,279.0,5100.0,4788.0,7975.0,2950.0,1161.0,1483.0,4056.0,8177.0,2129.0,2078.0,454.0,8796.0,2164.0,694.0,3861.0,6418.0,2651.0,3330.0,464.0,8786.0,3092.0,5223.0,6785.0,2969.0,3948.0,4475.0,843.0,6043.0,2791.0,5718.0,5145.0,3391.0,2734.0,7242.0,6340.0,7256.0,1154.0,8182.0,7745.0,4130.0,1456.0,1088.0,1334.0,6892.0,7033.0,1976.0,7115.0,7344.0,2233.0,511.0,4027.0,3105.0,6701.0,7636.0,5337.0,2424.0,160.0,5424.0,7410.0,1192.0,3481.0,3525.0,1553.0,3610.0,7691.0,1224.0,3610.0,5693.0,4310.0,2892.0,3537.0,502.0,2116.0,720.0,8272.0,1371.0,4079.0,,,,403171
マイジャグラーV,1004,4414.0,5274.0,3019.0,2545.0,5743.0,4159.0,6844.0,431.0,831.0,3799.0,7721.0,3995.0,7157.0,367.0,6794.0,668.0,5520.0,1606.0,7112.0,2744.0,5278.0,3108.0,5535.0,7413.0,6606.0,6444.0,3568.0,461.0,2358.0,6345.0,7047.0,6655.0,6540.0,1106.0,1119.0,5388.0,2598.0,4388.0,2158.0,4505.0,6357.0,4340.0,6272.0,180.0,427.0,8027.0,2154.0,1194.0,1149.0,1500.0,6893.0,2990.0,1895.0,3529.0,2257.0,7303.0,9384.0,8520.0,7570.0,5728.0,1380.0,3012.0,258.0,7412.0,5822.0,2030.0,1069.0,3513.0,5337.0,2864.0,377.0,5699.0,5463.0,519.0,1501.0,4994.0,5654.0,4800.0,1050.0,8309.0,2109.0,6392.0,8708.0,733.0,970.0,7585.0,3155.0,1052.0,4512.0,862.0,1052.0,1783.0,5757.0,2562.0,4086.0,1660.0,547.0,8674.0,1754.0,2374.0,1150.0,,,,395572
マイジャグラーV,1005,4412.0,4395.0,2033.0,5361.0,4095.0,7770.0,6483.0,2950.0,412.0,633.0,6555.0,2384.0,2292.0,3194.0,4684.0,1954.0,1497.0,7201.0,2299.0,3075.0,8192.0,487.0,1828.0,3413.0,5547.0,8309.0,4321.0,2773.0,1019.0,2167.0,1408.0,7857.0,1510.0,779.0,3748.0,5540.0,1585.0,4983.0,7631.0,5802.0,430.0,5765.0,561.0,5112.0,6220.0,5193.0,8379.0,5234.0,3215.0,4062.0,3851.0,3251.0,8728.0,3976.0,2950.0,1125.0,6095.0,7345.0,4724.0,3146.0,7280.0,8622.0,1922.0,1210.0,2863.0,4766.0,5295.0,5874.0,918.0,6407.0,1422.0,6283.0,1428.0,6263.0,7263.0,1034.0,2248.0,5050.0,6413.0,2122.0,1545.0,3310.0,6933.0,648.0,1264.0,7607.0,6203.0,9461.0,1852.0,6749.0,9461.0,3005.0,6668.0,4940.0,547.0,6874.0,5006.0,3586.0,8748.0,1813.0,2641.0,,,,425484
マイジャグラーV,1006,4449.0,1895.0,5020.0,833.0,8071.0,1544.0,582.0,5095.0,6162.0,537.0,5290.0,6796.0,3745.0,1548.0,6915.0,7662.0,3421.0,2787.0,5595.0,3638.0,891.0,626.0,3828.0,1690.0,7402.0,7729.0,3795.0,3749.0,670.0,1706.0,4066.0,7625.0,966.0,4324.0,913.0,1714.0,4650.0,3035.0,8309.0,5591.0,857.0,5030.0,788.0,2373.0,7253.0,7348.0,5523.0,327.0,1075.0,5207.0,7194.0,4174.0,5960.0,685.0,2760.0,4818.0,8657.0,9085.0,2809.0,576.0,1268.0,7253.0,3684.0,6377.0,6293.0,7602.0,2223.0,3417.0,1330.0,2339.0,1765.0,9562.0,5307.0,3924.0,5931.0,3527.0,2977.0,923.0,2834.0,4076.0,5428.0,4427.0,4625.0,8351.0,3810.0,2940.0,7317.0,1037.0,3912.0,1346.0,1037.0,1109.0,5640.0,3407.0,6614.0,2845.0,1475.0,3800.0,1669.0,3873.0,2414.0,,,,397051
マイジャグラーV,1007,3645.0,4493.0,1963.0,6975.0,6852.0,2851.0,1386.0,1266.0,729.0,5246.0,8673.0,1192.0,6510.0,1298.0,4746.0,1618.0,3948.0,4868.0,859.0,3517.0,1325.0,7628.0,2378.0,556.0,9048.0,2879.0,2710.0,6036.0,3565.0,1270.0,7904.0,8306.0,3648.0,4923.0,2376.0,4006.0,3038.0,8028.0,950.0,3837.0,748.0,8066.0,3817.0,1227.0,765.0,8543.0,1374.0,5576.0,6972.0,835.0,1161.0,812.0,7614.0,5190.0,6616.0,6007.0,5603.0,8362.0,5321.0,3611.0,1955.0,8008.0,458.0,1508.0,1363.0,8101.0,4321.0,3854.0,326.0,8227.0,2324.0,4665.0,4126.0,3418.0,831.0,1426.0,5159.0,6381.0,6164.0,1612.0,977.0,8979.0,6792.0,2122.0,3199.0,6148.0,4843.0,3913.0,3854.0,1940.0,3913.0,7036.0,6981.0,6881.0,607.0,719.0,1292.0,4052.0,4365.0,4426.0,892.0,,,,403424
マイジャグラーV,1008,4978.0,6464.0,1290.0,1742.0,6974.0,5199.0,428.0,1334.0,3221.0,6283.0,7695.0,6981.0,5388.0,1160.0,3420.0,791.0,3096.0,2132.0,8644.0,4836.0,5953.0,8406.0,6195.0,6803.0,9693.0,8012.0,544.0,1683.0,3922.0,2020.0,1736.0,4663.0,5928.0,5890.0,957.0,7344.0,921.0,3425.0,4518.0,3411.0,4175.0,4723.0,5728.0,1271.0,6926.0,4297.0,5534.0,876.0,508.0,6111.0,4349.0,7547.0,4766.0,4721.0,2711.0,5286.0,8398.0,4759.0,3876.0,1625.0,6572.0,8828.0,3748.0,2082.0,3099.0,1308.0,2861.0,6625.0,3541.0,1193.0,4579.0,6834.0,6223.0,1266.0,2016.0,6325.0,3851.0,1249.0,3275.0,6396.0,916.0,1489.0,4145.0,4873.0,2863.0,1123.0,2808.0,6506.0,4801.0,1897.0,6506.0,2804.0,5016.0,7928.0,1647.0,426.0,1438.0,2296.0,5238.0,3078.0,4322.0,,,,416258
マイジャグラーV,1009,6825.0,1997.0,5579.0,2672.0,3754.0,2124.0,7834.0,1505.0,2689.0,3316.0,7812.0,5600.0,2601.0,6448.0,8344.0,486.0,3529.0,5752.0,3515.0,1444.0,7115.0,1852.0,1977.0,4945.0,3736.0,8153.0,8599.0,823.0,471.0,5229.0,7556.0,6551.0,1419.0,4452.0,2861.0,3534.0,2636.0,2299.0,5161.0,6156.0,6835.0,4669.0,1645.0,2624.0,5381.0,3015.0,7286.0,2184.0,8021.0,1048.0,5796.0,2259.0,3236.0,5401.0,4545.0,4898.0,8086.0,8705.0,5443.0,4055.0,2044.0,6094.0,3467.0,1035.0,7716.0,2536.0,275.0,8310.0,8477.0,1195.0,3089.0,7241.0,3198.0,2602.0,7648.0,2505.0,5353.0,5396.0,4110.0,845.0,1157.0,6252.0,6807.0,1483.0,2270.0,9458.0,1941.0,6350.0,6071.0,1224.0,6350.0,5195.0,5433.0,3909.0,7123.0,5435.0,6212.0,3259.0,3114.0,4108.0,4368.0,,,,445138
マイジャグラーV,1010,6220.0,2757.0,2520.0,3828.0,8124.0,5995.0,2551.0,2261.0,6106.0,1834.0,6130.0,5213.0,4934.0,884.0,6952.0,7752.0,4628.0,3033.0,4697.0,5105.0,7465.0,873.0,5457.0,2372.0,8430.0,5744.0,4289.0,4451.0,2240.0,1516.0,5018.0,8159.0,7847.0,7529.0,1305.0,4216.0,7131.0,3443.0,3221.0,4218.0,2299.0,7803.0,1725.0,6112.0,5975.0,8706.0,6919.0,7963.0,3475.0,1815.0,7942.0,8012.0,4731.0,2349.0,6070.0,6843.0,8568.0,7711.0,4117.0,2130.0,1691.0,8548.0,2918.0,3932.0,2804.0,8052.0,3324.0,5295.0,957.0,4454.0,4724.0,8022.0,3335.0,3955.0,3306.0,4291.0,7228.0,4531.0,4358.0,4186.0,5252.0,7172.0,4349.0,5797.0,3032.0,5905.0,5494.0,2981.0,5913.0,3672.0,2981.0,3360.0,5790.0,6141.0,1187.0,2341.0,3239.0,2786.0,6432.0,5493.0,4235.0,,,,481176
