,,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,GAME,BB,RB,TOTAL_RATE,RB_RATE
date,,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,total5,total4,total3,total2,total1,rank5,rank4,rank3,rank2,rank1,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1001,-453.0,-1112.0,-562.0,,,-2127.0,-1674.0,-562.0,0.0,0.0,10,17,32,34,33,,,,,
マイジャグラーV,1002,-1888.0,-1065.0,2497.0,,,-456.0,1432.0,2497.0,0.0,0.0,36,65,75,34,33,,,,,
マイジャグラーV,1003,2859.0,-709.0,1335.0,,,3485.0,626.0,1335.0,0.0,0.0,74,53,66,34,33,,,,,
マイジャグラーV,1004,-450.0,-368.0,-726.0,,,-1544.0,-1094.0,-726.0,0.0,0.0,22,26,27,34,33,,,,,
マイジャグラーV,1005,2162.0,-1124.0,-262.0,,,776.0,-1386.0,-262.0,0.0,0.0,51,21,48,34,33,,,,,
マイジャグラーV,1006,-779.0,462.0,1488.0,,,1171.0,1950.0,1488.0,0.0,0.0,58,69,68,34,33,,,,,
マイジャグラーV,1007,-1359.0,-171.0,-403.0,,,-1933.0,-574.0,-403.0,0.0,0.0,15,36,38,34,33,,,,,
マイジャグラーV,1008,-1441.0,-774.0,109.0,,,-2106.0,-665.0,109.0,0.0,0.0,11,34,52,34,33,,,,,
マイジャグラーV,1009,-150.0,391.0,426.0,,,667.0,817.0,426.0,0.0,0.0,49,57,56,34,33,,,,,
マイジャグラーV,1010,-485.0,226.0,-144.0,,,-403.0,82.0,-144.0,0.0,0.0,37,44,50,34,33,,,,,
マイジャグラーV,1011,-1159.0,606.0,-468.0,,,-1021.0,138.0,-468.0,0.0,0.0,28,45,35,34,33,,,,,
マイジャグラーV,1012,547.0,2285.0,-274.0,,,2558.0,2011.0,-274.0,0.0,0.0,70,70,46,34,33,,,,,
マイジャグラーV,1013,229.0,-468.0,-409.0,,,-648.0,-877.0,-409.0,0.0,0.0,32,30,37,34,33,,,,,
マイジャグラーV,1014,-818.0,-415.0,-526.0,,,-1759.0,-941.0,-526.0,0.0,0.0,21,29,33,34,33,,,,,
マイジャグラーV,1015,-409.0,-815.0,50.0,,,-1174.0,-765.0,50.0,0.0,0.0,26,31,51,34,33,,,,,
マイジャグラーV,1016,-371.0,-656.0,-826.0,,,-1853.0,-1482.0,-826.0,0.0,0.0,19,20,24,34,33,,,,,
マイジャグラーV,1017,1006.0,-509.0,3047.0,,,3544.0,2538.0,3047.0,0.0,0.0,75,75,79,34,33,,,,,
