model_name,unit_no,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16
マイジャグラーV,1001,3259.0,-182.0,-597.0,1756.0,-1571.0,-344.0,-226.0,-209.0,618.0,-556.0,-2885.0,3024.0,2215.0,-374.0,-556.0,50.0,-1241.0,338.0,-538.0,1512.0,-1324.0,571.0,-309.0,1491.0,-2003.0,676.0,432.0,191.0,-1453.0,562.0,-721.0,1897.0,-2285.0,-374.0,132.0,-1041.0,-291.0,-703.0,-791.0,959.0,-785.0,-62.0,603.0,-438.0,-426.0,-2109.0,285.0,-121.0,-891.0,-321.0,-1018.0,-1335.0,-568.0,488.0,-344.0,-1218.0,315.0,535.0,-279.0,203.0,1700.0,-532.0,-532.0,-815.0,-238.0,-1806.0,-562.0,238.0,144.0,-774.0,-229.0,750.0,-1347.0,-332.0,-944.0,265.0,512.0,-15.0,-1371.0,182.0,-374.0,438.0,-1947.0,-126.0,-618.0,-368.0,144.0,865.0,344.0,838.0,865.0,-1371.0,-332.0,879.0,524.0,-1809.0,1332.0,-815.0,-453.0,-1112.0,-562.0,,,
マイジャグラーV,1002,2250.0,-526.0,959.0,-491.0,-1382.0,-603.0,21.0,-168.0,656.0,391.0,591.0,-526.0,-526.0,3353.0,1756.0,-532.0,-221.0,-385.0,2497.0,1571.0,1535.0,-350.0,621.0,-74.0,3603.0,-115.0,-403.0,-138.0,-362.0,-326.0,865.0,359.0,-1206.0,-697.0,2197.0,-1053.0,3.0,-535.0,-338.0,-668.0,-268.0,2215.0,-347.0,215.0,-232.0,-300.0,-1065.0,876.0,-426.0,876.0,-1229.0,450.0,194.0,-338.0,603.0,-735.0,-421.0,1606.0,3259.0,-450.0,-356.0,-853.0,-803.0,618.0,324.0,-162.0,782.0,-1265.0,-397.0,232.0,-421.0,-1182.0,1641.0,-262.0,-462.0,-562.0,-526.0,2321.0,1579.0,32.0,1606.0,-132.0,-944.0,-632.0,-585.0,-715.0,665.0,2003.0,-450.0,221.0,2003.0,-403.0,497.0,1759.0,-721.0,-703.0,1276.0,126.0,-1888.0,-1065.0,2497.0,,,
マイジャグラーV,1003,532.0,-144.0,182.0,876.0,379.0,-797.0,-382.0,276.0,-362.0,-132.0,-2550.0,-1312.0,1406.0,62.0,-1041.0,-626.0,-182.0,121.0,574.0,1041.0,-632.0,-285.0,888.0,-379.0,-268.0,-450.0,1562.0,-756.0,-679.0,-409.0,-815.0,3824.0,-1076.0,-703.0,-121.0,3541.0,-921.0,-156.0,162.0,-253.0,-1088.0,-1324.0,-262.0,609.0,1406.0,-1629.0,1465.0,103.0,1879.0,382.0,-362.0,253.0,-50.0,-688.0,900.0,-1029.0,-309.0,-1041.0,-1100.0,1571.0,-385.0,1174.0,1300.0,559.0,-391.0,-603.0,-426.0,3682.0,818.0,-203.0,-759.0,829.0,-868.0,-350.0,-926.0,-938.0,4750.0,900.0,-150.0,326.0,-168.0,-1218.0,641.0,-426.0,85.0,-209.0,3.0,-503.0,3306.0,-326.0,-503.0,1182.0,-1053.0,415.0,-215.0,-450.0,-732.0,-185.0,2859.0,-709.0,1335.0,,,
マイジャグラーV,1004,-526.0,594.0,-562.0,-938.0,-571.0,326.0,88.0,-250.0,-479.0,-521.0,2179.0,-832.0,1844.0,-74.0,1879.0,-544.0,547.0,-503.0,3847.0,1359.0,-374.0,-774.0,1509.0,-44.0,418.0,-88.0,1041.0,-374.0,-256.0,-571.0,1088.0,1665.0,-1018.0,-762.0,-432.0,1300.0,-326.0,-232.0,-226.0,379.0,524.0,-897.0,2585.0,-185.0,-374.0,2409.0,-91.0,-285.0,-303.0,-391.0,1324.0,-185.0,-432.0,-391.0,-315.0,-829.0,2356.0,1276.0,362.0,3376.0,-126.0,-456.0,-297.0,2576.0,1474.0,-344.0,-162.0,-700.0,1159.0,-421.0,-274.0,-268.0,1288.0,-209.0,-462.0,-826.0,524.0,-462.0,-991.0,926.0,-126.0,362.0,841.0,-444.0,-591.0,97.0,-1065.0,-438.0,226.0,-426.0,-438.0,-250.0,-512.0,-700.0,-171.0,-924.0,-221.0,1226.0,-450.0,-368.0,-726.0,,,
マイジャグラーV,1005,618.0,-253.0,-826.0,971.0,-2109.0,1206.0,1774.0,-97.0,-221.0,-309.0,1935.0,-621.0,535.0,362.0,-806.0,-303.0,-209.0,991.0,-456.0,-415.0,2656.0,-574.0,91.0,121.0,-391.0,2479.0,-109.0,162.0,-868.0,356.0,-438.0,1724.0,-615.0,-315.0,-29.0,324.0,-256.0,-1229.0,1085.0,-782.0,-291.0,-1229.0,-397.0,-3.0,121.0,-1253.0,2812.0,832.0,-326.0,-132.0,1135.0,1112.0,-135.0,912.0,-597.0,-1006.0,-1100.0,712.0,-1206.0,115.0,750.0,2462.0,-132.0,362.0,-444.0,-350.0,-915.0,-626.0,-15.0,609.0,-1018.0,-441.0,-309.0,1535.0,806.0,-703.0,-221.0,468.0,1121.0,-574.0,-444.0,-994.0,-203.0,-368.0,-97.0,-1324.0,-218.0,3612.0,-162.0,2621.0,3612.0,-1829.0,1065.0,-562.0,-468.0,-41.0,-182.0,1218.0,2162.0,-1124.0,-262.0,,,
マイジャグラーV,1006,132.0,-756.0,-1394.0,-585.0,959.0,747.0,-362.0,-1018.0,2356.0,-85.0,-521.0,1206.0,-491.0,-826.0,312.0,2741.0,-874.0,685.0,26.0,759.0,26.0,-515.0,-606.0,-503.0,-585.0,1791.0,276.0,-315.0,-121.0,-103.0,-779.0,3235.0,-432.0,1535.0,91.0,-497.0,1512.0,-15.0,500.0,1076.0,-150.0,-618.0,-332.0,-265.0,1597.0,1065.0,-26.0,-397.0,174.0,-1065.0,1347.0,-638.0,56.0,-403.0,-521.0,-1112.0,6526.0,4044.0,-356.0,-544.0,-274.0,1206.0,126.0,1065.0,-53.0,65.0,291.0,-1406.0,-841.0,-250.0,-1194.0,3400.0,-135.0,1324.0,2938.0,-215.0,-703.0,-868.0,-1100.0,-79.0,-668.0,-191.0,-1665.0,547.0,488.0,-74.0,-712.0,-621.0,-662.0,150.0,-621.0,-450.0,32.0,132.0,-135.0,268.0,-303.0,-332.0,-779.0,462.0,1488.0,,,
マイジャグラーV,1007,-521.0,-1241.0,-126.0,265.0,1029.0,374.0,-232.0,-509.0,-74.0,474.0,2921.0,-544.0,2374.0,409.0,-394.0,-274.0,168.0,-85.0,-726.0,1324.0,-768.0,1524.0,-291.0,-221.0,841.0,-1076.0,-806.0,-885.0,403.0,-579.0,1512.0,-1721.0,1159.0,244.0,-403.0,-1229.0,-550.0,465.0,-479.0,-1312.0,-150.0,2444.0,-1171.0,-285.0,-162.0,2444.0,-726.0,1300.0,1985.0,368.0,-597.0,-897.0,512.0,-285.0,1418.0,1088.0,900.0,691.0,550.0,771.0,-479.0,2318.0,-415.0,-462.0,-1018.0,1006.0,2444.0,-65.0,-456.0,1218.0,726.0,-562.0,185.0,-1076.0,91.0,-1112.0,-2003.0,2744.0,1653.0,-497.0,-250.0,453.0,-1924.0,-962.0,1053.0,653.0,-638.0,-462.0,-15.0,268.0,-462.0,571.0,1526.0,1756.0,-585.0,-232.0,-779.0,782.0,-1359.0,-171.0,-403.0,,,
マイジャグラーV,1008,-174.0,1535.0,-1159.0,-726.0,1194.0,3282.0,-232.0,-391.0,-291.0,-1029.0,359.0,700.0,171.0,-479.0,-474.0,-274.0,-521.0,-238.0,-479.0,-985.0,-1276.0,276.0,-485.0,-1100.0,4926.0,1947.0,-421.0,291.0,1500.0,-85.0,-732.0,-321.0,1229.0,2106.0,-832.0,1897.0,-321.0,335.0,124.0,-1053.0,2621.0,-879.0,-124.0,-409.0,1265.0,-221.0,344.0,-468.0,-321.0,-229.0,112.0,1629.0,-562.0,665.0,-344.0,-100.0,997.0,-1100.0,76.0,-803.0,1888.0,724.0,1594.0,-26.0,-203.0,-650.0,-697.0,1968.0,356.0,-250.0,-1932.0,-1512.0,100.0,-815.0,-1229.0,182.0,115.0,-379.0,-700.0,829.0,-268.0,-574.0,-668.0,1029.0,1241.0,-285.0,-547.0,124.0,-874.0,-650.0,124.0,-326.0,-162.0,3165.0,-503.0,-309.0,-168.0,756.0,-1441.0,-774.0,109.0,,,
マイジャグラーV,1009,618.0,-450.0,594.0,-179.0,-1844.0,-815.0,1853.0,-350.0,241.0,415.0,-1112.0,-1818.0,-1065.0,-250.0,4721.0,-268.0,-697.0,88.0,-356.0,-574.0,1512.0,-62.0,559.0,-124.0,-2691.0,1685.0,2074.0,-191.0,-350.0,500.0,1076.0,712.0,-715.0,-74.0,-209.0,-115.0,-1653.0,-562.0,-1688.0,2515.0,3353.0,-1006.0,121.0,121.0,91.0,-1088.0,1418.0,-138.0,679.0,-426.0,2144.0,-462.0,-268.0,-2391.0,-229.0,-1229.0,1324.0,-815.0,-9.0,-374.0,-335.0,-803.0,171.0,-332.0,1159.0,276.0,-332.0,4044.0,3188.0,-421.0,465.0,1312.0,-285.0,-956.0,2850.0,-9.0,1771.0,594.0,-841.0,-674.0,-368.0,782.0,-809.0,-1359.0,-274.0,579.0,-315.0,-253.0,276.0,-709.0,-253.0,-88.0,-418.0,103.0,606.0,-1041.0,1985.0,829.0,-150.0,391.0,426.0,,,
マイジャグラーV,1010,3682.0,-556.0,-794.0,-826.0,2744.0,1194.0,-768.0,-291.0,-132.0,168.0,-2215.0,-912.0,-88.0,-374.0,268.0,1685.0,-1124.0,-503.0,-994.0,-3.0,41.0,-715.0,-159.0,-1065.0,3612.0,-1147.0,2497.0,-356.0,-1324.0,-515.0,-865.0,-747.0,1406.0,1950.0,-721.0,-1594.0,276.0,-521.0,-1100.0,-1171.0,-68.0,-594.0,-709.0,-374.0,-335.0,-474.0,-385.0,-397.0,344.0,-344.0,2109.0,-253.0,138.0,79.0,-1112.0,618.0,453.0,1509.0,-1653.0,-779.0,-485.0,32.0,-868.0,-121.0,-562.0,-112.0,2426.0,-121.0,-203.0,-2215.0,-841.0,2374.0,-274.0,88.0,-838.0,285.0,1500.0,-703.0,-429.0,-1147.0,-479.0,750.0,-912.0,1406.0,-815.0,-335.0,-768.0,-1429.0,1100.0,-544.0,-1429.0,1112.0,876.0,18.0,-344.0,26.0,1500.0,-474.0,-485.0,226.0,-144.0,,,
