,,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE
date,,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1021,-656.0,860.0,430.0,286.7,6.23,1738.0,7324.0,318.4,128.5,5.82,262.0,6104.0,763.0,179.5,5.53,-3918.0,6847.0,622.5,273.9,6.0,171.0,6413.0,305.4,145.8,5.7,-676.0,5735.0,337.4,163.9,5.73,-1453.0,6785.0,323.1,174.0,5.7,-1229.0,6803.0,309.2,162.0,5.91,-2603.0,6977.0,303.3,188.6,5.8,85.0,6770.0,338.5,153.9,5.6,-371.0,7514.0,341.5,153.3,5.89,-221.0,6358.0,529.8,171.8,5.75,-285.0,8826.0,420.3,169.7,5.53,-382.0,6716.0,447.7,167.9,5.77,-432.0,3966.0,360.5,158.6,6.02,-191.0,2325.0,465.0,178.8,5.57,-374.0,917.0,917.0,305.7,5.29,724.0,5682.0,405.9,142.0,5.95,-1171.0,2481.0,1240.5,275.7,6.05,-324.0,6266.0,348.1,160.7,5.64,1076.0,6727.0,269.1,134.5,5.47,-1065.0,2756.0,459.3,212.0,5.95,-91.0,3044.0,434.9,169.1,5.58,1791.0,9038.0,251.1,127.3,5.56
マイジャグラーV,1022,-374.0,3836.0,348.7,159.8,5.86,-709.0,1873.0,936.5,234.1,6.15,-238.0,4071.0,290.8,150.8,5.73,-1809.0,5876.0,839.4,226.0,5.92,2374.0,7093.0,417.2,131.4,5.69,124.0,6493.0,341.7,151.0,5.7,-1076.0,2233.0,372.2,223.3,5.8,5206.0,8704.0,241.8,102.4,5.7,-903.0,5396.0,449.7,174.1,6.04,-1241.0,6454.0,717.1,201.7,5.84,-994.0,1202.0,1202.0,601.0,5.55,197.0,4812.0,401.0,155.2,5.69,-1747.0,6063.0,606.3,209.1,5.92,715.0,2819.0,1409.5,156.6,5.82,-162.0,2040.0,680.0,185.5,5.76,-191.0,1446.0,723.0,180.8,6.2,1112.0,6283.0,418.9,142.8,5.75,-462.0,3960.0,440.0,180.0,5.6,409.0,5519.0,344.9,145.2,5.75,150.0,4189.0,698.2,161.1,6.14,-674.0,638.0,638.0,638.0,5.97,229.0,4361.0,484.6,150.4,6.13,359.0,5413.0,360.9,142.4,6.0,124.0,5877.0,326.5,146.9,5.8
マイジャグラーV,1023,-515.0,3026.0,302.6,159.3,5.93,-438.0,1696.0,565.3,212.0,5.66,-762.0,1930.0,643.3,241.2,5.78,1982.0,8215.0,248.9,124.5,5.54,62.0,4959.0,450.8,155.0,5.99,-150.0,4335.0,361.2,154.8,5.86,-756.0,3522.0,440.2,185.4,5.85,1488.0,7751.0,323.0,136.0,5.61,-456.0,927.0,463.5,231.8,6.0,865.0,5843.0,307.5,135.9,5.7,-26.0,3497.0,699.4,194.3,5.29,-676.0,5700.0,285.0,150.0,5.98,-1171.0,8608.0,374.3,168.8,5.81,-1712.0,5793.0,321.8,193.1,5.48,-685.0,1164.0,1164.0,291.0,6.35,-650.0,1432.0,1432.0,238.7,6.72,-162.0,4225.0,301.8,156.5,5.49,-762.0,1869.0,467.2,233.6,5.62,-821.0,4971.0,292.4,155.3,6.0,629.0,6751.0,397.1,150.0,5.68,1347.0,5084.0,423.7,133.8,5.87,403.0,3050.0,338.9,138.6,5.81,-750.0,1230.0,1230.0,410.0,5.44,-1465.0,6460.0,239.3,150.2,6.02
マイジャグラーV,1024,326.0,3732.0,622.0,162.3,5.75,924.0,6381.0,490.8,145.0,5.99,524.0,4668.0,666.9,161.0,5.76,-556.0,6300.0,484.6,180.0,5.61,-226.0,2049.0,1024.5,204.9,5.68,-132.0,3063.0,765.8,191.4,5.55,-759.0,2461.0,410.2,189.3,6.04,1544.0,6661.0,277.5,130.6,5.46,1738.0,7662.0,247.2,123.6,5.63,-862.0,1303.0,1303.0,325.8,6.34,206.0,6144.0,558.5,161.7,5.89,-1547.0,4224.0,469.3,211.2,5.91,-1371.0,6370.0,455.0,193.0,5.68,-521.0,6651.0,332.6,158.4,5.75,-809.0,1039.0,1039.0,346.3,6.58,1253.0,2857.0,219.8,105.8,5.8,479.0,1629.0,407.2,135.8,5.59,2515.0,7437.0,309.9,121.9,5.77,-1218.0,2858.0,714.5,259.8,5.71,-291.0,4017.0,502.1,174.7,5.75,-674.0,2041.0,510.2,204.1,6.03,1288.0,4721.0,393.4,131.1,5.88,-950.0,4199.0,466.6,200.0,5.58,-468.0,7420.0,322.6,154.6,5.79
マイジャグラーV,1025,-432.0,1476.0,295.2,147.6,7.14,594.0,5867.0,391.1,143.1,5.95,-1406.0,6850.0,274.0,159.3,5.86,-1347.0,5346.0,534.6,205.6,5.71,-991.0,3016.0,502.7,201.1,6.09,-756.0,2307.0,461.4,192.2,6.22,-1088.0,1178.0,0.0,589.0,6.57,2268.0,7689.0,320.4,130.3,5.5,-468.0,3007.0,334.1,158.3,6.11,1276.0,6984.0,367.6,145.5,5.42,-509.0,2057.0,411.4,171.4,6.38,-1288.0,5486.0,288.7,166.2,5.83,291.0,8163.0,302.3,143.2,5.76,-1324.0,6058.0,403.9,189.3,5.63,771.0,6269.0,329.9,136.3,5.92,-326.0,1046.0,348.7,174.3,6.27,-109.0,2006.0,501.5,182.4,5.45,-356.0,3736.0,622.7,186.8,5.71,641.0,5616.0,312.0,140.4,5.64,-1029.0,2272.0,378.7,206.5,6.08,-206.0,5285.0,352.3,160.2,5.62,994.0,3611.0,361.1,133.7,5.59,1571.0,6256.0,312.8,130.3,5.62,-1606.0,2240.0,448.0,280.0,6.17
マイジャグラーV,1026,1535.0,4170.0,379.1,122.6,5.95,-479.0,5371.0,447.6,167.8,5.91,-974.0,4008.0,400.8,174.3,6.2,-38.0,6744.0,449.6,153.3,6.15,62.0,5319.0,379.9,147.8,6.07,1747.0,6787.0,295.1,125.7,5.76,50.0,5485.0,342.8,152.4,5.69,1124.0,8256.0,284.7,131.0,5.87,-797.0,4958.0,708.3,198.3,5.78,-574.0,5260.0,584.4,194.8,5.49,-1194.0,5852.0,418.0,177.3,5.98,-1418.0,5624.0,401.7,187.5,5.81,-2091.0,7242.0,344.9,172.4,6.21,562.0,5000.0,555.6,156.2,5.77,1053.0,2338.0,259.8,106.3,6.15,2391.0,7598.0,542.7,140.7,5.61,-444.0,3940.0,437.8,171.3,5.86,-244.0,6132.0,471.7,175.2,5.53,-121.0,5750.0,273.8,143.8,5.77,-1712.0,4474.0,344.2,203.4,5.69,768.0,3665.0,333.2,130.9,5.88,-1029.0,3921.0,301.6,163.4,6.17,676.0,8290.0,251.2,131.6,5.78,1371.0,7594.0,281.3,130.9,5.67
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1027,-668.0,1846.0,369.2,184.6,6.26,724.0,6808.0,378.2,144.9,5.79,1897.0,8237.0,411.8,137.3,5.78,-265.0,9107.0,276.0,144.6,5.78,-1535.0,3946.0,657.7,246.6,5.69,374.0,6065.0,404.3,151.6,5.77,-838.0,3666.0,523.7,192.9,5.91,-135.0,7885.0,315.4,151.6,5.68,-124.0,4564.0,414.9,157.4,5.94,876.0,6049.0,318.4,134.4,5.87,-956.0,9327.0,444.1,172.7,5.78,1029.0,6663.0,333.2,138.8,5.67,-665.0,6720.0,373.3,160.0,5.98,-132.0,6107.0,508.9,169.6,5.72,-621.0,6321.0,371.8,166.3,5.72,-1453.0,2497.0,624.2,277.4,6.0,-368.0,1889.0,377.8,171.7,5.97,1029.0,7781.0,277.9,129.7,5.92,1350.0,7373.0,368.6,134.1,5.99,-1371.0,3282.0,547.0,205.1,6.53,665.0,6094.0,435.3,148.6,5.81,-738.0,1290.0,645.0,322.5,5.49,97.0,4201.0,600.1,168.0,5.77,2091.0,7879.0,262.6,123.1,5.65
