model_name,unit_no,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,2025-01-13 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-01-27 00:00:00,2025-01-28 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-20 00:00:00,2025-02-21 00:00:00,2025-02-22 00:00:00,2025-02-23 00:00:00,2025-02-24 00:00:00,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,2025-04-04 00:00:00,2025-04-05 00:00:00,2025-04-06 00:00:00,2025-04-07 00:00:00,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,TOTAL
マイジャグラーV,1001,113.8,150.7,189.8,133.0,168.0,171.9,214.7,158.2,139.5,179.0,197.0,116.5,125.2,189.2,174.6,156.9,198.0,137.5,153.0,123.7,300.0,137.0,170.5,133.3,213.1,155.2,160.0,125.9,189.9,141.6,175.4,132.0,265.4,178.1,151.1,190.5,144.9,230.0,149.3,143.5,346.0,154.2,137.4,256.4,167.2,241.6,143.1,144.0,159.5,154.8,204.2,183.8,145.7,137.3,146.1,235.4,150.8,143.8,144.3,165.5,125.4,164.6,319.3,225.9,138.6,171.0,264.8,142.3,145.2,219.8,162.9,141.0,254.4,172.9,163.7,143.0,156.7,197.9,428.8,149.0,186.5,150.7,217.5,148.7,151.3,151.6,162.2,123.4,143.3,137.8,123.4,186.4,173.4,136.3,162.0,175.3,134.3,227.8,176.5,174.0,332.5,,,,155.4
マイジャグラーV,1002,129.0,160.8,148.4,232.8,194.6,243.0,148.3,220.2,132.4,149.4,142.2,184.9,199.2,110.0,130.1,250.2,180.7,161.8,127.2,81.8,128.9,197.0,149.9,175.0,119.0,164.4,389.0,151.8,162.8,193.9,144.7,132.9,191.7,191.0,124.6,411.3,128.3,150.4,245.5,240.4,171.1,124.0,152.8,99.6,182.4,165.1,226.1,128.4,189.8,132.9,294.9,161.6,139.8,inf,153.0,167.3,168.9,132.8,110.5,inf,inf,223.4,466.5,115.5,141.6,164.9,160.2,459.5,625.0,157.7,250.8,248.2,129.0,147.8,194.6,391.5,333.5,128.6,133.0,129.8,146.9,195.9,218.5,280.6,267.2,178.6,137.5,119.8,180.1,116.2,119.8,190.9,162.7,120.4,363.3,243.0,112.0,155.5,259.3,419.7,128.2,,,,147.1
マイジャグラーV,1003,151.6,150.0,146.5,127.6,162.8,295.6,166.4,143.8,193.9,219.6,299.7,174.3,118.7,170.3,264.3,232.8,142.5,133.1,143.7,128.3,197.3,156.4,134.0,inf,164.5,177.3,122.7,184.4,290.2,164.8,169.0,110.5,236.6,207.8,227.0,110.0,196.7,173.5,143.0,156.5,176.7,222.0,232.0,148.9,123.7,174.1,130.5,135.0,119.6,144.4,210.8,151.1,155.1,173.3,139.1,178.5,160.8,168.4,181.1,127.3,144.2,141.1,127.0,153.0,182.0,362.7,222.3,104.4,132.7,164.7,151.4,128.8,203.0,255.5,175.1,182.6,97.1,138.8,166.8,151.5,inf,217.0,145.3,238.4,133.9,160.2,155.3,171.9,128.2,204.0,171.9,123.8,195.9,152.2,176.8,502.0,176.3,180.0,123.5,228.5,127.5,,,,147.6
マイジャグラーV,1004,163.5,150.7,177.6,169.7,174.0,148.5,148.8,431.0,415.5,158.3,108.7,173.7,132.5,183.5,121.3,668.0,149.2,200.8,116.6,114.3,159.9,194.2,115.3,145.4,157.3,146.5,137.2,461.0,181.4,162.7,140.9,128.0,163.5,276.5,223.8,122.5,152.8,151.3,196.2,145.3,141.3,197.3,114.0,inf,427.0,131.6,153.9,199.0,229.8,187.5,123.1,149.5,210.6,160.4,161.2,158.8,125.1,135.2,132.8,110.2,230.0,177.2,inf,127.8,114.2,225.6,178.2,175.6,127.1,179.0,377.0,167.6,133.2,259.5,187.6,199.8,134.6,165.5,525.0,134.0,162.2,152.2,138.2,366.5,242.5,158.0,185.6,263.0,150.4,215.5,263.0,162.1,169.3,213.5,140.9,237.1,273.5,139.9,194.9,197.8,287.5,,,,147.8
マイジャグラーV,1005,147.1,175.8,290.4,137.5,240.9,136.3,144.1,155.3,206.0,316.5,126.1,198.7,163.7,152.1,161.5,217.1,213.9,126.3,191.6,153.8,122.3,inf,140.6,142.2,168.1,122.2,160.0,154.1,509.5,144.5,201.1,133.2,251.7,194.8,170.4,145.8,198.1,171.8,144.0,181.3,430.0,169.6,280.5,159.8,141.4,167.5,128.9,149.5,169.2,156.2,137.5,135.5,158.7,137.1,173.5,375.0,179.3,149.9,162.9,157.3,130.0,126.8,160.2,172.9,178.9,164.3,160.5,158.8,183.6,139.3,284.4,179.5,178.5,127.8,154.5,344.7,172.9,140.3,136.4,176.8,154.5,236.4,161.2,324.0,158.0,152.1,159.1,112.6,185.2,114.4,112.6,250.4,145.0,164.7,273.5,159.9,135.3,128.1,121.5,259.0,155.4,,,,149.9
マイジャグラーV,1006,158.9,210.6,173.1,416.5,130.2,128.7,291.0,164.4,125.8,179.0,170.6,130.7,156.0,258.0,153.7,125.6,201.2,146.7,151.2,134.7,148.5,208.7,182.3,241.4,148.0,131.0,146.0,144.2,223.3,213.2,193.6,115.5,241.5,120.1,182.6,214.2,140.9,159.7,136.2,151.1,214.2,162.3,262.7,215.7,129.5,159.7,157.8,327.0,119.4,186.0,128.5,167.0,152.8,342.5,172.5,185.3,98.4,115.0,156.1,576.0,140.9,151.1,147.4,138.6,136.8,155.1,158.8,227.8,266.0,167.1,353.0,116.6,156.1,135.3,105.9,153.3,175.1,461.5,218.0,177.2,180.9,164.0,210.2,132.6,146.5,163.3,162.6,345.7,170.1,134.6,345.7,221.8,152.4,162.2,150.3,158.1,184.4,152.0,333.8,143.4,127.1,,,,149.7
マイジャグラーV,1007,173.6,214.0,178.5,148.4,122.4,129.6,198.0,211.0,182.2,149.9,125.7,238.4,122.8,129.8,169.5,179.8,151.8,167.9,859.0,125.6,331.2,125.0,182.9,185.3,123.9,239.9,208.5,150.9,127.3,317.5,134.0,173.0,130.3,133.1,182.8,190.8,233.7,140.8,237.5,201.9,249.3,115.2,181.8,245.4,191.2,110.9,274.8,136.0,122.3,139.2,290.2,812.0,126.9,152.6,135.0,133.5,151.4,149.3,140.0,144.4,162.9,123.2,458.0,215.4,340.8,128.6,113.7,160.6,inf,137.1,116.2,160.9,142.3,201.1,207.8,237.7,206.4,120.4,125.8,230.3,195.4,142.5,183.6,192.9,128.0,139.7,210.6,170.1,175.2,149.2,170.1,135.3,120.4,132.3,607.0,239.7,258.4,144.7,181.9,184.4,223.0,,,,147.8
マイジャグラーV,1008,150.8,131.9,430.0,217.8,134.1,104.0,428.0,190.6,153.4,165.3,157.0,142.5,149.7,193.3,180.0,197.8,172.0,177.7,149.0,172.7,192.0,137.8,154.9,158.2,110.1,121.4,544.0,140.2,122.6,183.6,248.0,172.7,141.1,122.7,478.5,131.1,307.0,163.1,155.8,227.4,99.4,196.8,136.4,254.2,125.9,171.9,149.6,438.0,508.0,160.8,155.3,127.9,158.9,143.1,180.7,170.5,137.7,190.4,168.5,232.1,131.4,154.9,104.1,115.7,172.2,261.6,168.3,120.5,136.2,198.8,218.0,175.2,148.2,253.2,224.0,143.8,148.1,249.8,181.9,148.7,229.0,248.2,165.8,128.2,124.5,187.2,175.5,144.6,200.0,237.1,144.6,147.6,167.2,120.1,183.0,426.0,205.4,104.4,187.1,171.0,144.1,,,,150.3
マイジャグラーV,1009,136.5,199.7,150.8,178.1,312.8,193.1,130.6,188.1,158.2,150.7,159.4,224.0,200.1,146.5,111.3,486.0,185.7,155.5,175.8,288.8,136.8,168.4,152.1,170.5,373.6,127.4,124.6,205.8,471.0,163.4,142.6,148.9,354.8,148.4,158.9,168.3,239.6,191.6,198.5,120.7,112.0,166.8,164.5,154.4,153.7,215.4,142.9,198.5,135.9,262.0,115.9,173.8,202.2,207.7,156.7,188.4,134.8,158.3,155.5,176.3,170.3,169.3,150.7,258.8,148.4,149.2,inf,117.0,107.3,239.0,154.4,129.3,177.7,216.8,112.5,167.0,124.5,163.5,178.7,422.5,192.8,148.9,148.0,494.3,174.6,135.1,176.5,167.1,155.7,204.0,167.1,148.4,175.3,144.8,145.4,181.2,124.2,116.4,173.0,136.9,156.0,,,,151.7
マイジャグラーV,1010,98.7,172.3,168.0,225.2,125.0,130.3,196.2,205.5,160.7,166.7,197.7,193.1,170.1,221.0,151.1,146.3,192.8,178.4,156.6,154.7,143.6,436.5,170.5,182.5,112.4,168.9,97.5,159.0,203.6,252.7,179.2,153.9,130.8,127.6,326.2,248.0,139.8,202.5,201.3,222.0,176.8,144.5,156.8,160.8,149.4,150.1,160.9,150.2,144.8,181.5,120.3,148.4,175.2,180.7,159.7,148.8,138.2,126.4,228.7,266.2,187.9,152.6,153.6,163.8,200.3,157.9,100.7,151.3,159.5,212.1,162.9,123.4,175.5,127.6,183.7,143.0,136.4,181.2,217.9,190.3,187.6,143.4,197.7,128.8,178.4,159.6,161.6,212.9,134.4,183.6,212.9,134.4,152.4,146.2,197.8,167.2,111.7,174.1,194.9,152.6,151.2,,,,154.3
