,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: MYV,600,1.037,0.952,0.998,0.958,0.971,0.924,0.953,0.994,0.987,0.982,0.976,1.038,0.962,1.03,1.019,1.005,0.991,1.025,0.972,0.94,0.95,1.016,0.98,0.932,0.975,0.978,1.032,1.018,0.998,1.031,0.987,0.992
a: MYV,601,0.968,1.037,0.993,0.971,1.035,0.986,0.961,0.978,1.009,1.013,1.03,1.057,1.051,0.988,0.977,0.948,0.935,1.042,1.009,1.033,0.855,0.966,0.997,1.0,0.969,1.024,0.993,0.957,1.021,1.028,1.021,1.001
a: MYV,602,0.956,1.006,0.958,0.972,1.061,0.977,1.011,1.037,0.981,0.939,0.999,1.002,0.968,0.984,1.003,0.954,0.988,1.071,1.029,0.968,0.961,1.05,1.004,0.946,1.051,0.963,1.001,0.981,1.006,0.976,0.995,1.0
a: MYV,603,1.005,0.984,1.041,0.96,1.026,0.967,0.982,0.981,0.992,1.033,1.052,1.013,1.028,1.021,1.047,0.932,0.953,1.019,0.964,1.011,0.999,1.065,0.962,0.958,0.983,0.984,1.031,1.02,1.036,0.96,0.871,1.005
a: MYV,604,1.003,1.063,0.977,0.929,1.014,1.013,1.023,0.996,0.967,0.969,1.069,1.008,0.901,0.975,1.051,1.073,1.052,0.986,0.949,0.986,1.012,1.097,1.041,0.999,0.984,1.044,0.987,0.977,0.946,1.029,0.965,1.016
a: MYV,605,0.966,1.034,0.955,1.029,1.005,1.037,1.019,1.014,1.052,0.958,0.993,0.999,1.005,0.894,1.019,0.917,1.025,1.036,0.96,1.004,1.015,1.022,0.948,0.88,1.011,0.993,0.992,1.056,0.981,1.051,0.967,1.004
a: MYV,606,1.009,1.051,1.008,0.931,1.008,0.943,0.999,1.038,1.004,0.937,0.988,0.997,0.955,0.993,1.011,0.984,1.027,0.944,0.953,0.958,0.983,1.056,1.009,0.969,1.018,0.967,1.01,1.048,1.016,1.008,0.944,1.0
a: MYV,607,0.993,1.009,1.002,1.016,0.98,1.049,0.992,1.03,0.959,1.014,1.005,1.01,1.005,0.99,1.023,0.96,0.976,1.026,0.917,0.988,0.933,1.048,1.031,1.01,1.017,0.97,1.04,0.997,0.942,1.051,1.054,1.006
a: MYV,608,1.049,0.996,1.01,0.944,0.963,0.947,0.958,1.02,0.986,0.989,0.98,1.032,1.006,1.075,1.023,0.922,0.988,0.906,0.967,0.974,0.997,1.026,0.992,0.988,1.062,0.935,1.039,1.022,1.026,1.035,1.024,1.003
b: MYV,658,1.031,1.012,1.014,1.002,1.061,1.021,1.021,1.008,0.983,1.024,0.991,1.016,1.033,0.943,0.992,1.027,0.986,1.022,0.973,0.983,1.028,0.902,0.975,1.04,1.001,0.997,1.03,0.978,1.063,0.975,0.981,1.01
b: MYV,659,1.022,0.997,0.996,0.987,0.984,0.983,1.043,0.97,1.029,0.941,1.003,1.02,0.969,1.001,1.05,0.947,0.957,0.958,0.949,1.071,1.013,1.006,0.987,1.019,1.043,0.965,1.028,0.951,0.932,1.016,1.032,1.001
b: MYV,660,1.004,1.015,0.977,0.919,0.902,0.965,0.989,0.953,0.993,1.004,1.033,0.932,1.009,0.827,1.069,1.004,1.03,1.021,0.954,0.976,1.042,1.005,0.999,0.932,1.037,1.022,0.979,1.047,1.068,1.039,1.042,1.001
b: MYV,661,0.949,1.014,0.927,0.982,1.019,0.95,1.013,0.96,1.003,1.079,0.967,1.0,0.949,1.041,1.04,0.957,0.971,1.029,0.925,0.966,1.034,0.983,0.977,1.004,0.93,1.009,0.97,1.028,1.001,0.968,1.028,0.993
b: MYV,662,1.021,0.996,0.998,0.967,0.937,1.039,0.99,0.995,0.926,1.04,0.984,1.011,0.943,0.961,0.997,1.063,1.128,1.04,0.998,1.001,1.042,1.009,1.052,0.979,1.033,1.038,0.991,1.004,1.0,1.056,1.037,1.01
b: MYV,663,1.016,1.004,0.955,0.993,0.959,1.024,0.999,1.006,0.943,1.022,1.074,1.005,1.028,1.008,0.966,0.955,0.983,0.997,0.976,0.962,0.992,0.941,0.984,0.969,0.968,1.055,1.071,1.032,0.989,0.957,0.969,0.999
b: MYV,664,1.03,1.01,1.031,0.94,1.082,0.983,1.085,0.907,0.973,1.013,0.993,0.999,1.035,1.012,1.016,0.897,0.913,1.006,0.94,0.981,1.049,0.936,0.92,1.017,1.047,0.976,1.052,1.008,1.042,1.041,1.088,1.013
b: MYV,665,1.016,1.0,0.966,0.99,0.997,1.054,0.971,0.972,1.011,0.986,0.97,0.956,0.987,0.92,0.973,0.854,0.968,0.957,1.104,1.032,0.993,0.977,1.034,0.907,1.055,0.937,0.946,0.973,0.998,1.041,1.017,0.989
b: MYV,666,1.023,1.004,1.036,1.042,1.018,1.011,0.973,1.059,1.049,0.93,1.008,1.034,0.97,1.031,0.955,0.947,0.956,1.012,1.022,0.95,1.07,1.135,1.037,1.037,1.011,0.959,1.017,0.928,0.952,0.997,0.912,1.014
b: MYV,667,1.005,0.919,1.002,0.993,1.02,1.004,1.046,0.911,0.988,0.893,1.007,0.996,1.002,1.026,1.037,0.919,0.947,0.957,0.902,0.963,1.031,0.984,1.048,0.931,0.963,1.037,1.009,1.013,0.966,1.013,0.97,0.997
b: MYV,668,0.987,0.986,1.013,0.967,1.021,1.003,0.974,1.008,0.977,1.028,0.883,0.987,0.999,0.932,0.997,0.913,0.883,1.063,0.952,1.029,1.095,0.939,1.032,1.038,1.004,1.009,1.013,0.987,1.021,1.03,1.087,1.001
b: MYV,669,0.97,1.031,1.024,1.002,1.037,1.007,1.011,0.925,0.88,0.983,1.034,0.971,0.95,1.041,0.991,1.016,0.972,1.02,0.99,0.979,1.018,1.01,0.967,0.881,0.994,1.081,0.987,0.957,1.019,1.026,1.031,1.002
b: MYV,670,0.989,0.988,0.954,1.024,1.018,0.943,0.997,0.978,1.003,0.938,1.033,1.001,1.029,0.999,1.035,1.001,1.002,0.984,0.974,0.966,1.04,0.983,0.995,0.975,0.987,1.025,0.99,1.011,0.932,1.052,0.988,0.998
