,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,TOTAL,TOTAL,TOTAL,TOTAL
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴーゴージャグラー3,1065,-2215,7269,290.8,165.2,971,6975,268.3,124.6,126,6919,384.4,144.1,-415,7049,320.4,146.9,-1359,3839,639.8,202.1,-1912,4474,372.8,203.4,-179,8486,217.6,128.6,712,8080,252.5,122.4,76,6811,324.3,141.9,2726,7467,233.3,109.8,-1469,67369,289.1,138.9
ゴーゴージャグラー3,1066,959,7876,302.9,129.1,-1688,6195,229.4,144.1,-959,3562,296.8,161.9,-544,4156,259.8,143.3,-41,6272,232.3,133.4,1562,8497,249.9,121.4,-721,3087,441.0,171.5,-526,7691,248.1,134.9,-1100,2537,422.8,211.4,3565,8871,181.0,99.7,507,58744,250.0,131.1
ゴーゴージャグラー3,1067,1618,6558,546.5,142.6,959,6201,269.6,121.6,-515,3962,792.4,188.7,1756,7407,211.6,107.3,503,6060,356.5,134.7,-85,7748,276.7,135.9,-1171,5609,350.6,160.3,-1806,5749,410.6,185.5,944,7156,255.6,121.3,2356,8745,213.3,112.1,4559,65195,297.7,132.5
ゴーゴージャグラー3,1107,-359,5876,309.3,146.9,-1029,8544,213.6,133.5,515,6043,262.7,131.4,-179,6922,407.2,150.5,-2179,4907,701.0,223.0,-2126,7572,329.2,168.3,182,7929,360.4,141.6,406,8172,340.5,145.9,-1488,3363,1121.0,240.2,2444,7379,254.4,115.3,-3813,66707,322.3,147.3
ゴーゴージャグラー3,1108,-2426,7160,358.0,179.0,-703,5760,360.0,151.6,2850,7307,182.7,100.1,1544,6903,363.3,132.8,3047,7822,205.8,104.3,-465,7510,375.5,150.2,-194,5583,265.9,132.9,-1335,6647,302.1,144.5,594,6701,268.0,126.4,-1653,7645,246.6,149.9,1259,69038,274.0,132.8
ゴーゴージャグラー3,1109,-700,6817,243.5,145.0,-1194,6817,227.2,142.0,1324,7044,227.2,119.4,-1159,5789,304.7,156.5,2953,7480,340.0,113.3,3544,8259,168.6,94.9,-744,3611,401.2,172.0,-206,5664,377.6,145.2,1253,7132,310.1,127.4,732,8402,254.6,129.3,5803,67015,258.7,127.6
ゴーゴージャグラー3,1110,-582,7613,282.0,149.3,-229,6847,285.3,139.7,609,5769,274.7,128.2,-1888,3544,443.0,208.5,1076,8729,212.9,118.0,-274,3598,449.8,156.4,1429,5800,241.7,113.7,629,7762,277.2,131.6,-709,4908,258.3,144.4,171,8080,224.4,126.2,232,62650,265.5,134.2
ゴーゴージャグラー3,1111,-665,7574,280.5,142.9,1968,7096,253.4,122.3,-1653,3123,780.8,260.2,747,7234,380.7,136.5,-815,3124,240.3,148.8,76,8024,364.7,148.6,1947,6895,186.4,106.1,229,4881,406.8,139.5,2532,7665,306.6,114.4,65,6113,277.9,138.9,4431,61729,295.4,133.6
ゴーゴージャグラー3,1112,2109,7880,315.2,123.1,-100,7838,252.8,135.1,1968,7776,277.7,119.6,-821,4088,408.8,163.5,1135,4810,300.6,120.2,465,8433,227.9,125.9,-97,3888,555.4,162.0,1371,7535,228.3,115.9,144,4867,347.6,139.1,1385,7558,290.7,123.9,7559,64673,284.9,128.3
ゴーゴージャグラー3,1113,2976,7236,219.3,104.9,218,5894,368.4,140.3,-921,4974,452.2,177.6,-1276,7066,243.7,147.2,1488,7976,265.9,122.7,-1547,5865,366.6,172.5,-1006,5064,389.5,174.6,1418,6379,290.0,120.4,821,6326,332.9,129.1,606,7499,234.3,127.1,2777,64279,290.9,135.0
ゴーゴージャグラー3,1115,1488,8063,310.1,126.0,-1041,7592,316.3,154.9,-756,7452,372.6,152.1,-771,5165,368.9,166.6,103,6630,221.0,122.8,3141,7878,291.8,111.0,700,6164,362.6,143.3,382,6725,292.4,140.1,535,6363,424.2,141.4,574,6390,336.3,136.0,4355,68422,318.2,136.6
ゴーゴージャグラー3,1116,-206,7726,286.1,140.5,4544,7150,264.8,99.3,1382,7941,226.9,120.3,-679,2962,423.1,174.2,-1324,4198,381.6,182.5,971,7067,186.0,112.2,-747,5903,347.2,159.5,-403,7722,286.0,137.9,-3165,4119,823.8,316.8,3000,7586,270.9,113.2,3373,62374,281.0,133.0
ゴーゴージャグラー3,1117,3282,7634,218.1,104.6,2109,7123,245.6,111.3,-762,1262,1262.0,315.5,-1065,4762,297.6,158.7,3376,8576,199.4,105.9,1818,7330,318.7,122.2,9,4949,309.3,133.8,1147,9226,249.4,123.0,-962,6655,369.7,162.3,-382,6950,315.9,139.0,8570,64467,268.6,125.2
ゴーゴージャグラー3,1118,1879,7457,233.0,114.7,-1112,5421,417.0,169.4,418,6940,301.7,136.1,2506,7817,325.7,118.4,3047,8452,206.1,105.6,197,8118,300.7,135.3,-85,4662,310.8,137.1,-726,7518,234.9,131.9,-465,5570,309.4,146.6,-959,7273,363.6,169.1,4700,69228,282.6,131.6
ゴーゴージャグラー3,1119,44,7141,310.5,142.8,-1665,5660,283.0,166.5,488,7642,283.0,138.9,2479,6509,224.4,108.5,829,7008,333.7,132.2,-1747,4018,309.1,182.6,1300,7911,188.4,109.9,-674,6516,434.4,167.1,-1359,3108,388.5,207.2,121,8324,260.1,134.3,-184,63837,277.6,138.2
ゴーゴージャグラー3,1120,947,8130,239.1,125.1,1488,6143,236.3,118.1,-385,3863,297.2,148.6,-579,4606,383.8,158.8,1524,7629,218.0,113.9,-1594,4570,507.8,198.7,3329,8458,248.8,111.3,782,8248,284.4,133.0,-135,7506,278.0,136.5,1968,7976,234.6,117.3,7345,67129,265.3,128.4
ゴーゴージャグラー3,1121,1253,7965,274.7,126.4,759,5147,428.9,135.4,-1076,5723,301.2,154.7,-900,5450,286.8,151.4,-774,5459,303.3,151.6,-1429,4890,376.2,181.1,3338,7570,199.2,98.3,732,6243,249.7,127.4,238,5829,416.4,145.7,641,6974,387.4,139.5,2782,61250,298.8,135.2
ゴーゴージャグラー3,1122,2126,7769,222.0,111.0,-262,6249,416.6,160.2,-2550,4061,451.2,238.9,-3,5237,327.3,141.5,-959,5713,571.3,178.5,-1018,5646,376.4,161.3,815,7050,282.0,128.2,888,6625,348.7,132.5,1771,6120,291.4,117.7,1559,9661,268.4,127.1,2367,64131,319.1,138.5
TOTAL,,11528,133744,276.9,131.1,3993,118652,277.9,133.8,103,101363,298.1,140.0,-1247,102666,310.2,140.6,11630,114684,269.2,127.4,-423,119497,288.6,137.4,8105,108619,272.2,129.6,3020,127383,289.5,135.1,-475,102736,332.5,141.5,18919,138893,257.2,125.6,55153,1168237,284.3,133.6
