,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,TOTAL,TOTAL,TOTAL,TOTAL
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジャグラーガールズ,1130,688,7800,354.5,139.3,-156,5863,586.3,158.5,-359,5289,377.8,155.6,-1394,5647,313.7,176.5,65,6986,291.1,134.3,-1632,6401,304.8,168.4,1465,6769,307.7,125.4,747,5017,278.7,128.6,-568,4858,404.8,167.5,-1159,7338,293.5,156.1,-2303,61968,333.2,148.2
ジャグラーガールズ,1131,53,7746,309.8,149.0,-1006,4573,415.7,182.9,-100,6509,406.8,151.4,203,6998,304.3,137.2,-274,7164,341.1,149.2,-1359,3333,333.3,196.1,-394,6413,377.2,156.4,-738,3890,353.6,169.1,-3,7516,278.4,144.5,803,8271,275.7,131.3,-2815,62413,326.8,150.4
ジャグラーガールズ,1132,1453,7545,343.0,134.7,-665,7465,276.5,143.6,-1629,5131,320.7,171.0,1041,7145,310.7,134.8,1476,6993,333.0,131.9,194,7568,360.4,145.5,-144,3475,386.1,165.5,2215,7631,331.8,127.2,-109,6815,324.5,151.4,112,7270,290.8,137.2,3944,67038,322.3,141.1
ジャグラーガールズ,1133,1441,7435,338.0,126.0,-938,4873,406.1,174.0,-921,3351,372.3,186.2,-806,5088,318.0,164.1,3424,7909,226.0,105.5,-985,7110,296.2,148.1,-1924,7085,272.5,164.8,2532,8710,335.0,126.2,959,4171,463.4,134.5,1194,8246,434.0,139.8,3976,63978,323.1,138.8
ジャグラーガールズ,1134,1594,7050,213.6,115.6,-594,6323,351.3,158.1,441,6684,278.5,139.2,-1500,2758,394.0,229.8,1597,8527,243.6,120.1,-2268,6324,301.1,180.7,1265,6669,333.4,133.4,441,4196,524.5,149.9,144,4952,450.2,154.8,606,8832,238.7,126.2,1726,62315,291.2,139.4
ジャグラーガールズ,1135,-488,7682,256.1,147.7,-1241,5651,313.9,161.5,4044,9440,304.5,115.1,1809,7754,310.2,129.2,1171,5616,280.8,122.1,-406,6157,293.2,150.2,-1288,3036,379.5,202.4,924,7040,306.1,132.8,1121,6533,362.9,133.3,785,8015,296.9,135.8,6431,66924,302.8,136.0
ジャグラーガールズ,1136,653,8528,218.7,125.4,-779,7565,291.0,151.3,1632,7104,322.9,126.9,1053,7153,298.0,130.1,3400,8047,287.4,111.8,924,7043,440.2,143.7,-700,7003,500.2,166.7,-879,5020,313.8,161.9,921,7674,295.2,134.6,-285,8295,345.6,153.6,5940,73432,312.5,137.5
ジャグラーガールズ,1137,2788,7726,257.5,113.6,1829,7935,396.8,132.2,-206,5839,343.5,149.7,-2444,4540,567.5,267.1,2726,8227,293.8,119.2,615,7187,399.3,149.7,-726,3919,301.5,156.8,-1029,4602,460.2,184.1,1229,6519,296.3,130.4,2356,8756,380.7,132.7,7138,65250,345.2,139.7
ジャグラーガールズ,1138,4574,7828,260.9,103.0,947,7532,259.7,125.5,-591,3136,392.0,196.0,1641,7486,394.0,138.6,2674,8108,279.6,117.5,-1382,4592,353.2,183.7,-1029,6335,288.0,154.5,-406,5515,459.6,167.1,-215,7070,243.8,133.4,-124,6776,398.6,154.0,6089,64378,309.5,136.7
ジャグラーガールズ,1139,347,6461,380.1,150.3,-1324,5792,289.6,160.9,2479,7408,211.7,108.9,-1194,2253,1126.5,321.9,2426,6082,264.4,112.6,5065,6158,192.4,86.7,-556,2250,321.4,187.5,782,5779,412.8,137.6,-768,3593,399.2,171.1,2444,7133,339.7,125.1,9701,52909,293.9,128.7
ジャグラーガールズ,1140,1276,8970,213.6,116.5,641,7156,275.2,130.1,-321,4906,327.1,153.3,2709,8578,428.9,128.0,-215,6134,340.8,149.6,-1641,3604,400.4,212.0,-691,5955,283.6,148.9,-147,6842,273.7,139.6,-1041,2261,1130.5,282.6,2321,7405,231.4,110.5,2891,61811,294.3,136.4
ジャグラーガールズ,1141,-453,8030,349.1,154.4,1018,6427,306.0,131.2,-382,6480,324.0,150.7,-1915,3903,557.6,260.2,1571,7548,228.7,116.1,-865,6869,528.4,171.7,-650,1731,1731.0,247.3,1088,5903,295.2,125.6,1400,8336,378.9,138.9,903,7587,303.5,133.1,1715,62814,339.5,144.4
ジャグラーガールズ,1142,-1206,6787,377.1,165.5,-1171,5352,297.3,157.4,2126,7712,220.3,111.8,-715,3880,485.0,176.4,-426,6109,265.6,145.5,1335,9038,205.4,118.9,1876,7646,294.1,121.4,-971,4544,378.7,174.8,-438,4448,317.7,153.4,-594,8074,244.7,141.6,-184,63590,275.3,138.5
ジャグラーガールズ,1143,-150,6534,435.6,152.0,-1171,6814,400.8,174.7,-1453,6321,332.7,170.8,-453,6237,328.3,155.9,1950,7772,180.7,106.5,-574,7218,313.8,150.4,347,7099,443.7,157.8,-1582,5912,454.8,190.7,-371,6898,344.9,160.4,1315,8456,325.2,134.2,-2142,69261,328.3,149.9
ジャグラーガールズ,1145,2506,8804,266.8,119.0,-571,6161,440.1,162.1,688,5114,464.9,146.1,109,5695,355.9,142.4,1382,6784,399.1,138.4,244,6227,345.9,141.5,-1265,4051,270.1,162.0,-321,6413,356.3,156.4,-1018,5321,332.6,156.5,1371,7460,276.3,128.6,3125,62030,335.3,141.6
ジャグラーガールズ,1146,544,7356,306.5,138.8,924,6190,343.9,134.6,641,7283,260.1,125.6,1382,5975,351.5,127.1,-2691,3736,467.0,266.9,2162,7585,261.6,118.5,1688,7507,197.6,107.2,-485,4221,324.7,156.3,585,7064,470.9,153.6,159,7850,290.7,140.2,4909,64767,298.5,134.7
ジャグラーガールズ,1147,3926,8047,277.5,111.8,806,8489,202.1,119.6,-1465,4405,400.5,183.5,-1476,4796,399.7,184.5,2374,8325,378.4,132.1,-244,4090,371.8,163.6,-1029,3045,609.0,234.2,-503,6059,336.6,159.4,-526,3202,291.1,160.1,-629,8104,270.1,147.3,1234,58562,306.6,143.9
ジャグラーガールズ,1148,-1735,7389,254.8,147.8,15,5030,558.9,162.3,1509,6549,297.7,128.4,632,6472,462.3,150.5,2179,7917,329.9,125.7,1594,7389,295.6,123.2,-885,3894,389.4,169.3,-232,4679,425.4,156.0,1121,7049,391.6,135.6,-2709,7006,350.3,189.4,1489,63374,348.2,144.0
ジャグラーガールズ,1149,85,7519,268.5,139.2,2976,7078,235.9,108.9,-924,3517,703.4,219.8,-1712,4040,577.1,224.4,-315,7840,224.0,130.7,2832,8530,250.9,113.7,-709,6199,248.0,144.2,1171,7465,257.4,126.5,-132,7250,278.8,136.8,-194,7213,343.5,153.5,3078,66651,277.7,136.0
ジャグラーガールズ,1150,2976,7670,232.4,108.0,-1276,6166,513.8,186.8,-512,6206,387.9,159.1,2144,5923,227.8,105.8,-162,5399,415.3,158.8,476,6644,511.1,158.2,-332,7534,327.6,144.9,-150,5856,266.2,139.4,-1335,5632,375.5,181.7,462,8132,387.2,150.6,2291,65162,335.9,143.5
ジャグラーガールズ,1151,-2109,6901,405.9,181.6,1606,7906,232.5,118.0,959,5992,499.3,146.1,-597,6256,391.0,160.4,9,6962,290.1,139.2,-2162,4992,554.7,226.9,-406,7230,344.3,157.2,-815,5886,367.9,159.1,-1676,4552,379.3,189.7,547,8219,391.4,139.3,-4644,64896,356.6,153.4
ジャグラーガールズ,1152,-582,5942,349.5,160.6,-218,6977,436.1,158.6,-1229,4794,599.2,199.8,-1418,8234,211.1,139.6,-509,8231,316.6,152.4,-1335,5190,399.2,185.4,309,5336,333.5,140.4,1594,7613,331.0,138.4,-685,3158,315.8,157.9,2038,8376,322.2,123.2,-2035,63851,329.1,149.5
ジャグラーガールズ,1153,-1112,7309,281.1,155.5,1747,7580,222.9,114.8,1579,8592,277.2,126.4,-1276,3265,544.2,217.7,-1112,3567,396.3,187.7,-500,6899,287.5,146.8,2568,8303,286.3,122.1,-994,2243,373.8,203.9,-1453,7616,272.0,152.3,-1759,6534,343.9,176.6,-2312,61908,292.0,144.6
ジャグラーガールズ,1154,2815,6606,165.2,95.7,3809,7505,357.4,115.5,-735,2994,332.7,166.3,-1276,2406,802.0,240.6,1174,8605,277.6,128.4,4985,8500,223.7,98.8,-491,2145,536.2,178.8,-971,3012,1004.0,251.0,-856,4136,295.4,159.1,721,6853,244.8,134.4,9175,52762,276.2,126.8
ジャグラーガールズ,1155,135,7784,288.3,139.0,1818,6292,449.4,131.1,-2197,4523,565.4,238.1,32,4680,312.0,141.8,-74,7117,395.4,154.7,-2126,6951,316.0,178.2,-524,6393,245.9,142.1,159,7128,419.3,155.0,-1359,8359,380.0,170.6,-182,9145,315.3,149.9,-4318,68372,345.3,154.7
TOTAL,,20019,187449,279.4,131.5,7026,164695,318.6,140.3,3074,145279,328.7,144.1,-5421,137162,351.7,152.1,23820,175705,289.0,130.2,2947,161599,309.6,142.1,-4225,137022,315.7,146.7,1430,141176,346.9,148.0,-5073,144983,338.0,150.4,10502,195346,308.6,139.6,54099,1590416,314.7,141.4
