model_name,unit_no,2025-04-19,2025-04-16,2025-04-09,2025-04-06,2025-03-29,2025-03-26,2025-03-19,2025-03-16,2025-03-09,2025-03-06,2025-02-26,2025-02-19,2025-02-16,2025-02-09,2025-02-06,2025-01-29,2025-01-26,2025-01-19,2025-01-16,2025-01-09,2025-01-06,2024-12-29,2024-12-26,2024-12-19,2024-12-16,2024-12-09,2024-12-06,2024-12-05,2024-11-29,2024-11-26,2024-11-19,2024-11-16,2024-11-09,2024-11-06,2024-10-29,2024-10-26,2024-10-19,2024-10-16,2024-10-09,2024-10-06,2024-09-29,2024-09-26,2024-09-19,2024-09-16,2024-09-09,2024-09-06,2024-08-29,2024-08-26,2024-08-19,2024-08-16,2024-08-09,2024-08-06,2024-07-29,2024-07-26,2024-07-19,2024-07-16,2024-07-09,2024-07-06,2024-06-29,2024-06-26,2024-06-19,2024-06-16,2024-06-09,2024-06-06,2024-05-29,2024-05-26,2024-05-19,2024-05-16,2024-05-09
マイジャグラーV,1350,6714.0,5875.0,4356.0,7129.0,4924.0,6358.0,4557.0,,,,,,,,,,,,,,,,,,,,,,,,,,3234.0,8350.0,3568.0,8680.0,4657.0,7257.0,2785.0,7660.0,7882.0,6528.0,6406.0,7056.0,5063.0,5843.0,3979.0,8196.0,5702.0,7854.0,9533.0,7890.0,8804.0,7486.0,4261.0,6102.0,8462.0,7252.0,3241.0,7273.0,3371.0,8482.0,6515.0,7273.0,2437.0,7170.0,5981.0,8004.0,6275.0
マイジャグラーV,1351,4477.0,7815.0,4573.0,7150.0,8233.0,8749.0,2081.0,,,,,,,,,,,,,,,,,,,,,,,,,,4502.0,3890.0,594.0,5317.0,5198.0,8926.0,2991.0,5472.0,7729.0,8216.0,1732.0,7597.0,3830.0,8316.0,6452.0,9750.0,6406.0,7521.0,8339.0,7590.0,5025.0,6000.0,5980.0,8921.0,7618.0,7029.0,5066.0,9696.0,3085.0,5920.0,3190.0,8962.0,1954.0,4272.0,2063.0,7943.0,5614.0
マイジャグラーV,1352,2930.0,6475.0,2865.0,6969.0,8281.0,8746.0,5646.0,,,,,,,,,,,,,,,,,,,,,,,,,,4520.0,7494.0,8813.0,7639.0,7760.0,7459.0,2489.0,7104.0,4336.0,6710.0,7451.0,9157.0,2001.0,7079.0,556.0,7562.0,3788.0,8690.0,8400.0,6616.0,8907.0,8562.0,2205.0,9125.0,8572.0,5754.0,5176.0,7579.0,5697.0,8314.0,8294.0,8604.0,1165.0,8646.0,7347.0,7898.0,3114.0
マイジャグラーV,1353,6618.0,6608.0,2480.0,8984.0,4623.0,9084.0,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,7603.0,6474.0,1046.0,6257.0,4371.0,8802.0,3136.0,5385.0,5538.0,7658.0,1232.0,5572.0,5017.0,5696.0,2283.0,8543.0,5180.0,5681.0,4799.0,7390.0,4758.0,4453.0,5887.0,6478.0,6099.0,6781.0,2567.0,8502.0,7183.0,6929.0,4443.0,8113.0,4996.0,5744.0,1989.0,7443.0,6363.0
マイジャグラーV,1354,7746.0,6745.0,6674.0,8210.0,7892.0,8888.0,4349.0,,,,,,,,,,,,,,,,,,,,,,,,,,7535.0,7869.0,6214.0,6091.0,4816.0,8709.0,3088.0,7618.0,5612.0,7703.0,5637.0,7621.0,7449.0,8809.0,3213.0,6548.0,6061.0,6750.0,5575.0,7682.0,7258.0,6441.0,4134.0,8217.0,7361.0,7204.0,7798.0,8183.0,4528.0,8191.0,8748.0,8408.0,4042.0,6663.0,3734.0,7182.0,6763.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1350,373.0,391.7,290.4,509.2,547.1,353.2,325.5,,,,,,,,,,,,,,,,,,,,,,,,,,539.0,363.0,356.8,510.6,776.2,345.6,464.2,403.2,414.8,296.7,305.0,392.0,316.4,449.5,265.3,372.5,438.6,392.7,366.7,292.2,284.0,299.4,426.1,435.9,264.4,426.6,1080.3,454.6,481.6,403.9,434.3,661.2,487.4,421.8,543.7,348.0,482.7
マイジャグラーV,1351,746.2,325.6,415.7,397.2,329.3,324.0,297.3,,,,,,,,,,,,,,,,,,,,,,,,,,450.2,972.5,594.0,443.1,371.3,371.9,271.9,342.0,249.3,304.3,866.0,345.3,547.1,308.0,268.8,237.8,337.2,313.4,252.7,244.8,295.6,428.6,427.1,356.8,400.9,390.5,389.7,277.0,308.5,538.2,319.0,358.5,0.0,2136.0,687.7,361.0,350.9
マイジャグラーV,1352,488.3,431.7,358.1,536.1,345.0,194.4,434.3,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,374.7,251.8,363.8,352.7,339.0,276.6,417.9,619.4,353.2,372.6,352.2,667.0,337.1,556.0,444.8,420.9,280.3,400.0,348.2,247.4,295.2,2205.0,240.1,295.6,442.6,739.4,398.9,299.8,286.7,345.6,344.2,1165.0,288.2,334.0,263.3,622.8
マイジャグラーV,1353,413.6,367.1,413.3,390.6,355.6,211.3,528.1,,,,,,,,,,,,,,,,,,,,,,,,,,292.4,340.7,1046.0,481.3,874.2,293.4,224.0,359.0,426.0,283.6,1232.0,348.2,501.7,569.6,228.3,449.6,398.5,473.4,685.6,335.9,226.6,445.3,535.2,323.9,338.8,423.8,513.4,265.7,653.0,433.1,317.4,507.1,416.3,382.9,497.2,413.5,334.9
