,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,TOTAL,TOTAL,TOTAL,TOTAL
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1051,626,6945,385.8,147.8,488,7195,513.9,159.9,582,5659,353.7,138.0,-641,5989,460.7,166.4,-688,5511,393.6,167.0,1721,8258,330.3,131.1,-221,6991,411.2,162.6,1615,6377,637.7,144.9,191,4664,666.3,166.6,-26,7048,293.7,141.0,3647,64637,409.1,150.3
ファンキージャグラー2,1052,921,7585,329.8,135.4,935,7370,387.9,147.4,-1794,2060,1030.0,515.0,-285,4579,416.3,157.9,-356,3016,603.2,201.1,-885,2844,406.3,189.6,-9,6102,406.8,152.6,838,6030,402.0,147.1,-1182,7346,282.5,156.3,1076,6922,407.2,141.3,-741,53854,384.7,155.6
ファンキージャグラー2,1053,2603,6847,244.5,116.1,-912,3853,350.3,183.5,959,6857,360.9,137.1,-379,5117,341.1,150.5,41,6379,375.2,151.9,206,7075,321.6,144.4,-1735,3511,292.6,184.8,-374,4171,417.1,166.8,-985,2917,208.4,153.5,9,6349,302.3,144.3,-567,53076,314.1,146.6
ファンキージャグラー2,1054,-744,6696,418.5,171.7,347,7716,350.7,145.6,97,4646,422.4,149.9,-650,3635,454.4,173.1,-709,3426,285.5,155.7,2321,8295,251.4,118.5,-626,2069,413.8,206.9,-738,5174,431.2,172.5,959,6701,394.2,142.6,1018,7878,375.1,145.9,1275,56236,358.2,149.2
ファンキージャグラー2,1055,-147,6022,501.8,162.8,-462,6384,532.0,177.3,1465,7200,313.0,130.9,150,6770,398.2,157.4,-653,6877,458.5,167.7,-438,6242,520.2,173.4,-806,6493,721.4,185.5,2179,7379,335.4,127.2,-662,3146,524.3,196.6,865,7729,276.0,131.0,1491,64242,411.8,154.4
ファンキージャグラー2,1056,-359,7070,415.9,164.4,926,6217,444.1,138.2,326,4678,425.3,150.9,-971,5419,361.3,169.3,1371,6032,402.1,134.0,253,7101,373.7,151.1,-121,5227,653.4,174.2,203,6907,406.3,150.2,-526,5651,565.1,171.2,-1053,6175,771.9,205.8,49,60477,451.3,158.3
ファンキージャグラー2,1057,1385,6890,362.6,137.8,-909,4728,315.2,157.6,-462,5590,399.3,164.4,338,4620,462.0,154.0,-1018,1292,inf,430.7,-391,6307,371.0,157.7,-829,6710,447.3,172.1,-203,5437,388.4,151.0,-1124,2902,580.4,207.3,-879,6253,521.1,183.9,-4092,50729,419.2,163.6
ファンキージャグラー2,1058,-226,7463,287.0,146.3,-1085,6587,286.4,156.8,-1371,6711,279.6,156.1,179,3912,652.0,163.0,665,6634,265.4,127.6,665,7735,322.3,140.6,-1441,3274,1091.3,272.8,1394,8095,449.7,147.2,-1206,3020,604.0,232.3,947,7658,364.7,141.8,-1479,61089,349.1,152.3
ファンキージャグラー2,1059,-356,6633,368.5,165.8,818,7108,888.5,165.3,-174,2581,1290.5,198.5,-841,3572,446.5,188.0,629,7359,294.4,133.8,21,6506,406.6,154.9,2021,6679,513.8,136.3,1453,6094,468.8,132.5,-924,6509,542.4,180.8,-1276,6286,419.1,169.9,1371,59327,456.4,156.1
ファンキージャグラー2,1060,-132,6797,283.2,138.7,-2200,7061,353.0,181.1,1218,7217,400.9,136.2,524,7379,434.1,144.7,-1041,4360,396.4,181.7,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,-1631,32814,364.6,151.9
ファンキージャグラー2,1061,-9,7332,318.8,141.0,-956,7570,291.2,154.5,-850,3845,384.5,174.8,853,6886,491.9,149.7,-1429,3211,267.6,188.9,88,6989,332.8,148.7,-1229,5937,424.1,179.9,806,5875,534.1,150.6,818,5524,306.9,128.5,982,7238,452.4,144.8,-926,60407,366.1,151.8
ファンキージャグラー2,1062,-521,5712,408.0,158.7,-779,5207,650.9,186.0,-1218,4569,507.7,198.7,-903,2668,667.0,222.3,1159,7131,274.3,129.7,-1826,3798,345.3,223.4,771,6135,383.4,146.1,-44,4407,400.6,157.4,-1194,6595,366.4,173.6,-526,6072,379.5,155.7,-5081,52294,393.2,164.4
ファンキージャグラー2,1063,1950,7305,281.0,125.9,-885,3448,492.6,181.5,-265,4314,479.3,165.9,1332,6457,358.7,140.4,209,2880,720.0,160.0,2391,6635,368.6,125.2,397,5356,334.8,137.3,-924,4564,380.3,182.6,1288,4050,337.5,126.6,562,7821,460.1,153.4,6055,52830,380.1,144.0
ファンキージャグラー2,1064,-912,7237,301.5,154.0,-103,8169,240.3,133.9,-1700,4368,364.0,198.5,485,5488,498.9,152.4,-103,5842,292.1,149.8,-1229,5543,426.4,184.8,-1382,4995,454.1,199.8,-209,6416,583.3,164.5,-1312,4553,569.1,207.0,535,7419,274.8,130.2,-5930,60030,351.1,158.8
TOTAL,,4079,96534,335.2,145.4,-4777,88613,380.3,158.0,-3187,70295,390.5,156.9,-809,72491,434.1,157.9,-1923,69950,348.0,151.7,2897,83328,350.1,147.7,-5210,69479,451.2,167.0,5996,76926,437.1,150.2,-5859,63578,402.4,163.9,2234,90848,373.9,149.4,-6559,782042,383.7,153.9
