,,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,cumulative,game,medals,total_rate,rb_rate,grape_rate
date,,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00
model_name,unit_no,,,,,,,,,,,,
マイジャグラーV,1021,-1068,-1324,-1256,-359,682,1700,-91,2756,-1065,212.0,459.3,5.95
マイジャグラーV,1022,2248,2345,2483,1465,1921,483,359,4361,229,150.4,484.6,6.13
マイジャグラーV,1023,-988,-685,-3023,-2673,-1994,-2215,-750,3050,403,138.6,338.9,5.81
マイジャグラーV,1024,2129,3120,-1365,-768,-189,-1418,-950,4721,1288,131.1,393.4,5.88
マイジャグラーV,1025,3370,3767,4023,4738,5206,-35,1571,3611,994,133.7,361.1,5.59
マイジャグラーV,1026,-586,323,1329,2291,1097,2047,676,3921,-1029,163.4,301.6,6.17
マイジャグラーV,1027,3197,3368,1312,1141,1738,2188,97,1290,-738,322.5,645.0,5.49
マイジャグラーV,1028,-2681,-2684,-2325,-1710,-1786,-1012,-697,7707,-712,148.2,275.2,5.87
マイジャグラーV,1029,-6086,-7292,-5921,-4997,-3450,-2138,-497,2800,-274,200.0,933.3,5.69
マイジャグラーV,1030,-2456,-2177,-1030,-2212,-2759,-1785,-379,6604,103,143.6,300.2,5.82
マイジャグラーV,1031,-1293,136,-1046,-55,-29,1000,726,2097,-703,233.0,699.0,5.75
マイジャグラーV,1032,6245,6157,4481,3687,3713,845,2321,3445,712,123.0,313.2,6.31
マイジャグラーV,1033,1265,339,-43,1186,780,-285,-1103,7220,53,147.3,300.8,5.68
マイジャグラーV,1034,-1618,-1344,-494,338,-53,356,618,4214,-1618,191.5,301.0,5.75
マイジャグラーV,1035,-711,-1102,-2355,-1917,-1420,-588,9,3080,-774,205.3,616.0,5.87
マイジャグラーV,1036,2953,3427,3668,3424,4168,3200,1747,6164,2038,140.1,560.4,5.61
マイジャグラーV,1037,-602,-40,472,-1440,-2364,-1714,-532,7221,1288,133.7,328.2,5.82
マイジャグラーV,1038,1946,2055,1776,570,873,1597,1312,4887,-650,148.1,287.5,6.16
マイジャグラーV,1039,2748,1754,642,-1255,-1529,-1244,-144,2380,-1147,264.4,595.0,5.71
