model_name,unit_no,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,TOTAL
マイジャグラーV,1021,-356,-100,-168,-1065,-2106,-3124,-1333,-1424,-2848
マイジャグラーV,1022,115,18,-120,898,442,1880,2004,2363,4726
マイジャグラーV,1023,38,-265,2073,1723,1044,1265,-200,-950,-1900
マイジャグラーV,1024,-62,-1053,3432,2835,2256,3485,3017,2067,4134
マイジャグラーV,1025,256,-141,-397,-1112,-1580,3661,2055,3626,7252
マイジャグラーV,1026,-9,-918,-1924,-2886,-1692,-2642,-1271,-595,-1190

マイジャグラーV,1027,-1665,-1836,220,391,-206,-656,1435,1532,3064
マイジャグラーV,1028,-603,-600,-959,-1574,-1498,-2272,-2587,-3284,-6568
マイジャグラーV,1029,1147,2353,982,58,-1489,-2801,-4442,-4939,-9878
マイジャグラーV,1030,121,-158,-1305,-123,424,-550,-1956,-2335,-4670
マイジャグラーV,1031,253,-1176,6,-985,-1011,-2040,-1766,-1040,-2080
マイジャグラーV,1032,232,320,1996,2790,2764,5632,4156,6477,12954

マイジャグラーV,1033,-371,555,937,-292,114,1179,1997,894,1788
マイジャグラーV,1034,-179,-453,-1303,-2135,-1744,-2153,-2415,-1797,-3594
マイジャグラーV,1035,-403,-12,1241,803,306,-526,-1123,-1114,-2228
マイジャグラーV,1036,-826,-1300,-1541,-1297,-2041,-1073,380,2127,4254
マイジャグラーV,1037,841,279,-233,1679,2603,1953,771,239,478
マイジャグラーV,1038,853,744,1023,2229,1926,1202,1487,2799,5598
マイジャグラーV,1039,-809,185,1297,3194,3468,3183,2083,1939,3878
マイジャグラーV,1040,-538,-517,-638,-1088,950,-197,712,1259,2518
マイジャグラーV,1041,-2215,388,2029,79,-1268,-2059,-2191,-1456,-2912

マイジャグラーV,1042,-338,1186,-658,-2237,-2528,-2590,-2593,-2893,-5786
マイジャグラーV,1043,-1229,-750,774,3095,2210,581,-390,-546,-1092
マイジャグラーV,1044,-585,-935,-2682,-432,1906,1074,727,1333,2666
マイジャグラーV,1045,-32,-558,-14,-470,-252,-1752,495,771,1542
マイジャグラーV,1046,2126,1935,1367,699,20,-559,-1480,-2154,-4308
マイジャグラーV,1047,-574,-898,452,-74,-989,-560,-1439,-539,-1078
マイジャグラーV,1048,-362,-947,-1521,-1833,-2554,-2445,-1663,-3163,-6326
マイジャグラーV,1049,274,518,-264,-1046,-1617,-1767,-2382,-2211,-4422
マイジャグラーV,1050,-806,-1362,-2368,-3303,-4277,-3662,-1324,-2612,-5224

マイジャグラーV,1069,1394,1079,-1436,-1792,-2107,-2710,-778,-1149,-2298
マイジャグラーV,1070,391,1303,3,703,971,1965,477,1003,2006
マイジャグラーV,1071,-556,-653,662,12,-167,-305,-1593,-2658,-5316
マイジャグラーV,1072,468,-117,3636,3327,2642,-173,-1649,-2020,-4040
マイジャグラーV,1073,-715,-1391,1727,1095,121,292,-290,-546,-1092
マイジャグラーV,1074,-321,-1200,-885,-1270,-1844,-2944,-1118,-1462,-2924
マイジャグラーV,1075,-579,227,-391,427,24,-279,36,-532,-1064
マイジャグラーV,1076,-579,142,-1076,-1473,-644,-462,-1750,174,348
マイジャグラーV,1077,-524,-686,2164,3193,4258,3955,6081,6722,13444
マイジャグラーV,1078,-1124,-365,723,108,-542,-745,-295,437,874
マイジャグラーV,1079,-397,-559,-2059,-1453,-2103,-3650,-2503,-3141,-6282
マイジャグラーV,1080,-315,-30,2264,1573,1261,499,2784,3281,6562
マイジャグラーV,1081,-668,-1203,2644,5809,4959,4497,4162,2756,5512
マイジャグラーV,1082,809,147,-1365,-1641,-2129,-1358,1713,3072,6144
マイジャグラーV,1083,441,-197,-2765,-1677,-2542,364,840,408,816
マイジャグラーV,1084,3400,3274,1939,2507,1795,436,-1973,-2602,-5204

マイジャグラーV,1085,876,-365,911,1270,2185,2841,4035,2594,5188
マイジャグラーV,1086,-632,-106,1676,1855,1481,2078,40,-39,-78
マイジャグラーV,1087,-179,709,177,-302,319,610,1675,199,398
マイジャグラーV,1088,476,285,1326,529,14,-980,-1974,-2324,-4648
マイジャグラーV,1089,326,-95,-1230,-2812,-3538,-3535,-3456,-4274,-8548
マイジャグラーV,1090,3565,3044,5347,7191,6906,6091,4229,4491,8982
マイジャグラーV,1091,309,2650,1515,600,38,220,-1009,-109,-218
マイジャグラーV,1092,500,426,747,709,2447,1738,1356,988,1976

マイジャグラーV,1093,-653,-918,-2806,-2362,-2683,-2733,-2809,-524,-1048
マイジャグラーV,1094,-85,391,1244,2591,1444,-515,2211,1040,2080
マイジャグラーV,1095,279,376,-280,-683,-1068,-2756,220,158,316
マイジャグラーV,1096,-650,-1106,-2359,-2433,-2607,84,-1169,-1601,-3202
マイジャグラーV,1097,-285,686,42,310,-978,-1634,-722,1757,3514
マイジャグラーV,1098,-62,26,2823,3008,2199,2396,2434,1872,3744
マイジャグラーV,1099,1112,1338,4503,7268,6842,6480,6604,5175,10350

TOTAL,,316,1614,21155,24708,10535,1434,6573,7520,15040
