,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1021,-724,7371,320.5,153.6,974,7906,232.5,125.5,-768,5401,385.8,163.7,-1771,5791,526.5,206.8,312,7130,375.3,148.5,1844,8168,389.0,136.1,1418,5912,394.1,128.5,3,7189,342.3,143.8,676,8023,334.3,138.3,-1700,6624,441.6,189.3
マイジャグラーV,1022,-1312,5760,411.4,180.0,-1147,3841,384.1,202.2,3329,8632,278.5,119.9,3212,8102,261.4,115.7,-368,2440,488.0,174.3,2444,8736,236.1,119.7,-88,6697,318.9,148.8,-1500,7571,302.8,168.2,2303,9646,344.5,128.6,-500,8603,307.2,150.9
マイジャグラーV,1023,2515,9143,285.7,125.2,1335,7770,204.5,119.5,2762,8095,213.0,110.9,109,4854,323.6,138.7,-368,5157,368.4,161.2,2835,6567,312.7,119.4,3424,7355,294.2,114.9,-912,3609,360.9,180.4,38,3472,694.4,173.6,3988,9502,263.9,118.8
マイジャグラーV,1024,1562,7888,415.2,143.4,-656,5732,409.4,163.8,-1335,5465,341.6,176.3,-782,7997,319.9,159.9,4544,8983,204.2,100.9,-203,5669,377.9,153.2,1703,7692,334.4,126.1,1774,8304,319.4,133.9,-691,5311,295.1,151.7,347,6998,437.4,159.0
マイジャグラーV,1025,1241,7381,307.5,131.8,-226,4915,409.6,163.8,3612,8609,287.0,116.3,91,5758,338.7,140.4,-556,2319,1159.5,231.9,-1171,6213,365.5,177.5,1438,9169,316.2,134.8,-26,6695,393.8,152.2,-1229,4181,464.6,209.0,2074,7451,232.8,118.3
マイジャグラーV,1026,641,6916,461.1,150.3,-326,7989,285.3,147.9,-285,7444,354.5,155.1,-191,4953,353.8,154.8,-100,6772,282.2,144.1,1371,8056,236.9,125.9,-935,6212,414.1,182.7,-865,6187,363.9,171.9,1826,8229,283.8,128.6,-2356,5518,459.8,212.2
マイジャグラーV,1027,1721,6525,343.4,130.5,-618,7132,324.2,158.5,-124,5670,333.5,157.5,1394,9398,293.7,128.7,-1253,4743,316.2,175.7,-1512,4405,881.0,244.7,15,7686,247.9,139.7,-121,6906,345.3,157.0,-926,5046,720.9,201.8,-53,8191,256.0,136.5
マイジャグラーV,1028,1041,8052,251.6,129.9,-556,4353,395.7,174.1,2444,8644,201.0,110.8,1315,7406,322.0,132.2,-126,5817,447.5,161.6,-771,6318,394.9,166.3,1988,6694,371.9,128.7,144,2641,660.2,165.1,-503,6183,268.8,147.2,-1841,5226,435.5,209.0
マイジャグラーV,1029,2126,9106,202.4,116.7,276,7006,389.2,149.1,1265,5834,364.6,132.6,-2303,4678,935.6,259.9,179,7603,185.4,122.6,2412,8952,194.6,110.5,68,3516,439.5,159.8,-582,8023,334.3,151.4,1512,8147,339.5,140.5,1526,8335,308.7,130.2
マイジャグラーV,1030,2621,8384,279.5,118.1,1853,8614,253.4,124.8,2882,7054,207.5,106.9,-641,5633,312.9,165.7,535,6567,469.1,160.2,1453,8719,290.6,134.1,782,6375,375.0,144.9,-126,2845,569.0,167.4,2709,6299,315.0,116.6,-391,6467,359.3,157.7
マイジャグラーV,1031,2882,8914,297.1,123.8,-144,4291,306.5,148.0,-1100,4271,474.6,194.1,4044,9031,258.0,112.9,-415,5135,285.3,151.0,2144,8050,211.8,115.0,-618,4391,365.9,162.6,-3,7310,332.3,152.3,-132,5057,561.9,168.6,1703,7818,300.7,130.3
マイジャグラーV,1032,2391,7601,253.4,116.9,818,7738,286.6,138.2,185,8390,233.1,125.2,-888,5428,387.7,169.6,853,5956,541.5,145.3,-559,5930,370.6,164.7,-385,5438,494.4,181.3,-700,3807,475.9,173.0,-794,7272,290.9,151.5,2391,7543,419.1,132.3
マイジャグラーV,1033,-276,7334,261.9,143.8,-6,7323,281.7,140.8,-818,6444,537.0,184.1,-9,6175,343.1,154.4,-632,6934,346.7,154.1,759,7715,350.7,145.6,-276,6312,350.7,157.8,-421,5501,550.1,177.5,-1135,7746,336.8,164.8,679,8099,238.2,128.6
マイジャグラーV,1034,2179,6346,275.9,117.5,-409,7300,317.4,152.1,-1853,6035,548.6,223.5,379,7273,346.3,148.4,1947,7284,242.8,119.4,162,6392,355.1,145.3,-1641,2922,487.0,243.5,821,8079,310.7,141.7,909,8041,335.0,136.3,-2074,6751,613.7,211.0
マイジャグラーV,1035,-179,7397,264.2,142.2,1535,6950,302.2,126.4,2021,6956,248.4,115.9,1429,8866,260.8,128.5,-474,3787,291.3,151.5,418,7014,350.7,149.2,574,7454,232.9,128.5,18,8548,328.8,152.6,-597,2045,681.7,204.5,2741,8426,255.3,122.1
マイジャグラーV,1036,-221,5755,383.7,155.5,91,5335,333.4,144.2,5488,9268,193.1,97.6,3282,7136,237.9,108.1,-2197,4570,380.8,217.6,2497,8670,270.9,125.7,1229,8686,299.5,137.9,-156,5191,346.1,157.3,1735,6614,413.4,132.3,6444,8812,225.9,93.7
マイジャグラーV,1037,-1606,6361,318.0,171.9,2021,8463,228.7,115.9,3659,8502,242.9,107.6,-1041,2915,728.8,242.9,-288,5368,223.7,134.2,8444,8739,218.5,89.2,-844,3693,738.6,205.2,218,5771,384.7,156.0,3141,8085,218.5,113.9,-1924,4797,799.5,239.8
マイジャグラーV,1038,1862,9249,192.7,112.8,-115,7805,300.2,144.5,-721,3233,808.2,230.9,2885,9171,203.8,111.8,-897,4935,308.4,164.5,4691,7128,216.0,93.8,3847,9032,244.1,111.5,-926,1970,1970.0,328.3,476,7244,329.3,144.9,2479,8792,244.2,118.8
マイジャグラーV,1039,5735,8557,225.2,98.4,-521,4556,569.5,182.2,171,7272,234.6,139.8,5559,8674,180.7,93.3,-185,2866,716.5,159.2,-1288,6746,337.3,173.0,741,8842,276.3,136.0,3824,8260,229.4,110.1,-526,4927,410.6,169.9,1862,7331,305.5,126.4
マイジャグラーV,1040,1526,7456,392.4,138.1,-2268,8881,306.2,164.5,-1747,4271,328.5,203.4,3071,7694,320.6,116.6,1968,8882,246.7,123.4,-1371,6093,468.7,184.6,-126,5181,398.5,157.0,-912,5840,292.0,157.8,-1535,6899,345.0,176.9,2903,8387,299.5,121.6
マイジャグラーV,1041,3188,8778,250.8,115.5,1206,7052,440.8,146.9,779,8140,271.3,131.3,312,6828,284.5,139.3,-774,4405,1101.2,220.2,-676,7332,458.2,178.8,571,6783,242.2,128.0,-1703,7989,319.6,170.0,-959,5988,460.6,181.5,853,8285,318.7,142.8
マイジャグラーV,1042,379,6491,249.7,127.3,2674,8332,333.3,124.4,1347,7756,298.3,133.7,2497,7517,417.6,129.6,-556,4283,535.4,178.5,-391,5705,475.4,172.9,244,8636,319.9,143.9,2374,7348,386.7,126.7,-515,7778,370.4,158.7,-1897,7283,428.4,186.7
マイジャグラーV,1043,-1371,6729,305.9,164.1,782,8832,294.4,133.8,-912,6482,216.1,144.0,2303,7937,198.4,110.2,1774,7548,260.3,121.7,785,8126,338.6,147.7,-665,7666,511.1,170.4,747,7836,279.9,137.5,-56,5435,494.1,159.9,-1774,6665,555.4,196.0
マイジャグラーV,1044,-415,7694,248.2,137.4,4485,9574,222.7,108.8,221,6891,492.2,164.1,-574,4084,510.5,177.6,2638,9313,190.1,109.6,2709,8981,309.7,128.3,-250,7308,317.7,152.2,2444,6760,260.0,114.6,-1018,2950,590.0,226.9,838,7937,378.0,139.2
