,,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,GAME,BB,RB,TOTAL_RATE,RB_RATE
date,,2025-04-07 00:00:00,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,total7,total6,total5,total4,total3,total2,total1,rank7,rank6,rank5,rank4,rank3,rank2,rank1,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1001,524,-1809,1332,-815,-453,-1112,-562,-2895,-3419,-1610,-2942,-2127,-1674,-562,8,4,21,5,10,7,29,,,,,
マイジャグラーV,1002,-721,-703,1276,126,-1888,-1065,2497,-478,243,946,-330,-456,1432,2497,40,46,53,35,37,66,80,,,,,
マイジャグラーV,1003,-215,-450,-732,-185,2859,-709,1335,1903,2118,2568,3300,3485,626,1335,65,66,71,74,76,60,75,,,,,
マイジャグラーV,1004,-171,-924,-221,1226,-450,-368,-726,-1634,-1463,-539,-318,-1544,-1094,-726,22,25,34,36,21,19,15,,,,,
マイジャグラーV,1005,-468,-41,-182,1218,2162,-1124,-262,1303,1771,1812,1994,776,-1386,-262,57,62,62,66,53,12,53,,,,,
マイジャグラーV,1006,-135,268,-303,-332,-779,462,1488,669,804,536,839,1171,1950,1488,51,56,51,53,56,72,76,,,,,
マイジャグラーV,1007,-585,-232,-779,782,-1359,-171,-403,-2747,-2162,-1930,-1151,-1933,-574,-403,12,16,16,29,13,39,41,,,,,
マイジャグラーV,1008,-503,-309,-168,756,-1441,-774,109,-2330,-1827,-1518,-1350,-2106,-665,109,14,18,23,24,11,37,61,,,,,
マイジャグラーV,1009,606,-1041,1985,829,-150,391,426,3046,2440,3481,1496,667,817,426,76,70,76,60,52,62,67,,,,,
マイジャグラーV,1010,-344,26,1500,-474,-485,226,-144,305,649,623,-877,-403,82,-144,49,51,52,31,39,50,56,,,,,
マイジャグラーV,1011,1862,-391,-215,-185,-1159,606,-468,50,-1812,-1421,-1206,-1021,138,-468,46,19,26,28,29,52,36,,,,,
マイジャグラーV,1012,-815,1226,-9,-756,547,2285,-274,2204,3019,1793,1802,2558,2011,-274,69,74,60,64,69,73,52,,,,,
マイジャグラーV,1013,503,344,-397,1159,229,-468,-409,961,458,114,511,-648,-877,-409,53,49,44,46,34,30,40,,,,,
マイジャグラーV,1014,-303,579,18,-285,-818,-415,-526,-1750,-1447,-2026,-2044,-1759,-941,-526,19,26,15,12,17,28,31,,,,,
マイジャグラーV,1015,374,-321,-774,-721,-409,-815,50,-2616,-2990,-2669,-1895,-1174,-765,50,13,7,5,15,28,34,59,,,,,
マイジャグラーV,1016,-394,-585,-156,-709,-371,-656,-826,-3697,-3303,-2718,-2562,-1853,-1482,-826,3,5,3,8,15,9,12,,,,,
マイジャグラーV,1017,344,-85,-738,2568,1006,-509,3047,5633,5289,5374,6112,3544,2538,3047,79,79,79,81,77,78,81,,,,,
マイジャグラーV,1018,2162,-112,-774,1265,-291,244,-515,1979,-183,-71,703,-562,-271,-515,67,39,39,50,36,44,32,,,,,
マイジャグラーV,1019,-785,-415,-974,-232,-1665,5065,-291,703,1488,1903,2877,3109,4774,-291,52,61,63,73,73,81,49,,,,,
マイジャグラーV,1020,-515,2691,-679,-368,1950,-444,-632,2003,2518,-173,506,874,-1076,-632,68,71,37,45,54,20,24,,,,,
マイジャグラーV,1021,1618,-641,-356,256,-68,-897,-1041,-1129,-2747,-2106,-1750,-2006,-1938,-1041,30,11,12,18,12,4,5,3763.0,14.0,4.0,209.1,940.8
マイジャグラーV,1022,1615,-474,115,-97,-138,1018,-456,1583,-32,442,327,424,562,-456,59,40,50,41,49,59,38,5822.0,27.0,19.0,126.6,306.4
マイジャグラーV,1023,-685,-321,38,-303,2338,-350,-679,38,723,1044,1006,1309,-1029,-679,45,53,56,55,59,22,20,5024.0,17.0,18.0,143.5,279.1
マイジャグラーV,1024,391,-332,-62,-991,4485,-597,-579,2315,1924,2256,2318,3309,-1176,-579,71,64,69,70,75,18,26,3812.0,18.0,10.0,136.1,381.2
マイジャグラーV,1025,-815,-691,256,-397,-256,-715,-468,-3086,-2271,-1580,-1836,-1439,-1183,-468,7,14,22,17,26,17,36,9302.0,44.0,53.0,95.9,175.5
マイジャグラーV,1026,924,-91,-9,-909,-1006,-962,1194,-859,-1783,-1692,-1683,-774,232,1194,33,20,19,20,32,56,74,5558.0,18.0,13.0,179.3,427.5
マイジャグラーV,1027,-309,-1229,-1665,-171,2056,171,-597,-1744,-1435,-206,1459,1630,-426,-597,20,27,36,58,63,43,25,6031.0,21.0,15.0,167.5,402.1
マイジャグラーV,1028,-650,15,-603,3,-359,-615,76,-2133,-1483,-1498,-895,-898,-539,76,16,23,24,30,30,40,60,1027.0,1.0,2.0,342.3,513.5
マイジャグラーV,1029,-285,121,1147,1206,-1371,-924,-1547,-1653,-1368,-1489,-2636,-3842,-2471,-1547,21,28,25,7,1,2,1,1781.0,4.0,0.0,445.2,inf
マイジャグラーV,1030,444,368,121,-279,-1147,1182,547,1236,792,424,303,582,1729,547,54,55,49,40,51,71,68,6787.0,22.0,15.0,183.4,452.5
マイジャグラーV,1031,644,-462,253,-1429,1182,-991,-26,-829,-1473,-1011,-1264,165,-1017,-26,35,24,29,26,46,24,57,1199.0,1.0,2.0,399.7,599.5
マイジャグラーV,1032,312,-68,232,88,1676,794,-26,3008,2696,2764,2532,2444,768,-26,75,72,74,72,67,61,57,7110.0,40.0,18.0,122.6,395.0
マイジャグラーV,1033,-844,85,-371,926,382,-1229,406,-645,199,114,485,-441,-823,406,37,45,44,43,38,32,66,8462.0,37.0,20.0,148.5,423.1
マイジャグラーV,1034,-585,-1229,-179,-274,-850,-832,391,-3558,-2973,-1744,-1565,-1291,-441,391,5,8,18,22,27,42,65,4436.0,18.0,9.0,164.3,492.9
マイジャグラーV,1035,-885,-826,-403,391,1253,-438,-497,-1405,-520,306,709,318,-935,-497,25,34,47,51,48,29,34,2635.0,7.0,7.0,188.2,376.4
マイジャグラーV,1036,-650,-956,-826,-474,-241,244,-744,-3647,-2997,-2041,-1215,-741,-500,-744,4,6,14,27,33,41,14,2621.0,13.0,10.0,114.0,262.1
マイジャグラーV,1037,-1912,-397,841,-562,-512,1912,924,294,2206,2603,1762,2324,2836,924,48,67,72,63,66,79,72,1305.0,4.0,0.0,326.2,inf
マイジャグラーV,1038,-803,1100,853,-109,279,1206,-303,2223,3026,1926,1073,1182,903,-303,70,75,65,56,57,63,48,7479.0,27.0,20.0,159.1,374.0
マイジャグラーV,1039,-268,-391,-809,994,1112,1897,274,2809,3077,3468,4277,3283,2171,274,73,76,75,77,74,75,64,3961.0,16.0,7.0,172.2,565.9
マイジャグラーV,1040,-982,-450,-538,21,-121,-450,2038,-482,500,950,1488,1467,1588,2038,39,50,54,59,60,69,78,2971.0,7.0,6.0,228.5,495.2
マイジャグラーV,1041,-674,-944,-2215,2603,1641,-1950,-1347,-2886,-2212,-1268,947,-1656,-3297,-1347,9,15,27,54,19,1,2,5779.0,17.0,13.0,192.6,444.5
マイジャグラーV,1042,1476,-1206,-338,1524,-1844,-1579,-291,-2258,-3734,-2528,-2190,-3714,-1870,-291,15,2,9,10,2,6,49,7089.0,24.0,29.0,133.8,244.4
