model_name,unit_no,2025-04-18,25-04-11_7d_sum,2025-04-17 00:00:00,25-04-10_7d_sum,2025-04-16 00:00:00,25-04-09_7d_sum,2025-04-15 00:00:00,25-04-08_7d_sum,2025-04-14 00:00:00,25-04-07_7d_sum,2025-04-13 00:00:00,25-04-06_7d_sum,2025-04-12 00:00:00,25-04-05_7d_sum,2025-04-11 00:00:00,25-04-04_7d_sum,2025-04-10 00:00:00,25-04-03_7d_sum,2025-04-09 00:00:00,25-04-02_7d_sum,2025-04-08 00:00:00,25-04-01_7d_sum,2025-04-07 00:00:00,25-03-31_7d_sum,2025-04-06 00:00:00,25-03-30_7d_sum,2025-04-05 00:00:00,25-03-29_7d_sum,2025-04-04 00:00:00,25-03-28_7d_sum,2025-04-03 00:00:00,25-03-27_7d_sum,2025-04-02 00:00:00,25-03-26_7d_sum,2025-04-01 00:00:00,25-03-25_7d_sum,2025-03-31 00:00:00,25-03-24_7d_sum,2025-03-30 00:00:00,25-03-23_7d_sum,2025-03-29 00:00:00,25-03-22_7d_sum,2025-03-28 00:00:00,25-03-21_7d_sum,2025-03-27 00:00:00,25-03-20_7d_sum,2025-03-26 00:00:00,25-03-19_7d_sum,2025-03-25 00:00:00,25-03-18_7d_sum,2025-03-24 00:00:00,25-03-17_7d_sum,2025-03-23 00:00:00,25-03-16_7d_sum,2025-03-22 00:00:00,25-03-15_7d_sum,2025-03-21 00:00:00,25-03-14_7d_sum,2025-03-20 00:00:00,25-03-13_7d_sum,2025-03-19 00:00:00,25-03-12_7d_sum,2025-03-18 00:00:00,25-03-11_7d_sum,2025-03-17 00:00:00,25-03-10_7d_sum,2025-03-16 00:00:00,25-03-09_7d_sum,2025-03-15 00:00:00,25-03-08_7d_sum,2025-03-14 00:00:00,25-03-07_7d_sum,2025-03-13 00:00:00,25-03-06_7d_sum,2025-03-12 00:00:00,25-03-05_7d_sum,2025-03-11 00:00:00,25-03-04_7d_sum,2025-03-10 00:00:00,25-03-03_7d_sum,2025-03-09 00:00:00,25-03-02_7d_sum,2025-03-08 00:00:00,25-03-01_7d_sum,2025-03-07 00:00:00,25-02-26_7d_sum,2025-03-06 00:00:00,25-02-25_7d_sum,2025-03-05 00:00:00,25-02-24_7d_sum,2025-03-04 00:00:00,25-02-23_7d_sum,2025-03-03 00:00:00,25-02-22_7d_sum,2025-03-02 00:00:00,25-02-21_7d_sum,2025-03-01 00:00:00,25-02-20_7d_sum,2025-02-26 00:00:00,25-02-19_7d_sum,2025-02-25 00:00:00,25-02-18_7d_sum,2025-02-24 00:00:00,25-02-17_7d_sum,2025-02-23 00:00:00,25-02-16_7d_sum
マイジャグラーV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1021,,-2389.0,459.3,-1068.0,434.9,-1333.0,251.1,-3765.0,940.8,-1129.0,659.8,-667.0,375.3,24.0,314.1,1016.0,616.0,528.0,435.4,-42.0,405.0,381.0,253.3,-1469.0,333.8,-881.0,429.1,-1554.0,352.6,-2010.0,409.1,-2066.0,326.9,-1322.0,653.3,-2086.0,409.1,-2216.0,350.5,-3187.0,2173.0,-3020.0,790.0,-4238.0,271.1,-4132.0,328.4,-1118.0,287.0,293.0,536.0,296.0,295.0,1943.0,314.1,1520.0,519.1,2888.0,298.1,1958.0,347.8,-1683.0,323.4,-2341.0,343.2,-917.0,340.6,157.0,502.0,1795.0,683.6,-135.0,461.4,892.0,560.2,2625.0,358.9,3154.0,348.5,5607.0,325.9,3592.0,343.8,3954.0,307.8,4448.0,451.0,4468.0,416.2,3023.0,324.2,3576.0,220.7,-583.0,246.5,-756.0,288.1,-2277.0,549.0,-2033.0,274.9,-2383.0,445.5,-1550.0,378.5,-3012.0
マイジャグラーV,1022,,2574.0,484.6,2248.0,360.9,2004.0,326.5,1406.0,306.4,1583.0,613.0,904.0,271.6,118.0,372.2,827.0,314.5,262.0,349.8,-474.0,inf,-356.0,261.3,-2633.0,468.0,-642.0,261.6,-1389.0,595.2,-2381.0,508.7,-1993.0,362.1,-1040.0,488.2,1681.0,508.7,3219.0,350.9,1654.0,319.4,2481.0,301.8,2146.0,661.0,1367.0,374.4,3003.0,394.4,-347.0,488.1,-1488.0,493.8,-682.0,343.3,-2976.0,362.1,-2517.0,367.1,-1685.0,399.4,-2600.0,396.3,-868.0,782.5,53.0,588.2,-418.0,356.3,755.0,inf,531.0,383.8,1876.0,273.4,3020.0,212.9,1858.0,256.8,823.0,828.7,718.0,414.6,2271.0,586.0,2424.0,333.7,318.0,336.0,-1285.0,627.0,-914.0,279.3,-179.0,388.2,1976.0,301.6,541.0,342.1,1235.0,487.6,1985.0,429.7,870.0,536.0,2720.0
マイジャグラーV,1023,,-282.0,338.9,-988.0,1230.0,-200.0,239.3,944.0,279.1,38.0,448.5,2.0,329.8,758.0,565.1,-598.0,441.8,-1548.0,420.8,-1936.0,324.6,-1206.0,336.0,-1774.0,1549.0,-1909.0,520.3,-521.0,272.1,-2194.0,701.8,-973.0,337.5,-620.0,383.7,-1173.0,701.8,-376.0,290.6,359.0,377.9,-2150.0,320.8,1391.0,269.8,673.0,385.6,379.0,479.6,220.0,inf,-150.0,574.6,889.0,inf,551.0,205.6,-717.0,570.6,-282.0,287.7,365.0,254.1,86.0,395.2,491.0,346.6,-1048.0,426.8,-69.0,395.7,-657.0,inf,-586.0,355.2,-1654.0,281.4,1584.0,inf,1431.0,468.7,2649.0,1388.5,1317.0,274.5,8.0,362.8,1623.0,393.0,1929.0,286.5,-1601.0,445.7,308.0,306.3,90.0,478.3,1075.0,475.0,1808.0,300.3,111.0,349.9,1091.0,392.8,2715.0
マイジャグラーV,1024,,4408.0,393.4,2129.0,466.6,3017.0,322.6,3153.0,381.2,2315.0,566.0,2679.0,423.2,4117.0,242.6,-1165.0,327.6,-156.0,685.0,-903.0,337.2,-2200.0,309.9,-2573.0,499.9,-2608.0,269.6,-3334.0,391.7,-3193.0,329.2,-4723.0,746.0,-4285.0,291.5,-3112.0,329.2,-2986.0,290.2,-962.0,268.5,-2330.0,404.8,647.0,343.0,1256.0,700.8,1271.0,619.5,1324.0,344.4,765.0,378.8,-1283.0,347.2,2026.0,239.3,-716.0,684.8,131.0,312.0,319.0,242.5,-496.0,625.5,301.0,500.0,925.0,313.8,-987.0,779.0,-360.0,467.8,-395.0,598.0,-912.0,517.2,-9.0,308.6,-723.0,368.2,439.0,359.7,854.0,340.6,292.0,302.0,907.0,398.8,1060.0,257.4,607.0,313.5,1295.0,296.5,-1108.0,338.2,-1417.0,456.8,-687.0,327.7,-1473.0,325.0,1980.0,529.5,1966.0
マイジャグラーV,1025,,4761.0,361.1,3370.0,312.8,2055.0,448.0,2970.0,175.5,-3086.0,431.0,-3592.0,361.0,-2198.0,345.0,-1830.0,563.0,-1118.0,296.2,-2065.0,441.1,-1712.0,590.5,-582.0,414.3,-426.0,483.2,-1502.0,278.9,-2808.0,397.6,-2902.0,300.5,-1326.0,408.3,-1279.0,397.6,-2126.0,273.3,-1152.0,680.5,-1576.0,308.5,539.0,1190.0,356.0,284.0,-461.0,344.0,-355.0,782.0,-276.0,269.6,-1426.0,554.2,4460.0,341.8,2863.0,679.6,2222.0,321.1,1463.0,602.0,2936.0,371.4,3127.0,333.0,4409.0,203.5,-1218.0,420.8,-1292.0,390.0,-60.0,455.7,-645.0,328.5,-3068.0,621.0,-3450.0,450.3,-4429.0,1122.0,-4411.0,1054.5,-426.0,350.8,2604.0,561.1,3595.0,662.5,4309.0,323.4,4100.0,455.9,5762.0,363.2,5230.0,233.1,2013.0,191.5,-2143.0,273.6,-2720.0,447.4,-3493.0
マイジャグラーV,1026,,-706.0,301.6,-586.0,251.2,-1271.0,281.3,-2733.0,427.5,-859.0,386.2,-527.0,739.0,44.0,358.6,506.0,440.4,659.0,418.5,500.0,756.0,3167.0,340.3,1487.0,291.2,355.0,535.0,155.0,inf,2649.0,554.1,4376.0,600.4,2785.0,267.2,-632.0,554.1,-455.0,461.5,-1770.0,559.2,1562.0,1036.2,-1232.0,615.8,-3112.0,360.9,-300.0,442.6,112.0,1149.0,429.0,287.8,1297.0,225.2,-1970.0,499.1,-1400.0,466.0,-1544.0,313.7,-2994.0,257.0,-3453.0,361.5,-1241.0,334.5,394.0,470.9,511.0,660.0,100.0,468.0,891.0,367.8,388.0,360.8,1185.0,231.7,-1244.0,574.1,-2482.0,458.9,-1111.0,531.0,-688.0,454.7,-941.0,492.1,1768.0,436.3,-6.0,669.5,785.0,370.8,2532.0,281.4,961.0,319.9,1344.0,inf,1756.0,387.1,-1153.0,666.6,59.0
マイジャグラーV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1027,,2630.0,645.0,3197.0,600.1,1435.0,262.6,-1885.0,402.1,-1744.0,863.0,-1673.0,367.7,-591.0,343.2,-2756.0,344.1,-3053.0,435.6,-323.0,348.9,618.0,585.5,459.0,419.3,-856.0,263.1,-2985.0,224.0,-3250.0,711.7,30.0,470.2,-1714.0,458.1,-2314.0,711.7,-2758.0,510.6,-1691.0,548.7,-1844.0,361.4,-1691.0,345.0,-5324.0,347.7,-4769.0,392.3,-4522.0,403.2,-3884.0,424.5,-2354.0,487.8,-1496.0,613.9,-2281.0,270.0,-1910.0,448.2,-27.0,305.6,5961.0,355.3,5709.0,341.7,2950.0,395.2,2924.0,1270.0,3006.0,631.0,3335.0,476.1,1685.0,336.7,-1800.0,343.5,-1198.0,353.7,-860.0,inf,1569.0,512.5,2578.0,inf,2717.0,381.5,2493.0,305.3,-187.0,565.3,-1845.0,643.5,-71.0,276.2,-88.0,925.8,-1076.0,297.5,-1297.0,335.1,-2894.0,300.4,-2208.0
マイジャグラーV,1028,,-3396.0,275.2,-2681.0,283.4,-2587.0,325.2,-2257.0,513.5,-2133.0,334.4,-2688.0,558.0,1656.0,274.8,2571.0,365.0,3353.0,1070.0,3553.0,308.2,2085.0,377.5,3520.0,640.5,2734.0,284.9,-1942.0,390.3,-2572.0,341.5,-3307.0,212.8,-2722.0,361.7,-1601.0,341.5,-2168.0,598.5,-1035.0,467.0,-1188.0,inf,448.0,280.7,-784.0,398.2,-1140.0,837.3,-717.0,346.9,-1809.0,468.8,-2080.0,856.7,-1939.0,318.6,-2804.0,305.1,-1531.0,213.8,-1513.0,211.4,-1563.0,316.7,-510.0,628.0,-851.0,349.7,-260.0,299.9,-1372.0,848.3,-219.0,inf,2396.0,378.9,2187.0,369.5,1699.0,577.0,2334.0,inf,4405.0,637.0,7052.0,288.6,4426.0,320.6,1146.0,inf,488.0,337.0,512.0,294.8,312.0,273.6,-1276.0,236.2,-2726.0,307.3,-1009.0,815.5,-826.0,267.4,-832.0
