model_name,unit_no,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
マイジャグラーV,1021,323.4,347.8,298.1,519.1,314.1,295.0,536.0,287.0,328.4,271.1,790.0,2173.0,350.5,409.1,653.3,326.9,409.1,352.6,429.1,333.8,253.3,405.0,435.4,616.0,314.1,375.3,659.8,940.8,251.1,434.9,459.3
マイジャグラーV,1022,396.3,399.4,367.1,362.1,343.3,493.8,488.1,394.4,374.4,661.0,301.8,319.4,350.9,508.7,488.2,362.1,508.7,595.2,261.6,468.0,261.3,inf,349.8,314.5,372.2,271.6,613.0,306.4,326.5,360.9,484.6
マイジャグラーV,1023,254.1,287.7,570.6,205.6,inf,574.6,inf,479.6,385.6,269.8,320.8,377.9,290.6,701.8,383.7,337.5,701.8,272.1,520.3,1549.0,336.0,324.6,420.8,441.8,565.1,329.8,448.5,279.1,239.3,1230.0,338.9
マイジャグラーV,1024,242.5,312.0,684.8,239.3,347.2,378.8,344.4,619.5,700.8,343.0,404.8,268.5,290.2,329.2,291.5,746.0,329.2,391.7,269.6,499.9,309.9,337.2,685.0,327.6,242.6,423.2,566.0,381.2,322.6,466.6,393.4
マイジャグラーV,1025,602.0,321.1,679.6,341.8,554.2,269.6,782.0,344.0,284.0,1190.0,308.5,680.5,273.3,397.6,408.3,300.5,397.6,278.9,483.2,414.3,590.5,441.1,296.2,563.0,345.0,361.0,431.0,175.5,448.0,312.8,361.1
マイジャグラーV,1026,257.0,313.7,466.0,499.1,225.2,287.8,1149.0,442.6,360.9,615.8,1036.2,559.2,461.5,554.1,267.2,600.4,554.1,inf,535.0,291.2,340.3,756.0,418.5,440.4,358.6,739.0,386.2,427.5,281.3,251.2,301.6
マイジャグラーV,1027,305.6,448.2,270.0,613.9,487.8,424.5,403.2,392.3,347.7,345.0,361.4,548.7,510.6,711.7,458.1,470.2,711.7,224.0,263.1,419.3,585.5,348.9,435.6,344.1,343.2,367.7,863.0,402.1,262.6,600.1,645.0
マイジャグラーV,1028,211.4,213.8,305.1,318.6,856.7,468.8,346.9,837.3,398.2,280.7,inf,467.0,598.5,341.5,361.7,212.8,341.5,390.3,284.9,640.5,377.5,308.2,1070.0,365.0,274.8,558.0,334.4,513.5,325.2,283.4,275.2
マイジャグラーV,1029,563.5,229.5,284.9,491.2,413.2,383.9,inf,250.0,544.7,374.7,353.8,268.0,inf,376.4,501.0,324.4,376.4,1228.0,366.9,inf,523.3,308.8,288.3,337.7,364.6,364.2,600.0,inf,302.5,431.3,933.3
マイジャグラーV,1030,481.2,1387.0,379.9,987.0,473.3,524.8,302.7,247.8,449.9,345.7,221.3,265.7,1521.0,340.0,359.6,989.0,340.0,657.5,372.9,305.2,356.1,382.2,752.0,317.0,584.3,287.9,353.1,452.5,401.1,749.0,300.2
