model_name,unit_no,2025-03-18->7d_sum,2025-03-19->7d_sum,2025-03-20->7d_sum,2025-03-21->7d_sum,2025-03-22->7d_sum,2025-03-23->7d_sum,2025-03-24->7d_sum,2025-03-25->7d_sum,2025-03-26->7d_sum,2025-03-27->7d_sum,2025-03-28->7d_sum,2025-03-29->7d_sum,2025-03-30->7d_sum,2025-03-31->7d_sum,2025-04-01->7d_sum,2025-04-02->7d_sum,2025-04-03->7d_sum,2025-04-04->7d_sum,2025-04-05->7d_sum,2025-04-06->7d_sum,2025-04-07->7d_sum,2025-04-08->7d_sum,2025-04-09->7d_sum,2025-04-10->7d_sum,2025-04-11->7d_sum
マイジャグラーV,1021,293.0,-1118.0,-4132.0,-4238.0,-3020.0,-3187.0,-2216.0,-2086.0,-1322.0,-2066.0,-2010.0,-1554.0,-881.0,-1469.0,381.0,-42.0,528.0,1016.0,24.0,-667.0,-1129.0,-3765.0,-1333.0,-1068.0,-2389.0
マイジャグラーV,1022,-347.0,3003.0,1367.0,2146.0,2481.0,1654.0,3219.0,1681.0,-1040.0,-1993.0,-2381.0,-1389.0,-642.0,-2633.0,-356.0,-474.0,262.0,827.0,118.0,904.0,1583.0,1406.0,2004.0,2248.0,2574.0
マイジャグラーV,1023,220.0,379.0,673.0,1391.0,-2150.0,359.0,-376.0,-1173.0,-620.0,-973.0,-2194.0,-521.0,-1909.0,-1774.0,-1206.0,-1936.0,-1548.0,-598.0,758.0,2.0,38.0,944.0,-200.0,-988.0,-282.0
マイジャグラーV,1024,1324.0,1271.0,1256.0,647.0,-2330.0,-962.0,-2986.0,-3112.0,-4285.0,-4723.0,-3193.0,-3334.0,-2608.0,-2573.0,-2200.0,-903.0,-156.0,-1165.0,4117.0,2679.0,2315.0,3153.0,3017.0,2129.0,4408.0
マイジャグラーV,1025,-355.0,-461.0,356.0,539.0,-1576.0,-1152.0,-2126.0,-1279.0,-1326.0,-2902.0,-2808.0,-1502.0,-426.0,-582.0,-1712.0,-2065.0,-1118.0,-1830.0,-2198.0,-3592.0,-3086.0,2970.0,2055.0,3370.0,4761.0
マイジャグラーV,1026,112.0,-300.0,-3112.0,-1232.0,1562.0,-1770.0,-455.0,-632.0,2785.0,4376.0,2649.0,155.0,355.0,1487.0,3167.0,500.0,659.0,506.0,44.0,-527.0,-859.0,-2733.0,-1271.0,-586.0,-706.0
マイジャグラーV,1027,-4522.0,-4769.0,-5324.0,-1691.0,-1844.0,-1691.0,-2758.0,-2314.0,-1714.0,30.0,-3250.0,-2985.0,-856.0,459.0,618.0,-323.0,-3053.0,-2756.0,-591.0,-1673.0,-1744.0,-1885.0,1435.0,3197.0,2630.0
マイジャグラーV,1028,-717.0,-1140.0,-784.0,448.0,-1188.0,-1035.0,-2168.0,-1601.0,-2722.0,-3307.0,-2572.0,-1942.0,2734.0,3520.0,2085.0,3553.0,3353.0,2571.0,1656.0,-2688.0,-2133.0,-2257.0,-2587.0,-2681.0,-3396.0
マイジャグラーV,1029,-2626.0,1500.0,217.0,211.0,61.0,2190.0,2378.0,3928.0,349.0,-357.0,893.0,1890.0,1585.0,1220.0,-94.0,-76.0,2489.0,2666.0,1386.0,-662.0,-1653.0,-2680.0,-4442.0,-6086.0,-7566.0
マイジャグラーV,1030,-415.0,123.0,-148.0,-24.0,653.0,3323.0,2191.0,-1053.0,-2911.0,-2952.0,-3446.0,-3876.0,-4967.0,-5085.0,-3950.0,-1800.0,-729.0,-317.0,-1455.0,-470.0,1236.0,-182.0,-1956.0,-2456.0,-2074.0
マイジャグラーV,1031,423.0,1362.0,1089.0,1207.0,-1605.0,-1952.0,-1864.0,-1623.0,-1435.0,-685.0,1188.0,-97.0,-1786.0,-3189.0,-3224.0,-4539.0,-4042.0,-6150.0,-3421.0,-2197.0,-829.0,-2502.0,-1766.0,-1293.0,-567.0
マイジャグラーV,1032,-566.0,-2274.0,20.0,-192.0,1281.0,1308.0,329.0,-44.0,1770.0,-304.0,1026.0,-82.0,1691.0,2929.0,3035.0,1832.0,2932.0,2814.0,4816.0,3722.0,3008.0,5564.0,4156.0,6245.0,6869.0
マイジャグラーV,1033,-2935.0,-3600.0,-4444.0,-2974.0,-960.0,240.0,1673.0,743.0,1631.0,4572.0,2269.0,-389.0,1811.0,1831.0,1708.0,1802.0,96.0,1743.0,3307.0,-472.0,-645.0,1264.0,1997.0,1265.0,392.0
マイジャグラーV,1034,-1958.0,-561.0,12.0,786.0,1503.0,1055.0,-889.0,-345.0,1014.0,1050.0,2218.0,2989.0,4972.0,5837.0,4634.0,1205.0,1658.0,766.0,-940.0,-3881.0,-3558.0,-3382.0,-2415.0,-1618.0,-2962.0
マイジャグラーV,1035,-1230.0,-3444.0,-3826.0,-935.0,-588.0,-841.0,-617.0,-364.0,694.0,-159.0,-1159.0,-436.0,2411.0,3029.0,2094.0,1392.0,1545.0,1886.0,2548.0,-34.0,-1405.0,-1352.0,-1123.0,-711.0,-1876.0
マイジャグラーV,1036,4375.0,3008.0,-683.0,-462.0,635.0,-1126.0,-1382.0,-1465.0,-700.0,1380.0,-950.0,-1600.0,1405.0,2550.0,2121.0,1641.0,844.0,591.0,206.0,-1729.0,-3647.0,-2029.0,380.0,2953.0,5465.0
マイジャグラーV,1037,-2139.0,-1995.0,-1339.0,-2606.0,-3053.0,-3088.0,-461.0,753.0,1000.0,-85.0,491.0,-391.0,703.0,-536.0,-2633.0,-3130.0,-1645.0,-2392.0,-1804.0,-201.0,294.0,1556.0,771.0,-602.0,1248.0
マイジャグラーV,1038,-549.0,-1452.0,-1764.0,-744.0,-1305.0,-1470.0,718.0,-1579.0,-3559.0,-3271.0,-4556.0,-4921.0,-3933.0,-5930.0,-6089.0,-3124.0,-1862.0,-1327.0,299.0,1711.0,2223.0,2302.0,1487.0,1946.0,1405.0
マイジャグラーV,1039,791.0,2177.0,3847.0,2918.0,2577.0,4857.0,4186.0,6639.0,9547.0,9162.0,11426.0,11711.0,8034.0,9705.0,7399.0,3082.0,1923.0,879.0,853.0,3309.0,2809.0,2792.0,2083.0,2748.0,607.0
マイジャグラーV,1040,1306.0,1194.0,-2609.0,-2742.0,-868.0,-1606.0,-441.0,-183.0,432.0,1353.0,1100.0,-791.0,3568.0,2347.0,1439.0,877.0,424.0,519.0,1083.0,-3441.0,-482.0,-647.0,712.0,1797.0,1702.0
マイジャグラーV,1041,-4897.0,-4685.0,-4956.0,-5147.0,-5685.0,-3361.0,-2528.0,2198.0,3836.0,4377.0,9750.0,9423.0,10431.0,10254.0,5154.0,2604.0,210.0,-1613.0,431.0,-2195.0,-2886.0,-3003.0,-2191.0,759.0,-1320.0
マイジャグラーV,1042,-3455.0,-855.0,-205.0,193.0,752.0,-239.0,-1316.0,563.0,-90.0,633.0,2706.0,844.0,3009.0,3792.0,3921.0,747.0,665.0,842.0,251.0,-1746.0,-2258.0,-3796.0,-2593.0,-2555.0,-6470.0
マイジャグラーV,1043,-288.0,1056.0,3435.0,2850.0,836.0,1074.0,2671.0,2894.0,1768.0,-647.0,-471.0,-668.0,-38.0,-1235.0,-1488.0,-1835.0,-2149.0,-1361.0,592.0,2592.0,1722.0,655.0,-390.0,683.0,-908.0
マイジャグラーV,1044,-711.0,-1902.0,-2219.0,-2784.0,-3398.0,-3775.0,-2425.0,-2320.0,9.0,-689.0,-501.0,-396.0,384.0,-440.0,-1443.0,-3855.0,-4666.0,-4695.0,-6221.0,-3333.0,-977.0,-485.0,727.0,1918.0,1742.0
マイジャグラーV,1045,774.0,1638.0,1130.0,1295.0,-1108.0,127.0,274.0,-70.0,-96.0,2421.0,3191.0,2958.0,1711.0,1458.0,1047.0,538.0,-982.0,-1793.0,-1834.0,-1543.0,-434.0,-1808.0,495.0,803.0,1394.0
マイジャグラーV,1046,1778.0,-775.0,-434.0,-57.0,1563.0,2363.0,-805.0,-2152.0,389.0,527.0,-579.0,-761.0,-2452.0,-1020.0,-603.0,-1617.0,256.0,1003.0,732.0,1540.0,-427.0,-485.0,-1480.0,-4280.0,-3401.0
マイジャグラーV,1047,-1604.0,-1957.0,-1566.0,-166.0,-348.0,-654.0,-322.0,325.0,478.0,-296.0,-481.0,-458.0,1580.0,2789.0,1847.0,1244.0,944.0,599.0,2405.0,132.0,-1189.0,161.0,-1439.0,35.0,-132.0
マイジャグラーV,1048,-2901.0,2849.0,2199.0,2402.0,2982.0,3394.0,3174.0,3054.0,-1934.0,-1875.0,-3231.0,-4984.0,-5793.0,-5617.0,-1529.0,-647.0,20.0,476.0,990.0,1743.0,1840.0,-1098.0,-1663.0,-2801.0,-2895.0
マイジャグラーV,1049,1533.0,3639.0,1303.0,-409.0,-844.0,115.0,-1418.0,-1362.0,-3356.0,-973.0,-1264.0,-2402.0,-3205.0,-2955.0,-2535.0,-1497.0,-1338.0,-512.0,-1162.0,-1279.0,-1491.0,-1479.0,-2382.0,-2485.0,-3044.0
マイジャグラーV,1050,1803.0,712.0,-1218.0,-2368.0,-1900.0,-2167.0,259.0,762.0,1738.0,2341.0,3008.0,3105.0,4855.0,2993.0,2876.0,2168.0,1377.0,580.0,-1020.0,-2476.0,-4385.0,-3894.0,-1324.0,-1806.0,-1806.0
マイジャグラーV,1069,-2381.0,-3849.0,-3790.0,-4555.0,-4288.0,-2926.0,-4805.0,-4747.0,-1229.0,-1014.0,-638.0,380.0,956.0,1132.0,656.0,-1112.0,876.0,529.0,-2230.0,-3236.0,-2748.0,-2907.0,-778.0,-2543.0,-3434.0
マイジャグラーV,1070,-824.0,-1145.0,-1281.0,-2390.0,-2019.0,-2245.0,-1668.0,-2073.0,-2864.0,-2328.0,-1836.0,-2271.0,-2663.0,-2743.0,-985.0,-1238.0,-1162.0,629.0,-486.0,282.0,1259.0,1374.0,477.0,612.0,-238.0
マイジャグラーV,1071,738.0,-6.0,3474.0,2448.0,968.0,1283.0,-105.0,1656.0,1900.0,-2297.0,-130.0,-330.0,423.0,-753.0,-520.0,304.0,733.0,-993.0,1196.0,272.0,1569.0,-431.0,-1593.0,-2102.0,1627.0
マイジャグラーV,1072,-1309.0,-1015.0,-2477.0,-2512.0,-218.0,467.0,-4068.0,-4856.0,-980.0,1903.0,4197.0,4988.0,4541.0,4188.0,3635.0,653.0,-391.0,-1429.0,1436.0,1686.0,2654.0,-61.0,-1649.0,-2488.0,-3074.0
マイジャグラーV,1073,768.0,2980.0,3351.0,4930.0,2613.0,3348.0,2427.0,2256.0,-650.0,-527.0,-1662.0,-2068.0,-3094.0,-3350.0,-1806.0,-712.0,-2171.0,-2238.0,1618.0,1968.0,1812.0,1048.0,-290.0,169.0,495.0
マイジャグラーV,1074,-577.0,2697.0,2635.0,3238.0,3885.0,1061.0,661.0,490.0,-2460.0,-3295.0,-2978.0,-4357.0,-3301.0,-1221.0,-556.0,1200.0,2438.0,1680.0,2333.0,1201.0,-35.0,-1679.0,-1118.0,-1141.0,1935.0
マイジャグラーV,1075,4476.0,8573.0,8541.0,9412.0,5727.0,5198.0,5851.0,3004.0,-1940.0,-1611.0,-3623.0,-1532.0,-100.0,-980.0,-459.0,241.0,-720.0,1386.0,-1132.0,-1802.0,-987.0,-511.0,36.0,47.0,-1509.0
マイジャグラーV,1076,-3974.0,-4276.0,-3346.0,-2949.0,-2387.0,-1849.0,1007.0,1360.0,1051.0,98.0,2077.0,2635.0,3153.0,4335.0,2897.0,2653.0,2706.0,2245.0,1101.0,-17.0,-1279.0,-841.0,-1750.0,753.0,-1174.0
マイジャグラーV,1077,-4721.0,-3244.0,-3170.0,-2408.0,-1999.0,154.0,-352.0,-229.0,-3135.0,-3382.0,-3812.0,-2647.0,-2895.0,-4080.0,-4165.0,-4053.0,-4033.0,-3333.0,-839.0,-86.0,2820.0,3464.0,6081.0,7246.0,6699.0
マイジャグラーV,1078,-2949.0,-467.0,5624.0,6821.0,8241.0,7521.0,9585.0,9999.0,6899.0,2270.0,1590.0,1002.0,1805.0,-459.0,-1268.0,-1465.0,-2445.0,-2021.0,-689.0,-1569.0,-2081.0,-1810.0,-295.0,1561.0,240.0
マイジャグラーV,1079,359.0,7030.0,8263.0,9752.0,4717.0,5099.0,5575.0,7184.0,1537.0,-248.0,1149.0,1313.0,1107.0,3301.0,2677.0,2544.0,2973.0,1240.0,155.0,1470.0,-1165.0,-3659.0,-2503.0,-2744.0,-2038.0
マイジャグラーV,1080,-3735.0,-2453.0,-329.0,-435.0,-1026.0,2044.0,3047.0,2853.0,-241.0,-2521.0,-2597.0,-947.0,-920.0,-1791.0,-2923.0,-2570.0,-1973.0,-1144.0,506.0,-1853.0,-1550.0,-636.0,2784.0,3596.0,2796.0
マイジャグラーV,1081,-2127.0,-3674.0,-3680.0,-3330.0,-980.0,-2033.0,-1238.0,-911.0,2174.0,3498.0,3522.0,5954.0,5542.0,3542.0,4050.0,3027.0,1256.0,1400.0,2291.0,6371.0,4900.0,4609.0,4162.0,3424.0,2506.0
マイジャグラーV,1082,1824.0,127.0,2133.0,136.0,-679.0,62.0,1618.0,4512.0,4530.0,3159.0,5859.0,4971.0,4645.0,2080.0,483.0,195.0,1254.0,-1658.0,-2591.0,-2520.0,-1955.0,-1837.0,1713.0,2263.0,2193.0
マイジャグラーV,1083,-544.0,1680.0,700.0,-1709.0,418.0,2491.0,1523.0,1699.0,1558.0,4229.0,5070.0,3481.0,1140.0,2967.0,2620.0,896.0,178.0,-392.0,-3236.0,-1083.0,-3366.0,-45.0,840.0,-33.0,431.0
マイジャグラーV,1084,-1732.0,30.0,645.0,-414.0,-370.0,-1129.0,-1220.0,501.0,-2196.0,-3175.0,-1528.0,-1546.0,-3405.0,-291.0,-2903.0,-2171.0,908.0,-365.0,-850.0,2462.0,-782.0,-676.0,-1973.0,-6002.0,-4905.0
マイジャグラーV,1085,895.0,-438.0,-1571.0,-2544.0,-4238.0,-3750.0,-5759.0,-5217.0,-4758.0,-2240.0,-1284.0,316.0,-2543.0,-3767.0,562.0,1771.0,1688.0,673.0,1061.0,3970.0,6397.0,2950.0,4035.0,1718.0,1906.0
マイジャグラーV,1086,753.0,1065.0,1165.0,1750.0,1029.0,-862.0,-1032.0,-926.0,-247.0,1750.0,2209.0,1727.0,1527.0,1615.0,1392.0,1789.0,-696.0,-161.0,2206.0,1711.0,1828.0,2657.0,40.0,593.0,141.0
マイジャグラーV,1087,94.0,4009.0,3997.0,823.0,2120.0,3317.0,3055.0,1114.0,-1936.0,-1180.0,-1000.0,-1405.0,-1790.0,-1046.0,733.0,151.0,234.0,1163.0,957.0,1060.0,1731.0,284.0,1675.0,378.0,-1728.0
マイジャグラーV,1088,2244.0,1206.0,-777.0,314.0,1549.0,-277.0,-506.0,-1151.0,-466.0,-254.0,-1807.0,290.0,-496.0,-290.0,-363.0,-601.0,137.0,70.0,-624.0,-109.0,-227.0,-1024.0,-1974.0,-2800.0,-4806.0
マイジャグラーV,1089,-61.0,-876.0,1880.0,5212.0,4741.0,4459.0,2738.0,2521.0,3312.0,115.0,-2743.0,-3108.0,-3770.0,1395.0,1747.0,2024.0,2241.0,2446.0,1885.0,1650.0,-3738.0,-3461.0,-3456.0,-4600.0,-4538.0
マイジャグラーV,1090,3915.0,4538.0,1194.0,1136.0,2477.0,2747.0,562.0,967.0,261.0,919.0,1224.0,-1829.0,-1584.0,-890.0,-2551.0,-2989.0,97.0,-903.0,2062.0,4382.0,5162.0,5529.0,4229.0,926.0,394.0
マイジャグラーV,1091,-4073.0,107.0,-1302.0,-11.0,624.0,377.0,594.0,2855.0,817.0,596.0,902.0,1708.0,2764.0,4197.0,1900.0,-483.0,1935.0,2694.0,1109.0,-12.0,-1392.0,-495.0,-1009.0,-418.0,-4259.0
マイジャグラーV,1092,-808.0,860.0,1025.0,310.0,486.0,-1103.0,-3385.0,-3238.0,-5462.0,-4489.0,-4171.0,-982.0,-1835.0,-479.0,318.0,-294.0,-185.0,-21.0,-1165.0,-835.0,1294.0,26.0,1356.0,488.0,1344.0
マイジャグラーV,1093,2716.0,2190.0,1720.0,1173.0,844.0,3.0,1406.0,-2658.0,-2114.0,-1514.0,-2040.0,-1146.0,-1487.0,-2181.0,-3275.0,904.0,289.0,759.0,-1538.0,-338.0,-830.0,949.0,-2809.0,129.0,2082.0
マイジャグラーV,1094,3113.0,760.0,934.0,1837.0,337.0,161.0,-1659.0,-1688.0,-1485.0,-2535.0,-4426.0,-3687.0,-2820.0,-2882.0,-3017.0,-2741.0,-2429.0,-1350.0,-515.0,544.0,403.0,-818.0,2211.0,1125.0,-498.0
