,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,408,1.048,1.028,0.997,1.029,1.011,1.044,0.993,0.952,0.994,0.962,0.991,0.997,0.979,1.007,1.023,0.987,1.035,0.96,0.997,1.035,0.92,0.934,1.025,0.954,1.009,0.957,0.969,0.949,0.917,0.956,1.012,0.997
その他,409,1.029,0.972,1.027,0.975,0.972,1.06,0.996,0.934,0.933,0.958,1.033,0.996,0.947,1.091,1.009,0.986,0.973,1.023,1.012,1.036,0.982,0.973,1.076,1.0,1.065,1.023,1.042,0.918,0.973,0.935,1.066,1.006
その他,410,1.042,0.943,1.026,0.975,1.023,1.047,0.974,0.977,1.004,0.936,1.067,0.979,1.064,1.04,0.957,0.948,1.027,1.003,1.042,1.058,0.959,1.031,1.079,0.999,1.016,0.958,1.002,0.906,0.962,0.978,1.023,1.01
その他,411,0.994,0.939,1.034,1.026,0.996,1.054,1.031,0.96,0.987,0.982,1.025,1.061,0.99,0.97,0.97,1.015,0.967,0.98,0.977,1.042,0.966,0.956,1.084,0.934,0.927,0.921,1.005,0.981,0.927,1.079,0.981,0.999
その他,412,0.981,0.984,0.943,0.992,1.013,1.018,1.013,0.973,1.036,1.012,1.04,1.049,1.033,0.97,0.967,0.974,1.015,1.031,1.033,1.023,1.019,0.959,1.024,1.01,1.008,1.082,1.039,1.02,0.997,1.0,0.995,1.009
その他,413,1.047,0.949,0.999,1.004,0.935,0.975,1.047,0.964,0.939,1.008,0.993,0.963,1.046,0.946,1.047,1.022,1.054,0.957,0.924,1.015,1.032,0.945,0.939,0.898,1.089,0.918,0.934,0.995,1.018,0.909,0.913,0.995
その他,414,0.985,0.987,1.021,0.99,1.006,1.001,0.98,1.012,1.025,0.982,1.03,0.998,1.057,0.942,1.029,1.002,1.002,1.026,1.016,0.978,0.987,0.97,0.967,1.091,0.999,1.035,1.031,1.029,1.041,0.961,1.021,1.009
その他,415,1.015,0.95,1.023,0.997,1.054,1.061,0.951,0.928,1.001,1.059,0.952,0.993,1.057,1.07,0.939,1.062,0.991,1.038,0.993,0.935,1.028,0.996,0.968,0.982,1.065,1.014,0.965,1.042,0.91,1.006,0.969,1.007
その他,416,1.024,0.995,0.967,1.018,1.004,1.029,0.976,0.998,0.935,0.995,1.038,0.941,0.992,1.017,0.973,0.996,1.062,0.994,0.938,1.056,0.97,0.965,0.987,1.026,0.977,1.02,0.992,0.982,0.927,1.053,0.884,0.998
その他,417,1.004,1.019,0.915,1.045,1.037,0.932,0.994,0.964,0.983,1.02,1.047,0.988,1.016,0.942,0.94,0.997,0.975,0.906,0.998,1.044,0.956,0.89,1.012,0.904,0.994,1.019,1.043,0.988,0.92,0.894,1.103,0.993
その他,418,0.967,0.988,1.047,0.965,0.941,0.99,0.933,1.001,0.959,0.993,0.949,0.986,0.959,0.989,1.002,0.994,1.049,0.957,1.004,0.971,1.011,0.947,1.026,0.798,0.96,0.988,0.935,0.982,1.012,0.938,1.02,0.984
その他,419,0.953,0.976,0.957,0.963,0.977,0.984,0.946,0.966,0.934,0.939,0.983,0.951,0.959,0.996,0.998,0.98,0.95,0.942,0.94,1.023,0.997,0.938,0.941,0.978,0.971,0.993,1.06,0.948,0.995,0.845,0.832,0.971
その他,420,0.979,0.941,1.068,1.056,0.967,0.982,1.017,0.992,0.978,0.961,0.955,0.957,1.041,0.974,1.025,0.989,0.938,1.018,0.891,1.034,1.045,1.015,0.951,1.002,0.979,0.955,0.973,0.916,0.99,0.992,0.948,0.989
その他,421,0.958,0.988,1.073,0.967,0.99,0.99,1.091,1.062,0.925,0.983,1.035,0.983,0.998,1.054,0.978,0.969,1.011,1.05,1.0,0.926,1.002,0.892,0.911,0.835,0.986,1.047,0.973,0.945,0.894,1.008,1.019,0.994
その他,422,0.97,0.933,1.013,0.976,1.03,0.967,0.907,0.92,1.041,0.933,1.07,0.933,1.055,1.071,1.016,0.976,1.002,1.06,0.941,0.96,1.012,0.991,0.97,0.971,1.039,1.02,1.011,0.989,1.028,0.961,0.851,1.001
その他,423,0.964,0.9,0.964,1.1,0.975,0.859,0.999,1.02,0.978,0.98,0.945,0.949,0.992,0.826,1.082,1.018,1.015,0.985,0.966,0.999,0.962,1.023,0.991,1.032,0.948,0.945,0.958,0.875,0.909,0.979,0.968,0.983
その他,424,0.913,0.997,0.907,0.952,0.988,0.999,1.078,1.022,0.96,0.958,1.005,0.988,1.011,0.982,0.97,1.029,0.996,0.99,1.005,0.958,1.022,0.972,0.985,1.024,1.006,0.941,0.985,1.034,1.031,0.922,0.717,0.99
その他,425,0.944,0.895,0.988,0.978,1.035,0.981,1.027,0.989,0.923,1.115,1.038,1.023,0.972,0.939,0.933,1.026,0.992,0.999,1.032,0.948,0.957,0.937,1.04,0.983,0.932,0.999,0.997,0.969,1.007,0.91,0.978,0.99
その他,426,1.022,0.958,0.957,1.005,0.991,0.974,1.027,0.95,0.971,0.981,1.064,0.923,0.987,1.025,0.963,1.045,0.96,0.911,1.042,1.016,0.912,0.994,0.955,1.027,0.859,0.873,0.975,0.986,0.98,0.982,0.868,0.986
その他,427,0.918,0.994,0.945,0.933,1.046,0.975,1.002,0.904,0.936,1.037,1.011,1.039,1.015,0.993,0.965,1.02,0.963,1.028,0.927,1.048,0.956,1.013,0.95,0.937,1.026,0.961,1.046,0.923,1.044,1.021,0.833,0.989
その他,428,0.969,0.958,0.973,1.032,0.974,0.916,0.886,0.932,1.053,0.977,0.976,1.014,0.879,0.996,0.991,0.969,0.941,0.855,0.931,1.015,0.92,0.959,0.946,0.959,0.959,0.984,0.996,0.95,0.902,1.048,0.904,0.97
その他,429,0.919,1.011,0.995,0.981,1.042,0.932,1.027,1.009,0.941,0.962,0.933,0.997,1.001,0.966,1.002,0.996,0.956,0.948,0.989,0.956,1.016,1.037,0.985,0.981,0.981,0.947,1.058,0.982,0.967,0.971,1.019,0.984
その他,430,1.002,0.97,0.966,1.018,0.986,0.867,0.985,0.909,0.966,0.963,0.991,0.966,0.998,1.002,0.986,0.929,0.966,1.001,1.013,0.865,0.893,0.966,0.99,0.943,1.003,1.011,0.998,0.977,1.061,0.905,0.944,0.977
