model_name,unit_no,2025-04-26
マイジャグラーV,789,4757.0
マイジャグラーV,790,8908.0
マイジャグラーV,791,6865.0
マイジャグラーV,792,4826.0
マイジャグラーV,793,3685.0
マイジャグラーV,794,3097.0
マイジャグラーV,795,8121.0
マイジャグラーV,796,4835.0
マイジャグラーV,797,8672.0
マイジャグラーV,798,2689.0
マイジャグラーV,799,5473.0
マイジャグラーV,800,7178.0
マイジャグラーV,801,3581.0
マイジャグラーV,802,4241.0
マイジャグラーV,803,3653.0
マイジャグラーV,804,5570.0
マイジャグラーV,805,4386.0
マイジャグラーV,806,5358.0
マイジャグラーV,807,3650.0
マイジャグラーV,808,6468.0
マイジャグラーV,789,317.1
マイジャグラーV,790,371.2
マイジャグラーV,791,264.0
マイジャグラーV,792,268.1
マイジャグラーV,793,614.2
マイジャグラーV,794,619.4
マイジャグラーV,795,280.0
マイジャグラーV,796,371.9
マイジャグラーV,797,346.9
マイジャグラーV,798,896.3
マイジャグラーV,799,390.9
マイジャグラーV,800,312.1
マイジャグラーV,801,397.9
マイジャグラーV,802,302.9
マイジャグラーV,803,608.8
マイジャグラーV,804,348.1
マイジャグラーV,805,365.5
マイジャグラーV,806,382.7
マイジャグラーV,807,1825.0
マイジャグラーV,808,380.5
マイジャグラーV,789,164.0
マイジャグラーV,790,148.5
マイジャグラーV,791,120.4
マイジャグラーV,792,155.7
マイジャグラーV,793,193.9
マイジャグラーV,794,221.2
マイジャグラーV,795,135.4
マイジャグラーV,796,156.0
マイジャグラーV,797,152.1
マイジャグラーV,798,336.1
マイジャグラーV,799,140.3
マイジャグラーV,800,163.1
マイジャグラーV,801,223.8
マイジャグラーV,802,184.4
マイジャグラーV,803,202.9
マイジャグラーV,804,192.1
マイジャグラーV,805,156.6
マイジャグラーV,806,206.1
マイジャグラーV,807,202.8
マイジャグラーV,808,137.6
ゴーゴージャグラー3,809,5549
ゴーゴージャグラー3,810,2684
ゴーゴージャグラー3,811,1004
ゴーゴージャグラー3,812,4916
ゴーゴージャグラー3,813,2852
ゴーゴージャグラー3,814,1531
ゴーゴージャグラー3,815,1846
ゴーゴージャグラー3,827,7464
ゴーゴージャグラー3,828,6353
ゴーゴージャグラー3,829,3077
ゴーゴージャグラー3,830,4733
ゴーゴージャグラー3,831,4664
ゴーゴージャグラー3,832,2814
ゴーゴージャグラー3,833,1684
ゴーゴージャグラー3,834,6921
ゴーゴージャグラー3,835,5213
ゴーゴージャグラー3,836,1896
ゴーゴージャグラー3,837,4326
ゴーゴージャグラー3,838,1856
ゴーゴージャグラー3,839,5537
ゴーゴージャグラー3,840,1073
ゴーゴージャグラー3,841,6800
ゴーゴージャグラー3,842,2481
ゴーゴージャグラー3,843,4367
ゴーゴージャグラー3,844,6179
ゴーゴージャグラー3,845,2774
ゴーゴージャグラー3,846,2697
ゴーゴージャグラー3,847,2328
ゴーゴージャグラー3,848,6492
,,
ゴーゴージャグラー3,809,346.8
ゴーゴージャグラー3,810,335.5
ゴーゴージャグラー3,811,251.0
ゴーゴージャグラー3,812,234.1
ゴーゴージャグラー3,813,356.5
ゴーゴージャグラー3,814,765.5
ゴーゴージャグラー3,815,0.0
ゴーゴージャグラー3,827,355.4
ゴーゴージャグラー3,828,334.4
ゴーゴージャグラー3,829,279.7
ゴーゴージャグラー3,830,430.3
ゴーゴージャグラー3,831,259.1
ゴーゴージャグラー3,832,201.0
ゴーゴージャグラー3,833,336.8
ゴーゴージャグラー3,834,209.7
ゴーゴージャグラー3,835,306.6
ゴーゴージャグラー3,836,632.0
ゴーゴージャグラー3,837,270.4
ゴーゴージャグラー3,838,309.3
ゴーゴージャグラー3,839,197.8
ゴーゴージャグラー3,840,268.2
ゴーゴージャグラー3,841,261.5
ゴーゴージャグラー3,842,248.1
ゴーゴージャグラー3,843,363.9
ゴーゴージャグラー3,844,309.0
ゴーゴージャグラー3,845,554.8
ゴーゴージャグラー3,846,269.7
ゴーゴージャグラー3,847,291.0
ゴーゴージャグラー3,848,240.4
,,
ゴーゴージャグラー3,809,111.0
ゴーゴージャグラー3,810,157.9
ゴーゴージャグラー3,811,167.3
ゴーゴージャグラー3,812,102.4
ゴーゴージャグラー3,813,142.6
ゴーゴージャグラー3,814,255.2
ゴーゴージャグラー3,815,263.7
ゴーゴージャグラー3,827,138.2
ゴーゴージャグラー3,828,113.4
ゴーゴージャグラー3,829,146.5
ゴーゴージャグラー3,830,139.2
ゴーゴージャグラー3,831,137.2
ゴーゴージャグラー3,832,122.3
ゴーゴージャグラー3,833,153.1
ゴーゴージャグラー3,834,113.5
ゴーゴージャグラー3,835,148.9
ゴーゴージャグラー3,836,145.8
ゴーゴージャグラー3,837,139.5
ゴーゴージャグラー3,838,142.8
ゴーゴージャグラー3,839,115.4
ゴーゴージャグラー3,840,119.2
ゴーゴージャグラー3,841,119.3
ゴーゴージャグラー3,842,124.0
ゴーゴージャグラー3,843,145.6
ゴーゴージャグラー3,844,123.6
ゴーゴージャグラー3,845,184.9
ゴーゴージャグラー3,846,168.6
ゴーゴージャグラー3,847,129.3
ゴーゴージャグラー3,848,127.3
,,
,,
アイムジャグラーEX-TP,663,890
アイムジャグラーEX-TP,664,2307
アイムジャグラーEX-TP,665,1256
アイムジャグラーEX-TP,666,352
アイムジャグラーEX-TP,856,2707
アイムジャグラーEX-TP,857,2239
アイムジャグラーEX-TP,858,3580
アイムジャグラーEX-TP,859,1711
アイムジャグラーEX-TP,866,940
アイムジャグラーEX-TP,867,4343
アイムジャグラーEX-TP,868,578
アイムジャグラーEX-TP,869,1467
アイムジャグラーEX-TP,870,2951
アイムジャグラーEX-TP,871,3251
アイムジャグラーEX-TP,872,2577
アイムジャグラーEX-TP,873,5264
アイムジャグラーEX-TP,874,3239
アイムジャグラーEX-TP,875,2982
アイムジャグラーEX-TP,876,1221
アイムジャグラーEX-TP,877,2466
アイムジャグラーEX-TP,878,1506
アイムジャグラーEX-TP,879,2616
アイムジャグラーEX-TP,880,2563
アイムジャグラーEX-TP,881,1393
アイムジャグラーEX-TP,882,2448
,,
アイムジャグラーEX-TP,663,445.0
アイムジャグラーEX-TP,664,461.4
アイムジャグラーEX-TP,665,628.0
アイムジャグラーEX-TP,666,352.0
アイムジャグラーEX-TP,856,451.2
アイムジャグラーEX-TP,857,1119.5
アイムジャグラーEX-TP,858,397.8
アイムジャグラーEX-TP,859,570.3
アイムジャグラーEX-TP,866,470.0
アイムジャグラーEX-TP,867,482.6
アイムジャグラーEX-TP,868,0.0
アイムジャグラーEX-TP,869,733.5
アイムジャグラーEX-TP,870,368.9
アイムジャグラーEX-TP,871,464.4
アイムジャグラーEX-TP,872,368.1
アイムジャグラーEX-TP,873,329.0
アイムジャグラーEX-TP,874,359.9
アイムジャグラーEX-TP,875,331.3
アイムジャグラーEX-TP,876,610.5
アイムジャグラーEX-TP,877,411.0
アイムジャグラーEX-TP,878,376.5
アイムジャグラーEX-TP,879,373.7
アイムジャグラーEX-TP,880,427.2
アイムジャグラーEX-TP,881,232.2
アイムジャグラーEX-TP,882,612.0
,,
アイムジャグラーEX-TP,663,148.3
アイムジャグラーEX-TP,664,153.8
アイムジャグラーEX-TP,665,157.0
アイムジャグラーEX-TP,666,352.0
アイムジャグラーEX-TP,856,208.2
アイムジャグラーEX-TP,857,203.5
アイムジャグラーEX-TP,858,143.2
アイムジャグラーEX-TP,859,285.2
アイムジャグラーEX-TP,866,470.0
アイムジャグラーEX-TP,867,160.9
アイムジャグラーEX-TP,868,0.0
アイムジャグラーEX-TP,869,244.5
アイムジャグラーEX-TP,870,155.3
アイムジャグラーEX-TP,871,147.8
アイムジャグラーEX-TP,872,184.1
アイムジャグラーEX-TP,873,146.2
アイムジャグラーEX-TP,874,147.2
アイムジャグラーEX-TP,875,142.0
アイムジャグラーEX-TP,876,174.4
アイムジャグラーEX-TP,877,176.1
アイムジャグラーEX-TP,878,150.6
アイムジャグラーEX-TP,879,130.8
アイムジャグラーEX-TP,880,213.6
アイムジャグラーEX-TP,881,139.3
アイムジャグラーEX-TP,882,349.7
,,
,,
ファンキージャグラー2,819,3678
ファンキージャグラー2,820,6368
ファンキージャグラー2,821,1816
ファンキージャグラー2,822,625
ファンキージャグラー2,823,1726
ファンキージャグラー2,824,3677
ファンキージャグラー2,825,1329
ファンキージャグラー2,826,6221
,,
ファンキージャグラー2,819,408.7
ファンキージャグラー2,820,374.6
ファンキージャグラー2,821,454.0
ファンキージャグラー2,822,0.0
ファンキージャグラー2,823,431.5
ファンキージャグラー2,824,245.1
ファンキージャグラー2,825,332.2
ファンキージャグラー2,826,691.2
,,
ファンキージャグラー2,819,175.1
ファンキージャグラー2,820,144.7
