,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: I'm EX-TP,663,1.003,1.024,1.042,0.936,0.927,0.955,0.557,0.91,0.926,0.848,0.945,0.981,1.057,0.781,0.994,1.021,1.008,0.89,0.802,1.096,0.904,0.992,0.928,0.941,0.815,0.969,0.96,1.02,0.92,1.068,1.08,0.976
a: I'm EX-TP,664,0.95,1.01,1.065,0.786,0.886,0.989,0.417,1.028,1.096,0.913,0.967,1.019,1.023,0.756,0.98,1.095,0.762,1.052,1.02,0.589,0.937,0.722,0.938,1.009,0.965,1.013,0.897,0.787,0.821,1.032,0.85,0.976
a: I'm EX-TP,665,0.925,1.11,0.859,1.018,0.857,1.235,-0.333,0.942,0.874,0.887,1.049,0.922,1.07,0.618,1.162,1.009,0.763,0.717,0.98,1.032,1.216,0.718,1.16,1.043,1.015,1.011,0.643,0.913,1.002,0.507,0.576,1.009
a: I'm EX-TP,666,1.02,0.847,0.983,0.918,0.726,0.93,0.872,1.065,0.938,0.664,1.017,1.021,1.167,0.753,0.606,0.791,1.146,0.956,0.688,0.972,1.065,1.046,0.991,0.712,0.818,0.631,0.84,1.034,0.904,0.64,,0.954
b: MYV,789,1.013,0.993,1.073,0.998,0.941,0.952,0.991,0.971,1.043,0.934,1.006,1.018,0.999,0.994,1.003,0.951,0.954,1.014,1.023,0.971,1.023,0.964,0.931,0.842,0.968,0.988,1.091,1.006,0.893,0.992,0.925,0.989
b: MYV,790,0.997,0.996,0.977,0.959,0.924,0.99,1.013,1.012,1.058,0.988,0.99,0.99,0.922,1.0,0.979,1.027,1.016,1.016,1.075,0.995,0.954,0.953,1.008,0.996,1.012,0.986,0.974,0.984,0.985,1.039,0.997,0.994
b: MYV,791,1.049,0.968,1.012,0.951,1.009,0.928,0.945,1.015,1.045,1.028,1.03,1.01,0.99,1.047,0.927,1.063,1.005,0.995,0.978,0.923,0.939,1.094,0.972,0.978,0.932,1.028,0.98,1.019,0.944,0.975,0.976,1.0
b: MYV,792,0.99,0.984,1.049,0.964,0.998,0.93,0.959,0.988,1.01,0.992,0.98,0.969,0.974,1.081,0.912,0.935,1.002,0.988,0.981,0.971,0.956,1.007,0.973,1.011,0.917,0.895,0.979,0.998,1.003,1.004,0.841,0.981
b: MYV,793,0.98,0.982,1.0,0.985,0.996,0.954,0.998,1.078,1.111,0.979,1.005,0.992,0.964,0.967,0.979,0.985,0.944,0.956,1.05,0.946,0.97,0.893,1.023,1.036,0.966,1.02,0.984,0.956,0.937,0.999,0.992,0.991
b: MYV,794,1.044,0.999,0.955,0.965,0.94,0.995,0.951,1.01,1.017,0.974,1.02,0.963,1.076,0.984,0.929,0.949,0.942,0.962,0.972,1.001,0.974,0.985,0.974,1.037,1.011,0.867,1.012,0.953,1.013,0.912,0.998,0.989
b: MYV,795,0.953,0.993,0.956,0.992,1.025,0.974,0.977,0.947,1.007,1.052,1.018,0.963,0.987,0.919,1.058,0.844,0.951,0.968,1.015,1.008,0.964,0.998,0.94,0.9,1.041,1.021,0.942,1.037,1.021,0.988,1.042,0.99
b: MYV,796,0.973,0.994,0.971,0.984,0.907,0.969,0.961,0.929,1.02,0.943,1.025,0.972,0.994,0.96,0.953,0.93,0.989,1.005,0.89,1.026,0.951,1.021,1.048,1.026,0.946,0.956,1.032,0.955,1.023,0.956,1.062,0.98
b: MYV,797,0.999,0.98,0.954,0.991,0.987,0.993,0.963,0.999,0.989,0.933,0.997,0.87,1.039,0.973,0.912,0.938,0.933,0.929,1.02,1.012,1.017,0.958,1.003,0.984,0.956,0.936,1.004,1.032,0.986,0.988,0.917,0.979
b: MYV,798,0.969,0.915,0.991,0.949,0.965,1.005,1.003,0.964,0.93,0.927,0.997,1.021,1.003,1.0,1.018,0.945,1.016,0.974,1.034,0.986,0.997,0.941,1.035,0.969,0.979,1.024,0.996,0.995,0.952,0.926,0.986,0.981
b: MYV,799,0.98,0.892,1.01,0.978,0.99,0.981,1.042,0.976,0.957,0.944,1.012,1.026,0.975,0.939,0.934,0.924,0.877,0.998,0.965,0.866,0.976,0.901,0.916,0.965,0.979,1.026,0.977,0.985,0.983,1.006,0.996,0.974
b: MYV,800,0.966,1.01,0.945,1.006,0.983,1.033,1.021,0.964,0.95,1.019,0.974,0.97,0.975,0.975,0.979,0.899,0.977,1.0,0.96,0.951,0.968,1.018,0.964,1.013,1.05,0.978,1.005,0.894,0.933,1.003,0.777,0.982
b: MYV,801,0.977,0.967,0.925,0.982,0.964,0.992,0.924,0.968,0.975,0.985,0.994,0.998,0.935,0.987,0.857,0.97,0.977,1.025,0.767,0.998,0.873,1.071,1.032,1.02,0.98,0.926,1.005,0.985,1.006,0.979,1.028,0.979
b: MYV,802,0.95,1.0,1.025,0.966,0.99,1.022,0.805,0.932,0.996,0.944,0.938,0.978,1.018,1.029,0.963,0.945,0.931,0.944,1.02,1.013,0.969,0.938,0.984,0.888,0.907,0.97,0.984,0.971,0.945,0.968,0.982,0.97
b: MYV,803,0.957,0.907,0.994,0.987,0.981,0.967,0.971,1.016,0.946,1.0,0.982,1.038,0.946,1.028,1.013,0.952,0.955,0.986,1.003,1.045,0.977,1.015,0.978,0.998,0.876,0.961,0.949,0.959,0.953,0.953,0.941,0.976
b: MYV,804,1.017,1.021,0.948,0.993,1.014,1.045,0.992,0.94,0.946,1.031,1.017,0.954,0.993,0.971,0.959,0.977,0.976,1.0,0.974,0.901,1.029,0.914,0.947,1.001,0.89,0.956,0.92,0.987,0.958,0.931,1.02,0.986
b: MYV,805,1.008,0.982,0.971,1.005,0.984,1.048,0.954,1.008,0.971,0.998,0.976,0.983,1.006,1.003,0.999,0.895,1.024,0.952,0.986,0.975,0.889,0.995,0.97,0.994,0.957,1.042,1.014,0.94,0.94,0.956,1.0,0.986
b: MYV,806,0.983,0.958,0.988,0.99,0.945,0.967,0.943,0.937,0.995,0.982,1.003,0.96,0.965,0.97,0.987,0.936,1.015,0.952,0.912,1.01,0.962,0.992,1.029,1.019,0.914,0.915,1.005,0.948,1.016,1.046,1.013,0.978
