,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
day,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,total,total,total,total,total,total,total
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: I'm EX-TP,663,21577,201,88,43,1.003,501.8,164.7,15783,1157,44,22,1.024,717.4,239.1,3007,378,14,7,1.042,429.6,143.2,2696,-521,9,6,0.936,449.3,179.7,5753,-1260,20,9,0.927,639.2,198.4,5566,-755,17,19,0.955,292.9,154.6,735,-976,0,0,0.557,inf,inf,6233,-1686,19,11,0.91,566.6,207.8,5054,-1119,20,5,0.926,1010.8,202.2,2679,-1222,7,5,0.848,535.8,223.2,9125,-1510,29,24,0.945,380.2,172.2,7679,-430,10,6,0.981,1279.8,479.9,7567,1290,20,4,1.057,1891.8,315.3,1319,-866,2,2,0.781,659.5,329.8,5651,-107,24,8,0.994,706.4,176.6,5926,378,4,3,1.021,1975.3,846.6,2690,62,10,6,1.008,448.3,168.1,3139,-1040,9,7,0.89,448.4,196.2,1185,-704,2,2,0.802,592.5,296.2,2050,593,11,5,1.096,410.0,128.1,1859,-538,6,1,0.904,1859.0,265.6,7391,-168,29,21,0.992,352.0,147.8,2581,-559,8,4,0.928,645.2,215.1,8444,-1494,31,16,0.941,527.8,179.7,2063,-1146,4,4,0.815,515.8,257.9,3440,-323,12,7,0.969,491.4,181.1,2263,-270,9,4,0.96,565.8,174.1,7380,443,32,20,1.02,369.0,141.9,3096,-744,10,7,0.92,442.3,182.1,2623,537,12,6,1.068,437.2,145.7,3532,849,17,11,1.08,321.1,126.1,160086,-11550,529,295,0.976,542.7,194.3
a: I'm EX-TP,664,5139,-766,17,13,0.95,395.3,171.3,2336,68,9,6,1.01,389.3,155.7,563,110,3,0,1.065,inf,187.7,1215,-779,3,0,0.786,inf,405.0,1083,-372,4,0,0.886,inf,270.8,763,-25,3,2,0.989,381.5,152.6,52,-91,0,0,0.417,inf,inf,5420,448,21,21,1.028,258.1,129.0,524,151,3,1,1.096,524.0,131.0,1596,-415,5,3,0.913,532.0,199.5,4888,-489,18,11,0.967,444.4,168.6,3555,199,13,8,1.019,444.4,169.3,1098,76,4,1,1.023,1098.0,219.6,449,-329,0,1,0.756,449.0,449.0,2746,-166,11,4,0.98,686.5,183.1,2604,744,11,4,1.095,651.0,173.6,456,-326,0,2,0.762,228.0,228.0,6754,1059,31,17,1.052,397.3,140.7,1606,96,6,5,1.02,321.2,146.0,175,-216,0,0,0.589,inf,inf,1068,-203,3,3,0.937,356.0,178.0,558,-465,0,2,0.722,279.0,279.0,2235,-418,8,4,0.938,558.8,186.2,1469,40,6,1,1.009,1469.0,209.9,2007,-213,8,3,0.965,669.0,182.5,3352,127,13,6,1.013,558.7,176.4,2120,-656,6,5,0.897,424.0,192.7,1363,-871,3,1,0.787,1363.0,340.8,1235,-662,2,3,0.821,411.7,247.0,1694,164,7,4,1.032,423.5,154.0,374,-168,1,1,0.85,374.0,187.0,60497,-4348,219,132,0.976,458.3,172.4
a: I'm EX-TP,665,3243,-726,11,8,0.925,405.4,170.7,1784,590,10,4,1.11,446.0,127.4,673,-285,2,0,0.859,inf,336.5,1194,64,5,3,1.018,398.0,149.2,2323,-999,6,3,0.857,774.3,258.1,4478,3157,32,9,1.235,497.6,109.2,3,-12,0,0,-0.333,inf,inf,2970,-519,10,6,0.942,495.0,185.6,615,-232,2,0,0.874,inf,307.5,820,-279,2,3,0.887,273.3,164.0,7823,1146,37,15,1.049,521.5,150.4,2333,-547,5,6,0.922,388.8,212.1,654,138,3,2,1.07,327.0,130.8,423,-485,0,0,0.618,inf,inf,4315,2092,25,12,1.162,359.6,116.6,2110,58,7,3,1.009,703.3,211.0,1000,-712,1,3,0.763,333.3,250.0,1240,-1053,2,0,0.717,inf,620.0,1226,-75,5,2,0.98,613.0,175.1,1701,163,7,4,1.032,425.2,154.6,709,459,4,3,1.216,236.3,101.3,454,-384,1,0,0.718,inf,454.0,1980,948,12,6,1.16,330.0,110.0,856,111,3,4,1.043,214.0,122.3,1335,59,5,4,1.015,333.8,148.3,1531,52,6,3,1.011,510.3,170.1,401,-430,0,0,0.643,inf,inf,1273,-332,4,3,0.913,424.3,181.9,1727,12,6,5,1.002,345.4,157.0,417,-617,0,0,0.507,inf,inf,33,-42,0,0,0.576,inf,inf,51644,1320,213,111,1.009,465.3,159.4
a: I'm EX-TP,666,8736,517,32,37,1.02,236.1,126.6,1018,-466,1,2,0.847,509.0,339.3,672,-35,3,0,0.983,inf,224.0,1510,-372,5,2,0.918,755.0,215.7,1371,-1128,2,1,0.726,1371.0,457.0,1106,-231,3,2,0.93,553.0,221.2,3711,-1430,10,6,0.872,618.5,231.9,6449,1251,27,25,1.065,258.0,124.0,2689,-500,8,7,0.938,384.1,179.3,715,-721,1,0,0.664,inf,715.0,3421,178,16,5,1.017,684.2,162.9,2229,140,8,4,1.021,557.2,185.8,1742,873,9,7,1.167,248.9,108.9,681,-505,2,0,0.753,inf,340.5,555,-656,0,0,0.606,inf,inf,742,-465,1,1,0.791,742.0,371.0,504,221,3,1,1.146,504.0,126.0,2091,-274,6,5,0.956,418.2,190.1,838,-784,0,3,0.688,279.3,279.3,976,-82,4,1,0.972,976.0,195.2,1477,287,7,2,1.065,738.5,164.1,1107,152,5,2,1.046,553.5,158.1,1162,-31,5,2,0.991,581.0,166.0,611,-528,0,2,0.712,305.5,305.5,639,-348,1,1,0.818,639.0,319.5,763,-844,0,1,0.631,763.0,763.0,1092,-523,3,0,0.84,inf,364.0,1207,122,5,3,1.034,402.3,150.9,1250,-361,4,3,0.904,416.7,178.6,496,-535,0,1,0.64,496.0,496.0,0,0,0,0,,,,51560,-7078,171,126,0.954,409.2,173.6
b: MYV,789,48011,1814,182,149,1.013,322.2,145.0,36476,-727,142,92,0.993,396.5,155.9,23541,5169,113,64,1.073,367.8,133.0,36179,-267,136,99,0.998,365.4,154.0,35390,-6279,116,78,0.941,453.7,182.4,27536,-3926,93,71,0.952,387.8,167.9,21951,-594,75,79,0.991,277.9,142.5,33506,-2918,118,84,0.971,398.9,165.9,30490,3891,127,94,1.043,324.4,138.0,23633,-4698,75,49,0.934,482.3,190.6,48005,832,189,119,1.006,403.4,155.9,31387,1668,124,90,1.018,348.7,146.7,32637,-88,125,84,0.999,388.5,156.2,30372,-580,120,71,0.994,427.8,159.0,31403,309,123,68,1.003,461.8,164.4,16793,-2466,56,40,0.951,419.8,174.9,26145,-3633,89,67,0.954,390.2,167.6,31241,1279,123,87,1.014,359.1,148.8,13587,942,56,37,1.023,367.2,146.1,23483,-2064,80,70,0.971,335.5,156.6,26538,1809,101,87,1.023,305.0,141.2,17813,-1914,59,42,0.964,424.1,176.4,23352,-4814,68,64,0.931,364.9,176.9,15801,-7482,36,30,0.842,526.7,239.4,24478,-2378,92,62,0.968,394.8,158.9,23376,-871,91,60,0.988,389.6,154.8,28791,7878,139,90,1.091,319.9,125.7,29376,506,113,85,1.006,345.6,148.4,13945,-4476,39,29,0.893,480.9,205.1,21664,-535,86,44,0.992,492.4,166.6,10518,-2372,30,26,0.925,404.5,187.8,837418,-26985,3116,2211,0.989,378.8,157.2
b: MYV,790,40288,-349,150,114,0.997,353.4,152.6,23412,-262,94,56,0.996,418.1,156.1,17658,-1215,64,48,0.977,367.9,157.7,31899,-3878,106,81,0.959,393.8,170.6,26699,-6093,81,69,0.924,386.9,178.0,22106,-680,85,65,0.99,340.1,147.4,21809,878,87,67,1.013,325.5,141.6,42815,1564,171,117,1.012,365.9,148.7,24224,4232,107,70,1.058,346.1,136.9,30400,-1110,104,89,0.988,341.6,157.5,34641,-989,129,90,0.99,384.9,158.2,21679,-657,77,59,0.99,367.4,159.4,16249,-3790,49,37,0.922,439.2,188.9,17532,-22,68,48,1.0,365.2,151.1,32085,-2052,116,90,0.979,356.5,155.8,17302,1418,70,53,1.027,326.5,140.7,25707,1250,102,67,1.016,383.7,152.1,30986,1448,123,82,1.016,377.9,151.2,13022,2942,63,32,1.075,406.9,137.1,14771,-209,58,36,0.995,410.3,157.1,19598,-2686,68,41,0.954,478.0,179.8,12418,-1738,44,26,0.953,477.6,177.4,21719,523,85,64,1.008,339.4,145.8,27002,-350,98,84,0.996,321.5,148.4,27501,1006,103,96,1.012,286.5,138.2,22867,-983,85,63,0.986,363.0,154.5,17275,-1338,62,37,0.974,466.9,174.5,35443,-1714,129,87,0.984,407.4,164.1,20176,-879,71,62,0.985,325.4,151.7,23964,2797,106,64,1.039,374.4,141.0,13945,-134,52,38,0.997,367.0,154.9,747192,-13070,2807,2032,0.994,367.7,154.4
b: MYV,791,46803,6813,207,135,1.049,346.7,136.9,28234,-2750,99,65,0.968,434.4,172.2,15285,552,56,50,1.012,305.7,144.2,20640,-3065,67,48,0.951,430.0,179.5,32864,855,126,91,1.009,361.1,151.4,16619,-3565,50,42,0.928,395.7,180.6,9270,-1517,28,26,0.945,356.5,171.7,37766,1663,141,119,1.015,317.4,145.3,12297,1651,54,27,1.045,455.4,151.8,28369,2424,122,74,1.028,383.4,144.7,48098,4338,208,122,1.03,394.2,145.8,20440,598,88,40,1.01,511.0,159.7,32357,-994,122,78,0.99,414.8,161.8,21532,3035,95,56,1.047,384.5,142.6,26780,-5883,85,57,0.927,469.8,188.6,18360,3464,85,42,1.063,437.1,144.6,23832,354,93,59,1.005,403.9,156.8,25855,-425,105,55,0.995,470.1,161.6,5142,-337,21,9,0.978,571.3,171.4,9593,-2215,33,14,0.923,685.2,204.1,13885,-2546,47,28,0.939,495.9,185.1,22099,6226,104,73,1.094,302.7,124.9,20497,-1720,69,64,0.972,320.3,154.1,16916,-1110,61,41,0.978,412.6,165.8,10274,-2081,34,23,0.932,446.7,180.2,16204,1343,67,41,1.028,395.2,150.0,23081,-1384,86,58,0.98,397.9,160.3,23292,1359,91,70,1.019,332.7,144.7,13472,-2255,45,30,0.944,449.1,179.6,16198,-1214,62,36,0.975,449.9,165.3,15099,-1105,54,43,0.976,351.1,155.7,671153,509,2605,1716,1.0,391.1,155.3
b: MYV,792,40294,-1208,160,84,0.99,479.7,165.1,28137,-1361,101,74,0.984,380.2,160.8,22665,3342,97,75,1.049,302.2,131.8,25776,-2796,100,46,0.964,560.3,176.5,33668,-157,130,81,0.998,415.7,159.6,16038,-3360,50,33,0.93,486.0,193.2,12839,-1598,48,25,0.959,513.6,175.9,41618,-1464,143,133,0.988,312.9,150.8,14820,465,64,31,1.01,478.1,156.0,26238,-605,99,67,0.992,391.6,158.1,37205,-2255,139,86,0.98,432.6,165.4,11767,-1111,47,15,0.969,784.5,189.8,15724,-1238,54,46,0.974,341.8,157.2,23194,5604,106,79,1.081,293.6,125.4,29423,-7734,80,83,0.912,354.5,180.5,14385,-2814,44,42,0.935,342.5,167.3,17833,104,75,36,1.002,495.4,160.7,21209,-773,79,65,0.988,326.3,147.3,9668,-558,37,24,0.981,402.8,158.5,17221,-1475,62,46,0.971,374.4,159.5,26969,-3540,96,61,0.956,442.1,171.8,12907,279,53,25,1.007,516.3,165.5,18626,-1499,71,37,0.973,503.4,172.5,25456,866,106,56,1.011,454.6,157.1,18646,-4663,58,38,0.917,490.7,194.2,13700,-4314,38,32,0.895,428.1,195.7,24540,-1535,84,74,0.979,331.6,155.3,27075,-180,102,78,0.998,347.1,150.4,17351,152,69,48,1.003,361.5,148.3,21539,285,86,60,1.004,359.0,147.5,8267,-3937,20,15,0.841,551.1,236.2,674798,-39078,2498,1695,0.981,398.1,160.9
