model_name,unit_no,2025-04-24,2025-04-22,2025-04-21,2025-04-20,2025-04-19,2025-04-18,2025-04-17,2025-04-15,2025-04-14,2025-04-13,2025-04-12,2025-04-11,2025-04-10,2025-04-09,2025-04-08,2025-04-07,2025-04-06,2025-04-05,2025-04-04,2025-04-03,2025-04-02,2025-04-01,2025-03-31,2025-03-30,2025-03-29,2025-03-28,2025-03-27,2025-03-26,2025-03-25,2025-03-24,2025-03-23,2025-03-22,2025-03-21,2025-03-20,2025-03-19,2025-03-17,2025-03-16,2025-03-15,2025-03-14,2025-03-13,2025-03-12,2025-03-11,2025-03-10,2025-03-09,2025-03-08,2025-03-07,2025-03-06,2025-03-05,2025-03-04,2025-03-03,2025-03-02,2025-03-01,2025-02-28,2025-02-27,2025-02-26,2025-02-25,2025-02-24,2025-02-23,2025-02-22,2025-02-21,2025-02-20,2025-02-19,2025-02-18,2025-02-17,2025-02-16,2025-02-15,2025-02-14,2025-02-13,2025-02-12,2025-02-11,2025-02-10,2025-02-09,2025-02-08,2025-02-07,2025-02-06,2025-02-05,2025-02-04,2025-02-03,2025-02-02,2025-02-01,2025-01-31,2025-01-30,2025-01-29,2025-01-28,2025-01-27,2025-01-26,2025-01-25,2025-01-24,2025-01-23,2025-01-21,2025-01-20,2025-01-19,2025-01-18,2025-01-17,2025-01-16,2025-01-15,2025-01-14,2025-01-13,2025-01-12,2025-01-11,2025-01-10,2025-01-09,2025-01-08,2025-01-07,2025-01-06,2025-01-05,2025-01-04,2025-01-03,2025-01-02,2025-01-01
マイジャグラーV,313,4447,3100,4821,4656,3908,6141,8168,5406,4149,5415,3238,4770,5036,2114,1004,5176,3076,3325,4143,4439,5200,2495,5192,4173,4517,1230,5350,2503,3223,8357,1633,3623,7738,3536,4823,1665,3902,4512,5363,3086,2739,3174,2895,4448,4104,2715,1183,4271,4768,4097,6625,5464,4819,5503,3995,5320,5683,4144,7549,6539,4231,1785,4919,5730,3435,5850,4500,6303,5124,3017,2698,5767,5191,958,3024,2902,4795,1320,4176,6947,4255,2883,5587,1982,2932,7181,4593,6956,4293,6051,5764,5580,3578,5947,4670,2658,1945,2042,5576,4803,3934,2927,5994,5793,3807,3773,5151,6760,3504,3186
マイジャグラーV,314,5125,5690,3450,967,3735,1402,2988,5450,270,496,3487,1889,4540,1772,1939,3520,4627,2593,5302,3697,1249,3564,4559,2460,7115,4731,1705,4529,2880,928,2398,6180,3149,2323,1211,1787,2913,5385,1669,5813,904,3389,3083,1235,2338,3400,4167,268,4193,6140,2558,5734,2358,3106,1365,3772,2398,6709,877,3895,2050,697,4039,3560,2497,3208,6780,3191,2026,5760,4580,4636,1887,7685,2553,4192,2026,7484,3603,3934,2445,2837,2916,1977,5688,1750,5858,5162,1597,1415,3678,3966,4367,972,4403,4976,1454,3364,2230,7021,5556,1057,700,1902,1149,2975,2607,1303,6954,7650
マイジャグラーV,315,4615,810,2764,3153,4210,4455,4823,838,3437,1969,3745,6411,3717,1876,229,4553,2975,4764,2215,500,3953,3689,3644,1427,1955,849,1145,3541,3939,2997,3631,1489,6262,1907,4598,560,3028,4391,3717,2919,4043,5275,3122,1643,2926,4805,2139,4358,4175,1331,4718,6856,2941,1853,2450,4516,4134,2874,6270,3404,4174,6497,1878,4306,5851,4517,4635,2396,4679,2709,4281,2459,4442,1145,5294,1899,1058,906,4737,6660,4136,4263,1254,2084,2663,2474,1204,3808,7808,3216,3337,6542,2044,3028,1144,4251,1305,5109,4456,1533,3055,2412,3356,3424,4538,2605,1692,4332,1236,1135
マイジャグラーV,316,3422,9062,8550,767,3954,1361,4802,3035,3449,1796,2658,2221,4201,1148,1280,680,2723,880,2295,5692,759,2807,3810,5555,6817,3140,2792,4461,4473,3057,820,7546,1368,710,1393,1219,1024,3864,2368,1279,1208,5408,985,5651,1853,4934,3769,1997,1882,7290,3674,4734,1710,4075,3244,2875,4513,6311,1435,4202,3877,483,3767,5602,3272,1867,4148,3328,2508,4161,2908,7494,3538,1872,1582,4743,5341,2361,5442,2663,3424,4218,3782,2146,3433,2410,4324,3128,662,1430,4455,3670,6327,5808,3068,3083,2030,6128,6638,6642,2407,4882,3161,3028,1028,6868,2928,4143,3317,4358
マイジャグラーV,317,6428,982,2533,1328,2905,3843,5524,1899,1131,4150,2630,2093,2014,897,1002,2830,3377,4905,5112,602,8366,3658,4561,1032,2607,3381,1583,1594,5070,1001,5721,4457,6489,4820,1735,1356,1855,4657,6500,5238,2133,2822,5684,5105,1916,4481,4768,1760,1924,1970,6277,6921,2677,2406,6381,5286,7285,4317,6500,3384,2028,839,2516,2347,5106,4140,3701,5001,4973,2074,4604,1572,5362,3260,2901,818,3410,2656,6897,3992,2583,4995,2518,476,2143,3200,5297,3726,2577,3490,3824,2579,4057,4339,3843,3046,3272,2549,1367,9029,3952,5066,2434,1832,4835,2821,2203,4557,2631,3213
マイジャグラーV,318,1423,4175,5590,4549,1423,4405,3519,3297,3319,1418,5494,3994,4750,2578,1272,1665,3381,4000,5192,4967,1544,3571,3466,4405,3752,1415,2368,4371,1307,5250,3277,2774,2892,1205,1897,3877,4211,2527,3962,6935,4633,4468,2617,2320,1694,2177,6606,2413,4085,4505,4886,7017,2858,3835,2080,2633,3933,4445,4467,5853,3366,3632,2830,5366,2005,5928,5711,3122,892,5576,5066,5102,2731,3589,5940,3934,4231,5605,3371,5082,5402,2951,3505,3791,5556,2646,2180,4408,1925,7832,3391,8454,3365,1730,3796,6227,1812,5112,4816,5372,5288,646,3271,6030,2385,5435,5112,4557,3291,5913
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,313,444.7,0.0,964.2,358.2,488.5,472.4,291.7,386.1,319.2,361.0,462.6,477.0,387.4,422.8,334.7,575.1,769.0,369.4,517.9,443.9,288.9,2495.0,741.7,521.6,410.6,615.0,314.7,312.9,402.9,309.5,0.0,452.9,368.5,353.6,438.5,832.5,325.2,501.3,487.5,308.6,684.8,793.5,965.0,404.4,820.8,678.8,0.0,355.9,397.3,409.7,331.2,321.4,301.2,366.9,443.9,280.0,568.3,376.7,397.3,594.5,423.1,595.0,614.9,477.5,429.4,325.0,321.4,573.0,341.6,754.2,539.6,384.5,519.1,0.0,604.8,414.6,399.6,440.0,417.6,434.2,386.8,576.6,349.2,1982.0,586.4,276.2,417.5,386.4,429.3,504.2,339.1,429.2,715.6,349.8,424.5,531.6,1945.0,510.5,428.9,266.8,562.0,731.8,285.4,413.8,380.7,419.2,643.9,355.8,584.0,398.2
マイジャグラーV,314,394.2,406.4,287.5,483.5,311.2,467.3,271.6,320.6,0.0,496.0,871.8,944.5,324.3,295.3,277.0,391.1,514.1,648.2,378.7,739.4,249.8,445.5,303.9,410.0,395.3,363.9,568.3,411.7,480.0,0.0,479.6,618.0,524.8,580.8,605.5,357.4,971.0,359.0,556.3,341.9,904.0,677.8,513.8,617.5,389.7,850.0,416.7,0.0,279.5,383.8,511.6,477.8,294.8,310.6,455.0,471.5,479.6,394.6,877.0,649.2,341.7,697.0,504.9,593.3,356.7,401.0,423.8,531.8,405.2,480.0,416.4,386.3,629.0,404.5,638.2,322.5,337.7,299.4,514.7,393.4,2445.0,315.2,364.5,282.4,437.5,583.3,308.3,397.1,532.3,0.0,408.7,396.6,397.0,0.0,400.3,382.8,363.5,480.6,557.5,260.0,347.2,1057.0,0.0,317.0,574.5,371.9,869.0,1303.0,463.6,283.3
マイジャグラーV,315,329.6,405.0,394.9,3153.0,526.2,342.7,438.5,838.0,687.4,393.8,249.7,427.4,309.8,312.7,0.0,379.4,297.5,397.0,738.3,0.0,494.1,283.8,280.3,713.5,651.7,0.0,0.0,321.9,393.9,999.0,453.9,372.2,391.4,1907.0,459.8,560.0,757.0,258.3,929.2,364.9,311.0,376.8,780.5,821.5,325.1,533.9,534.8,272.4,245.6,1331.0,524.2,285.7,735.2,370.6,350.0,903.2,826.8,718.5,285.0,680.8,278.3,499.8,375.6,430.6,365.7,322.6,257.5,479.2,467.9,677.2,389.2,351.3,277.6,572.5,481.3,633.0,1058.0,0.0,315.8,333.0,376.0,284.2,627.0,1042.0,443.8,1237.0,0.0,544.0,410.9,643.2,834.2,225.6,511.0,378.5,572.0,386.5,1305.0,393.0,495.1,511.0,436.4,301.5,559.3,285.3,756.3,651.2,846.0,361.0,412.0,1135.0
