,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,33660,-2394,0.976,361.9,157.3,5317,-68,0.996,295.4,136.3,5376,838,1.052,413.5,137.8,5338,-279,0.983,266.9,144.3,4778,-2285,0.841,682.6,265.4,4371,-182,0.986,336.2,150.7,4632,-762,0.945,356.3,171.6,3848,344,1.03,427.6,153.9
a: ゴーゴージャグラー3,1002,18471,428,1.008,313.1,141.0,635,-238,0.875,635.0,211.7,3486,221,1.021,193.7,116.2,6186,3259,1.176,294.6,110.5,2684,-1206,0.85,383.4,191.7,1608,-526,0.891,229.7,160.8,1224,-138,0.962,408.0,174.9,2648,-944,0.881,1324.0,240.7
a: ゴーゴージャグラー3,1003,25252,-2422,0.968,420.9,169.5,1386,-385,0.907,346.5,173.2,1224,-326,0.911,612.0,204.0,6340,-1100,0.942,352.2,181.1,2129,-1076,0.832,425.8,236.6,5249,-144,0.991,328.1,150.0,6162,1615,1.087,560.2,140.0,2762,-1006,0.879,690.5,230.2
a: ゴーゴージャグラー3,1004,30988,1759,1.019,360.3,142.8,3288,332,1.034,234.9,121.8,862,-426,0.835,431.0,215.5,7570,362,1.016,252.3,132.8,6540,-1018,0.948,408.8,163.5,5274,594,1.038,527.4,150.7,2592,1003,1.129,370.3,123.4,4862,912,1.063,694.6,147.3
a: ゴーゴージャグラー3,1005,21611,-1150,0.982,348.6,155.5,894,-556,0.793,894.0,298.0,6749,2621,1.129,270.0,114.4,4724,-1206,0.915,262.4,162.9,1510,-615,0.864,755.0,251.7,4395,-253,0.981,488.3,175.8,2257,-462,0.932,451.4,173.6,1082,-679,0.791,541.0,270.5
a: ゴーゴージャグラー3,1006,18074,-288,0.995,384.6,158.5,537,-326,0.798,,537.0,1346,150,1.037,269.2,134.6,2809,-356,0.958,280.9,156.1,966,-432,0.851,483.0,241.5,1895,-756,0.867,379.0,210.6,4847,1544,1.106,440.6,131.0,5674,-112,0.993,405.3,162.1
a: ゴーゴージャグラー3,1007,20630,-2246,0.964,458.4,166.4,3763,-1582,0.86,342.1,179.2,1940,268,1.046,485.0,149.2,5321,550,1.034,380.1,140.0,3648,1159,1.106,456.0,130.3,4493,-1241,0.908,641.9,214.0,882,-850,0.679,882.0,441.0,583,-550,0.686,,583.0
a: ゴーゴージャグラー3,1008,29908,1799,1.02,383.4,149.5,1024,-103,0.966,,256.0,1897,-650,0.886,948.5,237.1,3876,76,1.007,553.7,168.5,5928,1229,1.069,423.4,141.1,6464,1535,1.079,359.1,131.9,8891,-250,0.991,247.0,138.9,1828,-38,0.993,1828.0,182.8
a: ゴーゴージャグラー3,1009,17595,-3695,0.93,366.6,174.2,983,-503,0.829,245.8,163.8,1224,-709,0.807,408.0,204.0,5443,-9,0.999,388.8,155.5,1419,-715,0.832,1419.0,354.8,1997,-450,0.925,499.2,199.7,2007,109,1.018,501.8,154.4,4522,-1418,0.895,251.2,167.5
a: ゴーゴージャグラー3,1010,37138,1324,1.012,360.6,147.4,7122,2812,1.132,254.4,107.9,3672,-544,0.951,612.0,183.6,4117,-1653,0.866,588.1,228.7,7847,1406,1.06,270.6,130.8,2757,-556,0.933,393.9,172.3,5544,-535,0.968,426.5,168.0,6079,394,1.022,467.6,155.9
b: ゴーゴージャグラー3,1011,36492,876,1.008,364.9,151.4,2661,-674,0.916,532.2,190.1,8285,356,1.014,318.7,150.6,4043,-806,0.934,449.2,183.8,3098,-474,0.949,516.3,182.2,4540,559,1.041,648.6,162.1,6492,1897,1.097,324.6,124.8,7373,18,1.001,273.1,139.1
b: ゴーゴージャグラー3,1012,26573,-2861,0.964,305.4,154.5,5320,-268,0.983,241.8,136.4,845,-732,0.711,845.0,422.5,7676,500,1.022,255.9,134.7,2987,-738,0.918,373.4,165.9,4145,594,1.048,276.3,129.5,715,-38,0.982,,238.3,4885,-2179,0.851,444.1,232.6
b: ゴーゴージャグラー3,1013,22126,-3732,0.944,451.6,181.4,776,262,1.113,,155.2,2947,115,1.013,421.0,155.1,1436,-844,0.804,718.0,287.2,5181,-556,0.964,304.8,157.0,3122,-509,0.946,624.4,195.1,6668,-888,0.956,476.3,180.2,1996,-1312,0.781,499.0,285.1
b: ゴーゴージャグラー3,1014,34382,8171,1.079,272.9,123.7,6678,1924,1.096,190.8,109.5,882,-450,0.83,441.0,220.5,7200,1915,1.089,300.0,124.1,7989,2885,1.12,295.9,119.2,8225,2409,1.098,249.2,117.5,1418,-344,0.919,472.7,202.6,1990,-168,0.972,995.0,180.9
b: ゴーゴージャグラー3,1015,30351,-273,0.997,348.9,154.1,4654,606,1.043,310.3,129.3,2079,-806,0.871,415.8,207.9,2535,-897,0.882,507.0,211.2,5681,-550,0.968,315.6,157.8,764,-838,0.634,,,6072,-144,0.992,404.8,164.1,8566,2356,1.092,295.4,129.8
b: ゴーゴージャグラー3,1016,18862,-3295,0.942,509.8,188.6,299,-174,0.806,,299.0,4736,-379,0.973,592.0,182.2,4990,-1147,0.923,554.4,199.6,1840,-909,0.835,460.0,230.0,1267,-262,0.931,1267.0,253.4,689,-121,0.941,689.0,229.7,5041,-303,0.98,360.1,157.5
b: ゴーゴージャグラー3,1017,31298,-2115,0.977,355.7,156.5,3647,-1335,0.878,405.2,191.9,1350,-862,0.787,1350.0,450.0,7805,-1641,0.93,289.1,162.6,5920,726,1.041,328.9,137.7,4175,1438,1.115,596.4,139.2,7247,-156,0.993,315.1,144.9,1154,-285,0.918,384.7,164.9
b: ゴーゴージャグラー3,1018,31145,2010,1.022,293.8,139.7,2721,491,1.06,272.1,118.3,1090,-868,0.735,,545.0,8860,2726,1.103,233.2,115.1,3096,-662,0.929,281.5,162.9,2684,179,1.022,536.8,178.9,5446,-168,0.99,217.8,129.7,7248,312,1.014,426.4,161.1
b: ゴーゴージャグラー3,1019,21563,1518,1.023,392.1,150.8,663,-385,0.806,,331.5,1368,-509,0.876,342.0,195.4,2173,-535,0.918,434.6,197.5,1416,-1041,0.755,708.0,354.0,8006,2426,1.101,320.2,127.1,3282,521,1.053,468.9,142.7,4655,1041,1.075,387.9,141.1
b: ゴーゴージャグラー3,1020,31598,-5294,0.944,332.6,163.7,4242,-1112,0.913,303.0,163.2,2729,-597,0.927,454.8,194.9,4045,-2835,0.766,404.5,269.7,5738,-312,0.982,249.5,143.4,4691,-297,0.979,293.2,146.6,4234,-559,0.956,423.4,176.4,5919,418,1.024,369.9,140.9
c: マイジャグラーV,1021,33957,-2746,0.973,329.7,155.8,6785,-1453,0.929,323.1,174.0,2288,-926,0.865,326.9,208.0,5669,-256,0.985,246.5,138.3,7504,1562,1.069,326.3,134.0,2897,-626,0.928,482.8,181.1,3935,-979,0.917,393.5,178.9,4879,-68,0.995,375.3,147.8
c: マイジャグラーV,1022,27301,-1961,0.976,379.2,159.7,2233,-1076,0.839,372.2,223.3,2897,-621,0.929,362.1,181.1,4270,-479,0.963,388.2,158.1,4692,76,1.005,469.2,161.8,4558,-229,0.983,414.4,157.2,1448,-850,0.804,289.6,206.9,7203,1218,1.056,343.0,135.9
c: マイジャグラーV,1023,28354,1097,1.013,337.5,146.9,3522,-756,0.928,440.2,185.4,3713,-350,0.969,337.5,161.4,7352,603,1.027,306.3,144.2,4024,-103,0.991,335.3,154.8,3273,-50,0.995,363.7,148.8,1601,-444,0.908,533.7,200.1,4869,2197,1.15,286.4,110.7
c: マイジャグラーV,1024,24720,-1135,0.985,398.7,160.5,2461,-759,0.897,410.2,189.3,1492,-809,0.819,746.0,248.7,7116,1512,1.071,296.5,131.8,2087,-1300,0.792,695.7,347.8,5918,924,1.052,493.2,144.3,4063,656,1.054,338.6,140.1,1583,-1359,0.714,527.7,316.6
c: マイジャグラーV,1025,22916,-4663,0.932,369.6,173.6,1178,-1088,0.692,,589.0,3606,-691,0.936,300.5,163.9,4103,-691,0.944,455.9,178.4,1656,-779,0.843,828.0,276.0,5748,818,1.047,261.3,127.7,5833,-1806,0.897,343.1,182.3,792,-426,0.821,,396.0
c: マイジャグラーV,1026,32671,-253,0.997,384.4,154.8,5485,50,1.003,342.8,152.4,3002,-168,0.981,600.4,166.8,7787,344,1.015,370.8,144.2,2922,-297,0.966,487.0,162.3,4515,-385,0.972,903.0,205.2,1135,-309,0.909,378.3,162.1,7825,512,1.022,269.8,139.7
d: マイジャグラーV,1027,26695,-3106,0.961,417.1,166.8,3666,-838,0.924,523.7,192.9,5642,1065,1.063,470.2,141.0,2574,-1665,0.784,643.5,286.0,1198,-968,0.731,1198.0,599.0,3607,615,1.057,300.6,128.8,5501,-1359,0.918,343.8,177.5,4507,44,1.003,375.6,145.4
d: マイジャグラーV,1028,23165,-2844,0.959,413.7,171.6,2975,-997,0.888,495.8,212.5,1064,-403,0.874,212.8,152.0,7074,-109,0.995,294.8,147.4,6062,947,1.052,505.2,151.6,3038,-432,0.953,506.3,178.7,956,-538,0.812,478.0,239.0,1996,-1312,0.781,1996.0,399.2
d: マイジャグラーV,1029,30265,203,1.002,288.2,141.4,1488,-485,0.891,496.0,212.6,2595,-1418,0.818,324.4,199.6,8823,497,1.019,215.2,127.9,7396,2656,1.12,284.5,117.4,3199,-1006,0.895,246.1,160.0,2893,-3,1.0,482.2,160.7,3871,-38,0.997,483.9,161.3
d: マイジャグラーV,1030,23667,-4768,0.933,430.3,187.8,3851,38,1.003,481.4,167.4,989,-950,0.68,989.0,494.5,2805,-1006,0.88,701.2,233.8,6268,-888,0.953,522.3,189.9,2982,-521,0.942,298.2,165.7,1569,-456,0.903,392.2,196.1,5203,-985,0.937,325.2,173.4
d: マイジャグラーV,1031,21053,77,1.001,356.8,152.6,2708,-856,0.895,677.0,225.7,3100,-244,0.974,344.4,155.0,2178,-821,0.874,435.6,217.8,2697,203,1.025,299.7,141.9,7933,3024,1.127,283.3,118.4,1339,-703,0.825,446.3,223.2,1098,-526,0.84,1098.0,274.5
d: マイジャグラーV,1032,32013,1076,1.011,385.7,150.3,5745,876,1.051,441.9,147.3,3390,-868,0.915,339.0,178.4,7890,1712,1.072,303.5,127.3,3342,-415,0.959,1114.0,196.6,1361,-785,0.808,453.7,272.2,4834,-312,0.978,322.3,151.1,5451,868,1.053,419.3,139.8
e: マイジャグラーV,1033,41943,821,1.007,371.2,150.9,6396,-500,0.974,376.2,168.3,7064,1335,1.063,441.5,141.3,4424,-1076,0.919,442.4,184.3,7388,1065,1.048,527.7,153.9,6173,1288,1.07,324.9,128.6,5686,-606,0.964,258.5,149.6,4812,-685,0.953,320.8,150.4
e: マイジャグラーV,1034,22996,-1358,0.98,343.2,159.7,1242,-497,0.867,310.5,177.4,589,-632,0.642,589.0,589.0,7615,2568,1.112,262.6,120.9,3533,-191,0.982,392.6,160.6,2177,-485,0.926,544.2,197.9,4278,-762,0.941,329.1,171.1,3562,-1359,0.873,508.9,237.5
e: マイジャグラーV,1035,24961,-4833,0.935,390.0,172.1,7465,568,1.025,287.1,133.3,2405,-556,0.923,400.8,185.0,4002,-806,0.933,500.2,181.9,2859,-768,0.91,571.8,190.6,2717,-962,0.882,388.1,194.1,3171,-656,0.931,396.4,176.2,2342,-1653,0.765,585.5,334.6
e: マイジャグラーV,1036,24191,1630,1.022,390.2,149.3,563,-132,0.922,,281.5,5906,-29,0.998,328.1,151.4,2727,-1053,0.871,681.8,247.9,5470,2462,1.15,341.9,116.4,4699,1053,1.075,335.6,130.5,3480,-74,0.993,348.0,151.3,1346,-597,0.852,,336.5
