,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,20456,-1562,70,60,0.975,340.9,157.4,3613,-1088,11,8,0.9,451.6,190.2,2052,-374,6,5,0.939,410.4,186.5,4236,-344,14,15,0.973,282.4,146.1,6934,1491,32,20,1.072,346.7,133.3,1436,-691,1,6,0.84,239.3,205.1,2185,-556,6,6,0.915,364.2,182.1
a: ゴーゴージャグラー3,1002,35442,5038,147,118,1.047,300.4,133.7,5375,1418,28,18,1.088,298.6,116.8,6022,1606,28,13,1.089,463.2,146.9,8108,603,31,22,1.025,368.5,153.0,525,-74,2,1,0.953,525.0,175.0,6617,1476,29,26,1.074,254.5,120.3,8795,9,29,38,1.0,231.4,131.3
a: ゴーゴージャグラー3,1003,7233,-2,28,17,1.0,425.5,160.7,957,174,5,2,1.061,478.5,136.7,160,-168,0,0,0.65,,,5145,900,22,15,1.058,343.0,139.1,279,-379,0,0,0.547,,,140,-179,0,0,0.574,,,552,-350,1,0,0.789,,552.0
a: ゴーゴージャグラー3,1004,18078,-694,68,46,0.987,393.0,158.6,3202,679,17,6,1.071,533.7,139.2,2109,-126,7,6,0.98,351.5,162.2,2257,-315,8,6,0.953,376.2,161.2,7413,-44,28,23,0.998,322.3,145.4,2175,-403,6,4,0.938,543.8,217.5,922,-485,2,1,0.825,922.0,307.3
a: ゴーゴージャグラー3,1005,16707,-2015,55,49,0.96,341.0,160.6,5347,-253,20,14,0.984,381.9,157.3,1545,-444,4,6,0.904,257.5,154.5,2950,-597,9,8,0.933,368.8,173.5,3413,121,13,11,1.012,310.3,142.2,147,-174,0,0,0.605,,,3305,-668,9,10,0.933,330.5,173.9
a: ゴーゴージャグラー3,1006,21081,-2683,73,51,0.958,413.4,170.0,1967,-332,6,8,0.944,245.9,140.5,5428,-668,19,11,0.959,493.5,180.9,2760,-521,10,6,0.937,460.0,172.5,1690,-503,5,2,0.901,845.0,241.4,5126,256,20,14,1.017,366.1,150.8,4110,-915,13,10,0.926,411.0,178.7
a: ゴーゴージャグラー3,1007,14762,-853,51,42,0.981,351.5,158.7,1545,-544,4,4,0.883,386.2,193.1,977,-250,3,2,0.915,488.5,195.4,6616,1418,28,21,1.071,315.0,135.0,556,-221,1,2,0.868,278.0,185.3,1529,-321,4,8,0.93,191.1,127.4,3539,-935,11,5,0.912,707.8,221.2
a: ゴーゴージャグラー3,1008,17440,-1386,62,44,0.974,396.4,164.5,411,-256,1,1,0.792,411.0,205.5,916,-268,3,1,0.902,916.0,229.0,2711,-344,9,6,0.958,451.8,180.7,6803,-1100,22,21,0.946,324.0,158.2,2902,-297,9,9,0.966,322.4,161.2,3697,879,18,6,1.079,616.2,154.0
