,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,10217,-153,0.995,249.2,134.4,2810,-1018,0.879,351.2,175.6,7407,865,1.039,224.5,123.4
a: ゴーゴージャグラー3,1002,10910,2844,1.087,311.7,124.0,3963,841,1.071,440.3,132.1,6947,2003,1.096,267.2,119.8
a: ゴーゴージャグラー3,1003,4948,-335,0.977,449.8,170.6,1338,168,1.042,1338.0,167.2,3610,-503,0.954,361.0,171.9
a: ゴーゴージャグラー3,1004,3431,-1164,0.887,1143.7,245.1,2379,-726,0.898,1189.5,237.9,1052,-438,0.861,1052.0,263.0
a: ゴーゴージャグラー3,1005,12975,3197,1.082,249.5,120.1,3514,-415,0.961,292.8,146.4,9461,3612,1.127,236.5,112.6
a: ゴーゴージャグラー3,1006,2667,-1124,0.86,381.0,205.2,1630,-503,0.897,271.7,163.0,1037,-621,0.8,1037.0,345.7
a: ゴーゴージャグラー3,1007,8692,-1680,0.936,377.9,170.4,4779,-1218,0.915,341.4,170.7,3913,-462,0.961,434.8,170.1
a: ゴーゴージャグラー3,1008,8594,-367,0.986,318.3,148.2,2088,-491,0.922,348.0,160.6,6506,124,1.006,309.8,144.6
a: ゴーゴージャグラー3,1009,12438,-127,0.997,311.0,146.3,6088,126,1.007,234.2,129.5,6350,-253,0.987,453.6,167.1
a: ゴーゴージャグラー3,1010,6269,-2320,0.877,348.3,190.0,3288,-891,0.91,365.3,173.1,2981,-1429,0.84,331.2,212.9
b: ゴーゴージャグラー3,1011,11451,-1956,0.943,293.6,152.7,7619,-103,0.995,272.1,133.7,3832,-1853,0.839,348.4,212.9
b: ゴーゴージャグラー3,1012,2981,-1914,0.786,1490.5,331.2,1370,-826,0.799,1370.0,342.5,1611,-1088,0.775,1611.0,322.2
b: ゴーゴージャグラー3,1013,4255,-727,0.943,386.8,170.2,2414,-1218,0.832,268.2,185.7,1841,491,1.089,920.5,153.4
b: ゴーゴージャグラー3,1014,6002,-879,0.951,600.2,176.5,4076,162,1.013,582.3,151.0,1926,-1041,0.82,642.0,275.1
b: ゴーゴージャグラー3,1015,4085,-1535,0.875,510.6,226.9,1394,-579,0.862,697.0,232.3,2691,-956,0.882,448.5,224.2
b: ゴーゴージャグラー3,1016,5892,-153,0.991,327.3,143.7,3646,-50,0.995,280.5,135.0,2246,-103,0.985,449.2,160.4
