,,7RANK,5RANK,3RANK,1RANK,7ROLLING,5ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE
date,,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00
model_name,unit_no,,,,,,,,,,,,,
ゴーゴージャグラー3,1001,3,3,1,2,-4400.0,-3615.0,-5427.0,-2550,0.853,5776,320.9,186.3,6.27
ゴーゴージャグラー3,1002,13,17,19,19,76.0,829.0,1358.0,1382,1.08,5728,358.0,130.2,5.88
ゴーゴージャグラー3,1003,15,19,20,18,676.0,2379.0,2844.0,509,1.065,2618,374.0,137.8,5.73
ゴーゴージャグラー3,1004,4,7,10,17,-3798.0,-2127.0,-1050.0,241,1.01,7762,310.5,143.7,5.78
ゴーゴージャグラー3,1005,16,18,18,20,733.0,1068.0,821.0,2303,1.13,5912,369.5,113.7,6.51
ゴーゴージャグラー3,1006,6,9,12,7,-3010.0,-1621.0,-751.0,-868,0.841,1825,365.0,202.8,6.19
ゴーゴージャグラー3,1007,19,20,8,4,3739.0,3077.0,-1506.0,-1135,0.841,2376,475.2,216.0,6.3
ゴーゴージャグラー3,1008,10,8,5,12,-771.0,-1709.0,-1803.0,-609,0.95,4096,256.0,151.7,5.75
ゴーゴージャグラー3,1009,14,14,17,8,256.0,676.0,453.0,-779,0.8,1301,0.0,325.2,6.57
ゴーゴージャグラー3,1010,2,1,3,3,-6893.0,-5058.0,-4176.0,-1476,0.917,5908,310.9,168.8,5.93
 , ,,,,,,,,,,,,,
ゴーゴージャグラー3,1011,1,2,2,1,-6938.0,-4385.0,-4524.0,-2621,0.749,3474,434.2,289.5,6.14
ゴーゴージャグラー3,1012,11,10,15,15,-591.0,-906.0,-194.0,-179,0.984,3830,425.6,153.2,6.23
ゴーゴージャグラー3,1013,7,5,7,11,-2393.0,-2620.0,-1597.0,-656,0.894,2072,296.0,159.4,6.55
ゴーゴージャグラー3,1014,18,6,4,9,2173.0,-2382.0,-1935.0,-697,0.954,5082,298.9,154.0,5.95
ゴーゴージャグラー3,1015,9,12,9,13,-967.0,-629.0,-1344.0,-438,0.973,5353,243.3,140.9,5.86
ゴーゴージャグラー3,1016,20,16,16,10,9405.0,799.0,-4.0,-662,0.719,784,261.3,261.3,5.95
ゴーゴージャグラー3,1017,12,11,13,5,-456.0,-785.0,-732.0,-994,0.909,3650,280.8,152.1,6.55
ゴーゴージャグラー3,1018,8,13,14,6,-1086.0,-262.0,-459.0,-944,0.841,1981,396.2,198.1,6.49
ゴーゴージャグラー3,1019,5,4,6,14,-3211.0,-2723.0,-1782.0,-244,0.98,4007,572.4,167.0,6.1
ゴーゴージャグラー3,1020,17,15,11,16,1647.0,753.0,-950.0,-32,0.998,5132,301.9,138.7,6.16
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
マイジャグラーV,1021,26,33,27,57,343.0,196.0,-257.0,1876,1.114,5498,274.9,117.0,5.85
マイジャグラーV,1022,8,6,15,35,-2642.0,-2959.0,-1682.0,38,1.002,6870,458.0,163.6,5.7
マイジャグラーV,1023,17,24,13,2,-833.0,-315.0,-1741.0,-1535,0.917,6131,340.6,170.3,6.09
マイジャグラーV,1024,36,8,17,28,1465.0,-2597.0,-1091.0,-232,0.978,3497,499.6,166.5,6.01
マイジャグラーV,1025,61,57,54,41,7011.0,3188.0,2588.0,438,1.059,2494,1247.0,166.3,5.72
マイジャグラーV,1026,19,43,37,25,-514.0,1253.0,485.0,-338,0.985,7345,319.3,153.0,5.76
 , ,,,,,,,,,,,,,
マイジャグラーV,1027,15,16,16,44,-1357.0,-984.0,-1364.0,556,1.038,4867,486.7,147.5,5.99
マイジャグラーV,1028,7,11,23,24,-3118.0,-2403.0,-565.0,-350,0.975,4676,275.1,150.8,5.68
マイジャグラーV,1029,16,4,7,4,-1194.0,-3147.0,-2494.0,-1465,0.854,3337,834.2,278.1,5.63
マイジャグラーV,1030,51,37,41,60,3254.0,642.0,877.0,2409,1.159,5065,337.7,115.1,5.84
マイジャグラーV,1031,46,21,22,45,2174.0,-587.0,-705.0,665,1.037,5957,297.8,135.4,5.82
マイジャグラーV,1032,10,35,36,53,-1855.0,465.0,321.0,1174,1.054,7240,314.8,136.6,5.65
 , ,,,,,,,,,,,,,
マイジャグラーV,1033,2,3,9,20,-5656.0,-3659.0,-2297.0,-450,0.977,6519,271.6,151.6,5.6
マイジャグラーV,1034,38,19,33,18,1527.0,-708.0,174.0,-591,0.969,6448,322.4,157.3,5.8
マイジャグラーV,1035,60,44,52,50,5233.0,1289.0,2215.0,947,1.037,8467,352.8,146.0,5.6
マイジャグラーV,1036,42,9,11,8,1744.0,-2556.0,-1939.0,-1324,0.794,2139,534.8,267.4,6.14
マイジャグラーV,1037,54,53,53,33,3576.0,1964.0,2570.0,-18,0.998,3822,477.8,166.2,5.7
マイジャグラーV,1038,52,54,58,5,3357.0,2571.0,4165.0,-1453,0.839,3008,429.7,231.4,5.86
マイジャグラーV,1039,27,42,31,16,597.0,1020.0,44.0,-909,0.886,2662,380.3,221.8,5.31
マイジャグラーV,1040,32,34,39,42,1119.0,290.0,705.0,491,1.027,6167,560.6,158.1,5.84
マイジャグラーV,1041,48,29,14,19,2308.0,-39.0,-1706.0,-509,0.977,7236,361.8,168.3,5.51
 , ,,,,,,,,,,,,,
