,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
date,,total,2025-05-21 00:00:00,2025-05-20 00:00:00,2025-05-19 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,2025-05-16 00:00:00,2025-05-15 00:00:00,2025-05-14 00:00:00,2025-05-13 00:00:00,2025-05-12 00:00:00,2025-05-11 00:00:00,2025-05-10 00:00:00,2025-05-09 00:00:00,2025-05-08 00:00:00,2025-05-07 00:00:00,2025-05-06 00:00:00,2025-05-05 00:00:00,2025-05-04 00:00:00,2025-05-03 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,1.003,0.949,0.902,0.988,0.873,1.053,0.997,0.935,1.101,1.153,0.933,1.062,1.082,0.921,0.887,1.183,0.973,0.973,1.005,0.879,0.996,0.909
a: ゴーゴージャグラー3,1002,0.997,0.969,0.869,0.775,1.013,0.859,0.802,1.083,1.001,0.578,0.763,1.032,0.975,0.964,0.918,0.842,1.0,0.989,0.971,1.071,0.875,1.079
a: ゴーゴージャグラー3,1003,1.006,0.997,0.912,0.777,1.07,0.698,0.695,0.792,1.025,1.144,0.997,1.262,0.941,0.891,0.55,0.966,0.871,1.008,0.903,1.042,0.907,1.056
a: ゴーゴージャグラー3,1004,0.988,1.042,0.982,0.923,0.794,1.009,1.018,1.11,1.082,1.059,0.516,0.968,0.891,1.028,0.849,0.914,1.034,0.98,0.95,0.898,1.034,0.975
a: ゴーゴージャグラー3,1005,1.0,0.974,0.927,1.162,0.941,1.057,0.964,0.958,0.819,0.802,1.102,0.83,1.109,1.107,0.957,0.911,0.89,0.952,1.037,0.961,0.793,1.026
a: ゴーゴージャグラー3,1006,0.991,0.854,1.013,1.09,0.961,1.003,0.665,0.998,0.85,0.87,0.961,1.099,1.077,0.972,1.01,0.904,0.948,0.939,0.769,0.897,0.798,1.062
a: ゴーゴージャグラー3,1007,1.004,1.051,0.959,0.907,1.009,1.047,0.934,0.785,0.674,1.053,0.967,0.987,0.774,1.012,1.257,1.05,0.762,1.112,1.038,0.915,0.86,1.024
a: ゴーゴージャグラー3,1008,1.029,0.92,0.879,0.975,0.931,1.138,0.821,1.037,0.993,1.123,0.801,1.102,0.937,1.008,0.882,1.059,1.045,0.959,0.945,0.922,0.966,1.083
a: ゴーゴージャグラー3,1009,1.013,1.044,0.875,1.157,0.914,1.112,0.96,0.923,0.961,1.029,0.581,1.045,1.041,1.085,0.53,1.078,1.052,0.949,0.8,1.007,0.829,1.06
a: ゴーゴージャグラー3,1010,1.0,1.103,0.823,1.003,1.022,0.782,1.01,0.991,0.621,1.02,1.065,1.014,0.909,0.851,1.203,0.961,1.02,0.952,0.891,0.91,1.132,1.023
b: ゴーゴージャグラー3,1011,1.002,0.895,0.736,1.104,0.932,1.05,1.021,1.078,0.944,0.866,0.886,0.998,0.914,0.78,0.886,1.011,1.091,1.093,0.945,0.995,0.916,1.075
b: ゴーゴージャグラー3,1012,1.011,1.011,1.02,1.059,0.979,0.991,0.953,0.931,0.906,0.976,1.11,1.068,1.22,0.649,1.002,1.111,1.045,0.938,0.946,0.799,0.983,1.008
b: ゴーゴージャグラー3,1013,1.005,1.048,0.856,0.918,1.164,0.877,0.923,1.003,1.113,1.008,0.801,0.991,0.989,1.085,0.938,0.968,1.116,0.972,1.04,0.832,1.113,1.01
b: ゴーゴージャグラー3,1014,1.004,0.91,1.009,0.735,1.011,1.001,0.831,0.981,0.988,0.882,0.754,1.041,1.002,1.174,0.526,1.11,0.884,0.96,0.959,1.013,1.096,1.008
b: ゴーゴージャグラー3,1015,0.979,0.924,1.032,1.035,0.912,0.938,0.998,1.017,0.969,0.956,0.873,1.049,0.981,0.923,1.073,0.922,0.961,0.837,1.012,0.862,1.043,1.029
b: ゴーゴージャグラー3,1016,0.991,0.951,1.122,0.944,0.814,0.976,0.842,0.884,0.931,1.026,0.896,0.973,1.008,1.024,0.726,0.912,0.985,1.14,1.001,0.995,0.806,0.963
b: ゴーゴージャグラー3,1017,0.983,1.078,1.004,0.615,1.192,0.722,0.863,1.06,1.009,0.863,0.95,0.832,1.095,0.85,0.905,0.987,0.952,0.943,0.912,0.911,0.878,1.018
b: ゴーゴージャグラー3,1018,0.981,0.944,0.831,1.049,0.639,0.988,0.782,1.146,0.916,0.918,0.862,0.935,0.943,0.915,1.024,0.818,0.932,0.928,0.903,1.114,1.06,0.843
b: ゴーゴージャグラー3,1019,1.005,1.078,0.86,1.074,0.9,0.802,0.904,1.009,0.761,0.819,1.074,1.014,1.084,1.101,0.344,0.963,1.048,1.011,1.12,0.855,0.806,0.899
b: ゴーゴージャグラー3,1020,0.983,1.057,0.806,1.061,0.979,1.093,0.829,0.902,0.851,0.884,1.013,0.903,0.947,0.807,0.997,1.173,0.934,1.021,0.868,1.003,0.913,0.895
c: マイジャグラーV,1021,0.978,1.045,0.954,0.966,0.965,1.004,1.039,1.023,0.977,0.83,0.93,1.07,0.899,0.964,0.746,1.079,1.014,0.809,1.009,0.961,0.929,0.94
c: マイジャグラーV,1022,0.997,1.078,0.941,0.811,0.95,0.901,1.065,0.78,0.912,0.963,0.838,1.035,0.976,0.976,0.968,0.874,0.981,0.897,1.112,1.006,0.839,1.199
c: マイジャグラーV,1023,0.988,0.962,0.979,0.906,1.075,0.927,0.866,1.036,0.975,0.952,0.887,0.811,0.791,1.115,0.943,0.914,0.868,1.08,1.004,0.988,0.928,1.064
c: マイジャグラーV,1024,1.012,1.012,1.057,0.949,1.046,1.012,0.897,0.906,1.075,0.982,1.024,1.033,1.024,0.959,1.029,1.048,1.037,0.971,0.963,0.986,0.897,1.077
c: マイジャグラーV,1025,0.987,0.959,0.844,1.044,0.933,0.753,0.904,1.011,0.867,1.036,0.937,1.003,1.061,1.107,0.902,1.034,0.932,0.916,0.89,0.891,0.692,1.098
c: マイジャグラーV,1026,1.004,0.979,0.99,0.907,1.011,0.965,1.056,0.849,0.97,0.853,1.094,0.997,0.954,1.049,1.123,0.97,0.919,0.998,1.004,1.086,1.003,1.045
d: マイジャグラーV,1027,0.983,0.963,0.856,0.982,0.866,0.877,0.812,1.119,1.105,0.844,1.05,0.816,1.026,0.87,0.879,1.035,1.077,0.99,0.87,1.021,0.924,0.994
d: マイジャグラーV,1028,0.981,0.983,0.879,0.627,0.96,1.086,0.986,1.04,1.038,0.893,0.593,1.01,0.999,0.89,1.052,1.035,0.78,0.969,0.953,0.924,0.888,0.953
d: マイジャグラーV,1029,0.987,0.932,1.108,0.861,0.907,0.937,0.57,1.118,0.839,0.82,1.024,1.028,0.792,0.964,0.967,1.022,0.931,0.934,1.066,0.946,0.891,1.024
d: マイジャグラーV,1030,0.997,1.068,0.943,1.029,1.025,0.94,1.008,0.907,0.968,0.966,0.507,1.041,0.984,1.056,1.146,0.95,0.926,0.963,0.838,1.022,1.003,0.974
