,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1.041,0.995,1.011,1.002,1.013,1.017,1.001,0.972,1.005,1.027,0.998,0.991,1.008,1.0,1.013,1.006,0.998,1.009,0.996,1.022,1.004,0.998,0.991,0.997,1.002,1.019,1.03,0.974,0.983,0.982,1.004,1.005
b: ゴーゴージャグラー3,1.032,0.993,0.991,1.017,1.008,1.025,0.992,0.992,0.978,0.981,1.018,1.033,1.011,1.005,1.01,0.991,1.0,0.989,0.99,0.989,1.006,0.997,1.002,1.026,1.009,1.014,1.018,0.98,1.002,0.979,0.981,1.004
c: マイジャグラーV,1.057,0.982,0.989,1.028,1.006,1.005,1.001,0.993,0.999,0.998,1.003,0.988,0.989,1.001,1.013,1.001,1.003,1.009,1.007,0.957,1.026,1.009,0.989,1.009,0.999,0.994,0.997,0.973,1.003,0.989,1.004,1.002
d: マイジャグラーV,1.002,0.985,1.014,0.998,1.028,0.998,0.985,0.995,0.981,0.987,1.029,1.023,0.985,1.007,0.997,1.002,1.001,1.011,0.991,0.998,1.017,0.992,0.978,0.994,1.013,1.023,1.009,0.999,0.988,0.999,1.014,1.004
e: マイジャグラーV,1.032,1.015,1.017,0.98,1.034,1.005,0.999,1.01,0.981,1.011,0.999,1.017,0.999,0.987,1.009,0.999,0.996,1.005,1.017,1.001,1.005,1.006,1.027,0.999,0.998,0.984,1.018,0.991,0.993,0.999,1.031,1.006
f: マイジャグラーV,1.043,0.979,1.003,0.993,1.002,1.002,0.999,0.993,1.007,0.993,0.991,1.018,1.0,1.001,1.007,0.97,0.999,1.014,0.997,0.983,1.003,0.971,1.002,0.963,1.028,1.007,1.014,1.002,0.995,0.991,0.998,1.001
g: ファンキージャグラー2,1.006,0.975,1.005,1.0,0.984,0.979,0.998,1.015,0.991,0.973,1.0,0.981,0.956,0.997,1.015,0.96,1.01,1.0,0.992,0.993,0.952,0.965,1.009,0.986,1.018,1.003,1.006,0.988,0.982,0.99,1.017,0.993
h: ファンキージャグラー2,1.029,0.967,0.988,0.973,1.053,0.961,0.987,0.986,1.006,0.979,1.004,0.984,0.993,0.991,1.014,0.986,0.953,0.994,1.021,0.963,0.97,0.979,1.004,0.972,0.982,1.007,0.966,0.985,0.969,1.008,0.993,0.993
