,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.007,0.973,1.004,0.98,1.005,0.997,0.977,0.999,0.978,0.997,1.001,1.005,0.968,0.99,1.003,0.996,1.002,0.986,0.999,0.997,1.011,0.983,1.012,0.979,1.002,1.02,0.979,1.007,1.001,1.018,0.993,0.998
ウルトラミラクルジャグラー,1.01,0.981,1.004,1.0,1.0,0.992,1.015,0.989,0.985,0.976,1.016,0.955,0.986,0.977,1.003,0.994,1.0,0.993,0.969,1.003,1.022,0.984,0.972,0.994,1.005,1.024,0.985,0.993,1.005,0.991,0.975,0.996
ゴーゴージャグラー3,1.002,0.996,0.981,0.993,1.005,1.006,0.997,0.992,0.991,1.01,1.023,0.991,0.994,0.993,1.003,0.969,0.989,0.984,0.99,0.986,0.998,0.988,0.993,0.997,0.992,1.023,0.997,0.973,0.983,0.99,0.989,0.997
ジャグラーガールズ,1.011,0.997,0.975,0.964,0.999,0.997,0.984,0.986,0.987,1.001,1.019,0.997,0.993,0.971,1.009,1.001,0.993,0.987,1.003,0.996,0.986,1.005,0.986,0.991,1.008,0.992,0.993,0.989,0.978,0.985,0.987,0.995
ハッピージャグラーVIII,1.01,0.981,0.973,1.029,0.997,1.003,1.029,1.056,0.985,1.002,0.996,0.945,0.963,1.034,1.005,0.968,0.979,1.009,0.954,1.018,0.985,0.973,0.963,0.958,0.993,1.026,0.949,1.002,0.964,0.904,1.011,0.992
ファンキージャグラー2,1.009,0.961,0.98,0.996,1.004,0.973,0.983,1.005,0.997,0.973,1.012,0.986,0.982,0.999,1.011,0.977,0.978,1.007,1.001,0.964,0.968,0.966,1.004,0.982,1.006,1.014,0.974,0.992,0.984,0.988,0.999,0.992
マイジャグラーV,1.028,0.999,0.997,0.998,1.008,1.004,0.997,0.999,0.993,0.998,1.011,1.008,0.996,0.999,1.006,0.995,0.993,1.008,0.996,0.993,1.012,1.0,1.0,0.996,1.014,1.011,1.001,0.992,0.989,0.991,1.007,1.003
ミスタージャグラー,0.996,1.0,0.982,0.964,1.004,0.979,0.98,1.003,0.989,0.979,1.035,1.005,0.968,0.997,1.007,1.009,1.017,0.964,0.993,0.995,1.003,0.965,1.004,0.972,0.992,1.006,0.999,1.0,1.008,0.976,0.992,0.995
total,1.018,0.993,0.993,0.993,1.006,1.0,0.994,0.998,0.991,0.996,1.014,1.0,0.991,0.995,1.006,0.991,0.993,0.999,0.994,0.992,1.005,0.993,0.998,0.992,1.008,1.014,0.994,0.992,0.99,0.992,1.0,1.0
