,,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE
date,,total,2025-06-05 00:00:00,2025-06-04 00:00:00,2025-06-03 00:00:00,2025-06-02 00:00:00,2025-06-01 00:00:00,2025-05-31 00:00:00,2025-05-30 00:00:00,2025-05-29 00:00:00,2025-05-28 00:00:00,2025-05-27 00:00:00,2025-05-26 00:00:00,2025-05-25 00:00:00,2025-05-24 00:00:00,2025-05-23 00:00:00,2025-05-22 00:00:00,2025-05-21 00:00:00,2025-05-20 00:00:00,2025-05-19 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,2025-05-16 00:00:00,2025-05-15 00:00:00,2025-05-14 00:00:00,2025-05-13 00:00:00,2025-05-12 00:00:00,2025-05-11 00:00:00,2025-05-10 00:00:00,2025-05-09 00:00:00,2025-05-08 00:00:00,2025-05-07 00:00:00,2025-05-06 00:00:00,2025-05-05 00:00:00,2025-05-04 00:00:00,2025-05-03 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,342.8,760.2,477.2,299.5,376.5,290.4,290.1,266.8,1167.0,306.9,374.9,299.3,451.4,928.0,301.8,452.7,1020.0,242.3,324.0,303.3,256.9,1062.5,284.8,623.0,185.2,987.7,421.2,449.3,479.5,323.5,708.5,326.7,261.7,802.7,461.8,1524.0,371.8
アイムジャグラーEX-TP,1101,378.0,285.5,423.5,626.0,326.8,255.1,614.0,,386.7,280.0,248.1,403.8,569.6,,264.1,326.8,636.7,324.0,921.0,1547.0,512.0,440.0,613.2,302.8,362.2,305.2,218.7,,478.0,1442.0,286.1,,412.4,444.5,448.7,,2797.0
アイムジャグラーEX-TP,1102,375.0,,418.7,,296.6,449.8,293.2,290.4,294.8,624.0,468.3,609.4,295.0,494.6,223.6,463.0,231.6,559.6,298.5,438.9,429.4,623.9,437.3,366.8,,,179.9,638.2,464.8,881.5,590.2,465.2,442.7,457.0,667.8,272.8,443.7
アイムジャグラーEX-TP,1103,360.6,590.9,1054.0,1028.0,764.0,241.3,313.8,244.9,732.0,281.8,589.5,353.4,356.4,312.0,212.6,584.0,302.9,568.6,271.1,788.0,,875.0,265.6,632.5,465.8,232.9,456.2,419.0,660.0,391.0,1390.0,309.6,383.4,758.0,410.3,523.1,356.1
アイムジャグラーEX-TP,1104,337.1,257.0,411.8,369.6,279.7,306.8,,819.0,367.0,605.3,,327.0,279.7,458.3,119.1,,418.7,355.0,,432.8,334.8,559.5,369.7,364.6,285.7,372.5,238.0,755.7,411.7,398.8,330.2,320.2,343.0,614.8,342.2,341.9,238.1
アイムジャグラーEX-TP,1105,332.7,338.6,235.1,,385.8,274.3,555.1,323.9,418.7,234.7,258.8,328.2,329.5,856.0,1129.0,303.1,498.6,,136.0,566.3,1185.0,346.1,223.1,456.4,,845.3,356.3,310.3,890.0,542.5,361.5,1540.0,228.0,993.0,309.8,412.4,429.8
アイムジャグラーEX-TP,1106,411.0,416.3,321.4,,431.2,494.9,391.2,1000.0,398.3,484.5,452.9,552.2,709.7,368.9,1904.0,427.2,259.0,332.6,270.4,1069.7,449.8,304.6,377.0,968.0,372.3,374.9,293.9,372.2,964.0,472.3,366.7,,486.3,359.5,,323.8,290.6
アイムジャグラーEX-TP,1123,360.0,323.0,559.4,636.6,714.0,362.3,272.8,523.1,,472.8,483.5,232.4,250.3,555.0,335.2,268.3,602.9,,361.4,450.0,449.7,503.9,524.8,336.2,813.0,351.7,432.7,343.3,546.0,273.3,871.5,249.7,326.8,292.0,681.0,348.3,317.7
アイムジャグラーEX-TP,1124,325.6,413.0,,392.0,398.1,232.1,281.7,233.2,461.0,360.6,482.5,298.2,411.8,,331.4,247.0,324.0,310.6,336.0,307.9,622.5,732.0,260.1,1004.0,222.8,275.6,276.2,631.0,348.5,418.0,653.0,1018.0,321.4,533.5,333.5,293.0,310.2
アイムジャグラーEX-TP,1125,358.9,311.1,456.3,736.0,443.3,453.5,486.6,297.6,490.7,386.0,616.0,215.2,485.4,329.0,315.3,615.5,284.4,,325.8,397.4,457.0,309.5,324.8,349.0,279.0,,356.9,397.3,586.3,246.0,335.3,1103.0,412.7,1151.0,504.8,426.2,259.2
アイムジャグラーEX-TP,1126,365.7,250.1,271.3,369.5,345.3,341.8,314.9,,377.9,331.4,,403.6,264.6,428.1,542.0,635.3,213.8,247.8,506.0,,620.3,389.0,367.5,884.0,1223.0,468.9,473.3,498.4,,482.1,609.5,382.7,295.4,282.1,328.2,751.0,533.6
アイムジャグラーEX-TP,1127,372.3,357.3,563.3,602.0,,299.3,1020.0,292.4,419.2,,279.9,328.8,485.1,335.8,491.8,402.7,1064.0,333.5,367.0,604.9,360.4,214.5,411.8,,835.5,710.0,294.6,360.3,991.0,392.0,798.5,323.8,362.2,431.0,572.7,558.5,316.2
アイムジャグラーEX-TP,1128,360.3,320.6,504.0,1182.0,561.5,268.5,307.6,686.0,762.0,246.2,565.0,1617.0,410.8,336.6,225.8,620.0,254.3,,591.0,338.4,622.4,436.5,357.2,450.5,780.0,900.2,777.2,304.1,604.8,169.8,901.0,346.8,319.6,437.0,736.8,195.4,313.9
アイムジャグラーEX-TP,1129,326.1,288.7,226.0,414.2,450.2,380.9,313.4,422.6,544.7,198.8,504.5,377.3,379.3,862.0,224.2,390.9,349.3,361.0,715.3,290.9,239.1,365.5,266.8,507.0,271.8,375.7,443.5,303.8,649.0,265.6,499.6,591.9,249.6,448.2,469.0,411.4,369.1
