,,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE,RB_RATE
date,,total,2025-05-27 00:00:00,2025-05-26 00:00:00,2025-05-25 00:00:00,2025-05-24 00:00:00,2025-05-23 00:00:00,2025-05-22 00:00:00,2025-05-21 00:00:00,2025-05-20 00:00:00,2025-05-19 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,2025-05-16 00:00:00,2025-05-15 00:00:00,2025-05-14 00:00:00,2025-05-13 00:00:00,2025-05-12 00:00:00,2025-05-11 00:00:00,2025-05-10 00:00:00,2025-05-09 00:00:00,2025-05-08 00:00:00,2025-05-07 00:00:00,2025-05-06 00:00:00,2025-05-05 00:00:00,2025-05-04 00:00:00,2025-05-03 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00,2025-04-30 00:00:00,2025-04-29 00:00:00,2025-04-28 00:00:00,2025-04-27 00:00:00,2025-04-26 00:00:00,2025-04-25 00:00:00,2025-04-24 00:00:00,2025-04-23 00:00:00,2025-04-22 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,2025-04-19 00:00:00,2025-04-18 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,2025-04-15 00:00:00,2025-04-14 00:00:00,2025-04-13 00:00:00,2025-04-12 00:00:00,2025-04-11 00:00:00,2025-04-10 00:00:00,2025-04-09 00:00:00,2025-04-08 00:00:00,2025-04-07 00:00:00,2025-04-06 00:00:00,2025-04-05 00:00:00,2025-04-04 00:00:00,2025-04-03 00:00:00,2025-04-02 00:00:00,2025-04-01 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,363.4,374.9,299.3,451.4,928.0,301.8,452.7,1020.0,242.3,324.0,303.3,256.9,1062.5,284.8,623.0,185.2,987.7,421.2,449.3,479.5,323.5,708.5,326.7,261.7,802.7,461.8,1524.0,371.8,332.9,383.2,292.3,355.8,387.5,339.3,294.2,523.0,536.2,339.4,802.9,460.0,423.4,627.0,358.6,294.4,629.3,,,,,,,,,,,,,
アイムジャグラーEX-TP,1101,389.5,248.1,403.8,569.6,,264.1,326.8,636.7,324.0,921.0,1547.0,512.0,440.0,613.2,302.8,362.2,305.2,218.7,,478.0,1442.0,286.1,,412.4,444.5,448.7,,2797.0,393.5,669.2,412.7,695.0,355.0,347.8,331.6,,522.6,268.8,324.6,,385.5,484.5,667.3,346.4,204.4,,,,,,,,,,,,,
アイムジャグラーEX-TP,1102,395.7,468.3,609.4,295.0,494.6,223.6,463.0,231.6,559.6,298.5,438.9,429.4,623.9,437.3,366.8,,,179.9,638.2,464.8,881.5,590.2,465.2,442.7,457.0,667.8,272.8,443.7,223.3,,,534.0,318.1,672.4,605.5,,359.4,495.3,,374.9,597.0,,1266.0,300.3,846.0,,,,,,,,,,,,,
アイムジャグラーEX-TP,1103,363.6,589.5,353.4,356.4,312.0,212.6,584.0,302.9,568.6,271.1,788.0,,875.0,265.6,632.5,465.8,232.9,456.2,419.0,660.0,391.0,1390.0,309.6,383.4,758.0,410.3,523.1,356.1,314.4,877.3,525.0,566.9,349.5,298.3,342.4,287.8,502.0,316.1,281.6,576.6,543.2,253.6,470.5,338.5,447.6,,,,,,,,,,,,,
アイムジャグラーEX-TP,1104,360.6,,327.0,279.7,458.3,119.1,,418.7,355.0,,432.8,334.8,559.5,369.7,364.6,285.7,372.5,238.0,755.7,411.7,398.8,330.2,320.2,343.0,614.8,342.2,341.9,238.1,1092.0,353.8,607.5,450.3,282.3,1126.0,293.3,1278.0,283.7,648.5,839.0,389.8,446.4,467.8,331.1,339.7,452.5,,,,,,,,,,,,,
アイムジャグラーEX-TP,1105,344.4,258.8,328.2,329.5,856.0,1129.0,303.1,498.6,,136.0,566.3,1185.0,346.1,223.1,456.4,,845.3,356.3,310.3,890.0,542.5,361.5,1540.0,228.0,993.0,309.8,412.4,429.8,458.8,922.0,383.5,475.0,247.4,293.8,514.2,1091.0,,1441.0,240.3,640.2,366.8,1193.0,426.8,250.5,582.3,,,,,,,,,,,,,
アイムジャグラーEX-TP,1106,396.7,452.9,552.2,709.7,368.9,1904.0,427.2,259.0,332.6,270.4,1069.7,449.8,304.6,377.0,968.0,372.3,374.9,293.9,372.2,964.0,472.3,366.7,,486.3,359.5,,323.8,290.6,453.7,309.1,579.2,491.8,497.6,365.1,370.6,330.8,340.7,345.6,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1123,353.4,483.5,232.4,250.3,555.0,335.2,268.3,602.9,,361.4,450.0,449.7,503.9,524.8,336.2,813.0,351.7,432.7,343.3,546.0,273.3,871.5,249.7,326.8,292.0,681.0,348.3,317.7,429.4,279.9,451.2,438.5,292.3,307.6,384.7,258.9,319.0,336.8,546.5,367.4,1132.5,292.8,724.0,647.9,467.7,,,,,,,,,,,,,
