,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
a: ゴーゴージャグラー3,1001,1.046,0.974,0.985,1.031,0.959,0.991,1.033,0.951,1.003,0.955,0.978,1.031,1.061,0.984,0.959,0.983,0.97,0.935,0.992,1.003,0.919,0.982,0.982,0.994,0.976,1.01,0.911,0.961,1.011,0.99,0.98,0.987,1
a: ゴーゴージャグラー3,1002,1.059,1.034,1.035,1.022,0.955,1.007,0.976,0.949,1.017,1.017,1.003,0.914,1.046,1.04,1.029,0.984,0.98,0.959,1.023,1.001,1.04,1.034,1.035,1.043,1.025,1.034,0.892,0.926,0.932,1.034,1.021,1.012,1
a: ゴーゴージャグラー3,1003,1.077,0.938,1.013,1.022,1.042,0.985,0.985,0.973,0.935,0.915,1.099,0.969,1.062,1.009,0.95,0.974,0.991,1.028,0.964,1.085,1.008,0.968,1.005,1.056,0.941,0.965,1.066,1.001,0.948,0.879,0.958,1.006,6
a: ゴーゴージャグラー3,1004,1.027,0.998,1.022,0.929,0.992,0.995,1.008,0.992,0.985,1.003,0.993,1.042,1.028,0.939,1.078,1.009,1.005,0.913,1.034,1.038,0.996,0.943,1.051,1.017,1.031,1.037,1.056,0.746,0.989,1.016,1.025,1.013,3
a: ゴーゴージャグラー3,1005,1.04,1.0,1.038,1.005,1.008,0.997,0.989,0.994,1.004,1.019,1.005,0.992,1.013,1.003,0.942,1.018,1.051,1.002,1.037,1.006,1.051,0.994,1.031,0.966,0.948,1.027,1.021,1.024,0.915,0.949,1.079,1.008,3
a: ゴーゴージャグラー3,1006,1.083,0.924,0.96,0.865,1.012,1.042,0.99,0.997,1.042,1.034,0.988,1.006,1.01,0.959,1.042,1.009,0.993,1.07,0.995,1.015,0.935,1.023,1.017,0.963,0.956,1.084,1.027,0.993,0.942,0.974,0.924,1.01,3
a: ゴーゴージャグラー3,1007,0.989,0.985,0.986,1.009,1.062,1.015,0.989,0.999,0.976,1.073,1.036,0.935,1.057,0.994,1.002,0.956,1.046,1.033,0.845,0.966,0.999,1.035,0.97,1.013,1.009,0.99,0.985,0.988,1.027,0.916,1.031,1.006,3
a: ゴーゴージャグラー3,1008,0.989,1.036,0.996,0.998,1.03,1.125,1.017,0.967,0.937,1.015,1.027,0.996,1.035,0.963,0.973,1.008,1.014,0.884,0.991,0.974,0.987,0.98,1.003,0.972,1.051,1.037,0.964,1.036,1.036,0.982,1.013,1.007,2
a: ゴーゴージャグラー3,1009,1.022,0.928,1.0,0.957,0.945,0.967,1.036,0.959,1.093,1.086,1.028,1.027,0.98,1.009,1.053,0.997,0.973,1.025,1.048,1.044,1.028,0.992,0.952,1.005,0.955,0.991,1.018,0.93,0.993,1.004,1.056,1.009,4
a: ゴーゴージャグラー3,1010,1.057,1.019,0.965,0.948,1.01,1.012,0.95,0.989,0.995,1.013,0.971,0.991,0.957,0.931,1.008,1.016,0.943,1.009,0.958,1.029,1.007,0.989,0.991,0.968,1.036,0.967,1.031,0.941,0.973,0.923,0.875,0.99,1
b: ゴーゴージャグラー3,1011,1.05,0.985,0.944,1.031,1.036,0.998,1.022,0.959,0.947,0.958,0.97,1.039,0.995,0.989,1.005,0.954,1.047,1.015,0.973,0.896,1.011,1.008,0.979,0.998,0.978,0.982,1.014,0.943,0.971,1.0,0.958,0.994,1
b: ゴーゴージャグラー3,1012,1.008,0.99,0.952,1.014,1.02,0.962,1.021,1.035,0.952,0.951,1.071,1.041,0.918,0.916,0.952,1.055,0.982,0.995,1.029,0.974,1.041,0.941,0.987,1.08,1.036,0.971,1.037,0.894,0.973,1.035,0.97,1.005,3
b: ゴーゴージャグラー3,1013,1.019,0.962,0.978,0.934,0.986,1.021,0.976,0.972,0.983,1.01,1.025,0.956,1.016,1.003,0.99,0.93,0.99,1.042,1.018,1.049,1.04,0.984,0.868,0.994,1.017,1.011,0.993,0.819,1.077,1.0,0.99,1.0,1
b: ゴーゴージャグラー3,1014,1.053,1.093,0.959,0.93,1.019,1.081,1.038,0.977,1.048,0.991,1.018,0.937,1.031,1.013,0.986,0.959,0.999,1.066,0.958,1.0,0.976,0.996,1.032,1.051,1.002,0.955,1.0,0.965,0.915,0.837,0.986,1.007,5
b: ゴーゴージャグラー3,1015,1.056,0.947,1.068,0.971,0.972,1.036,0.999,1.024,0.99,0.928,0.991,1.036,0.968,1.055,1.01,0.936,1.003,0.971,0.977,1.008,0.985,1.074,1.038,1.006,1.029,1.042,0.98,0.96,1.035,1.034,0.954,1.006,4
b: ゴーゴージャグラー3,1016,1.036,0.927,1.017,1.04,1.075,0.954,0.955,0.932,1.003,0.975,1.019,0.93,0.976,1.021,1.036,0.939,1.008,0.874,1.01,1.03,0.983,0.996,1.03,1.02,1.007,1.022,1.045,0.939,0.917,0.929,0.993,1.004,1
