,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5more
0,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1001,2800,10,9,-488,280.0,311.1,6.72,147.4,2025-06,30,0,2025,1,a: ゴーゴージャグラー3,0.0
1,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1002,906,2,3,-182,453.0,302.0,5.41,181.2,2025-06,30,0,2025,2,a: ゴーゴージャグラー3,0.0
2,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1003,1142,3,2,-700,380.7,571.0,7.17,228.4,2025-06,30,0,2025,3,a: ゴーゴージャグラー3,0.0
3,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1004,1335,8,2,288,166.9,667.5,6.87,133.5,2025-06,30,0,2025,4,a: ゴーゴージャグラー3,0.0
4,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1005,1022,3,4,-206,340.7,255.5,6.41,146.0,2025-06,30,0,2025,5,a: ゴーゴージャグラー3,0.0
5,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1006,2337,9,7,-18,259.7,333.9,6.11,146.1,2025-06,30,0,2025,6,a: ゴーゴージャグラー3,0.0
6,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1007,1145,5,2,-124,229.0,572.5,6.64,163.6,2025-06,30,0,2025,7,a: ゴーゴージャグラー3,0.0
7,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1008,2204,6,8,-735,367.3,275.5,6.7,157.4,2025-06,30,0,2025,8,a: ゴーゴージャグラー3,0.0
8,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1009,1487,7,1,-29,212.4,1487.0,6.09,185.9,2025-06,30,0,2025,9,a: ゴーゴージャグラー3,0.0
9,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1010,986,3,0,-488,328.7,0.0,6.15,328.7,2025-06,30,0,2025,0,a: ゴーゴージャグラー3,0.0
10,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1011,981,5,2,-53,196.2,490.5,7.57,140.1,2025-06,30,0,2025,1,b: ゴーゴージャグラー3,0.0
11,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1012,3337,8,11,-1544,417.1,303.4,6.81,175.6,2025-06,30,0,2025,2,b: ゴーゴージャグラー3,0.0
12,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1013,3190,13,8,-324,245.4,398.8,6.62,151.9,2025-06,30,0,2025,3,b: ゴーゴージャグラー3,0.0
13,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1014,1040,4,1,-206,260.0,1040.0,6.09,208.0,2025-06,30,0,2025,4,b: ゴーゴージャグラー3,0.0
14,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1015,2361,5,5,-1421,472.2,472.2,6.59,236.1,2025-06,30,0,2025,5,b: ゴーゴージャグラー3,0.0
15,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1016,993,4,2,-135,248.2,496.5,6.49,165.5,2025-06,30,0,2025,6,b: ゴーゴージャグラー3,0.0
16,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1017,5204,14,21,-1138,371.7,247.8,6.26,148.7,2025-06,30,0,2025,7,b: ゴーゴージャグラー3,0.16
17,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1018,4729,23,11,309,205.6,429.9,6.64,139.1,2025-06,30,0,2025,8,b: ゴーゴージャグラー3,0.0
18,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1019,479,1,2,-253,479.0,239.5,7.28,159.7,2025-06,30,0,2025,9,b: ゴーゴージャグラー3,0.0
19,EXA FIRST,2025-06-30,ゴーゴージャグラー3,1020,3535,14,13,-6,252.5,271.9,6.53,130.9,2025-06,30,0,2025,0,b: ゴーゴージャグラー3,0.0
20,EXA FIRST,2025-06-30,マイジャグラーV,1021,2631,10,8,124,263.1,328.9,5.8,146.2,2025-06,30,0,2025,1,c: マイジャグラーV,0.0
21,EXA FIRST,2025-06-30,マイジャグラーV,1022,5472,19,17,-324,288.0,321.9,5.95,152.0,2025-06,30,0,2025,2,c: マイジャグラーV,0.16
22,EXA FIRST,2025-06-30,マイジャグラーV,1023,4304,19,16,1156,226.5,269.0,5.76,123.0,2025-06,30,0,2025,3,c: マイジャグラーV,0.0
23,EXA FIRST,2025-06-30,マイジャグラーV,1024,255,0,0,-288,0.0,0.0,5.71,0.0,2025-06,30,0,2025,4,c: マイジャグラーV,0.0
