,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,23428,2432,100,81,1.035,289.2,129.4,6533,900,27,29,1.046,225.3,116.7,1620,-512,5,3,0.895,540.0,202.5,3345,1453,20,10,1.145,334.5,111.5,6625,959,30,22,1.048,301.1,127.4,5305,-368,18,17,0.977,312.1,151.6
a: ゴーゴージャグラー3,1002,10782,-101,44,27,0.997,399.3,151.9,527,-276,2,0,0.825,,263.5,4550,1632,25,14,1.12,325.0,116.7,1382,-468,4,3,0.887,460.7,197.4,929,-274,3,1,0.902,929.0,232.2,3394,-715,10,9,0.93,377.1,178.6
a: ゴーゴージャグラー3,1003,10758,-2232,33,35,0.931,307.4,158.2,825,-865,1,1,0.651,825.0,412.5,629,-429,1,2,0.773,314.5,209.7,1976,-644,5,8,0.891,247.0,152.0,3803,-85,14,14,0.993,271.6,135.8,3525,-209,12,10,0.98,352.5,160.2
a: ゴーゴージャグラー3,1004,24772,-1726,94,66,0.977,375.3,154.8,2298,-394,10,3,0.943,766.0,176.8,2589,-841,7,7,0.892,369.9,184.9,4768,971,21,19,1.068,250.9,119.2,7532,-1559,26,19,0.931,396.4,167.4,7585,97,30,18,1.004,421.4,158.0
a: ゴーゴージャグラー3,1005,19470,-3147,62,63,0.946,309.0,155.8,5989,-335,23,17,0.981,352.3,149.7,587,-147,3,0,0.917,,195.7,1904,288,10,4,1.05,476.0,136.0,3383,-1629,7,11,0.839,307.5,187.9,7607,-1324,19,31,0.942,245.4,152.1
a: ゴーゴージャグラー3,1006,18953,-2995,64,55,0.947,344.6,159.3,8775,-468,30,30,0.982,292.5,146.2,1265,-982,2,1,0.741,1265.0,421.7,2759,-962,8,8,0.884,344.9,172.4,3214,-509,12,10,0.947,321.4,146.1,2940,-74,12,6,0.992,490.0,163.3
a: ゴーゴージャグラー3,1007,19372,1706,80,65,1.029,298.0,133.6,8674,1015,36,37,1.039,234.4,118.8,1386,53,6,2,1.013,693.0,173.2,2638,147,11,7,1.019,376.9,146.6,526,-162,2,0,0.897,,263.0,6148,653,25,19,1.035,323.6,139.7
a: ゴーゴージャグラー3,1008,16136,-1267,62,44,0.974,366.7,152.2,2986,-874,9,9,0.902,331.8,165.9,1855,-535,5,5,0.904,371.0,185.5,2631,-638,9,6,0.919,438.5,175.4,7541,1065,35,22,1.047,342.8,132.3,1123,-285,4,2,0.915,561.5,187.2
a: ゴーゴージャグラー3,1009,18759,-579,66,65,0.99,288.6,143.2,1545,-535,4,3,0.885,515.0,220.7,4667,-135,17,17,0.99,274.5,137.3,509,-338,1,1,0.779,509.0,254.5,2580,-150,10,8,0.981,322.5,143.3,9458,579,34,36,1.02,262.7,135.1
a: ゴーゴージャグラー3,1010,20868,-755,80,58,0.988,359.8,151.2,3794,-182,14,11,0.984,344.9,151.8,2906,-571,11,6,0.935,484.3,170.9,3496,924,19,7,1.088,499.4,134.5,4767,-591,16,17,0.959,280.4,144.5,5905,-335,20,17,0.981,347.4,159.6
b: ゴーゴージャグラー3,1011,23233,-2256,83,69,0.968,336.7,152.8,4322,994,21,13,1.077,332.5,127.1,6771,-135,27,20,0.993,338.6,144.1,1653,-844,3,6,0.83,275.5,183.7,6845,-1312,21,21,0.936,326.0,163.0,3642,-959,11,9,0.912,404.7,182.1
b: ゴーゴージャグラー3,1012,18690,-313,78,45,0.994,415.3,152.0,6369,432,28,16,1.023,398.1,144.8,1710,-159,6,4,0.969,427.5,171.0,4025,-759,15,10,0.937,402.5,161.0,4741,394,22,12,1.028,395.1,139.4,1845,-221,7,3,0.96,615.0,184.5
b: ゴーゴージャグラー3,1013,19522,2350,90,49,1.04,398.4,140.4,1749,-594,6,4,0.887,437.2,174.9,2655,88,11,8,1.011,331.9,139.7,2212,579,13,2,1.087,1106.0,147.5,5675,115,24,11,1.007,515.9,162.1,7231,2162,36,24,1.1,301.3,120.5
b: ゴーゴージャグラー3,1014,15403,-946,60,42,0.98,366.7,151.0,6471,450,27,25,1.023,258.8,124.4,2212,-88,10,4,0.987,553.0,158.0,2401,-997,7,4,0.862,600.2,218.3,770,-485,1,1,0.79,770.0,385.0,3549,174,15,8,1.016,443.6,154.3
b: ゴーゴージャグラー3,1015,22854,2924,99,79,1.043,289.3,128.4,8812,718,34,36,1.027,244.8,125.9,4014,53,18,12,1.004,334.5,133.8,2220,197,8,9,1.03,246.7,130.6,5609,1465,28,19,1.087,295.2,119.3,2199,491,11,3,1.074,733.0,157.1
b: ゴーゴージャグラー3,1016,8802,-2439,25,26,0.908,338.5,172.6,3074,-559,7,15,0.939,204.9,139.7,700,-688,1,1,0.672,700.0,350.0,989,-268,3,2,0.91,494.5,197.8,2523,-156,10,6,0.979,420.5,157.7,1516,-768,4,2,0.831,758.0,252.7
b: ゴーゴージャグラー3,1017,15741,1385,69,48,1.029,327.9,134.5,8090,3338,45,29,1.138,279.0,109.3,3167,-182,12,8,0.981,395.9,158.4,900,-209,2,4,0.923,225.0,150.0,1607,-1124,3,4,0.767,401.8,229.6,1977,-438,7,3,0.926,659.0,197.7
b: ゴーゴージャグラー3,1018,12857,383,52,34,1.01,378.1,149.5,2450,124,11,3,1.017,816.7,175.0,1634,-100,6,4,0.98,408.5,163.4,3687,509,14,19,1.046,194.1,111.7,1446,-544,5,0,0.875,,289.2,3640,394,16,8,1.036,455.0,151.7
b: ゴーゴージャグラー3,1019,18906,1971,87,56,1.035,337.6,132.2,2287,-1103,7,1,0.839,2287.0,285.9,6459,1894,35,22,1.098,293.6,113.3,1955,-938,4,7,0.84,279.3,177.7,4801,818,22,16,1.057,300.1,126.3,3404,1300,19,10,1.127,340.4,117.4
b: ゴーゴージャグラー3,1020,23040,-1683,80,70,0.976,329.1,153.6,4583,-1068,12,13,0.922,352.5,183.3,1349,-441,4,1,0.891,1349.0,269.8,5180,179,19,21,1.012,246.7,129.5,5781,138,25,17,1.008,340.1,137.6,6147,-491,20,18,0.973,341.5,161.8
