model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
アイムジャグラーEX-TP,1100,780,1724,-354,-900,371,-324,3391,-1315,1582,524,1367,-47,-2359,947,-1430,2618,6359,-2244,1768,1059,-844,-773,-2506,-303,-662,-29,427,-776,200,-1506,-574,6171
アイムジャグラーEX-TP,1101,1318,2680,-559,-144,185,3319,753,3244,-526,1962,-2500,461,-1920,182,-1008,-303,141,-191,-324,-283,4171,-1406,756,2353,2136,926,-27,-1624,-505,732,-785,13214
アイムジャグラーEX-TP,1102,-162,-3512,-2843,3450,1594,1141,-511,4927,-864,-1300,-4656,-180,1542,1297,-720,2953,91,-1468,-132,412,-1783,-391,-629,623,4050,2447,-771,644,47,-1111,1491,5676
アイムジャグラーEX-TP,1103,-760,482,-2777,3379,-1024,-358,-571,-794,888,-562,776,1497,3656,-341,-1144,2251,106,-1033,1217,-1955,-750,-2238,-577,1317,494,-588,4014,24,-1656,-1285,-1453,235
アイムジャグラーEX-TP,1104,1749,-941,-285,-997,4447,-679,-1365,-1324,2062,-394,1276,3808,-1932,-2505,4900,-2635,-761,-1671,765,-2815,1824,-909,-2083,-341,-874,2550,-32,1333,-791,-1070,1774,2084
アイムジャグラーEX-TP,1105,1256,1941,4277,850,-1903,-2827,626,5191,-1970,4411,74,1612,1382,1174,1638,-1539,-465,985,-1959,2247,3821,-483,150,-594,-498,1682,-162,-882,-779,-1409,-91,17756
アイムジャグラーEX-TP,1106,-1253,-959,347,-1876,3841,2456,-821,-1423,168,-1370,520,-1506,-1729,183,3691,535,-1732,2100,2968,-544,-1312,738,-1030,2615,-318,-730,-2079,-435,506,-2174,-265,-888
アイムジャグラーEX-TP,1123,3576,-3130,-912,242,-1412,883,-1639,-361,-193,-1303,-1132,-2515,-538,-1924,2109,-1959,-1394,-1994,-286,2097,-245,2915,-544,2259,2071,1171,-1115,-488,-1850,1373,-771,-7009
アイムジャグラーEX-TP,1124,4926,-649,-76,-4299,2303,499,3860,-636,2717,-173,4338,-1853,-2274,-1411,3596,-1185,2270,-1614,-235,2938,-291,-1186,-115,753,-1400,-2456,364,21,-129,-50,1968,10521
アイムジャグラーEX-TP,1125,685,2235,1691,-621,-2883,1100,3579,2327,-588,-2116,3356,-1268,279,-1355,660,-244,191,1359,1656,447,1397,-388,552,-365,-1262,891,592,-29,53,4482,-415,15998
アイムジャグラーEX-TP,1126,970,-209,3167,2463,-830,-1015,-171,3446,1715,76,1579,-1114,809,2841,-2382,-1423,1288,3479,-685,2618,-608,-2529,-174,1197,1138,2791,485,-759,-11,-3,88,18237
アイムジャグラーEX-TP,1127,-1350,2079,-2897,1268,-379,-2168,3912,-697,853,-1192,-2171,297,126,3959,-2135,2327,65,-1818,1058,-230,-2556,289,-1203,2070,3903,-977,-1915,-1703,-2447,-614,285,-3961
アイムジャグラーEX-TP,1128,703,2476,-1406,-1166,5370,1294,-520,-312,-956,1312,-3306,2203,-1132,1641,1935,-786,-1762,-309,2765,2700,4509,-1762,-1474,2353,3721,-1282,3327,-170,2545,38,-609,21940
アイムジャグラーEX-TP,1129,-1079,-1006,3336,-1309,-3574,-3115,360,704,4868,494,1227,-297,-1901,1618,-1679,-1890,-568,-1906,1082,-1441,-1464,656,-394,-229,-1350,1432,-218,-391,252,806,-321,-7297
アイムジャグラーEX-TP,1130,4541,-733,-952,-3387,-8183,4218,1959,-3446,-6194,-20,-4022,-2273,-7114,1005,-1835,-2724,4939,-811,-4936,-6786,4358,-1213,-5,-3626,-120,14252,-517,-2427,235,3045,-2937,-25709
アイムジャグラーEX-TP,1131,-1889,-2243,-66,3129,4231,-1489,-2726,-452,478,-2202,-1183,2488,5884,2893,-1956,807,2242,-1850,-904,1403,2122,1976,600,-2243,9250,3724,-391,-1232,2499,-1388,2047,23559
