model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
アイムジャグラーEX-TP,1100,273.8,333.8,304.6,404.0,299.9,389.4,342.5,412.8,416.1,309.9,406.3,593.8,446.7,379.4,294.8,331.2,284.4,498.8,341.4,319.5,437.7,316.8,395.2,322.8,486.4,403.6,358.0,369.6,471.6,327.6,308.0,352.6
アイムジャグラーEX-TP,1101,312.0,252.3,391.5,324.7,341.3,266.6,316.6,270.9,487.7,333.6,322.1,359.3,366.9,392.6,374.2,305.1,304.9,382.8,616.1,371.1,301.1,320.2,315.8,401.1,346.3,473.3,553.9,240.2,277.5,370.5,342.4,333.5
アイムジャグラーEX-TP,1102,234.1,279.1,342.9,257.9,286.6,341.2,389.8,286.6,369.7,328.6,327.1,308.6,363.9,289.1,316.1,362.5,343.2,351.2,369.7,282.5,423.3,236.9,488.0,274.2,272.8,302.7,403.0,425.6,473.2,504.8,245.6,315.4
アイムジャグラーEX-TP,1103,265.3,310.0,371.3,452.5,357.3,402.1,510.1,426.6,309.2,528.1,378.5,329.3,304.9,416.1,333.6,404.3,354.7,350.5,351.3,486.8,331.9,316.8,353.3,232.7,289.0,255.4,291.9,274.6,441.0,329.8,378.6,341.3
アイムジャグラーEX-TP,1104,271.0,404.6,345.6,259.2,359.6,514.6,419.2,361.3,326.6,281.0,344.1,233.9,508.3,296.2,266.9,333.5,351.1,315.1,372.0,505.1,352.6,390.2,274.8,332.0,377.6,251.1,648.6,262.2,358.0,472.4,214.3,319.9
アイムジャグラーEX-TP,1105,258.3,305.2,346.3,359.4,396.8,326.9,400.4,304.8,836.0,266.7,288.5,425.0,343.0,330.2,287.0,485.3,352.4,404.8,418.6,350.5,336.0,469.7,380.2,282.4,398.9,260.2,329.0,541.8,433.4,307.9,178.4,328.7
アイムジャグラーEX-TP,1106,362.3,357.9,268.8,374.3,278.4,288.0,376.5,422.4,295.6,377.6,273.6,484.6,538.6,292.6,330.5,332.6,935.9,340.6,334.6,384.6,365.1,305.5,415.6,365.7,376.5,285.7,357.1,415.0,452.0,1014.6,460.5,346.9
アイムジャグラーEX-TP,1123,249.7,373.2,384.1,268.5,371.0,401.0,369.9,396.8,418.8,386.2,529.2,435.9,310.8,422.4,351.9,321.3,392.3,454.5,356.6,301.2,315.3,324.8,409.7,406.3,355.8,341.8,373.7,288.9,500.3,460.7,894.4,362.3
アイムジャグラーEX-TP,1124,252.8,343.1,294.8,325.5,234.7,259.3,426.4,477.3,346.6,635.1,396.7,420.1,269.6,558.4,308.1,456.2,324.2,287.1,386.6,357.8,363.5,351.3,597.3,452.9,442.0,325.1,302.6,365.8,349.2,712.1,381.3,343.5
アイムジャグラーEX-TP,1125,289.2,377.6,279.6,436.1,352.0,363.7,417.7,291.2,330.5,305.2,233.6,284.1,472.1,405.9,258.8,257.2,491.6,357.8,312.6,322.0,294.2,600.3,387.3,233.8,415.3,252.7,502.4,546.4,271.2,355.5,341.0,318.4
アイムジャグラーEX-TP,1126,302.0,407.7,345.7,293.1,507.8,376.1,354.5,326.7,386.0,451.4,333.6,467.6,263.9,296.0,295.9,462.9,277.0,440.2,554.7,320.7,313.2,607.3,308.7,415.2,275.1,282.4,282.2,320.0,338.0,293.0,274.6,335.6
アイムジャグラーEX-TP,1127,297.9,330.5,495.1,288.8,340.1,416.2,243.6,338.4,312.5,321.6,454.4,358.0,310.6,402.5,453.7,292.9,482.0,400.2,372.1,381.5,343.7,338.2,647.5,363.8,297.8,295.1,335.2,319.4,409.4,241.0,281.6,335.9
アイムジャグラーEX-TP,1128,324.3,348.4,376.0,480.3,242.8,257.6,327.4,501.8,345.9,298.3,328.9,272.8,348.3,292.6,249.9,274.1,337.7,330.2,280.1,293.2,321.4,447.6,526.9,316.0,284.4,441.3,264.0,995.5,249.2,388.4,341.5,308.2
アイムジャグラーEX-TP,1129,303.0,467.2,374.3,401.9,324.3,482.3,292.5,314.3,263.7,297.2,352.5,475.3,358.1,506.6,483.3,371.5,472.6,480.9,541.8,480.5,396.9,313.4,295.0,530.8,553.9,354.8,304.4,257.6,306.0,312.2,540.0,369.1
アイムジャグラーEX-TP,1130,310.2,330.8,383.6,385.2,406.3,317.6,358.7,318.0,321.7,351.1,337.6,396.4,461.0,339.6,314.4,373.4,344.3,365.3,377.8,377.2,347.9,381.6,317.1,368.2,314.1,290.9,308.9,393.7,354.1,328.0,407.2,344.9
アイムジャグラーEX-TP,1131,325.6,427.8,333.5,268.9,363.8,368.0,335.2,334.4,340.9,360.7,321.2,340.3,320.3,348.3,312.2,321.8,323.3,335.6,318.9,292.3,389.7,390.3,338.9,394.7,296.6,358.9,419.9,364.9,302.6,387.9,386.9,339.2
アイムジャグラーEX-TP,1132,289.5,336.1,529.4,435.1,322.1,398.8,433.0,312.6,309.5,337.2,300.7,433.2,323.0,371.4,287.8,420.1,352.1,414.4,292.1,316.6,293.0,291.7,329.3,442.4,298.2,302.9,346.3,349.1,418.4,344.9,344.8,332.7
アイムジャグラーEX-TP,1133,338.8,336.2,360.1,347.0,359.8,349.8,368.9,352.8,421.2,386.6,284.8,399.0,416.0,447.9,280.9,356.4,288.0,356.1,338.7,373.9,305.9,364.6,300.5,377.4,278.2,292.0,445.8,350.5,350.7,397.5,315.7,334.9
アイムジャグラーEX-TP,1134,315.9,436.9,367.8,399.5,358.9,375.0,348.3,383.2,291.4,311.6,320.9,395.0,544.4,321.2,373.7,403.5,267.7,343.2,376.6,296.9,308.5,432.2,410.8,376.6,324.5,249.5,337.8,411.1,415.9,335.4,344.1,341.9
アイムジャグラーEX-TP,1135,325.9,320.2,325.0,326.3,345.9,387.8,398.2,546.2,309.6,282.6,316.5,369.4,392.9,325.3,295.4,372.5,355.0,373.5,352.9,416.6,374.8,369.9,374.0,345.8,350.7,259.0,475.5,421.9,385.2,310.8,335.9,341.4
アイムジャグラーEX-TP,1136,484.8,354.8,315.6,417.8,349.6,321.0,326.2,355.7,361.9,336.4,386.2,384.4,340.0,399.7,391.4,324.0,322.4,397.5,400.7,369.6,313.4,394.9,372.8,422.3,364.3,313.8,312.3,414.2,315.2,447.2,380.4,360.1
アイムジャグラーEX-TP,1145,327.1,359.8,372.3,363.8,309.8,417.7,578.0,341.7,401.1,331.4,313.3,230.7,578.8,364.6,356.8,353.6,402.3,565.8,335.6,390.8,317.7,460.0,397.1,408.5,280.4,310.2,246.8,395.5,405.7,621.7,360.1,349.0
アイムジャグラーEX-TP,1146,471.8,313.0,406.6,392.6,234.6,322.4,384.2,451.6,365.7,511.7,299.1,568.0,324.5,203.6,338.7,387.5,360.1,431.6,297.3,428.8,511.2,351.0,340.5,257.2,322.4,253.3,333.0,480.0,275.3,491.6,320.2,328.6
アイムジャグラーEX-TP,1147,269.1,1316.7,308.0,330.0,355.9,263.5,354.8,340.0,374.7,344.1,306.0,242.3,368.8,814.8,339.9,317.6,494.1,683.6,444.3,317.2,323.2,272.1,566.6,267.8,262.3,382.8,405.0,390.2,420.8,362.3,465.3,336.5
アイムジャグラーEX-TP,1148,273.6,299.9,296.4,386.7,318.4,487.5,412.7,269.5,332.7,1101.0,313.4,380.0,288.7,547.8,355.8,325.7,809.7,265.9,234.8,320.6,239.2,395.3,414.2,426.9,444.6,372.6,314.7,438.8,303.7,288.1,385.8,332.4
アイムジャグラーEX-TP,1149,313.5,397.1,309.2,483.5,310.0,608.8,283.4,335.9,291.6,508.8,306.9,465.0,296.1,371.9,361.6,331.0,432.5,360.0,289.0,618.6,388.2,291.4,333.5,402.0,310.6,357.5,303.2,350.3,298.6,286.3,398.2,342.9
アイムジャグラーEX-TP,1150,365.7,857.0,319.4,295.0,364.8,297.4,383.4,328.1,392.7,417.1,371.3,346.8,238.7,387.1,213.8,346.1,298.6,370.8,355.7,314.3,365.6,361.0,303.8,368.4,480.6,437.0,656.7,341.9,482.7,309.0,244.0,342.6
アイムジャグラーEX-TP,1151,333.5,341.8,321.0,373.0,368.9,422.3,328.9,353.6,373.4,365.4,293.4,367.6,301.3,476.4,309.2,366.4,337.8,375.6,342.8,403.0,362.6,381.2,379.3,368.9,311.2,324.6,272.1,512.0,423.2,532.5,323.0,349.7
アイムジャグラーEX-TP,1152,293.6,359.5,330.7,365.6,416.7,381.4,302.4,395.4,381.9,283.4,338.1,441.0,374.9,350.3,306.6,325.6,326.8,300.2,393.2,452.2,335.1,350.4,371.4,324.0,317.8,294.6,316.9,326.2,415.6,468.1,344.7,342.0
アイムジャグラーEX-TP,1153,292.5,367.7,277.5,423.7,395.0,325.7,368.8,480.4,301.1,374.4,358.6,300.3,325.7,365.0,344.9,437.0,296.3,330.3,273.1,331.2,330.3,295.8,362.6,305.3,370.1,279.6,403.3,309.9,345.0,370.7,321.6,335.0
アイムジャグラーEX-TP,1154,316.5,305.1,387.4,369.4,319.4,306.7,339.0,331.0,405.9,314.5,278.2,325.4,336.2,434.8,336.3,338.3,348.7,344.6,420.6,400.6,371.8,361.2,292.5,367.0,291.8,313.6,351.8,460.3,386.1,404.2,334.6,335.8
アイムジャグラーEX-TP,1155,360.6,333.1,375.2,521.8,317.8,426.6,442.2,412.6,436.1,374.5,346.8,424.8,398.0,438.4,347.2,377.4,375.3,426.7,341.7,424.1,330.3,480.6,374.8,367.7,312.3,337.4,376.7,330.8,506.8,351.4,278.7,369.6
Total,,309.8,347.1,341.7,358.2,338.5,349.6,355.4,353.2,345.6,341.8,323.8,360.6,349.7,363.8,319.0,355.7,337.3,367.4,348.8,354.4,337.1,359.1,352.8,350.2,323.1,303.2,343.1,365.9,365.4,368.1,331.6,341.5
