model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
ジャグラーガールズ,1100,-435,-905,665,-2335,585,938,-902,262,256,88,-2673,-2707,-2976,732,-1550,2059,4870,952,-44,565,646,-3144,1380,-2374,1305,5908,145,-1615,1359,92,-1756,-609
ジャグラーガールズ,1101,1747,1685,1039,221,829,-2176,-127,1014,267,-2508,2267,1440,220,980,-744,94,620,-1289,-118,235,-1121,298,720,338,333,998,6171,3462,-1579,-1497,2036,15855
ジャグラーガールズ,1102,-3164,-855,4368,-312,-2183,-2107,1462,-1432,-2208,-250,-1052,4947,2929,-1770,146,527,-1209,-2731,691,1023,2497,-235,-2920,-1626,3070,-1847,4609,2157,-300,738,-1897,1066
ジャグラーガールズ,1103,-1817,2112,-2201,-3152,-727,976,359,856,-807,-972,-230,-406,-1027,1981,829,955,-123,-2014,-1612,-789,-1611,-1749,-1648,-1395,9618,862,2793,-3089,995,-1256,56,-4233
ジャグラーガールズ,1104,2617,-865,-2443,-414,-3118,4752,59,-2600,-2774,-2645,2362,-1636,-106,-1273,1597,3429,-941,445,-2221,2997,-2595,-1644,939,-765,-1459,1561,2053,-1171,-1099,1300,-2053,-7711
ジャグラーガールズ,1105,1647,955,-1895,-3208,2159,253,169,-41,-1118,-559,5732,-2235,-1921,756,4525,1424,-850,-2065,635,-1182,-768,-438,1155,-768,1653,4647,-670,-1553,3406,547,-2027,8365
ジャグラーガールズ,1106,1103,585,-1426,-3262,1844,2027,-3812,-4635,-1100,-141,1401,735,-2574,-105,3062,-2441,-458,-1767,-535,-2047,-2485,-332,-3233,-2603,336,-2636,6106,2223,15,-1744,1767,-16132
ジャグラーガールズ,1123,1374,-1302,3318,-237,-1932,-2526,-1514,-350,106,-2060,4689,-447,4574,-2397,413,-1850,-5158,-580,-1020,708,2388,-2150,-1013,-1979,-6735,5667,-3232,-1233,1447,-974,-535,-14540
ジャグラーガールズ,1124,-2209,2080,-47,-2403,3756,-2723,2421,-1377,-1144,2774,-5,583,-106,2138,-1724,-589,-2559,1924,542,709,-514,3292,609,2110,-1665,835,-2992,-1156,-1434,-2900,679,-1095
ジャグラーガールズ,1125,1194,657,-53,-836,824,224,2159,2709,-1633,182,1530,-460,221,421,-2471,-2070,5570,-1180,372,2171,400,-87,1585,1026,4704,-1798,1565,-2839,1244,-2232,-1570,11529
