model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
ジャグラーガールズ,1100,343.3,351.7,301.6,285.5,340.8,410.5,355.1,347.9,368.1,344.9,352.9,351.7,325.1,301.5,379.0,317.7,309.8,402.4,375.1,406.2,301.9,455.2,400.0,487.6,290.8,301.2,304.6,344.4,328.3,327.0,371.1,339.6
ジャグラーガールズ,1101,331.0,275.2,256.2,416.6,370.7,353.9,328.0,291.7,343.5,391.1,311.8,391.0,367.0,330.7,314.6,412.7,369.8,297.1,453.1,493.6,317.4,336.5,380.1,361.6,380.9,297.2,293.5,265.3,546.9,418.0,277.5,330.4
ジャグラーガールズ,1102,337.5,276.9,298.5,310.3,326.1,580.8,235.1,344.6,354.5,302.5,282.4,337.2,277.5,352.8,292.3,278.0,275.9,432.4,345.5,289.3,323.4,315.1,316.9,393.3,301.5,433.4,265.5,314.6,289.5,304.6,363.3,311.4
ジャグラーガールズ,1103,346.8,305.4,473.3,286.7,294.0,279.1,281.6,310.1,448.7,304.7,337.5,352.5,292.1,365.7,367.2,296.4,287.7,343.4,363.1,359.3,461.1,318.0,321.3,332.1,288.0,335.8,268.8,427.3,295.3,320.9,407.0,323.1
ジャグラーガールズ,1104,297.2,306.0,418.8,298.4,329.6,280.7,321.5,282.2,335.0,416.9,326.9,239.3,353.6,325.4,305.7,278.7,359.7,324.3,400.4,291.1,379.7,372.8,352.8,465.8,356.0,284.0,286.0,449.5,409.5,277.4,380.2,321.4
ジャグラーガールズ,1105,322.7,292.4,340.5,415.5,362.5,349.3,347.6,316.5,367.5,294.9,285.7,334.7,550.5,270.0,322.2,368.3,324.9,317.1,304.8,370.7,394.2,314.3,293.5,416.9,366.3,312.8,282.7,300.8,287.1,460.6,324.3,326.3
ジャグラーガールズ,1106,309.7,337.0,302.2,353.4,361.8,295.0,404.6,281.7,334.1,299.1,336.6,352.8,417.0,352.6,318.7,350.0,366.6,298.1,406.9,415.4,373.6,526.1,297.9,283.9,339.0,370.2,327.0,355.2,391.9,446.6,289.4,340.6
ジャグラーガールズ,1123,318.6,433.5,326.9,303.7,329.8,352.2,368.7,335.1,297.0,348.8,294.0,387.2,252.5,412.1,394.8,325.1,452.3,318.5,404.9,421.2,309.0,359.5,350.8,346.7,350.9,284.7,353.9,338.2,286.6,443.4,269.8,334.1
ジャグラーガールズ,1124,356.9,281.9,315.1,417.7,324.8,432.2,312.4,273.6,360.6,391.6,377.6,335.7,392.0,314.6,377.6,331.1,385.6,283.7,248.1,328.9,327.0,351.6,361.1,344.2,376.8,287.9,396.3,335.6,362.9,602.2,300.6,336.8
ジャグラーガールズ,1125,288.5,289.7,342.7,277.9,361.5,247.3,274.6,286.6,263.6,361.6,385.9,365.9,286.0,382.4,381.8,407.5,312.9,288.4,306.9,413.2,325.6,344.9,259.8,281.2,346.0,317.5,315.0,315.6,275.1,428.0,324.6,316.5
