model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
ファンキージャグラー2,1051,362.3,390.2,444.0,397.1,401.4,487.5,342.6,431.8,482.8,341.6,383.1,446.2,413.6,360.0,370.1,478.1,386.3,405.9,364.3,357.3,385.0,408.0,350.3,389.4,343.6,375.0,491.6,342.5,488.1,377.5,398.2,390.8
ファンキージャグラー2,1052,310.7,453.1,437.3,341.3,338.5,319.6,365.3,391.9,450.3,438.5,334.1,341.1,462.5,381.3,370.9,512.0,353.7,378.3,387.4,485.3,355.6,405.4,522.2,550.1,401.5,362.9,457.4,464.9,417.5,425.0,346.5,384.2
ファンキージャグラー2,1053,366.3,369.7,357.0,342.6,399.1,316.7,437.8,394.1,384.9,451.1,355.4,357.0,419.0,362.0,366.6,377.2,417.0,436.0,344.1,420.3,367.8,387.9,453.7,406.1,341.8,312.6,343.7,380.6,401.3,373.2,360.6,372.2
ファンキージャグラー2,1054,342.9,438.3,489.3,513.9,414.0,401.1,434.6,333.4,432.6,384.3,412.7,353.2,450.0,447.8,307.7,472.6,397.9,396.2,446.4,343.8,398.5,420.6,370.4,383.7,385.0,342.0,323.6,433.4,372.8,433.2,388.5,388.9
ファンキージャグラー2,1055,380.8,479.6,417.0,376.6,322.2,330.7,405.1,383.5,419.6,404.5,392.2,404.5,439.9,399.9,381.8,377.8,433.9,396.8,397.4,427.4,385.9,394.0,459.3,386.6,437.0,410.3,478.3,503.5,359.5,396.6,396.9,397.4
ファンキージャグラー2,1056,359.5,449.8,433.3,420.3,350.9,401.3,418.8,414.2,491.1,430.2,397.4,389.8,344.0,457.4,398.7,350.6,475.2,427.0,394.1,340.5,354.5,417.4,409.4,382.6,356.1,386.5,483.9,378.0,463.5,373.8,414.6,397.0
ファンキージャグラー2,1057,371.9,324.8,418.3,399.6,348.5,406.5,408.9,389.2,414.7,402.5,387.8,363.3,375.0,419.5,318.7,391.1,460.4,537.7,330.6,404.2,378.0,398.0,442.3,466.7,394.0,324.6,394.8,473.0,511.9,420.7,316.4,383.5
ファンキージャグラー2,1058,384.7,388.9,446.7,389.6,402.8,409.1,447.5,357.6,509.8,361.8,377.5,389.6,564.5,360.2,320.9,399.5,372.4,432.6,432.8,411.5,331.6,371.5,343.8,416.0,386.4,397.6,470.7,391.0,378.9,372.6,404.9,389.8
ファンキージャグラー2,1059,421.2,349.2,352.7,371.2,339.3,433.5,368.2,357.3,345.5,422.7,348.4,435.3,429.9,416.5,361.1,454.0,435.5,461.9,403.8,405.2,375.7,372.8,438.0,400.3,339.6,392.8,414.1,465.0,394.0,469.7,352.9,384.2
ファンキージャグラー2,1060,378.5,427.4,338.8,373.1,391.4,445.3,369.0,389.4,441.5,382.4,370.2,392.3,474.1,386.4,361.3,501.5,380.6,425.5,424.3,388.1,370.5,413.6,454.4,396.0,416.2,402.4,395.4,408.8,410.5,436.8,337.9,397.5
ファンキージャグラー2,1061,413.0,493.5,380.4,406.0,399.9,428.8,417.1,317.0,392.9,881.4,371.8,692.0,438.4,640.0,400.7,325.0,423.8,479.9,395.9,335.6,453.9,469.9,526.1,316.4,406.1,225.4,255.5,287.9,611.5,324.7,446.6,399.0
ファンキージャグラー2,1062,588.7,440.4,434.2,390.2,354.3,396.6,353.0,362.5,553.4,364.3,276.9,414.4,312.8,535.0,267.8,290.1,931.0,736.2,338.0,469.6,467.8,330.2,369.8,306.5,511.2,370.2,411.5,652.0,449.8,390.0,430.9,376.0
ファンキージャグラー2,1063,379.7,371.0,316.9,338.6,452.6,708.1,468.7,303.9,531.5,678.5,468.7,428.7,352.7,418.9,356.1,651.4,300.0,316.8,406.5,973.7,359.0,483.6,526.9,306.5,526.9,375.0,419.8,inf,389.2,508.9,367.6,401.7
ファンキージャグラー2,1064,384.7,540.1,620.1,443.3,313.2,349.8,380.1,543.2,219.7,350.9,496.5,349.4,370.0,334.4,380.2,479.4,379.4,440.1,422.9,469.8,345.5,406.1,1017.2,1195.5,341.9,511.0,298.7,415.3,831.5,284.5,446.5,385.8
Total,,368.5,404.1,406.0,386.6,366.6,385.7,395.9,378.7,421.7,400.6,373.9,389.9,417.3,397.3,352.1,417.1,403.6,424.9,385.1,394.1,370.9,399.9,415.7,401.4,377.1,365.6,409.2,412.4,415.1,400.3,370.8,389.0
