model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
マイジャグラーV,1001,9917,-3144,916,1317,-1476,-5136,-1737,-7764,-970,-6080,-4944,11583,-2144,-2570,-5600,-4780,1726,556,1685,-284,-4635,-1907,2653,-3110,-3735,-3835,1699,-3036,-682,4838,-453,-31132
マイジャグラーV,1002,7762,5508,2598,1647,3488,4011,1606,2891,-2044,4820,-2440,-4066,-4776,1230,403,7804,342,-3580,5381,3333,4107,1947,-4778,3438,3752,633,1333,2654,-1189,1741,1395,50951
マイジャグラーV,1003,9466,6246,6696,-2319,12364,-5080,1998,-712,-1454,-1480,586,7029,4652,4591,-983,-1272,3265,-2427,-519,14381,2246,-1092,535,3094,-4259,11006,342,-4250,-1667,1327,-4094,58216
マイジャグラーV,1004,223,2998,6149,-1646,-722,-2959,3547,4362,-942,-2108,-927,-233,5852,-1781,6119,-1779,2630,-679,2631,-640,-2954,806,8654,-3543,-594,3743,10908,-3272,4132,-1990,8418,44403
マイジャグラーV,1005,9875,3408,-1364,8560,2220,-762,2063,-2678,-1377,1525,-332,3511,-2804,-1165,-1520,2638,5482,436,2016,2237,5700,688,-1182,3200,-3588,4024,628,2823,-3939,1127,4205,45655
マイジャグラーV,1006,9022,3573,-5344,-3813,-2654,7328,9788,6544,412,3657,-2602,2760,-2633,-1359,8122,2732,550,3973,2993,1151,2299,1806,-833,-389,-117,14123,10726,115,550,2285,-3170,71595
マイジャグラーV,1007,4337,3004,-1286,16,8617,-620,583,-3041,1515,6467,11890,-2093,4222,3299,2714,-4406,12970,-1212,-948,-4227,1329,11165,-1262,2693,6085,2292,-62,-2909,-120,1550,2723,65285
マイジャグラーV,1008,4134,8598,-215,-173,6508,8685,-543,-1315,5203,2519,-207,5216,1159,-443,-607,2765,2176,-2924,3297,503,3662,-2491,931,-636,9340,1144,8877,1925,774,-2046,3643,69459
マイジャグラーV,1009,-195,-6898,2619,-4634,2417,3972,-719,4613,-63,9520,8064,-2080,651,932,7606,2174,-2071,8066,-1642,2103,2873,891,-1286,2753,-2147,7506,1597,-1823,5438,2130,7558,59925
マイジャグラーV,1010,11805,-5915,-944,-3597,2272,-3988,-34,-4265,-3409,1026,-2030,-236,-3573,-3634,9189,1376,-6392,5615,-2103,4589,3435,-5191,-4258,1183,6709,-4830,1197,1708,-3305,122,-7213,-14691
マイジャグラーV,1011,7441,3746,-7989,4060,9020,-530,931,1074,-5814,-3512,-2270,3266,949,-3194,-3091,-2677,7966,-1846,-1766,-3767,5302,2128,1078,-1734,-5915,-1279,2381,-3127,-5148,-3724,1291,-6750
マイジャグラーV,1012,1717,-4784,7185,-431,5917,2997,-3518,155,4875,2127,3976,696,-3442,1338,-680,4929,5201,-2927,4176,-3055,-1351,1553,-4491,6365,6653,995,-185,-1790,-2459,4218,2092,38052
マイジャグラーV,1013,-597,-1568,-4374,-5768,5296,-2123,-530,212,-674,373,-2118,474,4060,845,6776,-2742,4624,4426,1832,6938,1841,-3219,-2226,4003,7160,9595,2333,-4789,9527,4152,1770,45509
マイジャグラーV,1014,5264,7423,955,921,-85,6024,2098,1077,-509,2834,6444,-1873,-1705,3270,6007,-1330,-3021,3285,984,-764,7137,1520,5401,9110,1809,608,-918,-7725,1118,-2148,-320,52891
マイジャグラーV,1015,10555,-2597,3905,901,8021,5401,-478,133,-1362,-4936,-2623,3266,6422,1961,14971,-3517,8,-1050,-1975,5375,2838,3631,-2419,327,7759,-4262,7824,188,5420,196,-2604,61279
マイジャグラーV,1016,2329,5,4807,2248,5856,8958,-2694,-1208,5001,-3565,5292,-3682,-1490,3788,10542,2031,2696,255,-3533,-515,10011,2686,459,3342,9632,1894,4921,-6981,721,-879,3787,66714
マイジャグラーV,1017,3727,7338,-3600,73,1401,482,5074,3486,2856,-2723,-1094,5003,5839,-2819,4371,5143,-594,-1439,-2765,3388,589,1450,4292,880,6083,6631,8323,1518,-827,5903,3020,71009
マイジャグラーV,1018,2168,4200,5044,-2099,4141,-3284,-1135,6346,-4786,3312,6194,6676,-2113,-2984,2503,3803,-480,1694,-1750,3253,5124,2848,532,176,10616,2698,7217,-845,4696,-2647,100,61218
マイジャグラーV,1019,2793,1250,-189,5656,-3929,2994,-3034,-49,-1595,-4140,9227,11409,1168,3298,3488,-5403,-630,1863,2459,-1172,5499,-741,2899,-5569,-3912,10941,9074,2280,10136,-2791,1617,54897
マイジャグラーV,1020,4415,-4870,-4178,-596,-11740,19065,-6418,-5991,-2849,1905,-1514,5071,5083,-986,-1994,-6932,8013,-1336,1453,-1998,6039,-1001,6555,652,-2940,-2092,-2033,2111,5656,-1561,-2169,2820
マイジャグラーV,1021,11194,-239,2193,-1330,2745,-1037,-2381,-2903,4887,-1488,-670,-4302,3805,-3051,217,1178,-4693,-1835,3737,-8696,6571,-4236,402,-7609,-3629,850,1967,107,-2113,415,2665,-7279
マイジャグラーV,1022,9017,-1952,-5285,4809,7636,-550,-3620,-5913,3657,365,-6923,-453,10163,4244,-4556,1085,-1703,1868,4856,-2492,9109,2347,-4014,4249,8603,3257,-2790,-5878,226,5504,-2124,32742
マイジャグラーV,1023,9060,7642,-2176,3742,-3208,-6200,8873,1056,-2047,5782,621,-3178,-4619,77,8480,10048,6233,1825,3030,-578,5780,-50,1673,-5511,12377,1700,-409,-3065,4283,1846,-1233,61854
マイジャグラーV,1024,676,1176,-3778,-800,5183,6272,1410,5151,4562,8370,1320,1658,2966,372,-4513,405,6002,-2893,138,2243,4880,-1223,1441,4927,5862,2938,-2144,4779,-2776,-1334,3713,56983
マイジャグラーV,1025,4612,-3972,-2252,-1448,8439,5327,3914,2940,2711,-4484,3373,-1262,-1332,4327,10586,-297,-1803,-3781,1911,2248,2097,-3763,-4395,2739,16658,8150,8647,-3941,5845,-389,-2503,58902
マイジャグラーV,1026,8760,-1400,380,2280,-7014,279,-397,-1751,3694,7088,7826,-2006,-2104,-6063,-188,4183,-3516,5542,-2852,-1212,2924,-1224,-4729,-7096,-1524,146,-225,3543,-430,1409,-4254,69
マイジャグラーV,1027,-562,-4744,4190,-291,5011,367,-5348,6921,-2848,-3195,11254,7564,132,-2342,-3243,-1199,-7652,-74,-5309,1330,-540,-4133,5358,1547,1083,1534,1553,1243,5656,-2372,3262,14153
マイジャグラーV,1028,1229,-2976,7033,679,12064,1584,-2689,-2072,-2387,-972,9779,3328,276,6939,67,1041,2741,-3353,3750,-800,-775,4125,1097,-2669,5399,16339,1159,-865,195,-3013,-3591,52662
マイジャグラーV,1029,12194,-1223,-2721,16162,10656,-3433,2038,-1025,-2513,4221,6723,5093,5457,3967,153,-689,5620,-4421,-331,6107,6471,3495,2919,-813,5741,3497,9323,-3844,1332,-371,-1457,88328
マイジャグラーV,1030,2975,-7136,-936,7312,-15,-2087,9771,3986,4810,-3757,6214,5268,-585,2267,5147,5498,6889,5746,4494,1854,2440,-5442,8035,-891,11733,4226,2461,8826,-404,7423,7435,103557
マイジャグラーV,1031,8607,57,9992,-494,5217,-4377,-8250,7986,7652,3241,-6440,13888,926,-1093,2729,1610,1194,2023,1895,3970,-3735,1736,2723,2943,10443,306,-4647,1788,3766,5471,12077,83204
マイジャグラーV,1032,-1192,2285,2976,-4908,12629,8387,3026,1014,1015,-956,2964,4969,-4961,939,5807,-5029,3200,-19,2308,4728,-3570,-157,-5073,1371,-931,3160,-4718,6805,5782,1147,3343,46341
マイジャグラーV,1033,-339,-1355,-834,7386,9271,-5205,4396,959,-5012,-1139,-819,6802,-1533,-1193,1459,-677,4626,3093,-3125,-4096,2443,7660,-4721,6171,1808,6373,7101,2807,-1827,2555,-3733,39302
マイジャグラーV,1034,9992,2091,-2221,-1165,8158,9463,1048,397,-3378,4157,7734,490,-689,167,11287,-916,4511,773,4380,368,-3638,3121,4882,2794,-3429,1699,2338,2876,-2045,-1243,7087,71089
マイジャグラーV,1035,3426,-2788,5891,2536,20623,-729,8008,3264,-1795,171,7945,2792,-250,1555,6870,673,4038,2440,2244,-954,-817,109,8708,-1092,10304,4073,2972,5580,2598,-671,3260,100984
マイジャグラーV,1036,2292,1565,-2730,455,14640,-1399,8151,1486,-732,-1460,12941,2639,1890,122,5112,7870,13770,-2186,7422,1857,-2036,3202,7664,1643,7168,4563,815,1714,-3368,3973,10955,109998
マイジャグラーV,1037,6126,1944,7406,1981,2163,4593,10567,7357,3541,-3007,9484,6783,-5892,-1086,3256,59,2507,1716,-3409,-1989,5302,-2018,2239,-2397,946,9806,2725,2806,259,1807,3799,79374
マイジャグラーV,1038,10210,3055,2457,-714,4900,3015,15095,9367,2425,-3488,-4671,8471,-641,-3072,1947,11993,153,6312,-3359,2671,-993,2514,-6828,9193,-3459,4363,8240,-6308,-430,-103,3302,75617
マイジャグラーV,1039,11103,10092,7018,6069,26,4510,-1050,-3200,6405,-1834,18355,8291,797,7062,2570,-5399,16864,-5445,-3348,39,5585,2271,3450,-2159,5347,7122,3300,1956,1408,-649,4446,111002
マイジャグラーV,1040,9217,9164,-2376,-326,19482,1787,1179,2612,-1762,2873,8367,-820,-1668,-5208,15302,-1393,8025,-1885,3088,3223,7150,4424,968,-1249,5814,2337,4082,351,1536,41,5108,99443
マイジャグラーV,1041,-224,9256,10258,-8139,2887,-789,385,8824,-4773,2781,1603,-1427,-4008,-3830,-1246,-1915,-5088,7506,-631,-492,-4490,-4590,3891,6112,7413,-3360,-9241,18,-1582,1011,4220,10340
マイジャグラーV,1042,5307,765,4120,-6920,-482,497,6336,-2618,-3026,1089,-2974,-984,4633,2853,-5690,-3568,1167,-164,-577,-3106,7823,-7092,-3775,1190,4564,-4368,-2486,2459,-1688,-4402,1676,-9441
マイジャグラーV,1043,2294,-6889,-310,5568,4200,4921,-4431,11095,5756,-6264,-1023,2797,618,6697,-1981,-744,-746,1652,-826,-2153,8578,577,5110,-54,-4023,5517,-2061,2327,1964,5019,4065,47250
マイジャグラーV,1044,10545,8494,4993,-1510,42,-3470,-1199,669,-2862,11540,-2465,3282,2993,-3449,3954,-3289,-4271,-4132,2562,6456,5997,-8858,15,-5567,10531,-526,-3470,-930,-591,5704,1875,33063
マイジャグラーV,1045,7312,-2513,3834,2576,3314,-2774,1148,11940,-5879,-4103,11185,5279,-665,-4233,7888,2263,544,7507,-418,-3683,6662,-4929,-7981,-2812,2037,4772,2302,841,-1599,2698,1052,43565
