model_name,unit_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
マイジャグラーV,1001,336.4,377.6,335.4,372.6,364.2,357.5,407.0,377.7,362.4,366.7,337.8,307.1,371.1,348.8,370.4,359.1,317.6,345.3,378.4,343.1,408.4,320.8,348.7,322.0,422.6,379.6,374.4,308.8,311.3,365.2,313.4,353.4
マイジャグラーV,1002,314.4,337.9,343.9,339.2,315.9,329.4,277.8,350.9,399.2,377.0,400.6,407.6,411.6,331.7,392.2,329.3,316.1,452.5,315.8,319.9,355.6,366.5,472.5,287.1,339.3,363.2,332.9,311.7,386.8,277.9,389.5,342.7
マイジャグラーV,1003,317.7,317.8,283.2,338.1,350.0,393.4,329.6,318.9,415.7,283.8,339.8,311.6,312.8,371.5,340.6,366.2,314.1,340.4,358.6,277.7,339.7,350.8,462.6,381.0,388.5,269.9,363.0,363.9,294.3,313.5,344.7,332.9
マイジャグラーV,1004,366.4,338.9,368.4,389.7,338.8,360.1,300.9,295.7,351.6,330.8,320.4,333.8,297.8,328.4,339.1,350.6,389.6,365.2,457.8,327.7,314.4,337.4,290.8,353.3,376.1,317.0,319.0,406.4,355.8,428.3,346.1,340.0
マイジャグラーV,1005,361.7,393.4,334.3,326.2,373.6,412.0,324.4,307.8,370.8,321.5,323.9,360.4,374.2,322.1,401.9,366.0,333.5,326.6,338.7,327.1,333.9,344.8,362.4,282.0,428.8,313.4,357.8,351.0,394.8,339.7,286.5,344.5
マイジャグラーV,1006,332.9,343.4,338.7,432.4,347.7,302.2,308.1,286.6,369.0,366.6,354.0,386.9,401.2,428.5,301.4,364.1,346.7,329.5,322.4,341.4,350.6,327.2,498.9,355.2,369.0,289.7,316.6,348.3,331.8,381.6,419.7,341.6
マイジャグラーV,1007,368.1,338.5,385.6,345.6,291.8,351.5,337.8,411.6,339.7,307.3,310.2,301.0,312.9,317.6,308.7,327.5,341.8,416.9,345.9,358.9,348.4,289.0,384.9,340.7,320.5,380.5,329.9,290.0,305.3,445.7,340.8,333.4
マイジャグラーV,1008,318.0,337.3,371.3,397.2,351.9,367.6,330.3,390.4,320.6,303.5,337.4,319.5,388.3,366.0,351.7,309.2,319.1,407.9,299.6,326.5,369.2,324.0,352.9,367.8,313.1,333.2,325.8,309.8,303.7,348.8,287.8,336.6
マイジャグラーV,1009,351.1,395.0,391.3,366.4,364.7,304.5,339.4,305.2,386.2,332.2,332.9,329.2,428.7,401.7,353.4,378.7,441.6,303.8,374.4,357.2,423.9,314.9,328.0,376.9,344.7,310.1,376.7,385.8,296.7,316.2,320.8,348.7
マイジャグラーV,1010,282.4,380.2,378.3,406.9,364.1,331.5,315.3,419.0,395.5,367.8,324.3,352.3,392.1,355.5,318.8,354.1,360.7,282.8,347.6,314.4,335.3,435.5,403.5,381.8,356.5,367.6,316.5,326.7,394.4,305.2,390.1,348.2
マイジャグラーV,1011,331.3,355.5,344.9,334.8,328.4,347.1,382.9,384.9,431.6,347.9,322.0,369.0,333.4,353.1,369.2,344.2,323.1,356.1,510.3,329.0,359.5,387.5,349.7,327.4,406.8,372.1,336.8,428.1,385.8,390.6,296.0,356.0
マイジャグラーV,1012,351.0,324.2,378.8,396.4,316.8,366.4,449.2,351.7,303.7,387.4,346.8,365.1,391.3,369.1,336.1,333.1,302.2,335.0,413.2,405.4,422.0,305.9,309.0,302.6,307.8,336.0,375.0,369.7,398.5,338.2,322.9,347.4
マイジャグラーV,1013,360.9,371.7,378.6,414.0,296.2,330.9,357.9,352.1,345.2,355.6,379.2,365.8,345.0,347.0,321.4,347.6,312.0,379.3,337.0,333.5,380.4,370.4,335.5,287.7,326.7,341.6,348.9,425.5,298.2,283.7,374.8,343.2
マイジャグラーV,1014,330.6,311.3,279.8,387.6,341.7,307.5,327.5,301.0,344.6,356.4,287.5,337.2,300.9,354.2,323.8,405.1,388.9,417.8,331.0,349.8,308.9,319.7,340.7,433.0,422.2,349.9,363.5,397.5,422.3,402.6,328.3,340.6
マイジャグラーV,1015,292.4,389.9,298.1,323.8,281.1,282.5,351.0,354.8,469.4,335.8,338.7,323.8,314.8,359.3,316.2,393.3,382.4,304.9,362.9,315.6,320.1,325.8,363.4,335.3,299.7,325.2,344.0,339.7,320.8,392.4,307.2,328.0
マイジャグラーV,1016,289.5,347.6,341.8,335.5,314.6,313.4,363.5,415.9,309.5,322.5,332.1,387.6,397.6,358.7,293.3,343.6,385.0,311.5,398.7,373.3,346.8,351.5,292.7,320.5,288.4,352.6,321.8,407.5,332.7,350.6,295.4,332.0
マイジャグラーV,1017,301.2,336.0,319.5,350.7,361.5,303.2,330.5,317.3,305.6,434.1,378.3,346.5,368.7,369.0,319.0,312.7,308.6,351.7,334.8,343.9,334.0,314.1,293.7,367.0,320.8,345.2,335.7,331.3,377.3,309.0,327.0,333.2
マイジャグラーV,1018,299.4,302.4,312.8,377.8,294.4,349.1,331.3,301.6,339.9,302.5,307.0,302.3,394.3,334.8,363.7,318.6,384.1,334.2,336.9,293.6,353.1,322.3,330.7,308.6,330.0,312.3,311.1,333.0,366.7,364.5,337.6,325.6
マイジャグラーV,1019,339.2,403.4,335.2,326.3,338.6,305.9,356.2,401.8,363.8,387.0,305.8,331.7,381.5,341.8,392.5,391.1,383.3,325.4,365.7,370.3,349.7,359.6,353.6,437.9,340.7,305.3,329.8,314.0,270.1,456.5,307.0,344.8
マイジャグラーV,1020,384.0,363.0,385.9,364.5,350.0,302.1,325.0,379.7,340.7,314.5,363.1,412.4,320.4,367.3,388.0,400.1,344.2,342.2,403.2,368.2,299.6,348.3,406.3,407.7,394.8,344.7,324.4,330.7,313.5,348.8,365.3,353.8
マイジャグラーV,1021,340.3,346.7,322.5,384.7,356.3,371.7,343.6,351.5,393.2,387.9,332.2,342.8,312.4,431.6,380.9,325.9,371.7,396.5,341.4,315.6,302.9,366.4,377.3,404.3,339.4,342.5,334.1,381.3,385.0,421.3,354.6,353.7
マイジャグラーV,1022,312.5,388.5,368.7,343.5,300.1,404.2,356.2,373.5,309.8,381.2,329.9,400.2,280.4,321.1,357.9,351.0,381.4,302.3,356.2,403.2,314.5,344.8,415.9,338.8,330.5,356.2,389.3,347.7,329.5,302.3,342.7,340.1
マイジャグラーV,1023,286.1,317.7,318.9,359.5,365.6,426.7,315.4,341.7,395.7,377.1,338.2,385.5,440.5,379.4,285.0,322.5,351.0,375.2,393.2,429.6,317.7,382.0,337.9,462.4,321.5,335.9,332.2,364.3,324.4,362.2,364.8,342.4
マイジャグラーV,1024,348.6,331.9,344.9,278.6,341.0,295.6,362.8,304.0,339.7,370.6,350.2,337.1,349.5,379.2,380.5,350.7,344.6,349.1,372.8,371.6,312.5,318.1,375.5,286.4,322.3,299.9,455.4,269.2,352.4,309.9,347.0,334.5
マイジャグラーV,1025,354.0,338.6,411.5,343.2,345.5,300.0,307.4,295.7,370.8,388.9,305.9,329.5,336.2,336.8,293.5,289.6,317.1,372.0,311.5,323.5,367.3,366.0,301.4,293.7,279.1,333.0,325.6,336.6,333.5,303.6,467.5,327.4
マイジャグラーV,1026,295.7,404.6,378.6,355.0,393.9,343.1,384.2,391.2,346.4,302.7,336.2,314.9,382.4,401.4,393.0,364.6,334.7,306.7,363.2,350.2,343.9,342.7,348.5,472.3,326.4,349.3,400.9,392.3,331.8,392.8,393.1,354.6
マイジャグラーV,1027,362.4,350.5,346.6,393.8,296.4,315.3,357.9,364.9,337.5,373.9,369.1,359.4,388.7,454.5,359.2,360.0,390.2,381.6,363.8,322.6,324.4,381.0,297.8,349.6,347.3,387.1,341.1,380.2,316.7,411.3,325.0,352.9
マイジャグラーV,1028,309.8,373.4,369.9,364.4,329.4,367.2,322.8,416.8,285.8,335.3,290.5,326.2,331.5,381.3,364.4,339.3,322.2,410.6,350.1,351.1,370.5,342.9,312.4,391.4,265.4,246.6,266.3,405.0,359.6,392.6,330.7,329.9
マイジャグラーV,1029,288.7,330.7,340.4,271.6,312.8,498.1,368.2,337.9,343.4,269.3,305.7,308.7,383.3,342.9,336.8,385.6,310.9,333.2,327.9,347.7,308.0,300.5,329.0,314.9,311.8,350.9,296.7,387.4,338.7,417.4,408.1,328.0
マイジャグラーV,1030,307.5,416.2,341.2,316.6,367.4,310.4,285.9,306.4,326.2,390.0,316.0,368.6,347.7,308.6,298.0,383.0,318.1,356.0,343.2,302.0,332.8,397.6,372.2,360.5,281.4,297.4,316.5,279.1,276.1,295.1,289.9,322.4
マイジャグラーV,1031,320.1,322.0,340.5,317.8,314.2,371.6,373.6,306.7,280.3,418.2,411.2,275.2,321.8,337.6,337.2,408.1,336.8,358.5,302.3,315.2,335.5,317.9,360.5,327.2,298.8,293.8,384.0,382.2,296.1,333.5,276.2,327.6
マイジャグラーV,1032,344.5,338.5,341.8,344.0,316.0,336.7,337.6,383.0,381.1,328.4,384.4,338.7,430.3,346.5,325.2,350.7,360.1,369.6,372.0,318.8,399.2,363.1,416.8,323.9,369.5,381.4,357.9,291.0,344.9,329.7,345.8,350.1
マイジャグラーV,1033,361.9,383.7,375.2,294.7,293.0,352.9,397.6,344.9,393.3,399.3,303.0,313.8,405.7,392.3,327.0,357.3,319.6,320.0,367.4,357.8,323.4,336.6,295.8,368.3,322.2,332.0,350.3,382.6,359.0,374.7,354.6,343.3
マイジャグラーV,1034,311.2,330.5,357.0,311.0,298.2,296.8,304.8,330.0,354.6,295.1,329.3,363.9,354.5,333.9,291.0,352.6,367.0,352.1,303.4,337.5,379.6,321.9,333.2,280.9,325.0,327.8,359.5,323.7,342.3,359.3,303.1,325.6
