,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00
unit_no,,,,,,,,,,,,,,,,,,,,,
330,12786,420,54,27,1.011,473.6,157.9,6644,343,29,15,1.017,442.9,151.0,6142,77,25,12,1.004,511.8,166.0
331,12948,1123,54,33,1.029,392.4,148.8,5248,-155,20,12,0.99,437.3,164.0,7700,1278,34,21,1.055,366.7,140.0
332,10350,-1761,35,25,0.943,414.0,172.5,3060,-1162,9,6,0.873,510.0,204.0,7290,-599,26,19,0.973,383.7,162.0
333,14071,-991,43,49,0.977,287.2,152.9,4825,-1243,14,11,0.914,438.6,193.0,9246,252,29,38,1.009,243.3,138.0
334,17134,2384,64,70,1.046,244.8,127.9,9520,2004,35,45,1.07,211.6,119.0,7614,380,29,25,1.017,304.6,141.0
335,13596,-858,46,47,0.979,289.3,146.2,8296,588,29,39,1.024,212.7,122.0,5300,-1446,17,8,0.909,662.5,212.0
336,14346,1639,64,35,1.038,409.9,144.9,6570,575,29,16,1.029,410.6,146.0,7776,1064,35,19,1.046,409.3,144.0
337,13220,-2309,48,25,0.942,528.8,181.1,5910,-1626,20,10,0.908,591.0,197.0,7310,-683,28,15,0.969,487.3,170.0
338,12986,-1031,45,36,0.974,360.7,160.3,6450,375,27,16,1.019,403.1,150.0,6536,-1406,18,20,0.928,326.8,172.0
339,14744,1112,63,33,1.025,446.8,153.6,7714,1687,34,24,1.073,321.4,133.0,7030,-575,29,9,0.973,781.1,185.0
340,11193,486,46,29,1.014,386.0,149.2,7125,2083,34,23,1.097,309.8,125.0,4068,-1597,12,6,0.869,678.0,226.0
341,11124,-157,47,26,0.995,427.8,152.4,3060,-2048,7,3,0.777,1020.0,306.0,8064,1891,40,23,1.078,350.6,128.0
342,11037,-285,46,22,0.991,501.7,162.3,4887,-739,18,9,0.95,543.0,181.0,6150,454,28,13,1.025,473.1,150.0
343,13258,-879,49,35,0.978,378.8,157.8,7406,-420,28,18,0.981,411.4,161.0,5852,-459,21,17,0.974,344.2,154.0
344,13019,2826,67,24,1.072,542.5,143.1,6440,726,32,8,1.038,805.0,161.0,6579,2100,35,16,1.106,411.2,129.0
345,11550,-836,44,28,0.976,412.5,160.4,4500,-1307,15,10,0.903,450.0,180.0,7050,471,29,18,1.022,391.7,150.0
346,8756,-2251,26,23,0.914,380.7,178.7,5642,-1574,16,15,0.907,376.1,182.0,3114,-677,10,8,0.928,389.2,173.0
347,8297,-1645,27,24,0.934,345.7,162.7,5735,-948,19,18,0.945,318.6,155.0,2562,-697,8,6,0.909,427.0,183.0
348,14616,1996,67,45,1.046,324.8,130.5,6120,-549,22,18,0.97,340.0,153.0,8496,2545,45,27,1.1,314.7,118.0
349,10285,2061,39,46,1.067,223.6,121.0,7875,2883,32,43,1.122,183.1,105.0,2410,-822,7,3,0.886,803.3,241.0
350,14769,2051,56,59,1.046,250.3,128.4,8448,1509,32,34,1.06,248.5,128.0,6321,542,24,25,1.029,252.8,129.0
351,17408,786,64,55,1.015,316.5,146.3,8990,706,36,22,1.026,408.6,155.0,8418,80,28,33,1.003,255.1,138.0
352,12830,358,53,33,1.009,388.8,149.2,7097,88,30,17,1.004,417.5,151.0,5733,270,23,16,1.016,358.3,147.0
353,13191,-2195,44,31,0.945,425.5,175.9,6765,-430,28,13,0.979,520.4,165.0,6426,-1765,16,18,0.908,357.0,189.0
354,16250,2948,66,62,1.06,262.1,127.0,8190,1222,31,32,1.05,255.9,130.0,8060,1726,35,30,1.071,268.7,124.0
355,11320,918,41,38,1.027,297.9,143.3,7524,3148,36,30,1.139,250.8,114.0,3796,-2230,5,8,0.804,474.5,292.0
356,12570,842,51,39,1.022,322.3,139.7,5966,-326,23,15,0.982,397.7,157.0,6604,1168,28,24,1.059,275.2,127.0
357,17417,261,66,53,1.005,328.6,146.4,8372,-717,32,20,0.971,418.6,161.0,9045,978,34,33,1.036,274.1,135.0
358,10284,-899,35,27,0.971,380.9,165.9,4475,-387,18,7,0.971,639.3,179.0,5809,-512,17,20,0.971,290.4,157.0
