,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,330,32168,2561,135,87,1.027,369.7,144.9,2608.0,245.0,11.0,5.0,1.031,521.6,163.0,3339.0,-413.0,11.0,10.0,0.959,333.9,159.0,5499.0,320.0,23.0,16.0,1.019,343.7,141.0,5070.0,-1168.0,15.0,15.0,0.923,338.0,169.0,7344.0,1422.0,37.0,17.0,1.065,432.0,136.0,8308.0,2155.0,38.0,24.0,1.086,346.2,134.0
その他,331,23171,-4402,76,54,0.937,429.1,178.2,5043.0,1493.0,27.0,14.0,1.099,360.2,123.0,4560.0,-1441.0,13.0,7.0,0.895,651.4,228.0,906.0,-488.0,2.0,1.0,0.82,906.0,302.0,2662.0,-1475.0,6.0,5.0,0.815,532.4,242.0,3120.0,-1406.0,7.0,8.0,0.85,390.0,208.0,6880.0,-1085.0,21.0,19.0,0.947,362.1,172.0
その他,332,23964,-1535,81,81,0.979,295.9,147.9,1120.0,-390.0,3.0,2.0,0.884,560.0,224.0,1895.0,-1342.0,3.0,2.0,0.764,947.5,379.0,6885.0,588.0,28.0,23.0,1.028,299.3,135.0,3634.0,-935.0,10.0,13.0,0.914,279.5,158.0,2189.0,-917.0,6.0,5.0,0.86,437.8,199.0,8241.0,1461.0,31.0,36.0,1.059,228.9,123.0
その他,333,27058,2178,116,69,1.027,392.1,146.3,1560.0,665.0,9.0,4.0,1.142,390.0,120.0,2240.0,-1064.0,6.0,4.0,0.842,560.0,224.0,2492.0,-235.0,11.0,3.0,0.969,830.7,178.0,5880.0,345.0,26.0,14.0,1.02,420.0,147.0,7200.0,-236.0,27.0,18.0,0.989,400.0,160.0,7686.0,2703.0,37.0,26.0,1.117,295.6,122.0
その他,334,21296,1056,85,55,1.017,387.2,152.1,2475.0,-210.0,9.0,6.0,0.972,412.5,165.0,2240.0,-114.0,9.0,5.0,0.983,448.0,160.0,1661.0,552.0,9.0,2.0,1.111,830.5,151.0,1729.0,-816.0,5.0,2.0,0.843,864.5,247.0,5191.0,14.0,22.0,7.0,1.001,741.6,179.0,8000.0,1630.0,31.0,33.0,1.068,242.4,125.0
その他,335,30068,-3312,102,85,0.963,353.7,160.8,1290.0,-993.0,3.0,0.0,0.743,,430.0,3880.0,-1075.0,12.0,8.0,0.908,485.0,194.0,6384.0,1000.0,28.0,20.0,1.052,319.2,133.0,6357.0,-1638.0,16.0,23.0,0.914,276.4,163.0,4590.0,103.0,19.0,11.0,1.007,417.3,153.0,7567.0,-709.0,24.0,23.0,0.969,329.0,161.0
その他,336,31911,647,123,92,1.007,346.9,148.4,4828.0,790.0,22.0,12.0,1.055,402.3,142.0,6106.0,48.0,21.0,22.0,1.003,277.5,142.0,3872.0,-1968.0,9.0,7.0,0.831,553.1,242.0,6020.0,-1243.0,19.0,16.0,0.931,376.2,172.0,2445.0,-265.0,8.0,7.0,0.964,349.3,163.0,8640.0,3285.0,44.0,28.0,1.127,308.6,120.0
その他,337,27041,-4583,94,62,0.944,436.1,173.3,1316.0,-865.0,3.0,1.0,0.781,1316.0,329.0,5976.0,-213.0,23.0,13.0,0.988,459.7,166.0,5891.0,457.0,23.0,20.0,1.026,294.6,137.0,5049.0,-1400.0,16.0,11.0,0.908,459.0,187.0,4814.0,-677.0,18.0,11.0,0.953,437.6,166.0,3995.0,-1885.0,11.0,6.0,0.843,665.8,235.0
