,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00
unit_no,,,,,,,,,,,,,,
330,3432,2161,21,12,1.21,286.0,104.0,3432,2161,21,12,1.21,286.0,104.0
331,752,399,5,3,1.177,250.7,94.0,752,399,5,3,1.177,250.7,94.0
332,1485,430,7,4,1.097,371.2,135.0,1485,430,7,4,1.097,371.2,135.0
333,1356,-468,5,1,0.885,1356.0,226.0,1356,-468,5,1,0.885,1356.0,226.0
334,614,-396,1,1,0.785,614.0,307.0,614,-396,1,1,0.785,614.0,307.0
335,6496,2777,35,21,1.142,309.3,116.0,6496,2777,35,21,1.142,309.3,116.0
336,5360,743,23,17,1.046,315.3,134.0,5360,743,23,17,1.046,315.3,134.0
337,6532,657,26,20,1.034,326.6,142.0,6532,657,26,20,1.034,326.6,142.0
338,5586,2239,27,22,1.134,253.9,114.0,5586,2239,27,22,1.134,253.9,114.0
339,6780,2939,35,25,1.144,271.2,113.0,6780,2939,35,25,1.144,271.2,113.0
340,1197,-309,3,4,0.914,299.2,171.0,1197,-309,3,4,0.914,299.2,171.0
341,1837,112,8,3,1.02,612.3,167.0,1837,112,8,3,1.02,612.3,167.0
342,2016,-36,7,5,0.994,403.2,168.0,2016,-36,7,5,0.994,403.2,168.0
343,3059,317,13,6,1.035,509.8,161.0,3059,317,13,6,1.035,509.8,161.0
344,2919,793,15,6,1.091,486.5,139.0,2919,793,15,6,1.091,486.5,139.0
345,3006,-384,12,6,0.957,501.0,167.0,3006,-384,12,6,0.957,501.0,167.0
346,554,-207,2,0,0.875,,277.0,554,-207,2,0,0.875,,277.0
347,1899,-746,6,3,0.869,633.0,211.0,1899,-746,6,3,0.869,633.0,211.0
348,1323,251,6,3,1.063,441.0,147.0,1323,251,6,3,1.063,441.0,147.0
349,1425,-772,4,1,0.819,1425.0,285.0,1425,-772,4,1,0.819,1425.0,285.0
350,4088,370,16,12,1.03,340.7,146.0,4088,370,16,12,1.03,340.7,146.0
351,7410,2204,31,34,1.099,217.9,114.0,7410,2204,31,34,1.099,217.9,114.0
352,4092,416,16,15,1.034,272.8,132.0,4092,416,16,15,1.034,272.8,132.0
353,5588,954,26,18,1.057,310.4,127.0,5588,954,26,18,1.057,310.4,127.0
354,3900,-80,13,12,0.993,325.0,156.0,3900,-80,13,12,0.993,325.0,156.0
355,2502,-323,6,12,0.957,208.5,139.0,2502,-323,6,12,0.957,208.5,139.0
356,1248,-207,4,4,0.945,312.0,156.0,1248,-207,4,4,0.945,312.0,156.0
357,8614,530,40,19,1.021,453.4,146.0,8614,530,40,19,1.021,453.4,146.0
358,332,-167,1,1,0.832,332.0,166.0,332,-167,1,1,0.832,332.0,166.0
359,6006,683,24,18,1.038,333.7,143.0,6006,683,24,18,1.038,333.7,143.0
390,2205,204,10,5,1.031,441.0,147.0,2205,204,10,5,1.031,441.0,147.0
391,2296,-438,7,7,0.936,328.0,164.0,2296,-438,7,7,0.936,328.0,164.0
392,1750,-871,4,3,0.834,583.3,250.0,1750,-871,4,3,0.834,583.3,250.0
393,2680,286,12,8,1.036,335.0,134.0,2680,286,12,8,1.036,335.0,134.0
394,1488,-662,4,2,0.852,744.0,248.0,1488,-662,4,2,0.852,744.0,248.0
395,2860,654,15,5,1.076,572.0,143.0,2860,654,15,5,1.076,572.0,143.0
396,1300,-828,3,2,0.788,650.0,260.0,1300,-828,3,2,0.788,650.0,260.0
397,1260,-743,2,4,0.803,315.0,210.0,1260,-743,2,4,0.803,315.0,210.0
398,4884,942,24,13,1.064,375.7,132.0,4884,942,24,13,1.064,375.7,132.0
413,5236,-767,19,15,0.951,349.1,154.0,5236,-767,19,15,0.951,349.1,154.0
414,3424,1354,19,13,1.132,263.4,107.0,3424,1354,19,13,1.132,263.4,107.0
415,2268,-433,8,6,0.936,378.0,162.0,2268,-433,8,6,0.936,378.0,162.0
416,3999,175,17,14,1.015,285.6,129.0,3999,175,17,14,1.015,285.6,129.0
417,5625,604,24,21,1.036,267.9,125.0,5625,604,24,21,1.036,267.9,125.0
418,2919,-422,11,10,0.952,291.9,139.0,2919,-422,11,10,0.952,291.9,139.0
419,5112,480,24,12,1.031,426.0,142.0,5112,480,24,12,1.031,426.0,142.0
total,150714,14415,641,448,1.032,336.4,138.4,150714,14415,641,448,1.032,336.4,138.4
