,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,0.983,0.981,0.964,1.022,1.027,0.969,0.971,0.978,0.968,0.972,1.008,0.985,0.951,1.007,0.991,0.976,0.98,0.929,0.962,0.976,1.018,0.964,0.998,0.994,1.008,1.004,0.993,1.002,0.962,0.965,0.941,0.988
ウルトラミラクルジャグラー,1.015,0.947,0.988,0.955,1.017,1.014,0.998,0.98,0.971,0.984,1.01,0.987,0.928,1.004,1.016,0.994,0.965,0.999,0.962,0.965,0.992,0.946,0.934,1.022,1.048,0.961,0.968,0.95,0.956,1.0,0.963,0.988
ゴーゴージャグラー3,0.971,0.966,0.958,0.975,0.975,0.955,0.986,0.988,0.978,0.953,0.977,0.975,0.97,0.979,0.98,0.971,0.956,1.009,0.957,0.984,0.944,0.983,0.962,0.991,0.95,0.991,0.982,0.982,0.979,0.988,1.015,0.975
ジャグラーガールズ,0.981,0.974,0.948,1.014,0.985,0.966,0.971,0.983,0.952,0.975,0.98,0.935,0.993,0.996,0.983,0.979,1.0,0.967,0.987,0.968,1.0,0.971,1.022,0.99,1.03,0.992,0.968,0.979,1.039,0.954,0.976,0.985
ハッピージャグラーVIII,0.972,0.982,0.964,1.023,0.98,0.951,0.971,0.943,0.963,0.973,0.951,0.96,0.954,1.026,0.993,0.981,0.952,0.959,0.976,0.999,0.973,0.961,0.977,0.963,0.967,0.96,0.989,0.991,0.954,0.992,0.986,0.978
ファンキージャグラー2,0.973,0.977,1.005,1.01,0.98,0.96,1.002,0.965,0.969,0.986,0.966,0.986,0.982,1.004,1.015,0.96,0.951,0.976,0.986,0.949,0.994,0.96,0.966,1.0,0.962,0.968,0.97,1.02,0.962,0.993,1.052,0.984
マイジャグラーV,0.98,0.973,0.984,0.993,0.968,0.955,0.993,0.974,0.977,0.968,0.957,0.959,0.973,0.996,0.976,0.975,0.974,0.98,0.966,0.974,0.978,0.999,0.981,1.013,0.983,1.009,0.998,0.973,1.011,1.005,1.038,0.983
ミスタージャグラー,0.99,0.968,0.978,1.002,1.03,0.972,0.973,0.979,0.981,0.96,0.973,0.97,0.992,0.996,0.993,0.973,0.984,0.999,0.984,0.947,1.009,0.958,0.971,0.971,0.975,0.943,0.968,0.96,0.984,1.037,0.954,0.983
total,0.98,0.972,0.974,1.0,0.991,0.963,0.985,0.975,0.972,0.97,0.973,0.968,0.971,0.999,0.99,0.975,0.97,0.981,0.972,0.972,0.985,0.975,0.979,0.995,0.988,0.987,0.984,0.983,0.99,0.994,1.006,0.982
