,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,1.05+
アイムジャグラーEX-TP,390,0.989,0.945,0.976,1.033,0.99,0.995,0.903,0.963,0.978,0.992,0.988,1.012,0.949,0.991,1.01,0.969,0.944,0.916,1.015,0.935,0.966,1.008,0.967,1.0,1.032,1.037,1.002,0.968,0.955,0.89,0.978,0.983,0
アイムジャグラーEX-TP,391,0.961,0.992,0.996,1.02,1.074,0.931,0.978,0.953,1.012,0.998,1.079,0.967,0.93,1.005,0.981,0.922,1.001,0.946,0.896,0.971,1.006,0.975,0.98,0.977,0.997,0.972,0.922,0.926,0.943,1.014,0.934,0.986,2
アイムジャグラーEX-TP,392,0.964,1.01,0.944,0.988,1.066,0.929,0.911,1.057,0.966,0.959,1.03,1.011,0.998,0.963,1.011,1.0,0.931,0.894,0.92,0.993,1.038,0.978,0.999,1.018,1.018,0.987,1.089,1.055,1.004,1.057,0.867,1.0,5
アイムジャグラーEX-TP,393,1.003,1.017,0.973,1.032,0.978,1.019,1.016,0.898,0.942,0.987,0.94,0.958,0.922,1.033,0.938,0.965,1.021,0.956,1.02,1.015,1.052,0.876,1.048,0.947,1.035,1.045,0.963,1.021,0.99,0.916,0.906,0.989,1
アイムジャグラーEX-TP,394,0.984,0.947,0.933,1.038,1.023,0.922,1.035,0.982,0.933,0.903,0.973,0.971,0.949,1.034,1.005,1.003,0.977,0.919,0.925,0.974,1.027,0.942,1.0,1.016,0.944,0.961,0.975,1.014,0.914,0.938,1.011,0.982,0
ウルトラミラクルジャグラー,395,0.947,0.953,0.944,0.933,1.04,1.047,1.014,1.013,0.937,1.0,0.937,0.952,0.85,1.009,1.015,0.872,0.924,0.993,0.946,0.889,0.967,0.969,0.9,0.999,1.065,0.96,1.016,0.896,0.997,0.844,1.011,0.973,1
ウルトラミラクルジャグラー,396,0.979,0.857,0.724,0.981,1.018,1.016,0.952,0.951,1.026,0.999,1.086,0.941,1.0,0.978,1.059,1.019,0.876,0.983,0.991,0.987,1.01,0.963,0.892,1.004,1.05,0.942,0.986,0.948,0.837,1.057,0.918,0.991,4
ウルトラミラクルジャグラー,397,1.055,0.954,1.043,0.954,1.019,0.929,0.931,0.982,0.966,0.973,0.999,0.995,0.938,1.0,0.996,1.05,1.032,0.94,0.968,0.967,1.021,0.941,0.958,1.063,1.038,0.969,0.932,1.006,0.957,1.026,0.831,0.993,3
ウルトラミラクルジャグラー,398,1.06,0.981,1.036,0.945,0.99,1.023,1.052,0.964,0.943,0.962,0.963,1.04,0.903,1.024,0.987,0.989,0.992,1.055,0.917,0.999,0.969,0.913,0.973,1.022,1.043,0.977,0.953,0.89,0.954,0.973,1.001,0.993,3
ゴーゴージャグラー3,340,0.978,0.943,0.959,1.004,1.018,0.714,1.051,0.881,0.698,0.889,0.776,0.946,0.843,1.043,0.954,0.795,0.917,0.89,0.941,1.052,0.685,1.023,0.96,0.995,0.845,0.887,0.986,0.671,1.085,0.997,,0.966,3
ゴーゴージャグラー3,341,0.956,0.955,0.8,0.95,0.911,1.014,1.036,0.943,1.039,0.947,0.957,1.002,0.95,0.953,1.018,1.02,0.986,1.095,0.775,0.997,0.853,1.071,0.944,0.973,0.756,0.751,0.84,1.116,0.842,0.79,,0.972,3
ゴーゴージャグラー3,342,1.036,0.932,0.964,0.969,0.984,1.084,1.01,0.937,0.908,1.005,0.954,0.873,0.977,0.969,1.04,0.89,0.968,0.821,1.074,0.993,0.658,0.819,0.839,0.966,0.848,0.951,0.985,0.871,1.02,0.901,,0.974,2
ゴーゴージャグラー3,343,0.932,0.959,1.075,0.972,0.942,0.744,0.926,1.012,0.904,0.864,0.941,0.989,0.7,0.963,1.021,1.038,1.001,0.864,0.77,0.945,0.898,1.124,0.843,1.022,1.133,1.064,1.175,0.826,0.872,0.935,,0.982,5
ゴーゴージャグラー3,344,0.962,1.034,1.025,0.961,0.934,0.859,0.956,0.9,0.944,0.966,0.913,0.893,0.921,0.89,0.963,0.828,0.998,1.074,0.763,1.032,0.752,0.973,0.771,0.936,1.09,0.998,0.992,0.93,0.741,1.102,,0.954,3
ゴーゴージャグラー3,345,0.909,0.949,0.933,0.86,0.86,0.923,0.868,1.007,0.897,0.917,0.943,0.875,1.033,1.004,1.004,0.875,0.895,0.901,0.826,1.009,0.806,1.1,0.766,1.078,0.892,1.029,0.886,0.762,0.792,0.922,,0.938,2
ゴーゴージャグラー3,346,0.9,1.006,1.017,1.014,0.968,1.068,1.106,0.893,1.024,0.961,0.899,0.947,0.841,1.075,1.039,0.84,0.909,1.069,1.119,0.785,0.905,1.179,1.04,0.985,0.903,0.816,0.909,0.87,0.9,1.051,,1.004,7
ゴーゴージャグラー3,347,0.936,0.986,0.92,0.896,0.922,0.942,0.939,1.068,0.892,0.896,1.144,0.944,0.827,1.007,0.949,0.998,0.868,0.876,,,0.98,1.115,0.807,0.962,0.839,0.852,0.957,0.904,0.749,0.976,,0.965,3
ゴーゴージャグラー3,348,0.864,0.839,1.059,0.918,1.019,0.948,1.015,0.744,0.932,1.058,0.837,0.937,0.914,1.037,0.98,0.807,0.891,0.954,0.766,1.132,0.882,0.98,0.902,1.015,0.965,0.992,1.006,0.803,,0.89,,0.966,3
ゴーゴージャグラー3,349,1.0,0.947,1.005,0.942,1.007,0.982,0.98,0.917,0.924,0.915,0.971,0.993,0.908,1.023,1.131,0.903,0.891,0.756,0.895,1.035,0.858,1.144,0.993,1.108,0.892,0.914,1.016,1.004,0.872,0.784,,0.982,3
ゴーゴージャグラー3,413,0.965,0.973,0.903,0.978,0.969,0.944,1.008,1.001,0.941,1.024,1.013,0.937,0.959,0.959,0.986,1.018,0.928,1.01,0.954,0.998,0.904,0.995,0.993,1.004,0.946,1.036,1.0,0.948,0.921,0.981,1.028,0.977,0
ゴーゴージャグラー3,414,0.934,0.988,0.963,0.997,0.925,1.033,0.986,1.024,0.981,0.953,0.929,0.992,0.963,1.0,0.925,0.967,0.978,1.025,0.99,0.873,0.918,0.917,0.916,0.973,0.914,0.974,1.008,0.952,1.005,1.039,1.102,0.974,1
