,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,6,11,16,19,26,total,count_1.05+
アイムジャグラーEX-TP,1057,0.933,0.841,0.953,1.022,0.949,0.939,0
アイムジャグラーEX-TP,1058,1.035,0.972,0.977,0.856,0.987,1.0,0
アイムジャグラーEX-TP,1059,0.975,0.938,1.055,,1.076,1.041,2
アイムジャグラーEX-TP,1060,1.008,0.814,0.972,,1.014,0.985,0
アイムジャグラーEX-TP,1061,0.944,1.037,0.966,0.552,1.027,1.004,0
アイムジャグラーEX-TP,1062,1.06,0.924,0.793,,0.905,0.977,1
アイムジャグラーEX-TP,1063,0.885,0.938,1.067,1.441,1.022,1.009,2
ゴーゴージャグラー3,1082,0.93,0.975,1.077,0.94,1.004,1.004,1
ゴーゴージャグラー3,1083,0.827,0.822,0.635,1.079,0.95,0.874,1
ゴーゴージャグラー3,1084,1.051,1.005,0.994,0.556,0.983,1.006,1
ジャグラーガールズ,1079,1.117,0.907,0.962,,0.936,1.001,1
ジャグラーガールズ,1080,0.973,1.044,0.894,,0.955,0.967,0
ジャグラーガールズ,1081,0.9,0.955,0.986,,0.965,0.955,0
ハッピージャグラーVIII,1074,1.108,1.06,0.989,,0.963,1.034,2
ハッピージャグラーVIII,1075,0.944,1.016,0.848,,0.814,0.913,0
ハッピージャグラーVIII,1076,0.981,0.793,0.973,1.027,0.981,0.972,0
ファンキージャグラー2,1077,0.945,0.989,1.008,0.903,0.904,0.966,0
ファンキージャグラー2,1078,0.859,0.903,0.922,0.649,0.982,0.929,0
マイジャグラーV,1064,0.983,0.905,0.893,,0.99,0.967,0
マイジャグラーV,1065,1.042,1.102,0.966,0.837,1.015,1.032,1
マイジャグラーV,1066,1.035,0.919,1.058,1.06,1.035,1.027,2
マイジャグラーV,1067,1.039,1.025,0.995,1.0,1.044,1.031,0
マイジャグラーV,1068,1.028,0.999,1.063,1.141,0.972,1.021,2
マイジャグラーV,1069,1.03,0.986,1.063,0.911,1.068,1.047,2
マイジャグラーV,1070,0.959,0.987,1.032,0.794,1.044,1.008,0
ミスタージャグラー,1071,1.009,0.878,0.997,,0.902,0.965,0
ミスタージャグラー,1072,0.939,0.968,0.975,,1.062,0.999,1
ミスタージャグラー,1073,1.049,0.89,0.991,,0.944,0.996,0
total,,1.003,0.978,0.999,1.04,0.999,0.997,0
count_1.05+,,4.0,2.0,6.0,4.0,3.0,0.0,6
