,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
その他,330,6868,-2091,19,15,0.899,457.9,202.0,6868,-2091,19,15,0.899,457.9,202.0
その他,331,2030,-164,7,7,0.973,290.0,145.0,2030,-164,7,7,0.973,290.0,145.0
その他,332,1124,-552,3,1,0.836,1124.0,281.0,1124,-552,3,1,0.836,1124.0,281.0
その他,333,2805,-178,11,6,0.979,467.5,165.0,2805,-178,11,6,0.979,467.5,165.0
その他,334,1300,-659,3,2,0.831,650.0,260.0,1300,-659,3,2,0.831,650.0,260.0
その他,335,6811,975,29,20,1.048,340.6,139.0,6811,975,29,20,1.048,340.6,139.0
その他,336,5796,-1232,13,23,0.929,252.0,161.0,5796,-1232,13,23,0.929,252.0,161.0
その他,337,6669,2170,35,22,1.108,303.1,117.0,6669,2170,35,22,1.108,303.1,117.0
その他,338,9052,-26,33,29,0.999,312.1,146.0,9052,-26,33,29,0.999,312.1,146.0
その他,339,7308,2300,30,33,1.105,221.5,116.0,7308,2300,30,33,1.105,221.5,116.0
その他,340,513,-523,0,1,0.66,513.0,513.0,513,-523,0,1,0.66,513.0,513.0
その他,341,4350,-68,16,14,0.995,310.7,145.0,4350,-68,16,14,0.995,310.7,145.0
その他,342,1149,-706,2,1,0.795,1149.0,383.0,1149,-706,2,1,0.795,1149.0,383.0
その他,343,3973,370,17,12,1.031,331.1,137.0,3973,370,17,12,1.031,331.1,137.0
その他,344,3135,-1162,9,6,0.876,522.5,209.0,3135,-1162,9,6,0.876,522.5,209.0
その他,345,5670,687,25,17,1.04,333.5,135.0,5670,687,25,17,1.04,333.5,135.0
その他,346,3692,228,14,12,1.021,307.7,142.0,3692,228,14,12,1.021,307.7,142.0
その他,347,1080,-349,3,3,0.892,360.0,180.0,1080,-349,3,3,0.892,360.0,180.0
その他,348,1807,45,9,4,1.008,451.8,139.0,1807,45,9,4,1.008,451.8,139.0
その他,349,5586,843,26,16,1.05,349.1,133.0,5586,843,26,16,1.05,349.1,133.0
その他,350,5311,2248,25,22,1.141,241.4,113.0,5311,2248,25,22,1.141,241.4,113.0
その他,351,4998,3275,31,18,1.218,277.7,102.0,4998,3275,31,18,1.218,277.7,102.0
その他,352,3696,-143,12,16,0.987,231.0,132.0,3696,-143,12,16,0.987,231.0,132.0
その他,353,6148,2891,33,20,1.157,307.4,116.0,6148,2891,33,20,1.157,307.4,116.0
その他,354,3834,-297,11,16,0.974,239.6,142.0,3834,-297,11,16,0.974,239.6,142.0
その他,355,4608,364,19,13,1.026,354.5,144.0,4608,364,19,13,1.026,354.5,144.0
その他,356,1323,-175,5,2,0.956,661.5,189.0,1323,-175,5,2,0.956,661.5,189.0
その他,357,1494,-480,5,1,0.893,1494.0,249.0,1494,-480,5,1,0.893,1494.0,249.0
その他,358,2812,-94,11,8,0.989,351.5,148.0,2812,-94,11,8,0.989,351.5,148.0
その他,359,3650,13,16,9,1.001,405.6,146.0,3650,13,16,9,1.001,405.6,146.0
その他,390,5635,-599,17,18,0.965,313.1,161.0,5635,-599,17,18,0.965,313.1,161.0
その他,391,2184,-926,5,7,0.859,312.0,182.0,2184,-926,5,7,0.859,312.0,182.0
その他,392,1630,233,9,1,1.048,1630.0,163.0,1630,233,9,1,1.048,1630.0,163.0
その他,393,4176,148,17,12,1.012,348.0,144.0,4176,148,17,12,1.012,348.0,144.0
その他,394,3043,-587,11,6,0.936,507.2,179.0,3043,-587,11,6,0.936,507.2,179.0
その他,395,1477,-103,6,1,0.977,1477.0,211.0,1477,-103,6,1,0.977,1477.0,211.0
その他,396,896,-454,2,2,0.831,448.0,224.0,896,-454,2,2,0.831,448.0,224.0
その他,397,876,-433,2,2,0.835,438.0,219.0,876,-433,2,2,0.835,438.0,219.0
その他,398,2980,-225,11,9,0.975,331.1,149.0,2980,-225,11,9,0.975,331.1,149.0
その他,414,3674,-883,13,9,0.92,408.2,167.0,3674,-883,13,9,0.92,408.2,167.0
その他,415,3625,-286,14,11,0.974,329.5,145.0,3625,-286,14,11,0.974,329.5,145.0
その他,416,1572,71,6,6,1.015,262.0,131.0,1572,71,6,6,1.015,262.0,131.0
その他,417,5300,2578,31,19,1.162,278.9,106.0,5300,2578,31,19,1.162,278.9,106.0
その他,418,3080,-677,7,15,0.927,205.3,140.0,3080,-677,7,15,0.927,205.3,140.0
その他,419,3576,-204,15,9,0.981,397.3,149.0,3576,-204,15,9,0.981,397.3,149.0
total,,162316,5163,638,496,1.011,327.2,143.1,162316,5163,638,496,1.011,327.2,143.1
