,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.0,0.925,0.982,0.992,0.998,0.966,0.949,0.972,0.926,0.996,0.963,1.047,1.035,0.908,1.068,0.974,0.929,0.957,1.016,0.947,0.88,0.99,0.989,0.965,0.959,1.001,1.002,1.018,0.991
ウルトラミラクルジャグラー,0.945,0.981,0.96,0.929,0.978,0.906,0.911,0.896,0.938,0.99,0.96,1.015,0.95,0.943,0.958,0.955,0.984,0.847,0.991,0.956,0.962,0.98,1.111,0.935,0.957,1.03,0.986,0.94,0.977
ゴーゴージャグラー3,0.928,0.999,0.98,0.95,0.977,0.902,0.996,0.982,0.91,1.033,0.993,0.984,1.005,1.017,0.988,0.985,0.991,1.017,0.974,0.9,0.98,1.064,0.949,1.01,0.933,0.983,0.962,0.974,0.984
ジャグラーガールズ,0.968,0.984,0.982,0.96,0.987,0.891,1.013,0.944,0.959,0.982,0.953,1.011,0.937,1.051,0.955,1.026,0.975,1.012,0.907,0.949,0.918,0.954,1.003,0.991,1.025,0.947,0.951,1.114,0.979
ハッピージャグラーVIII,0.977,0.963,0.914,0.988,0.955,1.023,0.917,0.979,0.885,1.061,0.939,1.05,0.978,0.962,0.992,0.937,0.933,0.929,1.015,0.921,1.012,0.961,0.972,0.914,0.935,0.929,0.895,1.058,0.98
ファンキージャグラー2,0.971,0.893,0.943,0.98,0.979,0.903,0.908,0.972,1.005,0.964,0.987,0.947,0.944,0.931,0.95,0.946,1.011,1.024,0.97,0.985,0.891,1.052,0.997,0.947,1.01,1.034,0.933,1.023,0.972
マイジャグラーV,0.991,0.976,0.978,0.988,0.973,0.972,0.987,0.973,0.961,0.974,0.951,0.987,0.967,0.994,0.954,0.971,0.959,0.95,0.996,0.938,0.918,1.043,0.989,1.068,0.981,0.934,1.125,0.974,0.985
ミスタージャグラー,0.975,1.001,0.96,0.905,1.022,0.969,0.975,0.944,0.972,0.981,0.982,1.018,1.014,0.857,0.979,0.942,1.001,0.92,1.06,0.985,0.957,1.061,1.009,1.027,0.964,1.017,0.975,1.034,0.993
total,0.972,0.969,0.968,0.971,0.983,0.953,0.967,0.965,0.952,0.996,0.965,1.005,0.981,0.974,0.981,0.969,0.972,0.966,0.995,0.946,0.941,1.02,1.006,1.011,0.974,0.979,1.017,1.019,0.983
