,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total,count_1.05+
その他,330,1.002,1.011,0.74,1.023,0.983,0.889,0.868,0.998,0.928,0.932,0.883,1.062,1.011,0.932,0.813,1.01,1.057,0.953,1.132,0.932,0.954,0.919,0.887,0.899,0.927,0.938,0.822,0.953,0.966,3
その他,331,0.949,0.911,1.055,1.106,1.01,1.112,0.97,0.88,0.886,1.011,0.98,0.989,0.748,0.989,0.696,0.986,0.923,0.96,0.886,0.939,0.833,0.968,0.954,0.973,0.843,0.688,0.895,1.034,0.965,3
その他,332,0.902,0.869,0.801,0.69,0.919,1.121,0.737,1.037,0.888,1.042,1.024,1.142,1.075,0.98,0.986,0.907,0.94,0.777,1.044,0.876,1.12,0.969,0.78,0.836,0.952,0.935,0.86,1.194,1.015,5
その他,333,1.01,1.018,0.774,0.977,0.746,0.978,0.995,0.801,0.891,1.048,0.886,0.96,0.893,0.801,1.179,0.78,0.615,0.831,0.966,0.962,1.074,1.022,0.961,0.979,0.915,0.997,0.963,1.007,0.957,2
その他,334,0.88,0.904,1.012,0.699,0.998,0.93,-inf,1.019,0.689,1.174,0.817,1.103,0.954,1.009,0.958,0.688,0.76,1.064,0.951,0.855,1.039,0.886,1.061,0.831,0.983,1.058,0.922,0.894,1.001,5
その他,335,0.859,0.957,0.782,1.034,0.988,0.941,0.941,0.957,0.884,1.062,0.933,0.994,0.99,0.76,0.901,0.926,0.92,0.947,1.07,0.788,0.876,1.092,1.153,1.048,0.976,0.859,1.09,0.979,0.978,5
その他,336,1.081,0.815,1.059,0.965,0.984,1.008,0.861,0.997,0.983,0.72,0.893,0.911,1.061,0.915,0.986,1.066,0.928,0.9,0.785,0.794,0.938,1.039,1.032,0.929,0.991,1.004,1.148,0.942,0.975,5
その他,337,0.848,0.958,0.868,0.907,0.997,0.993,0.868,0.974,1.026,1.015,0.887,1.007,1.014,0.903,0.896,0.928,1.065,0.775,0.958,0.836,0.908,0.988,1.087,1.108,0.703,0.912,1.189,0.91,0.982,4
その他,338,0.985,1.041,0.978,0.968,0.932,0.827,1.004,0.869,1.003,0.921,0.968,0.974,0.906,0.918,0.979,1.004,1.045,0.888,0.964,0.905,0.938,0.939,0.93,0.999,1.03,0.886,1.093,0.833,0.966,1
